step,max_abs_phase_increment_over_pi,mean_abs_phase_increment_over_pi,max_rat_err_q_le_256,median_rat_err_q_le_256,smallest_global_q_tol_1e10,best_denominators,dtheta_edge_0_over_pi,dtheta_edge_1_over_pi,dtheta_edge_2_over_pi,dtheta_edge_3_over_pi,dtheta_edge_4_over_pi,dtheta_edge_5_over_pi,dtheta_edge_6_over_pi,dtheta_edge_7_over_pi,dtheta_edge_8_over_pi,dtheta_edge_9_over_pi
1874,0.004775828460279345,0.004775828460038867,8.860535556668749e-06,8.860535114289109e-06,,209,0.004775828459883543,0.0047758284599132275,0.004775828460149437,0.004775828460279345,0.004775828460081868,0.004775828459658642,0.004775828460120176,0.004775828460123003,0.0047758284599494156,0.004775828460230011
1875,0.004775828460278073,0.0047758284600388804,8.860535556668749e-06,8.860535114854195e-06,,209,0.004775828459885239,0.004775828459912804,0.00477582846014873,0.004775828460278073,0.0047758284600821505,0.004775828459658642,0.004775828460118763,0.0047758284601227205,0.004775828459950405,0.004775828460231283
1876,0.0047758284602768,0.004775828460038853,8.860535556810128e-06,8.860535115490405e-06,,209,0.004775828459886794,0.004775828459912663,0.004775828460147882,0.0047758284602768,0.0047758284600821505,0.004775828459658501,0.00477582846011749,0.004775828460122296,0.004775828459951395,0.004775828460232555
1877,0.004775828460275952,0.004775828460038853,8.860535557092888e-06,8.860535116197304e-06,,209,0.00477582845988849,0.004775828459912663,0.004775828460147176,0.004775828460275952,0.004775828460082009,0.004775828459658218,0.004775828460116218,0.0047758284601215895,0.004775828459952384,0.004775828460233828
1878,0.0047758284602746805,0.004775828460038896,8.860535556951508e-06,8.860535116833514e-06,,209,0.004775828459890187,0.004775828459912097,0.004775828460146469,0.0047758284602746805,0.0047758284600821505,0.004775828459658359,0.004775828460114804,0.0047758284601215895,0.004775828459953515,0.0047758284602351
1879,0.004775828460273408,0.00477582846003881,8.860535557234268e-06,8.86053511746929e-06,,209,0.004775828459891741,0.0047758284599118146,0.004775828460145479,0.004775828460273408,0.004775828460082292,0.0047758284596580765,0.004775828460113391,0.004775828460121024,0.004775828459954504,0.004775828460236373
1880,0.0047758284602724185,0.004775828460038909,8.860535557234268e-06,8.86053511824688e-06,,209,0.004775828459893438,0.004775828459911956,0.004775828460145055,0.0047758284602724185,0.0047758284600821505,0.0047758284596580765,0.004775828460111977,0.004775828460120741,0.004775828459955635,0.004775828460237644
1881,0.004775828460271146,0.004775828460038895,8.860535557375648e-06,8.8605351188124e-06,,209,0.004775828459895134,0.004775828459911532,0.004775828460144207,0.004775828460271146,0.004775828460082292,0.004775828459657935,0.004775828460110705,0.004775828460120317,0.0047758284599567664,0.004775828460238917
1882,0.004775828460269733,0.004775828460038923,8.860535557234268e-06,8.86053511937792e-06,,209,0.00477582845989683,0.00477582845991139,0.0047758284601435,0.004775828460269733,0.004775828460082433,0.0047758284596580765,0.0047758284601094325,0.0047758284601197515,0.004775828459957897,0.004775828460240189
1883,0.004775828460268602,0.004775828460038895,8.860535557375648e-06,8.860535120084386e-06,,209,0.004775828459898385,0.004775828459911249,0.004775828460142652,0.004775828460268602,0.004775828460082433,0.004775828459657935,0.00477582846010802,0.004775828460119328,0.004775828459959028,0.00477582846024132
1884,0.004775828460267188,0.004775828460038895,8.860535557517028e-06,8.860535120791286e-06,,209,0.004775828459900223,0.004775828459910825,0.004775828460142086,0.004775828460267188,0.004775828460082433,0.004775828459657794,0.004775828460106606,0.004775828460118763,0.0047758284599603,0.004775828460242733
1885,0.004775828460266199,0.00477582846003891,8.860535557375648e-06,8.860535121427496e-06,,209,0.004775828459901637,0.004775828459910825,0.00477582846014138,0.004775828460266199,0.004775828460082575,0.004775828459657935,0.004775828460105192,0.004775828460118197,0.00477582845996129,0.004775828460243864
