強度順位,DFTビン,波数k,状態内の役割,全強度比,直流を除く強度比,数値誤差床より上
87,44,44,同方向・第44高調波,7.667719095354824e-06,7.859653514346468e-06,はい
88,101,-43,逆回転・第43枝,7.505220751487857e-06,7.693087595125037e-06,はい
89,45,45,同方向・第45高調波,7.433295216204018e-06,7.619361656663449e-06,はい
90,100,-44,逆回転・第44枝,7.282841671192328e-06,7.4651420355360414e-06,はい
91,46,46,同方向・第46高調波,7.216225517834394e-06,7.396858380730648e-06,はい
92,99,-45,逆回転・第45枝,7.07683986482876e-06,7.2539836974159075e-06,はい
93,47,47,同方向・第47高調波,7.015108555339253e-06,7.190707161389915e-06,はい
94,98,-46,逆回転・第46枝,6.885919720401313e-06,7.0582845376725916e-06,はい
95,48,48,同方向・第48高調波,6.828694211341456e-06,6.999626588965908e-06,はい
96,97,-47,逆回転・第47枝,6.70892370872269e-06,6.876858052440763e-06,はい
97,49,49,同方向・第49高調波,6.655865283528685e-06,6.822471495909971e-06,はい
98,96,-48,逆回転・第48枝,6.5448158307206485e-06,6.7086423100497725e-06,はい
99,50,50,同方向・第50高調波,6.4956213670885465e-06,6.658216435788589e-06,はい
100,95,-49,逆回転・第49枝,6.392667675900861e-06,6.552685660509087e-06,はい
101,51,51,同方向・第51高調波,6.347065162135942e-06,6.505941647965303e-06,はい
102,94,-50,逆回転・第50枝,6.251646225282163e-06,6.408134233132861e-06,はい
103,52,52,同方向・第52高調波,6.209391011490263e-06,6.364821308461408e-06,はい
104,93,-51,逆回転・第51枝,6.121002953162346e-06,6.274220765506708e-06,はい
105,53,53,同方向・第53高調波,6.081874929290675e-06,6.234113308972636e-06,はい
106,92,-52,逆回転・第52枝,6.0000645695002535e-06,6.150255114137842e-06,はい
107,54,54,同方向・第54高調波,5.96386576794306e-06,6.11315020271164e-06,はい
108,91,-53,逆回転・第53枝,5.888225123103558e-06,6.035616159973901e-06,はい
109,55,55,同方向・第55高調波,5.854777525078727e-06,6.001331318798438e-06,はい
110,90,-54,逆回転・第54枝,5.7849391208326875e-06,5.929744755370303e-06,はい
111,56,56,同方向・第56高調波,5.754082602568902e-06,5.8981158525379886e-06,はい
112,89,-55,逆回転・第55枝,5.689715556794246e-06,5.8321376038254935e-06,はい
113,57,57,同方向・第57高調波,5.661305978887085e-06,5.803016891908127e-06,はい
114,88,-56,逆回転・第56枝,5.602112627710818e-06,5.7423418430685905e-06,はい
115,58,58,同方向・第58高調波,5.576020223409564e-06,5.715596307060584e-06,はい
116,87,-57,逆回転・第57枝,5.52173302279138e-06,5.659950217028252e-06,はい
117,59,59,同方向・第59高調波,5.4978411242573614e-06,5.635460268721321e-06,はい
118,86,-58,逆回転・第58枝,5.448219857012223e-06,5.584596907317557e-06,はい
119,60,60,同方向・第60高調波,5.4264238030281404e-06,5.562255265668392e-06,はい
120,85,-59,逆回転・第59枝,5.3812531752392535e-06,5.515953949849293e-06,はい
121,61,61,同方向・第61高調波,5.3614593142028905e-06,5.495664619016713e-06,はい
122,84,-60,逆回転・第60枝,5.3205468915305654e-06,5.453728097524714e-06,はい
123,62,62,同方向・第62高調波,5.3026716728882265e-06,5.4354054355603386e-06,はい
124,83,-61,逆回転・第61枝,5.265846111173159e-06,5.397658075236855e-06,はい
125,63,63,同方向・第63高調波,5.249815276153049e-06,5.381225964561329e-06,はい
126,82,-62,逆回転・第62枝,5.216924771810784e-06,5.347512161952295e-06,はい
127,64,64,同方向・第64高調波,5.202672682380382e-06,5.332903321515469e-06,はい
128,81,-63,逆回転・第63枝,5.1735835738091065e-06,5.3030860692702826e-06,はい
129,65,65,同方向・第65高調波,5.161052667968799e-06,5.290241496210038e-06,はい
130,80,-64,逆回転・第64枝,5.135648215080777e-06,5.26420113206285e-06,はい
131,66,66,同方向・第66高調波,5.1247885243404445e-06,5.253069607103402e-06,はい
132,79,-65,逆回転・第65枝,5.102967896290145e-06,5.230702776262575e-06,はい
133,67,67,同方向・第67高調波,5.093736601608716e-06,5.221240408538539e-06,はい
134,78,-66,逆回転・第66枝,5.075414038342612e-06,5.20245920424879e-06,はい
135,68,68,同方向・第68高調波,5.067775080699724e-06,5.194629032128864e-06,はい
136,77,-67,逆回転・第67枝,5.052879191556648e-06,5.179360276714543e-06,はい
137,69,69,同方向・第69高調波,5.0468029519783535e-06,5.173131939817787e-06,はい
138,76,-68,逆回転・第68枝,5.03527612653194e-06,5.161316580777829e-06,はい
139,70,70,同方向・第70高調波,5.030739184117894e-06,5.156666071943912e-06,はい
140,75,-69,逆回転・第69枝,5.022537101201566e-06,5.1482586786869875e-06,はい
141,71,71,同方向・第71高調波,5.01952205719004e-06,5.145168163637283e-06,はい
142,74,-70,逆回転・第70枝,5.014613306274518e-06,5.140136539381824e-06,はい
143,72,72,同方向・第72高調波,5.0131086483449384e-06,5.138594217625244e-06,はい
144,73,-71,逆回転・第71枝,5.0114744766355936e-06,5.136919140166267e-06,はい
