config_id,R_C_over_R_A,coupling_C,C_position_mode,C_pair_group,C_offset,C_phase_sign,C_cell_count,C_cell_width,resolved_case_count,fit_case_count,resolution_valid,clock_error,clock_valid,max_relative_contamination,common_mode_ratio,disturbance_valid,closure_valid,gauge_valid,fit_valid,power_candidate_alpha_tau_ABC,power_candidate_alpha_tau_AB,power_candidate_alpha_tau_AC,power_candidate_alpha_tau_BC,alpha_classification_tau_ABC,alpha_classification_tau_AB,alpha_classification_tau_AC,alpha_classification_tau_BC,tau_AB_alpha_delta_from_tau_ABC,tau_AC_alpha_delta_from_tau_ABC,tau_BC_alpha_delta_from_tau_ABC,log_rmse_tau_ABC,inverse_term_injected,inverse_square_term_injected
Rc1_eps0.01_symmetric,1.0,0.01,symmetric,symmetric,0.0,1.0,96,0.06544984694978735,4,4,True,0.063,True,0.0,0.01,True,True,True,True,-0.9999999999999993,-1.658826552937243,-0.9999999999999993,-0.9999999999999993,proportional_like_alpha_minus1,other,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.6588265529372437,0.0,0.0,5.193056329973927e-16,False,False
Rc1_eps0.01_symmetric_pi_flip,1.0,0.01,symmetric_pi_flip,symmetric,0.0,-1.0,96,0.06544984694978735,4,4,True,0.063,True,0.0,0.01,True,True,True,True,-0.9999999999999993,-1.658826552937243,-0.9999999999999993,-0.9999999999999993,proportional_like_alpha_minus1,other,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.6588265529372437,0.0,0.0,5.193056329973927e-16,False,False
Rc1_eps0.01_a_side_small,1.0,0.01,a_side_small,small,0.03,1.0,96,0.06544984694978735,4,4,True,0.063,True,0.0034377467707849387,0.01,True,True,True,True,-0.9985389537302183,-1.6573655066674617,-0.9985389537302185,-0.9985389537302185,proportional_like_alpha_minus1,other,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.6588265529372435,-2.220446049250313e-16,-2.220446049250313e-16,0.00021797422502106204,False,False
Rc1_eps0.01_b_side_small,1.0,0.01,b_side_small,small,-0.03,1.0,96,0.06544984694978735,4,4,True,0.063,True,0.0034377467707849387,0.01,True,True,True,True,-1.001466214206225,-1.6602927671434686,-1.0014662142062254,-1.001466214206225,proportional_like_alpha_minus1,other,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.6588265529372437,-4.440892098500626e-16,0.0,0.00021939383590929758,False,False
Rc1_eps0.01_a_side_large,1.0,0.01,a_side_large,large,0.12,1.0,96,0.06544984694978735,4,4,True,0.063,True,0.013750987083139763,0.01,True,True,True,True,-0.9941865094079384,-1.6530130623451815,-0.9941865094079384,-0.9941865094079384,proportional_like_alpha_minus1,other,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.6588265529372431,0.0,0.0,0.0008634939024247839,False,False
Rc1_eps0.01_b_side_large,1.0,0.01,b_side_large,large,-0.12,1.0,96,0.06544984694978735,4,4,True,0.063,True,0.013750987083139763,0.01,True,True,True,True,-1.0058961832665128,-1.664722736203756,-1.0058961832665128,-1.0058961832665128,proportional_like_alpha_minus1,other,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.6588265529372432,0.0,0.0,0.0008862101216905019,False,False
Rc1_eps0.01_a_side_large_pi_flip,1.0,0.01,a_side_large_pi_flip,large_pi,0.12,-1.0,96,0.06544984694978735,4,4,True,0.063,True,0.013750987083139763,0.01,True,True,True,True,-1.0058961832665128,-1.664722736203756,-1.0058961832665128,-1.0058961832665128,proportional_like_alpha_minus1,other,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.6588265529372432,0.0,0.0,0.0008862101216905019,False,False
Rc1_eps0.01_b_side_large_pi_flip,1.0,0.01,b_side_large_pi_flip,large_pi,-0.12,-1.0,96,0.06544984694978735,4,4,True,0.063,True,0.013750987083139763,0.01,True,True,True,True,-0.9941865094079384,-1.6530130623451815,-0.9941865094079384,-0.9941865094079384,proportional_like_alpha_minus1,other,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.6588265529372431,0.0,0.0,0.0008634939024247839,False,False
Rc1_eps0.02_symmetric,1.0,0.02,symmetric,symmetric,0.0,1.0,96,0.06544984694978735,4,4,True,0.0635,True,0.0,0.02,True,True,True,True,-0.9999999999999996,-1.658826552937243,-0.9999999999999996,-0.9999999999999996,proportional_like_alpha_minus1,other,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.6588265529372435,0.0,0.0,3.2789485989478006e-16,False,False
Rc1_eps0.02_symmetric_pi_flip,1.0,0.02,symmetric_pi_flip,symmetric,0.0,-1.0,96,0.06544984694978735,4,4,True,0.0635,True,0.0,0.02,True,True,True,True,-0.9999999999999996,-1.658826552937243,-0.9999999999999996,-0.9999999999999996,proportional_like_alpha_minus1,other,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.6588265529372435,0.0,0.0,3.2789485989478006e-16,False,False
