case_id,initial_deviation_deg,scattering_protocol,scattering_kind,scattering_matrix_used,tau_mode,tau_kind,readout_mode,step_count,max_abs_A_chi_tau,rank_chi_tau,expected_rank,max_epsilon_c_abs,c1_calibrated,area_sweep_detected,area_expected,rank_matches_expectation,decay_rate_V_AB,max_Q_closed_abs,tau_is_step_used,external_c_used,absolute_background_axis_used,f_A_or_f_B_used
near_pi_10deg,10.0,display_reflection,display_reflection,False,tau_locked_0deg,locked,readout_weak,720,0.0,1,1,0.0,True,False,False,True,-2.0000100000579084e-05,0.0,False,False,False,False
near_pi_10deg,10.0,display_reflection,display_reflection,False,tau_locked_0deg,locked,readout_normal,720,0.0,1,1,0.0,True,False,False,True,-0.00010000250008333112,0.0,False,False,False,False
near_pi_10deg,10.0,display_reflection,display_reflection,False,tau_locked_0deg,locked,readout_strong,720,0.0,1,1,0.0,True,False,False,True,-0.0004000400053340933,0.0,False,False,False,False
near_pi_10deg,10.0,display_reflection,display_reflection,False,tau_independent_c1,independent,readout_off,720,2.0816681711721685e-17,2,2,8.548717289613705e-15,True,False,True,True,-4.4544900995234305e-18,0.0,False,False,False,False
near_pi_10deg,10.0,display_reflection,display_reflection,False,tau_independent_c1,independent,readout_weak,720,4.583661684873145e-05,2,2,0.00015291033469355675,False,True,True,True,-2.0000100000579084e-05,0.0,False,False,False,False
near_pi_10deg,10.0,display_reflection,display_reflection,False,tau_independent_c1,independent,readout_normal,720,0.00022787172232365454,2,2,0.0007648005411386993,False,True,True,True,-0.00010000250008333112,0.0,False,False,False,False
near_pi_10deg,10.0,display_reflection,display_reflection,False,tau_independent_c1,independent,readout_strong,720,0.0008921000745576951,2,2,0.003062925647902004,False,True,True,True,-0.0004000400053340933,0.0,False,False,False,False
near_pi_10deg,10.0,fermionic_reflection_pi,fermionic_reflection,True,tau_disabled_control,disabled,readout_off,720,0.0,1,1,0.0,False,False,False,True,-4.4544900995234305e-18,0.0,False,False,False,False
near_pi_10deg,10.0,fermionic_reflection_pi,fermionic_reflection,True,tau_disabled_control,disabled,readout_weak,720,0.0,1,1,0.0,False,False,False,True,-2.0000100000579084e-05,0.0,False,False,False,False
near_pi_10deg,10.0,fermionic_reflection_pi,fermionic_reflection,True,tau_disabled_control,disabled,readout_normal,720,0.0,1,1,0.0,False,False,False,True,-0.00010000250008333112,0.0,False,False,False,False
near_pi_10deg,10.0,fermionic_reflection_pi,fermionic_reflection,True,tau_disabled_control,disabled,readout_strong,720,0.0,1,1,0.0,False,False,False,True,-0.0004000400053340933,0.0,False,False,False,False
near_pi_10deg,10.0,fermionic_reflection_pi,fermionic_reflection,True,tau_locked_0deg,locked,readout_off,720,0.0,1,1,0.0,True,False,False,True,-4.4544900995234305e-18,0.0,False,False,False,False
near_pi_10deg,10.0,fermionic_reflection_pi,fermionic_reflection,True,tau_locked_0deg,locked,readout_weak,720,0.0,1,1,0.0,True,False,False,True,-2.0000100000579084e-05,0.0,False,False,False,False
near_pi_10deg,10.0,fermionic_reflection_pi,fermionic_reflection,True,tau_locked_0deg,locked,readout_normal,720,0.0,1,1,0.0,True,False,False,True,-0.00010000250008333112,0.0,False,False,False,False
near_pi_10deg,10.0,fermionic_reflection_pi,fermionic_reflection,True,tau_locked_0deg,locked,readout_strong,720,0.0,1,1,0.0,True,False,False,True,-0.0004000400053340933,0.0,False,False,False,False
near_pi_10deg,10.0,fermionic_reflection_pi,fermionic_reflection,True,tau_independent_c1,independent,readout_off,720,0.09563007586590165,2,2,2.220446049250313e-15,True,True,True,True,-4.4544900995234305e-18,0.0,False,False,False,False
near_pi_10deg,10.0,fermionic_reflection_pi,fermionic_reflection,True,tau_independent_c1,independent,readout_weak,720,0.09553832925996515,2,2,0.00015291033469400084,False,True,True,True,-2.0000100000579084e-05,0.0,False,False,False,False
near_pi_10deg,10.0,fermionic_reflection_pi,fermionic_reflection,True,tau_independent_c1,independent,readout_normal,720,0.09517250541869599,2,2,0.0007648005411389214,False,True,True,True,-0.00010000250008333112,0.0,False,False,False,False
near_pi_10deg,10.0,fermionic_reflection_pi,fermionic_reflection,True,tau_independent_c1,independent,readout_strong,720,0.09381707693325025,2,2,0.003062925647902448,False,True,True,True,-0.0004000400053340933,0.0,False,False,False,False
near_pi_20deg,20.0,pass_through,pass,False,tau_disabled_control,disabled,readout_off,720,0.0,1,1,0.0,False,False,False,True,-2.8636007782650622e-18,0.0,False,False,False,False
near_pi_20deg,20.0,pass_through,pass,False,tau_disabled_control,disabled,readout_weak,720,0.0,1,1,0.0,False,False,False,True,-2.0000100000577177e-05,0.0,False,False,False,False
near_pi_20deg,20.0,pass_through,pass,False,tau_disabled_control,disabled,readout_normal,720,0.0,1,1,0.0,False,False,False,True,-0.00010000250008332826,0.0,False,False,False,False
