step,selfcons_residual,mu,mu_over_mu_parent,Hperp_frac,H_total,abs_ZT_Z
45000,0.00446036174959141,-0.8471423397802117,1.9998737366492363,0.9660516058962164,1.694391649345521,3.38376617655815e-13
45200,0.004499612378065526,-0.8471442329383482,1.999878205883105,0.9655607722566961,1.6943916493454894,3.423900923561998e-13
45400,0.004332768075590315,-0.847145925125925,1.9998822006798864,0.9652209644977386,1.694391649345484,3.5109294117616285e-13
45600,0.00428556930409711,-0.8471476115990618,1.999886181986422,0.9654327235538634,1.6943916493454847,3.4175613375219186e-13
45800,0.004271733881914481,-0.8471492464130473,1.9998900413396858,0.9657437929115378,1.6943916493454583,3.5259389514801005e-13
46000,0.004076423472614326,-0.8471507605241406,1.999893615746096,0.9658256869247032,1.694391649345408,3.862516323508217e-13
46200,0.004150981370405721,-0.8471522887842018,1.9998972235543895,0.9657005800627341,1.6943916493453806,4.058567374855756e-13
46400,0.003989132139968418,-0.8471537036103002,1.999900563575804,0.9654422179861816,1.6943916493453632,4.045786031411675e-13
46600,0.003930671480561727,-0.8471551044297724,1.9999038705313659,0.965358569237977,1.694391649345342,3.7061241778770204e-13
46800,0.003939319546836292,-0.8471564187579788,1.999906973304463,0.9656894648413041,1.6943916493452988,3.907091492941013e-13
47000,0.0037689543563362766,-0.8471577201340759,1.9999100455011365,0.9659811936693466,1.694391649345248,3.7710186123923285e-13
47200,0.0037987392129288436,-0.8471589502225622,1.9999129494070587,0.9657579743860615,1.6943916493453415,3.928644466526055e-13
47400,0.0036844998829483953,-0.8471601196038425,1.9999157099997016,0.9654270024643532,1.6943916493453322,3.7746160770899106e-13
47600,0.0036565943186265154,-0.8471613118793131,1.99991852463933,0.9654889992554364,1.6943916493453246,3.5109721465026594e-13
47800,0.0035746164372369264,-0.8471623674135039,1.9999210164698138,0.9657033466613237,1.69439164934535,3.6695107534248966e-13
48000,0.003524257331795846,-0.8471634581673305,1.9999235914443234,0.9657492124237823,1.6943916493453282,3.422462094441537e-13
48200,0.0035107511233950636,-0.8471644914117527,1.9999260306546973,0.9656756903817368,1.6943916493452582,3.7999886107112975e-13
48400,0.0033481996261005955,-0.8471654487326744,1.9999282906302398,0.9655338526421746,1.6943916493452786,3.7853157105544324e-13
48600,0.003440371907241171,-0.8471664331631382,1.9999306146040725,0.9654341195798853,1.694391649345337,3.672232760427066e-13
48800,0.0032741432244350645,-0.8471673363162733,1.9999327467041343,0.9656194817124132,1.6943916493453426,3.696106532116444e-13
49000,0.003243376113692639,-0.8471682234659941,1.9999348410244673,0.9658832808425638,1.6943916493453366,3.5678668286788555e-13
49200,0.0032790101366636467,-0.8471690773176715,1.9999368567371338,0.9657617854506063,1.6943916493453242,3.4960218351691007e-13
49400,0.003082257859646531,-0.8471699092425566,1.9999388206865796,0.9654629267511111,1.6943916493452909,3.631151797269538e-13
49600,0.0031726072187174127,-0.8471706918957296,1.999940668318851,0.9654988704836379,1.694391649345278,3.430367318874636e-13
49800,0.0030472503884153125,-0.8471714613794555,1.9999424848616232,0.9657415095479397,1.6943916493452986,3.440479094754126e-13
50000,0.0030143060485468298,-0.8471722157867213,1.999944265812954,0.9657922325375837,1.6943916493453228,3.7700850765950953e-13
50200,0.0030003998570593553,-0.8471729022900223,1.9999458864614061,0.9656767109604971,1.6943916493453268,4.145127113285896e-13
