周波数セル,符号付き倍数k,成分種別,回転方向,離散周期,全関係強度,全体強度比,周波数成分の閉塞絶対値,周波数成分の閉塞相対値,周波数成分が単独零閉塞,位相基準関係ID,位相基準辺,全関係の絶対位相セル署名,全関係の相対位相セル署名,最大絶対位相セル誤差度,最大相対位相セル誤差度
13,13,倍音,正方向,144,0.02496219888150547,0.00017334860334378802,0.004989249414965578,0.19987219229561223,False,10,"(4,5)","[110, 28, 53, 112, 137, 12, 95, 45, 143, 139]","[116, 34, 58, 117, 143, 17, 101, 50, 4, 0]",1.0654059749296336,1.1429273738607952
14,14,倍音,正方向,72,0.02136694795716174,0.00014838158303584543,0.004263505809449569,0.1995374265897687,False,10,"(4,5)","[111, 29, 53, 112, 138, 12, 96, 45, 143, 139]","[116, 34, 58, 117, 143, 17, 101, 50, 4, 0]",1.0977631368041476,1.1451613854774316
15,15,倍音,正方向,48,0.01850692722279818,0.0001285203279360985,0.0036691967547102054,0.1982607220819576,False,10,"(4,5)","[111, 29, 54, 113, 138, 13, 96, 46, 0, 140]","[116, 34, 58, 117, 143, 17, 101, 50, 4, 0]",1.0842403798652036,1.1533599317406993
16,16,倍音,正方向,9,0.016207269454942067,0.00011255048232598659,0.003202394582871509,0.1975900130354781,False,10,"(4,5)","[112, 30, 54, 113, 139, 13, 97, 46, 0, 140]","[116, 34, 58, 117, 143, 17, 101, 50, 4, 0]",1.0124186388966767,1.1303797695330966
17,17,倍音,正方向,144,0.014324064789272955,9.947267214772887e-05,0.002825543495828571,0.1972584973187619,False,10,"(4,5)","[112, 30, 55, 114, 139, 14, 97, 47, 1, 141]","[116, 34, 58, 117, 143, 17, 101, 50, 4, 0]",1.1646473563971387,1.1614317373055005
18,18,倍音,正方向,8,0.01276059244570053,8.861522531736481e-05,0.002511006524692287,0.19677820880004118,False,10,"(4,5)","[113, 31, 55, 114, 140, 14, 98, 47, 1, 141]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2074014797445034,1.2304495076047148
19,19,倍音,正方向,144,0.011450800536834898,7.951944817246459e-05,0.0022477154451733755,0.1962933017602509,False,10,"(4,5)","[113, 31, 56, 115, 140, 15, 98, 48, 2, 142]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2132730399304303,1.1291207498481948
20,20,倍音,正方向,36,0.010342747443771614,7.182463502619178e-05,0.0020263995552815255,0.19592468696524346,False,10,"(4,5)","[114, 31, 56, 115, 141, 15, 99, 48, 2, 142]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.0809714446854934,1.0938065467923803
21,21,倍音,正方向,48,0.009396380737759624,6.525264401221962e-05,0.0018378850853387196,0.19559499946113573,False,10,"(4,5)","[114, 32, 57, 116, 141, 16, 99, 49, 3, 142]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2430192194971805,1.0877801220161625
22,22,倍音,正方向,72,0.008581967335617304,5.959699538623129e-05,0.0016758119398870598,0.19527130252896938,False,10,"(4,5)","[115, 32, 57, 116, 142, 16, 100, 49, 3, 143]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.10772731043682,1.0825478424157116
23,23,倍音,正方向,144,0.007876371126665107,5.4697021712952144e-05,0.0015357177139624129,0.1949778253545352,False,10,"(4,5)","[115, 33, 58, 117, 142, 17, 100, 50, 4, 143]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2074749413146864,1.0770502173530752
24,24,倍音,正方向,6,0.007261022566478892,5.0423767822770095e-05,0.001413823217568975,0.1947140646685229,False,10,"(4,5)","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.1304838037840617,1.0721920653995833
25,25,倍音,正方向,144,0.006721202032534613,4.667501411482371e-05,0.001307053945032498,0.1944672900331786,False,10,"(4,5)","[116, 34, 59, 118, 143, 18, 101, 51, 5, 0]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.1773247875298483,1.0680196236159503
26,26,倍音,正方向,72,0.00624517299841765,4.336925693345591e-05,0.0012130416371896248,0.19423667486825028,False,10,"(4,5)","[117, 34, 59, 118, 0, 18, 102, 51, 5, 1]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.150210964682993,1.0640527234671624
27,27,倍音,正方向,16,0.005823364076238003,4.044002830720836e-05,0.0011298676149698512,0.19402317975965636,False,10,"(4,5)","[117, 35, 60, 119, 0, 19, 102, 52, 6, 1]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.1968813104242586,1.060307810269259
28,28,倍音,正方向,36,0.005447912585257463,3.783272628651017e-05,0.001055934362867216,0.19382366114402577,False,10,"(4,5)","[118, 35, 60, 119, 1, 19, 103, 52, 6, 2]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.1673991436328812,1.0569102040625877
29,29,倍音,正方向,144,0.0051123532454481245,3.550245309338976e-05,0.0009899352909843867,0.19363593309319801,False,10,"(4,5)","[118, 36, 61, 120, 1, 20, 103, 53, 7, 2]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2194232145035884,1.0537680411430186
30,30,倍音,正方向,24,0.004811320912081906,3.341195077834657e-05,0.0009307955879925779,0.1934594688238772,False,10,"(4,5)","[119, 36, 61, 120, 2, 20, 104, 53, 7, 3]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.1826371769698765,1.0508003411528535
31,31,倍音,正方向,144,0.004540320395874993,3.15300027491319e-05,0.0008776131447786593,0.19329321903714003,False,10,"(4,5)","[119, 37, 62, 121, 2, 21, 104, 54, 8, 3]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2396509673555434,1.0480196882780022
32,32,倍音,正方向,9,0.004295568434999727,2.9830336354164777e-05,0.0008296283902793584,0.19313588011301494,False,10,"(4,5)","[120, 37, 62, 121, 3, 21, 105, 54, 8, 4]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.1962448877029739,1.0454217664779764
33,33,倍音,正方向,48,0.004073866369139183,2.8290738674577667e-05,0.000786201839623096,0.1929866540490434,False,10,"(4,5)","[120, 38, 63, 121, 3, 22, 105, 55, 8, 4]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.242161704085542,1.0429724344940305
34,34,倍音,正方向,72,0.0038724925105700467,2.6892309101180885e-05,0.0007467904778994131,0.19284491212340202,False,10,"(4,5)","[121, 38, 63, 122, 4, 22, 106, 55, 9, 5]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.208529021737169,1.040653665260591
35,35,倍音,正方向,144,0.003689118614241627,2.561887926556686e-05,0.0007109298130355415,0.1927099362679851,False,10,"(4,5)","[121, 39, 64, 122, 4, 23, 106, 56, 9, 5]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2256296590683518,1.038459705483439
36,36,倍音,正方向,4,0.003521744813172999,2.4456561202590273e-05,0.0006782214683268022,0.19258109383449126,False,10,"(4,5)","[122, 39, 64, 123, 5, 23, 107, 56, 10, 6]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2197060832935702,1.0363790852105144
37,37,倍音,正方向,144,0.0033686458660475366,2.3393374069774564e-05,0.0006483224647406933,0.19245788679514006,False,10,"(4,5)","[122, 40, 65, 123, 5, 24, 107, 57, 10, 6]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2104894013275305,1.0343988498763963
38,38,倍音,正方向,72,0.0032283269061324153,2.2418936848141776e-05,0.0006209359257437578,0.1923398539857441,False,10,"(4,5)","[123, 40, 65, 124, 6, 24, 108, 57, 11, 7]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.229957354543283,1.0325104935181595
39,39,倍音,正方向,48,0.0030994877138071438,2.1524220234771835e-05,0.0005958038530041568,0.1922265574243308,False,10,"(4,5)","[123, 41, 66, 124, 6, 25, 108, 58, 11, 7]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.1965235289041514,1.030707024069836
40,40,倍音,正方向,18,0.00298099341087503,2.0701343131076602e-05,0.0005727013400083897,0.19211761351739487,False,10,"(4,5)","[124, 41, 66, 125, 7, 25, 109, 58, 12, 8]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2394262659316162,1.028980953151756
41,41,倍音,正方向,144,0.002871850026495665,1.9943402961775454e-05,0.000551431629797429,0.19201268336087374,False,10,"(4,5)","[124, 42, 67, 125, 7, 26, 109, 59, 12, 8]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2184455998583983,1.027325562130135
42,42,倍音,正方向,24,0.002771184179900907,1.924433458264519e-05,0.0005318219856253061,0.19191145412944843,False,10,"(4,5)","[125, 42, 67, 126, 8, 26, 110, 59, 13, 9]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2482306836347308,1.025735279460015
43,43,倍音,正方向,144,0.0026782261744713576,1.8598792878273322e-05,0.0005137203100013663,0.19181363952682867,False,10,"(4,5)","[125, 42, 68, 126, 8, 27, 110, 60, 13, 9]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2317265934223636,1.0242049979877
44,44,倍音,正方向,36,0.0025922958006587603,1.8002054171241394e-05,0.0004969923099983338,0.19171898124899053,False,10,"(4,5)","[126, 43, 68, 127, 9, 27, 110, 60, 14, 10]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2435321433056628,1.0227299346860563
45,45,倍音,正方向,16,0.0025127903517230743,1.7449932998076907e-05,0.00048151908877834174,0.19162724357332628,False,10,"(4,5)","[126, 43, 69, 127, 9, 28, 111, 61, 14, 10]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2378452941155622,1.0213058083018234
46,46,倍音,正方向,72,0.002439174493164882,1.693871175808946e-05,0.00046719511493498265,0.19153820944100922,False,10,"(4,5)","[127, 44, 69, 128, 10, 28, 111, 61, 15, 11]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2357810557860218,1.0199287711821807
47,47,倍音,正方向,144,0.002370971665998318,1.6465081013877212e-05,0.00045392650750390544,0.1914516795006809,False,10,"(4,5)","[127, 44, 69, 128, 10, 29, 112, 62, 15, 11]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2352932419118317,1.0185952803404552
48,48,倍音,正方向,3,0.0023077567563332046,1.6026088585647256e-05,0.0004416295730522067,0.19136747052748837,False,10,"(4,5)","[128, 45, 70, 129, 11, 29, 112, 62, 16, 12]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2284475443509328,1.017302081631003
49,49,倍音,正方向,144,0.002249149825740194,1.5619096012084683e-05,0.00043022955381789954,0.19128541322333262,False,10,"(4,5)","[128, 45, 70, 129, 11, 30, 113, 63, 16, 12]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.209845258362664,1.0160462033346689
50,50,倍音,正方向,72,0.002194810734798467,1.5241741213878246e-05,0.0004196595562942722,0.19120535071230477,False,10,"(4,5)","[129, 46, 71, 130, 12, 30, 113, 63, 17, 13]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2214732569232458,1.014824913219566
51,51,倍音,正方向,48,0.002144434517494506,1.489190637148963e-05,0.00040985963076154824,0.19112713744246948,False,10,"(4,5)","[129, 46, 71, 130, 12, 31, 114, 64, 17, 13]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.18561210765827,1.0136356857951037
52,52,倍音,正方向,36,0.0020977473897368067,1.4567690206505605e-05,0.00040077597718466356,0.19105063800601216,False,10,"(4,5)","[130, 47, 72, 131, 13, 31, 114, 64, 18, 14]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2148079580585645,1.0124761865254943
53,53,倍音,正方向,144,0.0020545032968375737,1.4267384005816487e-05,0.00039236025876904305,0.19097572604190496,False,10,"(4,5)","[130, 47, 72, 131, 13, 32, 115, 65, 18, 14]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.162422596560447,1.0113442532852375
54,54,倍音,正方向,8,0.002014480920281827,1.3989450835290467e-05,0.00038456900743655986,0.19090228334491174,False,10,"(4,5)","[131, 48, 73, 132, 14, 32, 115, 65, 19, 15]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2084079838930515,1.0102378760188366
55,55,倍音,正方向,144,0.001977481076850728,1.373250747813006e-05,0.00037736310755297984,0.19083019907020096,False,10,"(4,5)","[131, 48, 73, 132, 14, 33, 116, 66, 19, 15]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.1401276229942512,1.0091551813229445
56,56,倍音,正方向,18,0.0019433244543840696,1.3495308711000485e-05,0.00037070734665422097,0.190759368986439,False,10,"(4,5)","[132, 49, 74, 133, 15, 33, 116, 66, 20, 16]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2022349871503397,1.0080944196475585
57,57,倍音,正方向,48,0.0019118496375168021,1.3276733593866685e-05,0.0003645700238997543,0.19068969480951156,False,10,"(4,5)","[132, 49, 74, 133, 15, 34, 117, 67, 20, 16]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.1185959762838018,1.0070539526346132
58,58,倍音,正方向,72,0.001882911383964394,1.307577349975274e-05,0.00035892260835671566,0.19062108361202776,False,10,"(4,5)","[133, 50, 75, 134, 16, 34, 117, 67, 21, 17]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.1962549384535723,1.006032241690323
59,59,倍音,正方向,144,0.001856379118068189,1.2891521653251315e-05,0.0003537394404130213,0.19055344728351317,False,10,"(4,5)","[133, 50, 75, 134, 16, 35, 118, 68, 21, 17]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.0977109344476894,1.0050278382176738
60,60,倍音,正方向,12,0.0018321356134988812,1.2723163982631122e-05,0.00034899747069804486,0.19048670203596693,False,10,"(4,5)","[134, 51, 76, 135, 17, 35, 118, 68, 22, 18]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.1904373083231234,1.0040393747335685
61,61,倍音,正方向,144,0.0018100758412967902,1.2569971120116601e-05,0.00034467603175626405,0.19042076795485446,False,10,"(4,5)","[134, 51, 76, 135, 17, 36, 119, 69, 22, 18]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.0853003762911946,1.003065556645079
62,62,倍音,正方向,72,0.0017901059630127613,1.2431291409810845e-05,0.0003407566384222494,0.19035556858810387,False,10,"(4,5)","[135, 52, 77, 136, 18, 36, 119, 69, 23, 19]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.1847543927655237,1.0055404882174197
63,63,倍音,正方向,16,0.0017721424517665898,1.2306544803934654e-05,0.0003372228134573215,0.1902910305665074,False,10,"(4,5)","[135, 52, 77, 136, 18, 37, 120, 70, 23, 19]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.0771652636683344,1.0122619538516537
64,64,倍音,正方向,9,0.0017561113266300172,1.2195217546041788e-05,0.00033405993553146533,0.19022708325247656,False,10,"(4,5)","[136, 53, 78, 137, 19, 37, 120, 70, 24, 20]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.1791807472627143,1.0189209774439345
65,65,倍音,正方向,144,0.0017419474879383054,1.2096857555127123e-05,0.0003312551070712396,0.1901636584138934,False,10,"(4,5)","[136, 53, 78, 137, 19, 38, 121, 71, 24, 20]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.0691603795012619,1.0255246800798128
66,66,倍音,正方向,24,0.0017295941430198942,1.2011070437638157e-05,0.00032879703986824995,0.19010068991917722,False,10,"(4,5)","[137, 54, 79, 138, 20, 38, 121, 71, 25, 21]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.173692703952393,1.0320799604845523
67,67,倍音,正方向,144,0.001719002313462345,1.1937516065710732e-05,0.000326675956667393,0.19003811345047902,False,10,"(4,5)","[137, 54, 79, 138, 20, 39, 122, 72, 25, 21]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.0612529227028809,1.038593525003826
68,68,倍音,正方向,36,0.0017101304164466528,1.1875905669768424e-05,0.0003248835072350112,0.18997586623250723,False,10,"(4,5)","[138, 55, 80, 139, 21, 39, 122, 72, 26, 22]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.1682679516253407,1.0450719159326125
69,69,倍音,正方向,48,0.0017029439139175612,1.1825999402205288e-05,0.00032341269765095635,0.18991388677443702,False,10,"(4,5)","[138, 55, 80, 139, 21, 40, 123, 73, 26, 22]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.0534116122398427,1.0515215384526355
70,70,倍音,正方向,72,0.0016974150244511623,1.1787604336466408e-05,0.0003222578317841658,0.18985211462256485,False,10,"(4,5)","[139, 56, 81, 140, 22, 40, 123, 73, 27, 23]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.1786958843994508,1.0579486864261545
71,71,倍音,正方向,144,0.0016935224936580288,1.1760572872625201e-05,0.0003214144641031285,0.18979049012149193,False,10,"(4,5)","[139, 56, 81, 140, 22, 41, 124, 74, 27, 23]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.0456061826972851,1.0643595672656874
72,72,倍音,正方向,2,0.0016912514198444513,1.1744801526697581e-05,0.00032087936314582465,0.18972895418194932,False,10,"(4,5)","[140, 57, 82, 141, 23, 41, 124, 74, 28, 24]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.1902144571625828,1.0707603260999685
73,-71,倍音,逆方向,144,0.0016905931324662491,1.1740230086571177e-05,0.00032065048513113114,0.18966744805319535,False,10,"(4,5)","[140, 57, 82, 141, 23, 42, 125, 75, 28, 24]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.0378069131976673,1.077157069426256
74,-70,倍音,逆方向,72,0.0016915451216684978,1.1746841122697904e-05,0.0003207269573407884,0.189605913098216,False,10,"(4,5)","[141, 58, 83, 142, 24, 42, 125, 75, 29, 25]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2017054383788928,1.08355588845273
75,-69,倍音,逆方向,48,0.00169411101792648,1.176465984671167e-05,0.0003211090710393495,0.18954429056979594,False,10,"(4,5)","[141, 58, 83, 142, 24, 43, 126, 76, 29, 25]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.029984173875403,1.0899628823134104
76,-68,倍音,逆方向,36,0.0016983006215039163,1.179375431599942e-05,0.0003217982838335102,0.18948252138572752,False,10,"(4,5)","[142, 59, 84, 143, 25, 43, 126, 76, 30, 26]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2132125635909738,1.0963841813515993
77,-67,倍音,逆方向,144,0.0017041299821394433,1.1834235987079469e-05,0.00032279723150361456,0.1894205459012933,False,10,"(4,5)","[142, 59, 84, 143, 25, 44, 127, 77, 30, 26]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.0221079751836606,1.1028259706538226
78,-66,倍音,逆方向,24,0.0017116215300758144,1.1886260625526492e-05,0.00032410974947240715,0.18935830367712836,False,10,"(4,5)","[143, 60, 85, 0, 26, 44, 127, 77, 31, 27]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2247798135542387,1.109294514031059
79,-65,倍音,逆方向,144,0.0017208042602737776,1.1950029585234569e-05,0.0003257409042119813,0.18929573324054672,False,10,"(4,5)","[143, 60, 85, 0, 26, 45, 128, 78, 31, 27]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.0141475054269962,1.1157961786453183
80,-64,倍音,逆方向,9,0.0017317139724197488,1.2025791475137148e-05,0.0003276970350321484,0.1892327718383265,False,10,"(4,5)","[0, 61, 86, 1, 27, 45, 128, 78, 32, 28]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2364520893063145,1.1223374604911498
81,-63,倍音,逆方向,16,0.0017443935701604361,1.2113844237225253e-05,0.0003299858068452292,0.18916935517876257,False,10,"(4,5)","[0, 61, 86, 1, 27, 46, 129, 79, 32, 28]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.0060706412516573,1.12892501094582
82,-62,倍音,逆方向,72,0.001758893423896791,1.221453766594994e-05,0.0003326162746672035,0.1891054171606937,False,10,"(4,5)","[1, 62, 87, 2, 28, 46, 129, 79, 33, 29]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2482759173080091,1.1355656646332861
83,-61,倍音,逆方向,144,0.0017752718024660705,1.232827640601438e-05,0.00033559896079691284,0.1890408895870056,False,10,"(4,5)","[1, 62, 87, 2, 28, 47, 130, 80, 33, 29]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",0.9978434142969556,1.1422664688518591
84,-60,倍音,逆方向,12,0.0017935953801585748,1.2455523473323438e-05,0.00033894594581818733,0.18897570185992593,False,10,"(4,5)","[2, 63, 88, 3, 28, 47, 130, 80, 34, 30]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.239699791521265,1.1490347148467397
85,-59,倍音,逆方向,144,0.0018139398267814292,1.2596804352648817e-05,0.0003426709747986732,0.18890978065501363,False,10,"(4,5)","[2, 63, 88, 3, 29, 48, 131, 81, 34, 30]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",0.9894294146389818,1.1558779712122556
86,-58,倍音,逆方向,72,0.0018363904899304502,1.2752711735628129e-05,0.00034678958032078835,0.18884304957053136,False,10,"(4,5)","[3, 64, 89, 4, 29, 48, 131, 81, 35, 31]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2274229019325589,1.1628041198040877
87,-57,倍音,逆方向,48,0.0018610431803037185,1.2923910974331382e-05,0.0003513192242814079,0.18877542874855452,False,10,"(4,5)","[3, 64, 89, 4, 30, 49, 132, 82, 35, 31]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",0.9807891079255862,1.169821394535247
88,-56,倍音,逆方向,18,0.0018880050728306637,1.3111146339101834e-05,0.0003562794607451715,0.1887068344636415,False,10,"(4,5)","[4, 65, 90, 5, 30, 49, 132, 82, 36, 32]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.214837101903336,1.1769384234067184
89,-55,倍音,逆方向,144,0.0019173957386527272,1.3315248185088387e-05,0.00036169212254103244,0.18863717867401655,False,10,"(4,5)","[4, 65, 90, 5, 31, 50, 133, 83, 36, 32]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",0.971879037652036,1.1841642742804557
90,-54,倍音,逆方向,8,0.001949348325653394,1.3537141150370795e-05,0.0003675815347686538,0.18856636853008077,False,10,"(4,5)","[5, 66, 91, 6, 31, 50, 133, 83, 37, 33]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.2018807992254468,1.1915085051272323
91,-53,倍音,逆方向,144,0.001984010908385181,1.3777853530452647e-05,0.0003739747589446424,0.188494305834753,False,10,"(4,5)","[5, 66, 91, 6, 32, 51, 134, 84, 37, 33]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",0.962650876579981,1.1989812191835931
92,-52,倍音,逆方向,36,0.002021548031955233,1.403852799968912e-05,0.00038090187217816894,0.1884208864479773,False,10,"(4,5)","[6, 67, 92, 7, 32, 51, 134, 84, 38, 34]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",1.188485818100104,1.2065931253622144
93,-51,倍音,逆方向,48,0.002062142478841441,1.4320433880843344e-05,0.00038839628654850194,0.18834599962593848,False,10,"(4,5)","[6, 67, 92, 7, 33, 52, 135, 85, 38, 34]","[116, 33, 58, 117, 143, 17, 101, 50, 4, 0]",0.9530502812296578,1.2143556053528555
