case_id,mode,harmonic_packet_A,harmonic_packet_B,N_A,N_B,R,T,Delta_F,condition_id,step,p_A,p_B,S,Q
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0.002_noise0_seed0,5,0.498989959960565,0.501010040039435,-0.002020080078869946,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0.002_noise0_seed0,10,0.5010201808804331,0.4989798191195669,0.002040361760866194,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0.002_noise0_seed0,20,0.5010407690253519,0.4989592309746481,0.002081538050703768,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0.002_noise0_seed0,42,0.501087537262161,0.49891246273783907,0.002175074524321974,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0.002_noise0_seed0,64,0.5011364070665131,0.4988635929334869,0.002272814133026157,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0.002_noise0_seed0,128,0.5012914208021255,0.49870857919787454,0.0025828416042509845,1.0000000000000002
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0.002_noise0_seed0,256,0.5016677662052488,0.49833223379475117,0.0033355324104976103,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.001_g0.002_noise0_seed0,4096,0.9952562431476629,0.004743756852337133,0.9905124862953258,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.01_g-0.002_noise0_seed0,0,0.51,0.48999999999999994,0.020000000000000073,1.0
"alternating_packet_2|A=1|B=1,3,4,5,6",alternating_packet_2,1,"1,3,4,5,6",1,6,0.0,1.0,0.0,phi0_s0.01_g-0.002_noise0_seed0,1,0.490019992,0.509980008,-0.019960015999999966,1.0000000000000002
