period_steps,deviation_deg,protocol,decay_abs_monotonic_by_leak,normalized_f_error_monotonic_by_leak,decay_abs_values,normalized_f_error_values
48,60.0,Protocol_B,True,True,5.3305619418124761e-17;2.0000010001760657e-06;2.0000100000540985e-05;1.0000250008336824e-04;4.0004000533405232e-04;2.0010006671671429e-03,2.3191544552338146e-16;2.6104938235619065e-07;2.6102236499440582e-06;1.3045115939823336e-05;5.2090519060144385e-05;2.5806602554321825e-04
72,1.0,Protocol_F,True,True,3.3785910219863361e-17;2.0000009999189823e-06;2.0000100000563838e-05;1.0000250008320527e-04;4.0004000533414252e-04;2.0010006671670644e-03,1.9412565194479472e-16;1.7430843506369181e-07;1.7428098350386127e-06;8.7079512949535482e-06;3.4740480354851825e-05;1.7128609259664044e-04
72,1.0,Protocol_B,True,True,3.3785910219863361e-17;2.0000009999189823e-06;2.0000100000563838e-05;1.0000250008320527e-04;4.0004000533414252e-04;2.0010006671670644e-03,1.9412565194479472e-16;1.7430843506369181e-07;1.7428098350386127e-06;8.7079512949535482e-06;3.4740480354851825e-05;1.7128609259664044e-04
72,2.0,Protocol_F,True,True,3.7342321821954239e-17;2.0000009999172039e-06;2.0000100000565617e-05;1.0000250008320527e-04;4.0004000533414252e-04;2.0010006671670553e-03,1.9412565194479472e-16;1.7430843506369181e-07;1.7428098350386127e-06;8.7079512949535482e-06;3.4740480354851825e-05;1.7128609259664044e-04
72,2.0,Protocol_B,True,True,3.7342321821954239e-17;2.0000009999172039e-06;2.0000100000565617e-05;1.0000250008320527e-04;4.0004000533414252e-04;2.0010006671670553e-03,1.9412565194479472e-16;1.7430843506369181e-07;1.7428098350386127e-06;8.7079512949535482e-06;3.4740480354851825e-05;1.7128609259664044e-04
72,5.0,Protocol_F,True,True,2.4894881214636162e-17;2.0000009999269842e-06;2.0000100000571841e-05;1.0000250008321504e-04;4.0004000533415407e-04;2.0010006671670622e-03,1.5405811738338910e-16;1.7430843505237741e-07;1.7428098350292208e-06;8.7079512949441800e-06;3.4740480354825174e-05;1.7128609259665106e-04
72,5.0,Protocol_B,True,True,2.4894881214636162e-17;2.0000009999269842e-06;2.0000100000571841e-05;1.0000250008321504e-04;4.0004000533415407e-04;2.0010006671670622e-03,1.5405811738338910e-16;1.7430843505237741e-07;1.7428098350292208e-06;8.7079512949441800e-06;3.4740480354825174e-05;1.7128609259665106e-04
72,10.0,Protocol_F,True,True,2.0449366712022559e-17;2.0000009999305409e-06;2.0000100000573619e-05;1.0000250008321594e-04;4.0004000533416209e-04;2.0010006671670670e-03,1.5405811738338910e-16;1.7430843505237741e-07;1.7428098350292208e-06;8.7079512949441800e-06;3.4740480354825174e-05;1.7128609259665106e-04
72,10.0,Protocol_B,True,True,2.0449366712022559e-17;2.0000009999305409e-06;2.0000100000573619e-05;1.0000250008321594e-04;4.0004000533416209e-04;2.0010006671670670e-03,1.5405811738338910e-16;1.7430843505237741e-07;1.7428098350292208e-06;8.7079512949441800e-06;3.4740480354825174e-05;1.7128609259665106e-04
72,20.0,Protocol_F,True,True,2.4450329764374801e-17;2.0000009999252059e-06;2.0000100000572284e-05;1.0000250008321371e-04;4.0004000533415586e-04;2.0010006671670648e-03,1.5405811738338910e-16;1.7430843505237741e-07;1.7428098350292208e-06;8.7079512949441800e-06;3.4740480354825174e-05;1.7128609259665106e-04
72,20.0,Protocol_B,True,True,2.4450329764374801e-17;2.0000009999252059e-06;2.0000100000572284e-05;1.0000250008321371e-04;4.0004000533415586e-04;2.0010006671670648e-03,1.5405811738338910e-16;1.7430843505237741e-07;1.7428098350292208e-06;8.7079512949441800e-06;3.4740480354825174e-05;1.7128609259665106e-04
72,35.0,Protocol_F,True,True,2.7117638465942960e-17;2.0000009999234279e-06;2.0000100000580507e-05;1.0000250008321705e-04;4.0004000533414805e-04;2.0010006671670666e-03,1.4908850069360235e-16;1.7430843505656321e-07;1.7428098350213468e-06;8.7079512949484287e-06;3.4740480354822700e-05;1.7128609259666383e-04
72,35.0,Protocol_B,True,True,2.7117638465942960e-17;2.0000009999234279e-06;2.0000100000580507e-05;1.0000250008321705e-04;4.0004000533414805e-04;2.0010006671670666e-03,1.4908850069360235e-16;1.7430843505656321e-07;1.7428098350213468e-06;8.7079512949484287e-06;3.4740480354822700e-05;1.7128609259666383e-04
72,60.0,Protocol_F,True,True,5.5568931282669995e-20;2.0000009999271231e-06;2.0000100000583702e-05;1.0000250008321450e-04;4.0004000533415776e-04;2.0010006671670644e-03,1.7393658414253610e-16;1.7430843504657989e-07;1.7428098350218160e-06;8.7079512949649933e-06;3.4740480354829741e-05;1.7128609259664019e-04
72,60.0,Protocol_B,True,True,5.5568931282669995e-20;2.0000009999271231e-06;2.0000100000583702e-05;1.0000250008321450e-04;4.0004000533415776e-04;2.0010006671670644e-03,1.7393658414253610e-16;1.7430843504657989e-07;1.7428098350218160e-06;8.7079512949649933e-06;3.4740480354829741e-05;1.7128609259664019e-04
96,1.0,Protocol_F,True,True,5.8923059251971085e-17;2.0000010001173129e-06;2.0000100000652427e-05;1.0000250008349311e-04;4.0004000533412610e-04;2.0010006671670336e-03,1.8247811282810705e-16;1.3080318455731408e-07;1.3077552244928770e-06;6.5326323785770915e-06;2.6038570198427923e-05;1.2776666270610757e-04
96,1.0,Protocol_B,True,True,5.8923059251971085e-17;2.0000010001173129e-06;2.0000100000652427e-05;1.0000250008349311e-04;4.0004000533412610e-04;2.0010006671670336e-03,1.8247811282810705e-16;1.3080318455731408e-07;1.3077552244928770e-06;6.5326323785770915e-06;2.6038570198427923e-05;1.2776666270610757e-04
96,2.0,Protocol_F,True,True,6.1233767457930736e-17;2.0000010001196236e-06;2.0000100000661670e-05;1.0000250008348849e-04;4.0004000533412724e-04;2.0010006671670397e-03,1.8247811282810705e-16;1.3080318455731408e-07;1.3077552244928770e-06;6.5326323785770915e-06;2.6038570198427923e-05;1.2776666270610757e-04
96,2.0,Protocol_B,True,True,6.1233767457930736e-17;2.0000010001196236e-06;2.0000100000661670e-05;1.0000250008348849e-04;4.0004000533412724e-04;2.0010006671670397e-03,1.8247811282810705e-16;1.3080318455731408e-07;1.3077552244928770e-06;6.5326323785770915e-06;2.6038570198427923e-05;1.2776666270610757e-04
