t,H,Q2_re,Q2_im,generator_norm,antisym_residual
806,np.float64(1480.2466133011797),np.float64(-74.79871400403096),np.float64(353.8616786401209),np.float64(659.3356899577179),np.float64(2.842170943040401e-14)
807,np.float64(1480.246613301179),np.float64(-74.79871400405672),np.float64(353.8616786401173),np.float64(659.3356901618109),np.float64(2.842170943040401e-14)
808,np.float64(1480.2466133011794),np.float64(-74.7987140040432),np.float64(353.86167864011964),np.float64(659.335690207481),np.float64(2.842170943040401e-14)
809,np.float64(1480.24661330118),np.float64(-74.79871400402695),np.float64(353.86167864012407),np.float64(659.3356902281631),np.float64(2.842170943040401e-14)
810,np.float64(1480.246613301183),np.float64(-74.79871400402854),np.float64(353.8616786401249),np.float64(659.3356903328363),np.float64(2.842170943040401e-14)
811,np.float64(1480.2466133011844),np.float64(-74.79871400403685),np.float64(353.861678640122),np.float64(659.3356906260956),np.float64(2.842170943040401e-14)
812,np.float64(1480.2466133011872),np.float64(-74.7987140040309),np.float64(353.86167864012447),np.float64(659.3356910748017),np.float64(2.842170943040401e-14)
813,np.float64(1480.246613301188),np.float64(-74.79871400401652),np.float64(353.86167864012737),np.float64(659.3356916134184),np.float64(2.842170943040401e-14)
814,np.float64(1480.2466133011853),np.float64(-74.7987140040245),np.float64(353.8616786401256),np.float64(659.335692083938),np.float64(2.842170943040401e-14)
815,np.float64(1480.2466133011874),np.float64(-74.79871400404049),np.float64(353.86167864012384),np.float64(659.3356924047773),np.float64(2.842170943040401e-14)
816,np.float64(1480.2466133011899),np.float64(-74.79871400402058),np.float64(353.8616786401283),np.float64(659.3356925339815),np.float64(2.842170943040401e-14)
817,np.float64(1480.2466133011862),np.float64(-74.79871400402612),np.float64(353.86167864012714),np.float64(659.3356925516975),np.float64(2.842170943040401e-14)
818,np.float64(1480.2466133011942),np.float64(-74.79871400402996),np.float64(353.86167864012793),np.float64(659.3356925703423),np.float64(2.842170943040401e-14)
819,np.float64(1480.2466133011962),np.float64(-74.79871400401834),np.float64(353.8616786401304),np.float64(659.3356927041415),np.float64(2.842170943040401e-14)
820,np.float64(1480.2466133011953),np.float64(-74.79871400401302),np.float64(353.8616786401322),np.float64(659.3356930133774),np.float64(2.842170943040401e-14)
821,np.float64(1480.246613301195),np.float64(-74.79871400400785),np.float64(353.8616786401324),np.float64(659.3356934536608),np.float64(2.842170943040401e-14)
822,np.float64(1480.2466133011937),np.float64(-74.79871400400629),np.float64(353.8616786401324),np.float64(659.3356939406154),np.float64(2.842170943040401e-14)
823,np.float64(1480.246613301189),np.float64(-74.79871400398454),np.float64(353.861678640135),np.float64(659.3356943304531),np.float64(2.842170943040401e-14)
824,np.float64(1480.2466133011872),np.float64(-74.79871400396883),np.float64(353.8616786401375),np.float64(659.3356945716945),np.float64(2.842170943040401e-14)
825,np.float64(1480.2466133011908),np.float64(-74.79871400399426),np.float64(353.86167864013066),np.float64(659.3356946410439),np.float64(2.842170943040401e-14)
826,np.float64(1480.2466133011853),np.float64(-74.79871400396831),np.float64(353.86167864013436),np.float64(659.3356946458431),np.float64(2.842170943040401e-14)
827,np.float64(1480.2466133011837),np.float64(-74.79871400393415),np.float64(353.86167864014186),np.float64(659.335694674033),np.float64(2.842170943040401e-14)
828,np.float64(1480.2466133011853),np.float64(-74.79871400393984),np.float64(353.86167864014124),np.float64(659.3356948399081),np.float64(2.842170943040401e-14)
829,np.float64(1480.2466133011824),np.float64(-74.79871400392918),np.float64(353.8616786401417),np.float64(659.3356951527594),np.float64(4.936589331760999e-15)
830,np.float64(1480.2466133011776),np.float64(-74.79871400391818),np.float64(353.8616786401419),np.float64(659.3356955726836),np.float64(2.842170943040401e-14)
831,np.float64(1480.2466133011737),np.float64(-74.79871400391966),np.float64(353.86167864014027),np.float64(659.3356959910955),np.float64(2.842170943040401e-14)
832,np.float64(1480.246613301172),np.float64(-74.79871400390448),np.float64(353.8616786401441),np.float64(659.3356963039066),np.float64(2.842170943040401e-14)
833,np.float64(1480.246613301171),np.float64(-74.7987140039103),np.float64(353.861678640141),np.float64(659.3356964706227),np.float64(2.842170943040401e-14)
834,np.float64(1480.2466133011715),np.float64(-74.79871400391016),np.float64(353.86167864014044),np.float64(659.3356965023622),np.float64(2.842170943040401e-14)
835,np.float64(1480.2466133011726),np.float64(-74.79871400391508),np.float64(353.8616786401394),np.float64(659.3356965047997),np.float64(2.842170943040401e-14)
836,np.float64(1480.2466133011724),np.float64(-74.7987140039298),np.float64(353.8616786401369),np.float64(659.335696553828),np.float64(2.842170943040401e-14)
837,np.float64(1480.246613301169),np.float64(-74.79871400392426),np.float64(353.8616786401365),np.float64(659.3356967443482),np.float64(2.842170943040401e-14)
838,np.float64(1480.2466133011708),np.float64(-74.7987140039167),np.float64(353.8616786401387),np.float64(659.3356970501612),np.float64(2.842170943040401e-14)
839,np.float64(1480.2466133011703),np.float64(-74.79871400391505),np.float64(353.86167864013856),np.float64(659.3356974356603),np.float64(2.842170943040401e-14)
840,np.float64(1480.2466133011671),np.float64(-74.79871400389572),np.float64(353.8616786401429),np.float64(659.3356977795736),np.float64(2.842170943040401e-14)
841,np.float64(1480.2466133011667),np.float64(-74.7987140039198),np.float64(353.8616786401378),np.float64(659.3356980239196),np.float64(3.2671619316221312e-15)
842,np.float64(1480.2466133011665),np.float64(-74.79871400392565),np.float64(353.8616786401355),np.float64(659.3356981287855),np.float64(2.842170943040401e-14)
843,np.float64(1480.246613301169),np.float64(-74.79871400390067),np.float64(353.861678640141),np.float64(659.3356981449599),np.float64(2.842170943040401e-14)
844,np.float64(1480.2466133011649),np.float64(-74.7987140039011),np.float64(353.8616786401406),np.float64(659.3356981522495),np.float64(2.842170943040401e-14)
845,np.float64(1480.2466133011658),np.float64(-74.79871400391728),np.float64(353.8616786401406),np.float64(659.3356982292707),np.float64(2.842170943040401e-14)
846,np.float64(1480.2466133011662),np.float64(-74.79871400391173),np.float64(353.8616786401424),np.float64(659.3356984303227),np.float64(2.842170943040401e-14)
847,np.float64(1480.2466133011649),np.float64(-74.79871400392577),np.float64(353.86167864014027),np.float64(659.3356987216101),np.float64(2.842170943040401e-14)
848,np.float64(1480.2466133011649),np.float64(-74.79871400391997),np.float64(353.8616786401406),np.float64(659.3356990590587),np.float64(2.842170943040401e-14)
