step,time,gram_symmetry_error,gram_reconstruction_error,reduced_skew_error,reduced_eigen_residual,lifted_eigen_residual,orth_Bdom,orth_C4,conservation_error
130,130,0.00000000000000000e+00,2.06861690221334672e-15,0.00000000000000000e+00,4.13540098512959222e-16,1.06318473444533611e-15,1.82972736192797582e-17,nan,2.22044604925031308e-16
135,135,0.00000000000000000e+00,2.03577712243365941e-15,0.00000000000000000e+00,1.06832831676213269e-15,9.28164777045144386e-16,2.22156878707439342e-16,nan,4.44089209850062616e-16
140,140,0.00000000000000000e+00,2.08914629114291856e-15,0.00000000000000000e+00,1.42309985300663701e-16,1.37633513909951536e-15,2.48921983757921246e-16,nan,4.44089209850062616e-16
145,145,0.00000000000000000e+00,2.08227888529810362e-15,0.00000000000000000e+00,5.16271359858387198e-16,1.20532386197479290e-15,4.96908085621488457e-16,nan,0.00000000000000000e+00
150,150,0.00000000000000000e+00,2.13389400049651785e-15,0.00000000000000000e+00,7.92824455327553408e-16,1.71640785186116526e-15,3.14020806302177997e-16,nan,4.44089209850062616e-16
155,155,0.00000000000000000e+00,1.97055499380935087e-15,0.00000000000000000e+00,3.37151783255461659e-16,8.33245038393674672e-16,3.14161092786044920e-16,nan,4.44089209850062616e-16
160,160,0.00000000000000000e+00,2.31746330463895591e-15,0.00000000000000000e+00,6.74312029433793345e-16,1.57808840846514160e-15,2.22082607357677931e-16,nan,4.44089209850062616e-16
165,165,0.00000000000000000e+00,2.06694819524425749e-15,0.00000000000000000e+00,1.02737339014688467e-15,1.35032355657159805e-15,3.14134226653283707e-16,nan,4.44089209850062616e-16
170,170,0.00000000000000000e+00,2.11952357228571572e-15,0.00000000000000000e+00,1.34054866438459334e-15,1.85474680020619424e-15,4.44192418618414830e-16,nan,2.22044604925031308e-16
175,175,0.00000000000000000e+00,2.04962177152928658e-15,0.00000000000000000e+00,2.97682367434127654e-16,1.31458883783996369e-15,2.48253625474768174e-16,nan,2.22044604925031308e-16
180,180,0.00000000000000000e+00,2.17179666053896803e-15,0.00000000000000000e+00,2.78969319325773600e-16,1.03920426555807967e-15,3.14212712943912381e-16,nan,4.44089209850062616e-16
185,185,0.00000000000000000e+00,2.08091310194808723e-15,0.00000000000000000e+00,1.01228518577105415e-15,1.39651541737192005e-15,4.44146128965654984e-16,nan,2.22044604925031308e-16
190,190,0.00000000000000000e+00,2.30044688052370810e-15,0.00000000000000000e+00,5.55074729297548060e-16,2.23998876650970165e-15,4.44168134049761344e-16,nan,2.22044604925031308e-16
195,195,0.00000000000000000e+00,2.11613185246014438e-15,0.00000000000000000e+00,4.11890641520344364e-16,1.34004362884217910e-15,3.34822999041632398e-16,nan,2.22044604925031308e-16
200,200,0.00000000000000000e+00,2.20189153330312636e-15,0.00000000000000000e+00,2.40099738491547863e-16,1.83068653232088519e-15,2.22057497586820611e-16,nan,4.44089209850062616e-16
205,205,0.00000000000000000e+00,2.17627699912889806e-15,0.00000000000000000e+00,2.31989041022182368e-16,2.65593488524908446e-15,4.59198305047057581e-16,nan,4.44089209850062616e-16
210,210,0.00000000000000000e+00,2.20057121247548769e-15,0.00000000000000000e+00,7.01101278336191928e-16,2.00679368478278059e-15,2.22538687933325933e-16,nan,4.44089209850062616e-16
215,215,0.00000000000000000e+00,2.20234081947406215e-15,0.00000000000000000e+00,3.95853989331270220e-16,1.18573742994515847e-15,4.47361552364502443e-16,nan,0.00000000000000000e+00
220,220,0.00000000000000000e+00,2.03698664590221569e-15,0.00000000000000000e+00,4.72837546815425575e-16,9.14086138498767853e-16,2.48729008386274609e-16,nan,4.44089209850062616e-16
225,225,0.00000000000000000e+00,2.16592147367611591e-15,0.00000000000000000e+00,4.86375245745702419e-16,1.15703229997328046e-15,1.11065856746267618e-16,nan,2.22044604925031308e-16
230,230,0.00000000000000000e+00,2.09912574717194256e-15,0.00000000000000000e+00,6.29554090173042455e-16,2.42191712387650059e-15,2.22661567463957652e-16,nan,2.22044604925031308e-16
235,235,0.00000000000000000e+00,2.21152450344257328e-15,0.00000000000000000e+00,1.74058054774825263e-15,1.77538862003245284e-15,5.41030382053557540e-18,nan,4.44089209850062616e-16
240,240,0.00000000000000000e+00,2.14718466246666063e-15,0.00000000000000000e+00,1.75020687048157066e-15,2.70320989693531642e-15,4.98006377859320859e-16,nan,0.00000000000000000e+00
245,245,0.00000000000000000e+00,2.15250002096910119e-15,0.00000000000000000e+00,4.09967352751005203e-16,1.29242768126792115e-15,2.22867206685431913e-16,nan,4.44089209850062616e-16
250,250,0.00000000000000000e+00,2.16390403179157765e-15,0.00000000000000000e+00,2.91054863320644780e-16,2.42181373462429860e-15,2.48704082495310846e-16,nan,2.22044604925031308e-16
255,255,0.00000000000000000e+00,2.01442229557359781e-15,0.00000000000000000e+00,3.56695768908517340e-16,1.39999180586173052e-15,4.96894806414932668e-16,nan,4.44089209850062616e-16
260,260,0.00000000000000000e+00,2.26289681614893561e-15,0.00000000000000000e+00,8.07557960541125473e-16,1.78471256796369806e-15,4.57974069395234955e-16,nan,2.22044604925031308e-16
265,265,0.00000000000000000e+00,2.11878976326226200e-15,0.00000000000000000e+00,1.59924142395748390e-15,2.13624793648697828e-15,2.22408451309929992e-16,nan,4.44089209850062616e-16
270,270,0.00000000000000000e+00,2.20509467611738484e-15,0.00000000000000000e+00,1.02519028320975901e-15,1.75962813094577668e-15,2.22939708527329399e-16,nan,2.22044604925031308e-16
275,275,0.00000000000000000e+00,2.11437347310204508e-15,0.00000000000000000e+00,1.47954840170455156e-15,2.89983915146787525e-15,2.22247724835490826e-16,nan,2.22044604925031308e-16
280,280,0.00000000000000000e+00,2.20843772308521061e-15,0.00000000000000000e+00,4.65413978117140951e-16,1.02918973018350671e-15,3.14575323022297637e-16,nan,4.44089209850062616e-16
285,285,0.00000000000000000e+00,2.06986668560552889e-15,0.00000000000000000e+00,1.33064850072498379e-15,2.25753169891863096e-15,4.96920039794071203e-16,nan,2.22044604925031308e-16
290,290,0.00000000000000000e+00,2.23699650257663399e-15,0.00000000000000000e+00,5.15976754286941870e-16,1.31827828674050869e-15,2.49661883351996554e-16,nan,2.22044604925031308e-16
295,295,0.00000000000000000e+00,2.01608169291931537e-15,0.00000000000000000e+00,4.78133304726070454e-16,9.40077329034725116e-16,4.26968328899966748e-18,nan,4.44089209850062616e-16
300,300,0.00000000000000000e+00,2.12249043762177313e-15,0.00000000000000000e+00,1.32196453146732606e-16,1.28511304750424440e-15,2.22416829960216859e-16,nan,4.44089209850062616e-16
305,305,0.00000000000000000e+00,2.04362757168755381e-15,0.00000000000000000e+00,7.79739388214046360e-16,1.72048722107767648e-15,1.11130143363187495e-16,nan,2.22044604925031308e-16
310,310,0.00000000000000000e+00,2.09998957974488920e-15,0.00000000000000000e+00,6.48637041015764384e-16,1.16137319311412939e-15,2.22094362473649659e-16,nan,0.00000000000000000e+00
315,315,0.00000000000000000e+00,2.14306331727772143e-15,0.00000000000000000e+00,8.77774676145429692e-16,2.11809498515129993e-15,2.22056982675007613e-16,nan,2.22044604925031308e-16
320,320,0.00000000000000000e+00,2.09492217082190760e-15,0.00000000000000000e+00,6.24300143111637171e-16,1.19990763852983547e-15,3.14104573321765655e-16,nan,2.22044604925031308e-16
325,325,0.00000000000000000e+00,2.23478256598322749e-15,0.00000000000000000e+00,1.90282314686637045e-16,1.85189213582023254e-15,2.22742816463050359e-16,nan,2.22044604925031308e-16
330,330,0.00000000000000000e+00,2.18517507534988845e-15,0.00000000000000000e+00,7.42985429926422356e-16,1.77511876552483761e-15,2.22146261161748014e-16,nan,2.22044604925031308e-16
335,335,0.00000000000000000e+00,2.08766835388803603e-15,0.00000000000000000e+00,1.35973721362971872e-16,8.89894418968123929e-16,6.28126760646479306e-16,nan,0.00000000000000000e+00
340,340,0.00000000000000000e+00,2.12398335945097967e-15,0.00000000000000000e+00,2.24659105225067538e-16,1.48498199864464127e-15,1.11686184532646474e-16,nan,4.44089209850062616e-16
345,345,0.00000000000000000e+00,2.14523299172917266e-15,0.00000000000000000e+00,1.26162800669843958e-16,1.98064655056983661e-15,2.22920835082735514e-16,nan,0.00000000000000000e+00
350,350,0.00000000000000000e+00,2.20265805336422921e-15,0.00000000000000000e+00,4.53499937895445504e-16,1.46748445360699719e-15,4.01242448074764589e-16,nan,2.22044604925031308e-16
355,355,0.00000000000000000e+00,2.34430238541699090e-15,0.00000000000000000e+00,2.79278493630984801e-16,2.48793800624485635e-15,1.11245464562533030e-16,nan,2.22044604925031308e-16
360,360,0.00000000000000000e+00,1.95409466120600238e-15,0.00000000000000000e+00,8.86279452755634298e-16,1.74455871792079865e-15,2.50186531086585651e-16,nan,0.00000000000000000e+00
365,365,0.00000000000000000e+00,2.08022655924160896e-15,0.00000000000000000e+00,5.15410474598131024e-16,1.42359527500270595e-15,4.96564085938087732e-16,nan,0.00000000000000000e+00
370,370,0.00000000000000000e+00,2.13984262429356599e-15,0.00000000000000000e+00,1.30795485569391104e-15,1.58572018880471522e-15,2.48947132652561810e-16,nan,0.00000000000000000e+00
375,375,0.00000000000000000e+00,2.17700719657604663e-15,0.00000000000000000e+00,4.22371432225295545e-16,9.19825186793715159e-16,4.44337782496901298e-16,nan,4.44089209850062616e-16
380,380,0.00000000000000000e+00,2.17705617126268135e-15,0.00000000000000000e+00,1.52167129680126014e-16,9.96229786949464483e-16,4.98333244632392555e-16,nan,4.44089209850062616e-16
385,385,0.00000000000000000e+00,2.11221515310236070e-15,0.00000000000000000e+00,5.00405409231817721e-16,1.48134131684116870e-15,2.22104695198974478e-16,nan,4.44089209850062616e-16
390,390,0.00000000000000000e+00,2.11281091857465056e-15,0.00000000000000000e+00,4.64337063596160097e-16,1.73822876748048819e-15,1.11540092457166398e-16,nan,2.22044604925031308e-16
395,395,0.00000000000000000e+00,2.09691162162277335e-15,0.00000000000000000e+00,1.67723326099794202e-15,1.99123368915522300e-15,2.22561009471396660e-16,nan,0.00000000000000000e+00
400,400,0.00000000000000000e+00,2.04291461583750982e-15,0.00000000000000000e+00,5.40898447280734491e-16,1.12446200387401640e-15,2.22342961192993548e-16,nan,0.00000000000000000e+00
405,405,0.00000000000000000e+00,2.00511579477304757e-15,0.00000000000000000e+00,1.12878970307970173e-15,1.61018231906644824e-15,3.14486632039747953e-16,nan,0.00000000000000000e+00
410,410,0.00000000000000000e+00,2.07827162405373792e-15,0.00000000000000000e+00,1.82675435551746116e-15,2.39860350075444658e-15,1.11025093770430065e-16,nan,0.00000000000000000e+00
415,415,0.00000000000000000e+00,2.36640478877321626e-15,0.00000000000000000e+00,3.95608449825856802e-16,1.57851468212863784e-15,4.44499329940186936e-16,nan,0.00000000000000000e+00
420,420,0.00000000000000000e+00,2.22683933838055754e-15,0.00000000000000000e+00,9.12211829358176015e-16,1.37952320344626429e-15,6.66416834262523687e-16,nan,1.11022302462515654e-16
425,425,0.00000000000000000e+00,2.10110143220354598e-15,0.00000000000000000e+00,5.71043524753553111e-16,9.78457637733589957e-16,1.69350064463429853e-19,nan,0.00000000000000000e+00
430,430,0.00000000000000000e+00,2.18539207644901976e-15,0.00000000000000000e+00,1.11935690457988199e-16,1.19162685591519301e-15,1.04387454274120269e-17,nan,2.22044604925031308e-16
435,435,0.00000000000000000e+00,2.02303907973264715e-15,0.00000000000000000e+00,3.69786571934763575e-16,8.29969595834351091e-16,2.22096481434089954e-16,nan,4.44089209850062616e-16
440,440,0.00000000000000000e+00,2.02005555728640599e-15,0.00000000000000000e+00,9.48332400138550137e-16,1.41472059754930374e-15,1.11022561773389154e-16,nan,4.44089209850062616e-16
445,445,0.00000000000000000e+00,2.12224848290347711e-15,0.00000000000000000e+00,1.37994988262249875e-15,3.11969189596301464e-15,1.11871765122740874e-16,nan,0.00000000000000000e+00
450,450,0.00000000000000000e+00,2.08033829622209751e-15,0.00000000000000000e+00,6.68500883567929281e-16,1.55639387887864815e-15,4.45477734859595880e-16,nan,0.00000000000000000e+00
455,455,0.00000000000000000e+00,2.14385427627689240e-15,0.00000000000000000e+00,8.57155787914003056e-16,9.43846278574440211e-16,2.48946963644342028e-16,nan,2.22044604925031308e-16
460,460,0.00000000000000000e+00,2.08418001626100153e-15,0.00000000000000000e+00,1.11270967770405933e-15,1.23454531073824362e-15,4.78450490370488493e-18,nan,2.22044604925031308e-16
465,465,0.00000000000000000e+00,2.30342035025856395e-15,0.00000000000000000e+00,1.12122265106457432e-15,3.17639649697898493e-15,4.01005252855946612e-16,nan,2.22044604925031308e-16
470,470,0.00000000000000000e+00,2.18374753449000545e-15,0.00000000000000000e+00,2.29980585515749652e-16,1.54634406696191606e-15,2.22407713069140628e-16,nan,2.22044604925031308e-16
475,475,0.00000000000000000e+00,1.98987490015793709e-15,0.00000000000000000e+00,5.24435984364498912e-16,8.77731552730375667e-16,2.48473950477905841e-16,nan,0.00000000000000000e+00
480,480,0.00000000000000000e+00,2.17341701138864119e-15,0.00000000000000000e+00,3.79427611058046003e-16,2.01063613662308385e-15,4.97492490116690839e-16,nan,2.22044604925031308e-16
485,485,0.00000000000000000e+00,2.13984104673840083e-15,0.00000000000000000e+00,6.31842413431019249e-16,2.38459834974714724e-15,4.58231414652218142e-16,nan,2.22044604925031308e-16
490,490,0.00000000000000000e+00,2.07507920711479442e-15,0.00000000000000000e+00,6.71446453340733581e-16,1.20434807903126923e-15,4.97661870263887229e-16,nan,4.44089209850062616e-16
495,495,0.00000000000000000e+00,1.99722375254511087e-15,0.00000000000000000e+00,8.67975543418117706e-16,1.12248541895163685e-15,3.33194476825590318e-16,nan,4.44089209850062616e-16
500,500,0.00000000000000000e+00,2.19501970709825520e-15,0.00000000000000000e+00,1.24601311871483153e-15,2.63328759364577183e-15,1.85189408114592185e-17,nan,4.44089209850062616e-16
505,505,0.00000000000000000e+00,2.10435933079540398e-15,0.00000000000000000e+00,1.38438202950598656e-15,1.70635538226511275e-15,4.44438984308360152e-16,nan,0.00000000000000000e+00
510,510,0.00000000000000000e+00,2.04706757657476673e-15,0.00000000000000000e+00,7.52682194849538128e-16,1.12741084364138880e-15,3.14536833788018715e-16,nan,2.22044604925031308e-16
515,515,0.00000000000000000e+00,2.14641257610297628e-15,0.00000000000000000e+00,6.66959773092784534e-16,2.05862434131017245e-15,7.10938362373392233e-16,nan,0.00000000000000000e+00
520,520,0.00000000000000000e+00,2.21150713880346923e-15,0.00000000000000000e+00,4.56595065562696323e-16,2.06925631566968482e-15,8.95317922639746612e-16,nan,0.00000000000000000e+00
525,525,0.00000000000000000e+00,2.25210434661040753e-15,0.00000000000000000e+00,1.13329838446925225e-16,9.19078576755719199e-16,3.16642368254321884e-16,nan,2.22044604925031308e-16
530,530,0.00000000000000000e+00,2.14404027617965824e-15,0.00000000000000000e+00,8.64137657090166943e-16,1.57639683285840388e-15,2.22058561507305440e-16,nan,0.00000000000000000e+00
535,535,0.00000000000000000e+00,2.20791262137506496e-15,0.00000000000000000e+00,2.71962052048589642e-16,2.26165198255714628e-15,8.08779549407905146e-16,nan,0.00000000000000000e+00
540,540,0.00000000000000000e+00,2.00946762233066857e-15,0.00000000000000000e+00,1.31123909380507250e-15,1.55321804250714036e-15,2.22110518888341678e-16,nan,0.00000000000000000e+00
545,545,0.00000000000000000e+00,2.11079392417561611e-15,0.00000000000000000e+00,1.16021825380997578e-15,1.92630654185417828e-15,2.22060251663571627e-16,nan,4.44089209850062616e-16
550,550,0.00000000000000000e+00,1.97207938352161274e-15,0.00000000000000000e+00,3.20002169425461437e-16,1.81685686827830543e-15,1.57333526063731097e-16,nan,2.22044604925031308e-16
555,555,0.00000000000000000e+00,2.13133816110127977e-15,0.00000000000000000e+00,8.08933698612192150e-16,1.24460632714968935e-15,2.24055764096869742e-16,nan,0.00000000000000000e+00
560,560,0.00000000000000000e+00,2.06479532119999273e-15,0.00000000000000000e+00,1.55225468177698065e-16,1.21429235524297944e-15,2.23764417898647363e-16,nan,4.44089209850062616e-16
565,565,0.00000000000000000e+00,2.12486246890500262e-15,0.00000000000000000e+00,3.92138214024105621e-16,1.82870959096467410e-15,2.48317277623064034e-16,nan,0.00000000000000000e+00
570,570,0.00000000000000000e+00,2.10313961097182473e-15,0.00000000000000000e+00,5.45549041361266006e-16,1.30417530489510702e-15,1.12335525824813472e-16,nan,4.44089209850062616e-16
575,575,0.00000000000000000e+00,2.14193979749837129e-15,0.00000000000000000e+00,4.22546625936033901e-16,1.70295204109763292e-15,2.12238250671166290e-17,nan,0.00000000000000000e+00
580,580,0.00000000000000000e+00,2.11020888461318307e-15,0.00000000000000000e+00,4.84055461560097819e-16,1.20843408616801590e-15,2.49362421009197133e-16,nan,2.22044604925031308e-16
585,585,0.00000000000000000e+00,2.08339086638468159e-15,0.00000000000000000e+00,1.50319371880428566e-15,2.12229782681455342e-15,3.14198848131838554e-16,nan,4.44089209850062616e-16
590,590,0.00000000000000000e+00,2.26393415453601660e-15,0.00000000000000000e+00,8.37796145037678393e-16,1.81854929038201266e-15,9.30976891083690315e-18,nan,0.00000000000000000e+00
595,595,0.00000000000000000e+00,2.17750852779470110e-15,0.00000000000000000e+00,7.22539883319285322e-16,8.94737585426136016e-16,4.00513763494538427e-16,nan,0.00000000000000000e+00
600,600,0.00000000000000000e+00,2.05299187468778928e-15,0.00000000000000000e+00,1.03756216889502542e-15,2.41634926730497075e-15,4.58400096347102660e-16,nan,2.22044604925031308e-16
605,605,0.00000000000000000e+00,2.09518573523226196e-15,0.00000000000000000e+00,7.60969392671289316e-17,1.51442662570770689e-15,2.48253415897797584e-16,nan,0.00000000000000000e+00
610,610,0.00000000000000000e+00,2.06382646545680144e-15,0.00000000000000000e+00,4.62534824192780687e-16,1.43966311856297551e-15,5.39229179149243577e-18,nan,2.22044604925031308e-16
615,615,0.00000000000000000e+00,2.25090153219494046e-15,0.00000000000000000e+00,3.96127648256594295e-16,2.05439900663210686e-15,5.97902159735873807e-16,nan,0.00000000000000000e+00
620,620,0.00000000000000000e+00,2.15668888607400390e-15,0.00000000000000000e+00,3.98904500118437517e-16,2.02664862600526770e-15,6.05511149558583483e-18,nan,0.00000000000000000e+00
625,625,0.00000000000000000e+00,2.18040834719269979e-15,0.00000000000000000e+00,1.10514949586303958e-15,1.31190950783742652e-15,3.14039241671052348e-16,nan,2.22044604925031308e-16
630,630,0.00000000000000000e+00,2.18331205822563291e-15,0.00000000000000000e+00,2.10172233206453353e-15,3.34423012286044424e-15,1.57032011562054631e-16,nan,4.44089209850062616e-16
635,635,0.00000000000000000e+00,2.12334989900304597e-15,0.00000000000000000e+00,1.08710182260055306e-15,1.59978723957190393e-15,1.11317844523829576e-16,nan,0.00000000000000000e+00
640,640,0.00000000000000000e+00,2.29446323914878242e-15,0.00000000000000000e+00,8.74066972343930254e-16,2.57947297988091113e-15,3.33066979155576819e-16,nan,2.22044604925031308e-16
645,645,0.00000000000000000e+00,2.02635696952243683e-15,0.00000000000000000e+00,3.39920041713523281e-16,1.38376686802191114e-15,2.22650114785205214e-16,nan,2.22044604925031308e-16
650,650,0.00000000000000000e+00,2.11001200751238135e-15,0.00000000000000000e+00,7.42229338513906113e-16,1.18189399684143035e-15,2.23865351054851516e-16,nan,2.22044604925031308e-16
655,655,0.00000000000000000e+00,2.12712769255681488e-15,0.00000000000000000e+00,1.21061504024558013e-15,2.82674554694047599e-15,4.25423345223794183e-18,nan,0.00000000000000000e+00
660,660,0.00000000000000000e+00,1.98428811221902282e-15,0.00000000000000000e+00,5.51038495896007397e-16,1.62690514156575788e-15,3.15206887437790002e-16,nan,0.00000000000000000e+00
665,665,0.00000000000000000e+00,2.18329394419470407e-15,0.00000000000000000e+00,7.76417089973926011e-16,1.96304661866182491e-15,6.28356521654458703e-16,nan,2.22044604925031308e-16
670,670,0.00000000000000000e+00,2.10719123818210634e-15,0.00000000000000000e+00,7.14207267866496121e-16,2.61462988401287515e-15,1.12736631872784557e-16,nan,0.00000000000000000e+00
675,675,0.00000000000000000e+00,2.17508445367992551e-15,0.00000000000000000e+00,1.01878593979130870e-15,1.91205091475208923e-15,3.14286903412274980e-16,nan,0.00000000000000000e+00
680,680,0.00000000000000000e+00,2.23011775830189924e-15,0.00000000000000000e+00,1.72580201386579156e-15,1.64362701592724446e-15,1.12375867451092762e-16,nan,2.22044604925031308e-16
685,685,0.00000000000000000e+00,2.15209959580282698e-15,0.00000000000000000e+00,3.05113053422352327e-16,7.89793763711760632e-16,2.22055211670261582e-16,nan,2.22044604925031308e-16
690,690,0.00000000000000000e+00,2.17363590970030218e-15,0.00000000000000000e+00,2.84428156634211505e-16,1.58930613694929452e-15,3.14035456493008553e-16,nan,2.22044604925031308e-16
695,695,0.00000000000000000e+00,1.96905248982289468e-15,0.00000000000000000e+00,5.83070043841919964e-16,8.25145661765925385e-16,1.15883623071395038e-16,nan,2.22044604925031308e-16
700,700,0.00000000000000000e+00,2.18437220527912111e-15,0.00000000000000000e+00,5.69092221786051731e-16,1.33856166449249314e-15,8.88261931757012943e-16,nan,2.22044604925031308e-16
705,705,0.00000000000000000e+00,2.22716312832514448e-15,0.00000000000000000e+00,1.72434030702721956e-15,2.94887420831921841e-15,2.00032243693257977e-17,nan,2.22044604925031308e-16
710,710,0.00000000000000000e+00,2.07923658744273665e-15,0.00000000000000000e+00,3.88681507800820383e-16,1.22795522841006584e-15,1.13395067420182417e-16,nan,2.22044604925031308e-16
715,715,0.00000000000000000e+00,2.17702685563672037e-15,0.00000000000000000e+00,1.07314714356356891e-15,1.29771906292132004e-15,1.62124704686381710e-18,nan,4.44089209850062616e-16
720,720,0.00000000000000000e+00,2.14997309261660778e-15,0.00000000000000000e+00,9.41602373948823638e-16,1.18960196240152973e-15,4.97350462831029900e-16,nan,4.44089209850062616e-16
725,725,0.00000000000000000e+00,2.02626312432005016e-15,0.00000000000000000e+00,8.48620038875331425e-16,1.15551538081645204e-15,2.48675887656846927e-16,nan,2.22044604925031308e-16
730,730,0.00000000000000000e+00,2.05063891166834095e-15,0.00000000000000000e+00,3.82443298196525433e-16,1.11021186381050406e-15,4.00339237942550724e-16,nan,4.44089209850062616e-16
735,735,0.00000000000000000e+00,2.16207669433280435e-15,0.00000000000000000e+00,1.16691230170341422e-15,1.52143123638267213e-15,1.11193907697169374e-16,nan,2.22044604925031308e-16
740,740,0.00000000000000000e+00,2.14798729134456975e-15,0.00000000000000000e+00,4.91406111445984152e-16,2.19424302287277561e-15,4.44293839355061803e-16,nan,2.22044604925031308e-16
745,745,0.00000000000000000e+00,2.07705546339597471e-15,0.00000000000000000e+00,3.90055913491899915e-16,2.15884373867186817e-15,2.22502251529156334e-16,nan,0.00000000000000000e+00
750,750,0.00000000000000000e+00,2.20511650182701928e-15,0.00000000000000000e+00,4.17165501851197999e-16,2.26347209688011201e-15,4.96511100398733842e-16,nan,4.44089209850062616e-16
755,755,0.00000000000000000e+00,2.23489356677853825e-15,0.00000000000000000e+00,5.76554826121187386e-16,2.67186482547808394e-15,2.48356527137759648e-16,nan,0.00000000000000000e+00
