case_id,candidate_kind,epsilon,phi_over_pi,s0,stability_gain,pre_steps,C_mode,S_start,Q_start,C_sign_start,g_D,D_gain,baseline_outcome,baseline_phase_after,baseline_S_mean_after,D_outcome,phase_after_D,S_mean_after_D,S_amp_after_D,Q_max_error_after_D,D_selected,D_induced_selection
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.0225,unresolved,unstable_or_drifting,-0.019806281162677075,unresolved,unstable_or_drifting,-0.025996501780285612,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.025,unresolved,unstable_or_drifting,-0.019806281162677075,unresolved,natural_selection,0.9610155124095106,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.0275,unresolved,unstable_or_drifting,-0.019806281162677075,unresolved,unstable_or_drifting,-0.7172683033896147,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.03,unresolved,unstable_or_drifting,-0.019806281162677075,unresolved,unstable_or_drifting,0.6018878399373684,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.0325,unresolved,unstable_or_drifting,-0.019806281162677075,unresolved,unstable_or_drifting,-0.6696517313308081,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.035,unresolved,unstable_or_drifting,-0.019806281162677075,unresolved,unstable_or_drifting,0.8854323376280059,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.0375,unresolved,unstable_or_drifting,-0.019806281162677075,unresolved,unstable_or_drifting,0.7882952882636785,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.04,unresolved,unstable_or_drifting,-0.019806281162677075,unresolved,unstable_or_drifting,0.7656436865329951,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.045,unresolved,unstable_or_drifting,-0.019806281162677075,unresolved,unstable_or_drifting,0.8682777835698502,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.05,unresolved,unstable_or_drifting,-0.019806281162677075,unresolved,unstable_or_drifting,0.90610597259686,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.055,unresolved,unstable_or_drifting,-0.019806281162677075,unresolved,unstable_or_drifting,0.9284087819503875,0.0,4.440892098500626e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.06,unresolved,unstable_or_drifting,-0.019806281162677075,unresolved,unstable_or_drifting,0.9432789745875754,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.065,unresolved,unstable_or_drifting,-0.019806281162677075,white_selected,natural_selection,0.9538703449625697,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.07,unresolved,unstable_or_drifting,-0.019806281162677075,white_selected,natural_selection,0.9617475645760287,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.0725,unresolved,unstable_or_drifting,-0.019806281162677075,white_selected,natural_selection,0.964959699772018,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.075,unresolved,unstable_or_drifting,-0.019806281162677075,white_selected,natural_selection,0.9677926705721093,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.0775,unresolved,unstable_or_drifting,-0.019806281162677075,white_selected,natural_selection,0.9703053069316823,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.08,unresolved,unstable_or_drifting,-0.019806281162677075,white_selected,natural_selection,0.9725450880433377,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.0825,unresolved,unstable_or_drifting,-0.019806281162677075,white_selected,natural_selection,0.9745507580047117,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.085,unresolved,unstable_or_drifting,-0.019806281162677075,white_selected,natural_selection,0.9763542431584742,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.0875,unresolved,unstable_or_drifting,-0.019806281162677075,white_selected,natural_selection,0.9779820820169552,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.09,unresolved,unstable_or_drifting,-0.019806281162677075,white_selected,natural_selection,0.979456507986198,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.095,unresolved,unstable_or_drifting,-0.019806281162677075,white_selected,natural_selection,0.9820173294497038,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.1,unresolved,unstable_or_drifting,-0.019806281162677075,white_selected,natural_selection,0.9841557721757919,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.12,unresolved,unstable_or_drifting,-0.019806281162677075,white_selected,natural_selection,0.98994794664769,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.15,unresolved,unstable_or_drifting,-0.019806281162677075,white_selected,natural_selection,0.9943522300091483,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.2,unresolved,unstable_or_drifting,-0.019806281162677075,white_selected,natural_selection,0.9974665558537763,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.3,unresolved,unstable_or_drifting,-0.019806281162677075,white_selected,natural_selection,0.9993552455466741,0.0,4.440892098500626e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.5,unresolved,unstable_or_drifting,-0.019806281162677075,white_selected,natural_selection,0.9999946542329295,0.0,4.440892098500626e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.75,unresolved,unstable_or_drifting,-0.019806281162677075,white_selected,natural_selection,0.9999999999989999,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,1.0,unresolved,unstable_or_drifting,-0.019806281162677075,white_selected,natural_selection,0.9999999999989999,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,2,record_only,0.019984002133219436,1.0,gray,1.0,0.0,unresolved,unstable_or_drifting,-0.019746785550474877,unresolved,unstable_or_drifting,-0.019746785550474877,0.0,4.440892098500626e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,2,record_only,0.019984002133219436,1.0,gray,1.0,0.005,unresolved,unstable_or_drifting,-0.019746785550474877,unresolved,unstable_or_drifting,-0.9139823161744846,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,2,record_only,0.019984002133219436,1.0,gray,1.0,0.01,unresolved,unstable_or_drifting,-0.019746785550474877,unresolved,unstable_or_drifting,-0.02620535167583954,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,2,record_only,0.019984002133219436,1.0,gray,1.0,0.015,unresolved,unstable_or_drifting,-0.019746785550474877,unresolved,natural_selection,0.994388842890774,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,2,record_only,0.019984002133219436,1.0,gray,1.0,0.02,unresolved,unstable_or_drifting,-0.019746785550474877,unresolved,unstable_or_drifting,-0.8391200979004603,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,2,record_only,0.019984002133219436,1.0,gray,1.0,0.0225,unresolved,unstable_or_drifting,-0.019746785550474877,unresolved,unstable_or_drifting,-0.04779177195944699,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,2,record_only,0.019984002133219436,1.0,gray,1.0,0.025,unresolved,unstable_or_drifting,-0.019746785550474877,unresolved,natural_selection,0.9570645873406,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,2,record_only,0.019984002133219436,1.0,gray,1.0,0.0275,unresolved,unstable_or_drifting,-0.019746785550474877,unresolved,unstable_or_drifting,-0.7125117444275625,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,2,record_only,0.019984002133219436,1.0,gray,1.0,0.03,unresolved,unstable_or_drifting,-0.019746785550474877,unresolved,unstable_or_drifting,0.5969208779480224,0.0,8.881784197001252e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,2,record_only,0.019984002133219436,1.0,gray,1.0,0.0325,unresolved,unstable_or_drifting,-0.019746785550474877,unresolved,unstable_or_drifting,-0.6665411568560878,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,2,record_only,0.019984002133219436,1.0,gray,1.0,0.035,unresolved,unstable_or_drifting,-0.019746785550474877,unresolved,unstable_or_drifting,0.8823976391911481,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,2,record_only,0.019984002133219436,1.0,gray,1.0,0.0375,unresolved,unstable_or_drifting,-0.019746785550474877,unresolved,unstable_or_drifting,0.7864800988700096,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,2,record_only,0.019984002133219436,1.0,gray,1.0,0.04,unresolved,unstable_or_drifting,-0.019746785550474877,unresolved,unstable_or_drifting,0.7656436753872699,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,2,record_only,0.019984002133219436,1.0,gray,1.0,0.045,unresolved,unstable_or_drifting,-0.019746785550474877,unresolved,unstable_or_drifting,0.8682777835698481,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,2,record_only,0.019984002133219436,1.0,gray,1.0,0.05,unresolved,unstable_or_drifting,-0.019746785550474877,unresolved,unstable_or_drifting,0.9061059725968597,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,2,record_only,0.019984002133219436,1.0,gray,1.0,0.055,unresolved,unstable_or_drifting,-0.019746785550474877,unresolved,unstable_or_drifting,0.9284087819503875,0.0,4.440892098500626e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,2,record_only,0.019984002133219436,1.0,gray,1.0,0.06,unresolved,unstable_or_drifting,-0.019746785550474877,unresolved,unstable_or_drifting,0.9432789745875745,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,2,record_only,0.019984002133219436,1.0,gray,1.0,0.065,unresolved,unstable_or_drifting,-0.019746785550474877,white_selected,natural_selection,0.9538703449625697,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,2,record_only,0.019984002133219436,1.0,gray,1.0,0.07,unresolved,unstable_or_drifting,-0.019746785550474877,white_selected,natural_selection,0.9617475645760287,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,2,record_only,0.019984002133219436,1.0,gray,1.0,0.0725,unresolved,unstable_or_drifting,-0.019746785550474877,white_selected,natural_selection,0.964959699772018,0.0,6.661338147750939e-16,True,True
