j,branch_id,sigma,sigma_over_sigma1,N_sigma_over_sigma1,N2_sigma_over_sigma1,delta,E_j,occupation_fraction,solver_residual
25,26,1.86852989514096102e+01,4.79500413924811686e-01,1.91800165569924665e+01,7.67200662279698690e+02,9.99983438485114506e-01,2.46830447527118604e-06,2.46830447527118562e-06,2.78238799459774227e-15
26,25,1.86739750097252255e+01,4.79209819980393470e-01,1.91683927992157379e+01,7.66735711968629516e+02,9.99975014578423860e-01,1.37652557412375352e-06,1.37652557412375330e-06,1.53202991007337884e-15
27,28,1.86467269180357746e+01,4.78510581970997495e-01,1.91404232788399007e+01,7.65616931153595942e+02,9.99991330728132177e-01,4.14882067436701452e-06,4.14882067436701368e-06,1.88595329005964381e-15
28,27,1.86027119323684076e+01,4.77381073478718054e-01,1.90952429391487222e+01,7.63809717565948858e+02,9.99969236055047617e-01,2.33087692395775649e-06,2.33087692395775607e-06,1.49793327358217011e-15
29,29,1.85685966839672218e+01,4.76505611128768214e-01,1.90602244451507303e+01,7.62408977806029156e+02,9.99969074932934521e-01,1.62204148049501771e-06,1.62204148049501728e-06,2.06223929196836720e-15
30,30,1.85080480166091803e+01,4.74951816825756212e-01,1.89980726730302472e+01,7.59922906921209915e+02,9.99895757137227448e-01,5.35732032398330918e-06,5.35732032398330834e-06,1.97002686558427097e-15
31,31,1.84652418608720410e+01,4.73853329215369878e-01,1.89541331686147956e+01,7.58165326744591766e+02,9.99954114963414020e-01,4.52829657509302146e-06,4.52829657509302061e-06,1.28632429133402116e-15
32,32,1.84180401391559663e+01,4.72642042997275191e-01,1.89056817198910068e+01,7.56227268795640271e+02,9.99804117183611840e-01,9.21314531224127096e-07,9.21314531224126884e-07,2.80129044724446717e-15
33,33,1.83767064889517293e+01,4.71581342687716565e-01,1.88632537075086617e+01,7.54530148300346468e+02,9.99929372239477976e-01,2.17081864178381401e-06,2.17081864178381358e-06,1.96464459316724446e-15
34,34,1.83414097053391316e+01,4.70675559890424033e-01,1.88270223956169609e+01,7.53080895824678464e+02,9.99953272436038154e-01,9.43384317866730815e-07,9.43384317866730603e-07,1.73113934297693395e-15
35,36,1.82724946031125270e+01,4.68907066909430847e-01,1.87562826763772321e+01,7.50251307055089342e+02,9.99897339575424371e-01,8.14713225931415660e-07,8.14713225931415448e-07,1.85495833888184368e-15
36,35,1.82584861196455392e+01,4.68547582502018001e-01,1.87419033000807218e+01,7.49676132003228759e+02,9.99962280304851792e-01,2.26760771844023685e-06,2.26760771844023642e-06,1.86851262850325790e-15
37,37,1.82084283685737454e+01,4.67263005122684205e-01,1.86905202049073687e+01,7.47620808196294774e+02,9.99934809592516349e-01,3.04779293311180449e-06,3.04779293311180364e-06,1.19936432415242086e-15
38,38,1.81444532098372839e+01,4.65621280514755209e-01,1.86248512205902088e+01,7.44994048823608296e+02,9.99946268872128008e-01,5.16399992069381459e-06,5.16399992069381374e-06,1.85268225153350177e-15
39,39,1.80532179397104571e+01,4.63280009448976793e-01,1.85312003779590704e+01,7.41248015118362900e+02,9.99949754584744666e-01,1.12605761639979203e-06,1.12605761639979182e-06,1.78821443356927799e-15
