j,branch_id,sigma,sigma_over_sigma1,N_sigma_over_sigma1,N2_sigma_over_sigma1,delta,E_j,occupation_fraction,solver_residual
16,16,1.89003210414929654e+01,4.85811200637802976e-01,1.94324480255121195e+01,7.77297921020484750e+02,1.00000000000000000e+00,1.03509706714199612e-31,1.03509706714199568e-31,3.28337286432602941e-15
17,17,1.88915747300398600e+01,4.85586386675179948e-01,1.94234554670071979e+01,7.76938218680287946e+02,1.00000000000000000e+00,3.02034339686720526e-32,3.02034339686720416e-32,2.00855031683477156e-15
18,18,1.88530211005525317e+01,4.84595409591295212e-01,1.93838163836518085e+01,7.75352655346072311e+02,1.00000000000000000e+00,3.63258223217660154e-31,3.63258223217659978e-31,2.89151660867863739e-15
19,19,1.88235022406022239e+01,4.83836660956156406e-01,1.93534664382462580e+01,7.74138657529850207e+02,1.00000000000000000e+00,2.62785200447298528e-32,2.62785200447298418e-32,1.78169261928028264e-15
20,20,1.88205061505865849e+01,4.83759649878697906e-01,1.93503859951479171e+01,7.74015439805916685e+02,1.00000000000000000e+00,1.07868298707726555e-31,1.07868298707726512e-31,1.92685293941570296e-15
21,21,1.87754575480064467e+01,4.82601726917576468e-01,1.93040690767030583e+01,7.72162763068122331e+02,1.00000000000000000e+00,1.35468859045259833e-31,1.35468859045259767e-31,2.08318404097290030e-15
22,22,1.87634632657401710e+01,4.82293427568810051e-01,1.92917371027524034e+01,7.71669484110096050e+02,1.00000000000000000e+00,5.42158772380244744e-31,5.42158772380244481e-31,1.84984938585533228e-15
23,23,1.87314537318249705e+01,4.81470658999479328e-01,1.92588263599791745e+01,7.70353054399166922e+02,1.00000000000000000e+00,1.13692760368593311e-30,1.13692760368593258e-30,1.31342663916460709e-15
24,24,1.86963764817193194e+01,4.80569038283540806e-01,1.92227615313416322e+01,7.68910461253665289e+02,1.00000000000000000e+00,2.51973444218816685e-32,2.51973444218816576e-32,1.56957772187641588e-15
25,25,1.86722921556683232e+01,4.79949978145371714e-01,1.91979991258148672e+01,7.67919965032594746e+02,1.00000000000000000e+00,1.92433503365204017e-31,1.92433503365203930e-31,2.26371261820615769e-15
26,26,1.86443410690763010e+01,4.79231527336700769e-01,1.91692610934680303e+01,7.66770443738721269e+02,1.00000000000000000e+00,8.86013938154043766e-32,8.86013938154043328e-32,1.24929027503133295e-15
27,27,1.85717639197246882e+01,4.77366014471180100e-01,1.90946405788472049e+01,7.63785623153888196e+02,1.00000000000000000e+00,2.49453772077829112e-31,2.49453772077828981e-31,1.59224389461589387e-15
28,28,1.85537634853302009e+01,4.76903333830677234e-01,1.90761333532270889e+01,7.63045334129083585e+02,1.00000000000000000e+00,3.52454959935863003e-31,3.52454959935862827e-31,1.72184843817653682e-15
29,29,1.85459432915587570e+01,4.76702324667024113e-01,1.90680929866809663e+01,7.62723719467238539e+02,1.00000000000000000e+00,5.59393734451795817e-31,5.59393734451795555e-31,1.72768194296467590e-15
30,30,1.85214251461248161e+01,4.76072113696293764e-01,1.90428845478517488e+01,7.61715381914070008e+02,1.00000000000000000e+00,1.78306506296569832e-32,1.78306506296569750e-32,1.57580239001173357e-15
31,31,1.84472986890922748e+01,4.74166777643485582e-01,1.89666711057394224e+01,7.58666844229576895e+02,1.00000000000000000e+00,3.07183569180610540e-31,3.07183569180610408e-31,1.67005596707184486e-15
32,32,1.83548520353172542e+01,4.71790541823639276e-01,1.88716216729455724e+01,7.54864866917822837e+02,1.00000000000000000e+00,5.05353484977827320e-32,5.05353484977827101e-32,1.44222648591582098e-15
33,33,1.82934653246886469e+01,4.70212666425215198e-01,1.88085066570086070e+01,7.52340266280344281e+02,1.00000000000000000e+00,1.59382269762455858e-31,1.59382269762455792e-31,1.79334997840081195e-15
34,34,1.82871373894860234e+01,4.70050014066475064e-01,1.88020005626590034e+01,7.52080022506360137e+02,1.00000000000000000e+00,1.14873222358542173e-31,1.14873222358542130e-31,1.61294524350000641e-15
35,35,1.82249626813474030e+01,4.68451884090597015e-01,1.87380753636238815e+01,7.49523014544955231e+02,1.00000000000000000e+00,6.79826939295235837e-32,6.79826939295235508e-32,1.19872154940136600e-15
36,36,1.81908082972765115e+01,4.67573984593752601e-01,1.87029593837501054e+01,7.48118375350004158e+02,1.00000000000000000e+00,3.39198592758165344e-31,3.39198592758165213e-31,2.04345089838063180e-15
37,37,1.81206916826884097e+01,4.65771716968619576e-01,1.86308686787447826e+01,7.45234747149791360e+02,1.00000000000000000e+00,6.41363447582657669e-31,6.41363447582657406e-31,1.92798834113599313e-15
38,38,1.80682530668582118e+01,4.64423842143619203e-01,1.85769536857447690e+01,7.43078147429790761e+02,1.00000000000000000e+00,2.37239398357530854e-31,2.37239398357530767e-31,1.63432574671301328e-15
39,39,1.80320648830619135e+01,4.63493666143942495e-01,1.85397466457576989e+01,7.41589865830307986e+02,1.00000000000000000e+00,8.35770841061762471e-32,8.35770841061762143e-32,1.41355322063516484e-15
