j,branch_id,sigma,sigma_over_sigma1,N_sigma_over_sigma1,N2_sigma_over_sigma1,delta,E_j,occupation_fraction,solver_residual
23,26,1.87811272688370856e+01,4.81571365031236764e-01,1.92628546012494724e+01,7.70514184049978780e+02,9.99286225956321661e-01,5.53056631127595017e-08,5.53056631127595414e-08,1.38265616084593437e-15
24,24,1.87623710979019371e+01,4.81090433577511634e-01,1.92436173431004640e+01,7.69744693724018589e+02,9.98869369947798069e-01,9.66191754730569088e-09,9.66191754730569750e-09,1.39106812670101730e-15
25,23,1.87374165580252097e+01,4.80450568266971856e-01,1.92180227306788751e+01,7.68720909227154948e+02,9.99191070584793062e-01,7.06423267731988814e-08,7.06423267731989344e-08,1.88682392770276984e-15
26,25,1.86948772752892189e+01,4.79359808369475615e-01,1.91743923347790250e+01,7.66975693391161030e+02,9.98514834368292581e-01,2.47516358792332538e-08,2.47516358792332704e-08,1.38635613573892879e-15
27,27,1.86480206396081378e+01,4.78158346195096395e-01,1.91263338478038563e+01,7.65053353912154193e+02,9.99705422466270699e-01,5.81580326315159296e-08,5.81580326315159693e-08,1.24685632290614048e-15
28,28,1.86269007984463997e+01,4.77616807309175662e-01,1.91046722923670274e+01,7.64186891694681094e+02,9.99680154184171665e-01,1.71983060550571262e-08,1.71983060550571361e-08,1.89120936172801789e-15
29,29,1.85653538887928917e+01,4.76038668315118929e-01,1.90415467326047576e+01,7.61661869304190304e+02,9.99571477936871400e-01,1.72161966121059999e-08,1.72161966121060099e-08,1.75427888899648608e-15
30,30,1.85301371387887954e+01,4.75135667226383618e-01,1.90054266890553443e+01,7.60217067562213742e+02,9.99089931060169190e-01,7.27067456092232777e-08,7.27067456092233306e-08,1.55114837545378441e-15
31,31,1.84939632157884581e+01,4.74208123036492957e-01,1.89683249214597183e+01,7.58732996858388788e+02,9.98695815497263717e-01,1.08703102672827076e-08,1.08703102672827142e-08,1.63136247220941608e-15
32,33,1.84571560722560761e+01,4.73264342287868733e-01,1.89305736915147484e+01,7.57222947660589966e+02,9.98803226985031323e-01,9.12597621697218526e-08,9.12597621697219188e-08,1.64587688137637256e-15
33,32,1.84081240117312888e+01,4.72007099526067342e-01,1.88802839810426946e+01,7.55211359241707783e+02,9.99071593264648450e-01,1.51103196156160982e-09,1.51103196156161086e-09,1.22207731647669143e-15
34,34,1.83386535095706726e+01,4.70225789806154815e-01,1.88090315922461926e+01,7.52361263689847647e+02,9.98884474810465495e-01,2.59216810426968725e-08,2.59216810426968891e-08,1.59912795707203092e-15
35,36,1.83028824305986895e+01,4.69308575036104181e-01,1.87723430014441668e+01,7.50893720057766700e+02,9.99303209245864354e-01,2.21617638095605843e-08,2.21617638095605975e-08,1.83588862375543800e-15
36,35,1.82630601713921266e+01,4.68287482987143289e-01,1.87314993194857315e+01,7.49259972779429290e+02,9.98742208911911011e-01,2.51062919148922119e-09,2.51062919148922284e-09,1.53069911221021605e-15
37,38,1.82529068576320377e+01,4.68027139446681284e-01,1.87210855778672496e+01,7.48843423114690040e+02,9.99125856352640951e-01,1.30143539554193295e-08,1.30143539554193377e-08,1.64135004534096356e-15
38,37,1.81439557774259370e+01,4.65233498805976087e-01,1.86093399522390435e+01,7.44373598089561710e+02,9.99638831169779030e-01,3.58437163171366946e-08,3.58437163171367210e-08,2.03353800884420189e-15
39,39,1.80598200351449414e+01,4.63076154165358911e-01,1.85230461666143569e+01,7.40921846664574218e+02,9.98828895383578996e-01,8.55344167612252047e-08,8.55344167612252576e-08,1.29624097113143634e-15
