関係ID,関係辺,周波数セル,符号付き倍数k,成分種別,振幅,強度,関係内強度比,絶対位相度,絶対位相セル,絶対位相セル誤差度,同周波数基準関係への相対位相度,相対位相セル
3,"(1,4)",2,2,倍音,0.4969151901222375,0.24692470617421944,0.025614294099286505,150.39610285803334,60,0.3961028580333322,-105.40747555500414,102
4,"(1,5)",2,2,倍音,1.4524887214193447,2.109723485850403,0.4357062022797908,-104.19642158696253,102,0.8035784130374681,-5.253199787418754e-15,0
5,"(2,3)",2,2,倍音,0.5152520180718584,0.2654846421271227,0.01044771837720907,-3.9844674867410097,142,1.0155325132589632,100.21195410022152,40
6,"(2,4)",2,2,倍音,0.5013413022784116,0.25134310137021365,0.016663053595447286,23.003907396968266,9,0.5039073969682655,127.2003289839308,51
7,"(2,5)",2,2,倍音,0.857537777712925,0.735371040204822,0.03268411351591378,-129.75725047731478,92,0.24274952268522176,-25.560828890352244,134
8,"(3,4)",2,2,倍音,1.113052222091277,1.2388852491023297,0.22577380383539827,107.13797574580337,43,-0.36202425419662576,-148.6656026672341,85
9,"(3,5)",2,2,倍音,0.7156850764522957,0.5122051286565283,0.05034536124176786,9.439207833555171,4,-0.5607921664448294,113.6356294205177,45
10,"(4,5)",2,2,倍音,0.6825674136837947,0.4658982742229845,0.026222997890374612,-25.63510921192045,134,-0.6351092119204446,78.56131237504208,31
1,"(1,2)",3,3,倍音,0.049808588905464406,0.0024808955287535517,0.0001694514132318684,-44.30702544744373,126,0.69297455255625,33.6481896819101,13
2,"(1,3)",3,3,倍音,0.13544426443389526,0.018345148768038944,0.0009940374635413116,82.52117128799671,33,0.021171287996718136,160.47638641735054,64
3,"(1,4)",3,3,倍音,0.1390656500245989,0.01933925501676422,0.002006123135005353,131.27438385533415,53,-1.2256161446658436,-150.77040101531202,84
4,"(1,5)",3,3,倍音,0.6102456742200133,0.3723997829042386,0.07690908132144182,-77.95521512935382,113,-0.45521512935377717,-6.781060623064062e-15,0
5,"(2,3)",3,3,倍音,0.32189619455325447,0.10361716006786666,0.004077685619633312,-20.78045260804738,136,-0.7804526080473587,57.17476252130643,23
6,"(2,4)",3,3,倍音,0.09309117782611846,0.00866596738905401,0.0005745193652540733,-29.4237989652055,132,0.5762010347945361,48.53141616414832,19
7,"(2,5)",3,3,倍音,0.3086718187463226,0.09527829168816264,0.004234714628238405,-129.1932786676482,92,0.8067213323517681,-51.238063538294405,124
8,"(3,4)",3,3,倍音,0.5466361747892825,0.298811107588259,0.0544551809276545,85.35567779192222,34,0.35567779192222215,163.310892921276,65
9,"(3,5)",3,3,倍音,0.21395194987610797,0.045775436855788616,0.004499331958172963,-8.179824451231095,141,-0.6798244512311192,69.77539067812272,28
10,"(4,5)",3,3,倍音,0.46706973179469313,0.21815413435876657,0.01227876496131527,-25.3543236021149,134,-0.35432360211487596,52.600891527238915,21
1,"(1,2)",4,4,倍音,0.08862027668693093,0.007853553440068193,0.0005364174806587578,-96.46076085596154,105,1.0392391440384718,-79.10891094426404,112
2,"(1,3)",4,4,倍音,0.05824603700234291,0.0033926008264782994,0.00018382910724801637,55.564141350949164,22,0.5641413509491623,72.91599126264666,29
3,"(1,4)",4,4,倍音,0.12566395217559354,0.01579142887638986,0.0016380957165235104,121.53503834135407,49,-0.9649616586459189,138.88688825305155,56
4,"(1,5)",4,4,倍音,0.25076088868446184,0.06288102329382106,0.012986370981111862,-84.84951972926268,110,0.15048027073731862,-67.4976698175652,117
5,"(2,3)",4,4,倍音,0.21597842466873135,0.046646679922386865,0.0018357045859833613,-22.279776542273865,135,0.22022345772617127,-4.927926630576375,142
6,"(2,4)",4,4,倍音,0.09780199140600006,0.009565229522979309,0.0006341368882824151,22.729158169640968,9,0.22915816964096752,40.08100808133846,16
7,"(2,5)",4,4,倍音,0.23355704729314475,0.05454889434029225,0.002424466231753041,-135.12789355828494,90,-0.12789355828493262,-117.77604364658744,97
8,"(3,4)",4,4,倍音,0.2559095491309092,0.06548969733638522,0.011934808401648308,88.11869024145993,35,0.6186902414599232,105.47054015315742,42
9,"(3,5)",4,4,倍音,0.12927863884681132,0.016712966462084273,0.00164274093889329,-4.27932188231998,142,0.7206781176800041,13.072528029377509,5
10,"(4,5)",4,4,倍音,0.2974138096357427,0.0884549741620458,0.004978671802794232,-17.35184991169749,137,0.14815008830253215,-4.218852273228355e-16,0
1,"(1,2)",5,5,倍音,0.07024369361573295,0.004934176492780961,0.00033701668214028814,-89.1614989200514,108,0.8385010799486108,-66.21632714987864,118
2,"(1,3)",5,5,倍音,0.04466979013454731,0.0019953901506645005,0.00010812082197978746,67.34009587680498,27,-0.15990412319502467,90.28526764697773,36
3,"(1,4)",5,5,倍音,0.09238367063887014,0.008534742600711236,0.0008853363052382622,126.39741994724773,51,-1.1025800527522789,149.34259171742048,60
4,"(1,5)",5,5,倍音,0.21467497346054526,0.04608534423028581,0.00951767871477282,-98.09644295112393,105,-0.5964429511239527,-75.15127118095117,114
5,"(2,3)",5,5,倍音,0.16884536370819567,0.028508756845752877,0.001121915981362629,-24.4924329570856,134,0.5075670429144271,-1.5472611869128374,143
6,"(2,4)",5,5,倍音,0.07166395706568873,0.005135722742312878,0.00034047810677909703,25.470177780181494,10,0.4701777801814945,48.41534955035426,19
7,"(2,5)",5,5,倍音,0.1786680465502314,0.03192227085807566,0.0014188091009410542,-132.92119114988475,91,-0.42119114988476025,-109.976019379712,100
8,"(3,4)",5,5,倍音,0.17156386303498672,0.029434159099487683,0.005364065854688961,103.12631985612643,41,0.6263198561264284,126.07149162629919,50
9,"(3,5)",5,5,倍音,0.09785269489038202,0.009575149897310196,0.000941154927106203,-7.439991824441315,141,0.060008175558656764,15.505179945731447,6
10,"(4,5)",5,5,倍音,0.21532984897359028,0.0463669438589892,0.0026097548290454856,-22.945171770172767,135,-0.4451717701727279,-4.366861520492022e-16,0
1,"(1,2)",6,6,倍音,0.056668803925943395,0.0032113533383970176,0.00021934352143060756,-90.56564772474212,108,-0.5656477247421345,-0.6359953945433833,0
2,"(1,3)",6,6,倍音,0.04004268838380158,0.001603416893002238,8.688163184024237e-05,73.42306587529245,29,0.9230658752924534,163.3527182054912,65
3,"(1,4)",6,6,倍音,0.06433101178505354,0.004138479077288698,0.0004292977476892269,127.18920151590821,51,-0.31079848409180255,-142.88114615389307,87
4,"(1,5)",6,6,倍音,0.18433802939830077,0.0339805090824488,0.007017753114636151,-89.92965233019873,108,0.0703476698012735,3.1420789347152068e-15,0
5,"(2,3)",6,6,倍音,0.13851578440543325,0.019186622529452465,0.0007550584741604338,-24.65640764309736,134,0.3435923569026449,65.27324468710137,26
6,"(2,4)",6,6,倍音,0.05879884639511162,0.0034573043373959307,0.00022920560443370083,20.4283363560289,8,0.4283363560289022,110.35798868622764,44
7,"(2,5)",6,6,倍音,0.1450376900138584,0.021035931524556083,0.0009349576421585495,-129.92248720249117,92,0.07751279750884962,-39.99283487229245,128
8,"(3,4)",6,6,倍音,0.14763647758219456,0.021796529512877836,0.003972188208793886,104.99705075895433,42,-0.002949241045658614,-165.07329691084695,78
9,"(3,5)",6,6,倍音,0.08073424174741911,0.00651801779053071,0.0006406651200569851,-8.131094396491097,141,-0.6310943964911135,81.79855793370764,33
10,"(4,5)",6,6,倍音,0.1754756674107031,0.030791709853231694,0.0017331056739134133,-23.041919948772488,135,-0.5419199487724862,66.88773238142625,27
1,"(1,2)",7,7,倍音,0.04848580428312242,0.0023508732169812527,0.0001605705618513348,-91.90458425179318,107,0.595415748206839,-71.86110401438296,115
2,"(1,3)",7,7,倍音,0.03292789064533496,0.0010842459823511377,5.8750198201112496e-05,68.13820092864435,27,0.6382009286443543,88.18168116605457,35
3,"(1,4)",7,7,倍音,0.054994542186649654,0.0030243996703191887,0.0003137307069414223,125.82297109808945,50,0.8229710980894687,145.86645133549968,58
4,"(1,5)",7,7,倍音,0.14372202416597246,0.02065602023036437,0.0042659411004086255,-85.77317842278418,110,-0.7731784227841613,-65.72969818537396,118
5,"(2,3)",7,7,倍音,0.11488143060935053,0.013197743098851022,0.0005193758177752728,-22.80332827800736,135,-0.30332827800735945,-2.759848040597136,143
6,"(2,4)",7,7,倍音,0.048796054718296435,0.00238105495607098,0.00015785452686157563,20.068880551445368,8,0.06888055144536985,40.1123607888556,16
7,"(2,5)",7,7,倍音,0.1211502344887748,0.014677379316685118,0.0006523470540382531,-129.09116783237752,92,0.9088321676224649,-109.0476875949673,100
8,"(3,4)",7,7,倍音,0.12213868032860324,0.014917857232412733,0.0027186225478716907,102.67480862928188,41,0.17480862928188431,122.71828886669212,49
9,"(3,5)",7,7,倍音,0.06796373436068179,0.004619069188249318,0.0004540147957774015,-7.519704125153149,141,-0.019704125153146197,12.523776112257078,5
10,"(4,5)",7,7,倍音,0.14706684554750446,0.02162865705929353,0.0012173649481389507,-20.043480237410225,136,-0.0434802374102062,2.8944160321055787e-15,0
1,"(1,2)",8,8,倍音,0.04324345836551984,0.001869996691410448,0.00012772548397377368,-89.90573267947042,108,0.09426732052957994,-71.01736340653144,116
2,"(1,3)",8,8,倍音,0.02796355604441805,0.0007819604666493092,4.2370765627797695e-05,65.48343483841197,26,0.48343483841196055,84.37180411135094,34
3,"(1,4)",8,8,倍音,0.049264680863543145,0.002427008780586754,0.000251761428213012,127.15928334182247,51,-0.34071665817753394,146.04765261476146,58
4,"(1,5)",8,8,倍音,0.12081999109487278,0.014597470248165137,0.0030147118176278667,-87.07080006882009,109,0.4291999311798863,-68.1824307958811,117
5,"(2,3)",8,8,倍音,0.09828824951431872,0.009660579992588974,0.00038017648898402577,-21.742204375633516,135,0.7577956243665089,-2.853835102694536,143
6,"(2,4)",8,8,倍音,0.04236165400271495,0.0017945097298457356,0.0001189688980638749,23.4907562234594,9,0.9907562234593996,42.37912549639838,17
7,"(2,5)",8,8,倍音,0.10522400405324334,0.01107209102899697,0.0004921073312180925,-128.4885677359061,93,-0.9885677359061039,-109.6001984629671,100
8,"(3,4)",8,8,倍音,0.09984785859916578,0.009969594866839005,0.001816853786430211,104.01430680533186,42,-0.9856931946681338,122.90267607827084,49
9,"(3,5)",8,8,倍音,0.05809297634354522,0.003374793900451704,0.000331713230752693,-7.097502749617581,141,0.4024972503824258,11.7908665233214,5
10,"(4,5)",8,8,倍音,0.12495348069852052,0.015613372338675541,0.0008787957641215991,-18.88836927293898,136,1.1116307270610242,3.190752114484328e-16,0
1,"(1,2)",9,9,倍音,0.03863870800399844,0.0014929497562182533,0.00010197222863409308,-88.02298135679608,109,-0.5229813567960737,-69.60249928458272,116
2,"(1,3)",9,9,倍音,0.02460782262084165,0.000605544934138806,3.2811636362432985e-05,67.60516223418097,27,0.10516223418096951,86.02564430639431,34
3,"(1,4)",9,9,倍音,0.04255583737383646,0.0018109992945884161,0.0001878607826000979,128.55818825335763,51,1.0581882533576128,146.97867032557096,59
4,"(1,5)",9,9,倍音,0.1082798950131637,0.011724535664061751,0.002421385049720465,-86.35915680844913,109,1.1408431915508959,-67.93867473623578,117
5,"(2,3)",9,9,倍音,0.0869602206417761,0.007562079974066382,0.00029759341738927085,-20.99880454227896,136,-0.9988045422789169,-2.578322470065613,143
6,"(2,4)",9,9,倍音,0.03737698136568875,0.0013970387360110437,9.261814311258718e-05,24.88150364438071,10,-0.11849635561928806,43.301985716594054,17
7,"(2,5)",9,9,倍音,0.09267504393529037,0.008588663768408,0.0003817295572021388,-127.08721771884541,93,0.41278228115460436,-108.66673564663205,101
8,"(3,4)",9,9,倍音,0.08584551811160468,0.007369452979849847,0.0013430052804748354,106.55202952045408,43,-0.9479704795459113,124.97251159266743,50
9,"(3,5)",9,9,倍音,0.051164098719626336,0.0026177649977916695,0.0002573037970267061,-6.487135390291486,141,1.0128646097085308,11.933346681921863,5
10,"(4,5)",9,9,倍音,0.10976911321823624,0.012049258216717965,0.0006781902622939277,-18.42048207221335,137,-0.9204820722133148,-1.2622643496447733e-15,0
1,"(1,2)",10,10,倍音,0.034939627428044975,0.0012207775648105928,8.338218244233982e-05,-87.37778830139548,109,0.12221169860451762,-70.2024919581083,116
2,"(1,3)",10,10,倍音,0.02210529285734469,0.0004886439723089742,2.6477322203840984e-05,69.03810244416105,28,-0.9618975558389381,86.21339878744826,34
3,"(1,4)",10,10,倍音,0.03742457320408553,0.0014005986795079565,0.00014528860658713115,129.184760308101,52,-0.815239691899014,146.3600566513882,59
4,"(1,5)",10,10,倍音,0.09615900196237796,0.00924655365840061,0.0019096250317629112,-84.27288078006393,110,0.7271192199360563,-67.09758443677673,117
5,"(2,3)",10,10,倍音,0.07782532891645186,0.0060567818209539175,0.00023835484505060653,-19.888633487153555,136,0.11136651284647871,-2.713337143866372,143
6,"(2,4)",10,10,倍音,0.03366612431231275,0.0011334079262120956,7.514046304441389e-05,25.32933672965447,10,0.32933672965447197,42.50463307294166,17
7,"(2,5)",10,10,倍音,0.08263349827654033,0.006828295037418994,0.0003034886579990857,-125.72365082681715,94,-0.7236508268171334,-108.54835448352996,101
8,"(3,4)",10,10,倍音,0.07666101679475426,0.0058769114960055945,0.0010710052962682166,107.89347570290228,43,0.3934757029022806,125.06877204618945,50
9,"(3,5)",10,10,倍音,0.045768575516615825,0.0020947625048201657,0.00020589714768670653,-5.559001323908152,142,-0.5590013239081566,11.61629501937903,5
10,"(4,5)",10,10,倍音,0.0981120260019069,0.009625969646198855,0.0005417959148830641,-17.175296343287183,137,0.32470365671286605,-1.39827237086621e-15,0
1,"(1,2)",11,11,倍音,0.03194330679174363,0.0010203748487914545,6.96941721850078e-05,-86.46849413779901,109,1.0315058622010056,-70.66510535492979,116
2,"(1,3)",11,11,倍音,0.020081096503180212,0.00040325043677003655,2.1850247518143337e-05,69.1754086711418,28,-0.8245913288582075,84.97879745401102,34
3,"(1,4)",11,11,倍音,0.03395149186999459,0.0011527038001983088,0.00011957367330757342,130.18306379695576,52,0.18306379695577324,145.986452579825,58
4,"(1,5)",11,11,倍音,0.08574209294683259,0.007351706502903279,0.001518295711328476,-83.09568201935988,111,-0.5956820193598462,-67.29229323649066,117
5,"(2,3)",11,11,倍音,0.07013826240029951,0.004919375852533268,0.00019359407416983526,-18.708028523852395,137,-1.2080285238523834,-2.9046397409831752,143
6,"(2,4)",11,11,倍音,0.03053978293372076,0.0009326783416387817,6.183288544350591e-05,26.5685208976766,11,-0.9314791023234009,42.37190968054582,17
7,"(2,5)",11,11,倍音,0.07473192489243509,0.005584860598128559,0.0002482232883537899,-124.59777306702732,94,0.4022269329726877,-108.79438428415811,100
8,"(3,4)",11,11,倍音,0.06885804561328392,0.004741430445681088,0.0008640758198695498,108.8419207972267,44,-1.1580792027732905,124.64530958009593,50
9,"(3,5)",11,11,倍音,0.04131418688154891,0.0017068620376835483,0.00016776986615193074,-4.562076532497791,142,0.4379234675021798,11.241312250371427,4
10,"(4,5)",11,11,倍音,0.08835228194872695,0.0078061257255473415,0.0004393663375860779,-15.803388782869218,138,-0.8033887828692235,-2.571418048998544e-16,0
1,"(1,2)",12,12,倍音,0.02937584657101017,0.00086294036176353,5.894100019161905e-05,-85.15752835308801,110,-0.1575283530880176,-70.47733038576973,116
2,"(1,3)",12,12,倍音,0.018371636169994918,0.00033751701556266554,1.828846210484071e-05,69.80143391576517,28,-0.19856608423481958,84.48163188308344,34
3,"(1,4)",12,12,倍音,0.031013640854301982,0.0009618459190396289,9.977537132755264e-05,131.4548887212361,53,-1.0451112787639059,146.13508668855434,58
4,"(1,5)",12,12,倍音,0.07809059452467981,0.006098140953217953,0.001259405724737645,-82.19952072709236,111,0.30047927290763954,-67.5193227597741,117
5,"(2,3)",12,12,倍音,0.06395647610191747,0.0040904308353751405,0.00016097228475080028,-17.60681145000146,137,-0.10681145000144494,-2.9266134826831975,143
6,"(2,4)",12,12,倍音,0.027889395213166433,0.0007778183653561907,5.1566281464645665e-05,28.036034391507812,11,0.5360343915078117,42.71623235882607,17
7,"(2,5)",12,12,倍音,0.06828652735145171,0.004663049817720563,0.00020725272174206103,-123.43046504888666,95,-0.9304650488866772,-108.75026708156841,100
8,"(3,4)",12,12,倍音,0.06212454430353201,0.0038594590049215115,0.0007033458029460625,110.1270849658363,44,0.12708496583630594,124.80728293315458,50
9,"(3,5)",12,12,倍音,0.03766079687437496,0.0014183356212129307,0.00013941019958024604,-3.5640320522918314,143,-1.0640320522918296,11.11616591502643,4
10,"(4,5)",12,12,倍音,0.08043685172304406,0.006470087115114976,0.0003641676523768281,-14.680197967318264,138,0.319802032681712,-2.718866408310012e-15,0
1,"(1,2)",13,13,倍音,0.027198517592004055,0.0007397593592025541,5.052742746138689e-05,-83.93459402507035,110,1.0654059749296336,-70.39487295238551,116
2,"(1,3)",13,13,倍音,0.016915365303242693,0.00028612958334214676,1.5504018466456086e-05,70.96633896274297,28,0.9663389627429753,84.50606003542782,34
3,"(1,4)",13,13,倍音,0.02841529341877263,0.0008074289000749431,8.375719720889685e-05,132.54120978376312,53,0.041209783763118284,146.08093085644796,58
4,"(1,5)",13,13,倍音,0.07181682045155477,0.0051576556997708555,0.0010651739873427295,-80.9293877214673,112,-0.9293877214672907,-67.38966664878244,117
5,"(2,3)",13,13,倍音,0.05889664663509239,0.00346881498485894,0.00013650959910176453,-16.46287058121411,137,1.0371294187859328,-2.923149508529267,143
6,"(2,4)",13,13,倍音,0.02572723689642462,0.0006618907183247523,4.388073694343893e-05,29.244276291099254,12,-0.7557237089007418,42.783997363784096,17
7,"(2,5)",13,13,倍音,0.06282843221660868,0.003947411894796991,0.00017544566131905064,-122.1826484465456,95,0.31735155345439037,-108.64292737386074,101
8,"(3,4)",13,13,倍音,0.056742919656864434,0.003219758931185372,0.0005867671940185269,111.52667891574478,45,-0.9733210842552141,125.06639998842962,50
9,"(3,5)",13,13,倍音,0.034644601737518266,0.0012002484295512536,0.00011797410331309508,-2.5106119040155637,143,-0.01061190401556894,11.02910916866928,4
10,"(4,5)",13,13,倍音,0.07398040538140936,0.005473100380397663,0.0003080524390615911,-13.539721072684843,139,-1.0397210726848625,-2.270145978341184e-15,0
1,"(1,2)",14,14,倍音,0.025357809283975102,0.0006430184916824538,4.391978254907008e-05,-82.8060620661894,111,-0.3060620661893603,-70.5000103813651,116
2,"(1,3)",14,14,倍音,0.015699102226272604,0.0002464618107109574,1.3354608146091809e-05,72.03376936871332,29,-0.466230631286671,84.3398210535376,34
3,"(1,4)",14,14,倍音,0.026270839917897273,0.0006901570299917848,7.159220887531165e-05,133.59776313680416,53,1.0977631368041476,145.90381482162843,58
4,"(1,5)",14,14,倍音,0.06626513148074473,0.004391067650160386,0.0009068560039439641,-79.62827124811403,112,0.3717287518859669,-67.32221956328975,117
5,"(2,3)",14,14,倍音,0.05455980648865739,0.0029767724840797406,0.00011714606290407667,-15.275973732999871,138,-0.27597373299990713,-2.9699220481755857,143
6,"(2,4)",14,14,倍音,0.023913088984266837,0.0005718358247694639,3.791045365472519e-05,30.423130694543396,12,0.4231306945433965,42.72918237936768,17
7,"(2,5)",14,14,倍音,0.0581982740136057,0.003387039098162733,0.00015053947506058328,-120.95121307030173,96,-0.9512130703016874,-108.64516138547744,101
8,"(3,4)",14,14,倍音,0.05236887036597734,0.0027424985834085393,0.0004997915163151593,112.82199653123682,45,0.3219965312368247,125.1280482160611,50
9,"(3,5)",14,14,倍音,0.03208532244238887,0.0010294679162320627,0.00010118784687973785,-1.4068424113025144,143,1.0931575886974898,10.899209273521773,4
10,"(4,5)",14,14,倍音,0.06847356473825221,0.004688629067963616,0.0002638986168450877,-12.306051684824288,139,0.1939483151756933,-6.056519052714735e-16,0
1,"(1,2)",15,15,倍音,0.02375376763896756,0.0005642414770460625,3.85391140341686e-05,-81.62254090627798,111,0.8774590937220405,-70.53830052641277,116
2,"(1,3)",15,15,倍音,0.01466648285383016,0.00021510571930169405,1.1655568799769539e-05,72.99922089281878,29,0.4992208928187862,84.08346127268399,34
3,"(1,4)",15,15,倍音,0.024471597629915322,0.0005988590905604772,6.21215799233331e-05,134.7707717429216,54,-0.22922825707839467,145.85501212278683,58
4,"(1,5)",15,15,倍音,0.06155388373274563,0.0037888806025843675,0.0007824905914521626,-78.45405144903802,113,-0.954051449037992,-67.36981106917281,117
5,"(2,3)",15,15,倍音,0.050816113508321756,0.0025822773920906408,0.00010162134708899101,-14.097798496030455,138,0.9022015039695461,-3.013558116165257,143
6,"(2,4)",15,15,倍音,0.02232307964356934,0.0004983198847731398,3.303663757781572e-05,31.6917907390811,13,-0.8082092609189012,42.7760311189463,17
7,"(2,5)",15,15,倍音,0.054251981197745616,0.002943277463880544,0.00013081615875369323,-119.7376003116059,96,0.26239968839414507,-108.6533599317407,101
8,"(3,4)",15,15,倍音,0.048601087915459605,0.0023620657465662337,0.0004304616338744618,114.07147534610816,46,-0.9285246538918364,125.15571572597337,50
9,"(3,5)",15,15,倍音,0.02988269911468863,0.0008929757063790125,8.777183593552292e-05,-0.2871664272013185,0,-0.2871664272013532,10.797073952663878,4
10,"(4,5)",15,15,倍音,0.06372538065493219,0.004060924139616006,0.00022856836145985517,-11.084240379865198,140,-1.0842403798652036,-1.4531851703528704e-15,0
1,"(1,2)",16,16,倍音,0.022339267698646754,0.0004990428813118023,3.4085885730172105e-05,-80.4037545243903,112,-0.40375452439027343,-70.5217156550267,116
2,"(1,3)",16,16,倍音,0.013759620362416104,0.00018932715251781588,1.0258749321029722e-05,74.05364414241362,30,-0.9463558575863872,83.93568301177721,34
3,"(1,4)",16,16,倍音,0.02289690641084541,0.0005242683231870137,5.438403967392877e-05,135.95661342999773,54,0.9566134299977446,145.83865229936134,58
4,"(1,5)",16,16,倍音,0.05756777673917814,0.00331404891869186,0.0006844269773821277,-77.25824765546422,113,0.24175234453579114,-67.37620878610062,117
5,"(2,3)",16,16,倍音,0.04759170245018751,0.002264970142107184,8.913423385972014e-05,-12.915468498005115,139,-0.4154684980051126,-3.0334296286415157,143
6,"(2,4)",16,16,倍音,0.020934410343904204,0.00043824953644696333,2.9054211053278176e-05,32.95916647225513,13,0.4591664722551272,42.84120534161873,17
7,"(2,5)",16,16,倍音,0.050828534156106,0.002583539884458434,0.0001148273541381383,-118.51241863889669,97,-1.0124186388966767,-108.63037976953309,101
8,"(3,4)",16,16,倍音,0.04532072859984443,0.002053968440820757,0.00037431414102151515,115.34341106338657,46,0.3434110633865778,125.2254499327502,50
9,"(3,5)",16,16,倍音,0.027977553318882655,0.0007827434897109219,7.693695659100679e-05,0.8444102049396973,0,0.8444102049396973,10.726449074303293,4
10,"(4,5)",16,16,倍音,0.059641518137026964,0.003557110685689316,0.00020021131471720347,-9.8820388693636,140,0.117961130636369,-6.076155841830192e-16,0
1,"(1,2)",17,17,倍音,0.021096589349995344,0.000445066082202337,3.0399134399926895e-05,-79.19446431369126,112,0.8055356863087699,-70.52981695729413,116
2,"(1,3)",17,17,倍音,0.012958759373069728,0.00016792944448912252,9.099308005868688e-06,75.17392090629738,30,0.17392090629738333,83.8385682626945,34
3,"(1,4)",17,17,倍音,0.021516427776350457,0.00046295666425490547,4.802398406048148e-05,137.11157556262214,55,-0.38842443737784815,145.77622291901926,58
4,"(1,5)",17,17,倍音,0.05407114336025757,0.002923688544285526,0.0006038086227049304,-76.01697093503208,114,-1.0169709350320515,-67.35232357863498,117
5,"(2,3)",17,17,倍音,0.04477741853875171,0.002005017210994545,7.890420701585318e-05,-11.715427999685469,139,0.7845720003145078,-3.05078064328836,143
6,"(2,4)",17,17,倍音,0.019727914432330063,0.0003891906078493368,2.5801798108180533e-05,34.2022177971251,14,-0.7977822028748959,42.86686515352221,17
7,"(2,5)",17,17,倍音,0.04782442308483392,0.002287175443397196,0.00010165521585128394,-117.27963148836058,97,0.220368511639411,-108.61498413196348,101
8,"(3,4)",17,17,倍音,0.04248861706239494,0.0018052825798748388,0.0003289937589873247,116.6272076941425,47,-0.8727923058575001,125.2918550505396,50
9,"(3,5)",17,17,倍音,0.026314619631921582,0.0006924592063727127,6.806278762077711e-05,1.9939289529975353,1,-0.5060710470024646,10.658576309394643,4
10,"(4,5)",17,17,倍音,0.05608296537766554,0.003145299005552432,0.00017703257073608148,-8.66464735639711,141,-1.1646473563971387,-2.0733654233822956e-15,0
1,"(1,2)",18,18,倍音,0.01999682599407927,0.00039987304983748437,2.7312336461963995e-05,-77.98584384995635,113,-0.48584384995631424,-70.54799286260715,116
