kernel,kernel_kind,protocol,protocol_kind,step,particle,C_memory,actual_Ra,signed_target_Ra,sign_normalizer,injected_weight_lag_0,expected_coefficient_lag_0,injected_weight_lag_1,expected_coefficient_lag_1,injected_weight_lag_2,expected_coefficient_lag_2,injected_weight_lag_3,expected_coefficient_lag_3,injected_weight_lag_4,expected_coefficient_lag_4,injected_weight_lag_5,expected_coefficient_lag_5,injected_weight_lag_6,expected_coefficient_lag_6,injected_weight_lag_7,expected_coefficient_lag_7,injected_weight_lag_8,expected_coefficient_lag_8,delta_C_lag_0,delta_C_lag_1,delta_C_lag_2,delta_C_lag_3,delta_C_lag_4,delta_C_lag_5,delta_C_lag_6,delta_C_lag_7,delta_C_lag_8,C_level,C_integral,delayed_delta_tail,delta_tail_including_current,Q_raw_abs_proxy,Q_recovery_abs_tail_proxy,Q_recovery_signed_tail_proxy
instant_control,control,single_impulse,impulse,21,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,21,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,22,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,22,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,23,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,23,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,24,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,24,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,25,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,25,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,26,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,26,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,27,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,27,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,28,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,28,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,29,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,29,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,30,A,0.0,0.0,0.0,1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
instant_control,control,single_impulse,impulse,30,B,0.0,-0.0,0.0,-1.0,1.0,0.0006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-06,0.0,0.0,0.0,0.0,0.0
