kernel,kernel_kind,lag,injected_weight,expected_coefficient,recovered_coefficient,coefficient_error,recovered_abs_fraction,expected_dominant_lag,expected_lag0_abs_fraction,expected_delayed_abs_fraction
pure_delayed_tail,tail_no_current,0,0.0,0.0,-3.272342317687741e-19,-3.272342317687741e-19,5.366641401007883e-16,1,0.0,1.0
pure_delayed_tail,tail_no_current,1,0.46,0.0002804878048780488,0.00028048780487804914,3.2526065174565133e-19,0.4599999999999995,1,0.0,1.0
pure_delayed_tail,tail_no_current,2,0.28,0.0001707317073170732,0.0001707317073170729,-2.981555974335137e-19,0.2799999999999989,1,0.0,1.0
pure_delayed_tail,tail_no_current,3,0.16,9.75609756097561e-05,9.75609756097558e-05,-2.981555974335137e-19,0.15999999999999914,1,0.0,1.0
pure_delayed_tail,tail_no_current,4,0.1,6.097560975609756e-05,6.097560975609762e-05,6.098637220230962e-20,0.09999999999999987,1,0.0,1.0
pure_delayed_tail,tail_no_current,5,0.0,0.0,-4.2678941409788804e-19,-4.2678941409788804e-19,6.999346391205347e-16,1,0.0,1.0
pure_delayed_tail,tail_no_current,6,0.0,0.0,-3.0671072281215405e-19,-3.0671072281215405e-19,5.030055854119315e-16,1,0.0,1.0
pure_delayed_tail,tail_no_current,7,0.0,0.0,1.2100100081006158e-19,1.2100100081006158e-19,1.9844164132850054e-16,1,0.0,1.0
pure_delayed_tail,tail_no_current,8,0.0,0.0,-3.8707323111930974e-19,-3.8707323111930974e-19,6.348000990356665e-16,1,0.0,1.0
alternating_delay,signed_tail,0,0.3,0.00018292682926829268,0.00018292682926829293,2.439454888092385e-19,0.24390243902438996,1,0.24390243902439024,0.7560975609756098
alternating_delay,signed_tail,1,-0.45,-0.00027439024390243905,-0.0002743902439024395,-4.336808689942018e-19,0.3658536585365851,1,0.24390243902439024,0.7560975609756098
alternating_delay,signed_tail,2,0.25,0.0001524390243902439,0.00015243902439024444,5.421010862427522e-19,0.20325203252032542,1,0.24390243902439024,0.7560975609756098
alternating_delay,signed_tail,3,-0.15,-9.146341463414634e-05,-9.14634146341458e-05,5.421010862427522e-19,0.12195121951219409,1,0.24390243902439024,0.7560975609756098
alternating_delay,signed_tail,4,0.08,4.878048780487805e-05,4.878048780487783e-05,-2.236166980751353e-19,0.06504065040650361,1,0.24390243902439024,0.7560975609756098
alternating_delay,signed_tail,5,0.0,0.0,7.426016056624135e-19,7.426016056624135e-19,9.901354742165489e-16,1,0.24390243902439024,0.7560975609756098
alternating_delay,signed_tail,6,0.0,0.0,2.2403354181347737e-19,2.2403354181347737e-19,2.9871138908463576e-16,1,0.24390243902439024,0.7560975609756098
alternating_delay,signed_tail,7,0.0,0.0,-1.522266224755719e-19,-1.522266224755719e-19,2.0296882996742868e-16,1,0.24390243902439024,0.7560975609756098
alternating_delay,signed_tail,8,0.0,0.0,2.473889000777183e-19,2.473889000777183e-19,3.2985186677029024e-16,1,0.24390243902439024,0.7560975609756098
