run_id,L,ma,mb,den,series,chi,omega_generator_mean,omega_generator_std,generator_cycles_per_step_mean,principal_phase_mean,principal_phase_std,sampled_cycles_per_step,sampled_principal_period,off_plane_step_rms,off_plane_generator_rms,phase_prediction_error_rms,polar_orientation_flip_fraction
L20_ma2_mb6_den20,20,2,6,20,main,0.11449712180104608,18.935415366783204,0.004367562577299427,0.9467707683391602,-0.3317637206551579,0.0015099207952452688,-0.05280183608082712,18.93873535892268,0.015434118834038876,0.39231682791734546,0.002691146344936577,0.0
L20_ma4_mb6_den20,20,4,6,20,main,0.11048289454910999,18.94088140817679,0.004606963028605382,0.9470440704088394,-0.330140514128975,0.0016401482692870336,-0.052543494738526084,19.031851706406908,0.014312912655068155,0.38534587511344953,0.0025999861070612716,0.0
L20_ma1_mb2_den20,20,1,2,20,main,0.2676548215789608,18.631485344943492,0.020381684573678234,0.9315742672471746,-0.4118203614007273,0.0069124986271014745,-0.06554324618281653,15.257102115613096,0.05387517960302659,1.0096445021989902,0.018136858074358265,0.0
L20_ma2_mb3_den20,20,2,3,20,main,0.16516869048648558,18.86706786546952,0.00930961527937457,0.9433533932734759,-0.34991470690046445,0.0031625226052063977,-0.05569065526376066,17.956333881578974,0.022956109275315058,0.58535550835634,0.0060167654109547965,0.0
L20_ma3_mb6_den20,20,3,6,20,main,0.10948985850516109,18.944328262186502,0.0014886640361569412,0.9472164131093251,-0.32903879996039614,0.000549706977514191,-0.052368151482722385,19.095575682672816,0.011115087633080206,0.38735812807565057,0.002612414538804262,0.0
L24_ma1_mb3_den24,24,1,3,24,main,0.20736356540076228,22.7477777594576,0.01670423965830205,0.9478240733107333,-0.3180393463413222,0.0048359734590252435,-0.050617534067936724,19.755999939820104,0.027453549849121434,0.8977894491258881,0.00980991402572126,0.0
L24_ma1_mb5_den24,24,1,5,24,main,0.1591253166434537,22.855140495668614,0.007377862521774283,0.9522975206528589,-0.2942505902484046,0.00209192520785786,-0.04683143594574145,21.353178261682867,0.017135162113344066,0.6745968729109809,0.005478949625373341,0.0
L24_ma3_mb5_den24,24,3,5,24,main,0.10628323882792476,22.936172995108024,0.001957737951322235,0.9556738747961676,-0.2761420539613838,0.0006122931911374198,-0.04394937288350313,22.753453221066568,0.010305214430234204,0.44506225609650835,0.0023706373369027215,0.0
L24_ma2_mb4_den24,24,2,4,24,main,0.13363644666241747,22.900782665779122,0.005952676740939424,0.9541992777407967,-0.2838682513990705,0.0016850136986298787,-0.045179035397014906,22.13416004154158,0.01203311137499857,0.5712930947591941,0.003908912285490319,0.0
L24_ma2_mb6_den24,24,2,6,24,main,0.10854617468846693,22.933111768844256,0.00392900594441846,0.955546323701844,-0.27683035710332415,0.0011008303997609495,-0.04405891973088862,22.6968796808453,0.01110611165671279,0.4552521323219604,0.0024826476329462737,0.0
L24_ma4_mb6_den24,24,4,6,24,main,0.09436335195592667,22.950691554190776,0.0024968037227918413,0.956278814757949,-0.2727832947053869,0.0007103866821446627,-0.04341480974525557,23.03361470124331,0.008198904937935021,0.40179506918626146,0.0019264032554557036,0.0
L24_ma1_mb2_den24,24,1,2,24,main,0.2593323169724422,22.606352966287417,0.015410776722008983,0.9419313735953091,-0.34902007991713396,0.004439947334180733,-0.05554827095714022,18.002360519404416,0.03597692080073317,1.1371805164103415,0.015846208956500723,0.0
L24_ma2_mb3_den24,24,2,3,24,main,0.15665764299280568,22.861245482188423,0.006283010017795208,0.9525518950911843,-0.2927947509867806,0.0018545904857625887,-0.04659973193090673,21.459350913921494,0.01581462600640183,0.6662011751615952,0.0053378227075481606,0.0
L24_ma3_mb6_den24,24,3,6,24,main,0.09820000773793676,22.945608206482646,0.0011237794819165174,0.9560670086034436,-0.27403875483565276,0.0003352145354469265,-0.04361462243084217,22.928090265728123,0.009142720716191356,0.40944836098051407,0.0020010147994198716,0.0
L32_ma1_mb3_den32,32,1,3,32,main,0.20149506218264926,30.689231872867186,0.015264878491695194,0.9590384960270996,-0.2483679757910945,0.003300777102487117,-0.03952899105288088,25.29788829323332,0.018908755164322753,1.160151122984937,0.009010579620770457,0.0
L32_ma1_mb5_den32,32,1,5,32,main,0.15730835673025578,30.81659877614667,0.006320025807141902,0.9630187117545834,-0.22685033836723442,0.001365297591732981,-0.036104352693214395,27.69749144922197,0.011454568908024095,0.9122562428360578,0.005513301860506846,0.0
L32_ma3_mb5_den32,32,3,5,32,main,0.09664547129112154,30.932214754933355,0.0016146132695133923,0.9666317110916673,-0.20757228897481927,0.00034280654900602567,-0.03303615583924182,30.269865684921957,0.0058754554762566885,0.5635878535131551,0.002087085216271494,0.0
L32_ma2_mb4_den32,32,2,4,32,main,0.12642207058751173,30.883704948860604,0.003358645715679399,0.9651157796518939,-0.21555368624995813,0.0007114542587544247,-0.03430643466836035,29.149050598436734,0.008239061483537365,0.7421243253792451,0.003630865387713035,0.0
L32_ma2_mb6_den32,32,2,6,32,main,0.1029656443517537,30.92387921495021,0.001702139568616112,0.9663712254671941,-0.20885106309986445,0.0003737372707003899,-0.03323967906234077,30.084526331451862,0.006059554680743168,0.6098775409680974,0.0024453563295116815,0.0
L32_ma4_mb6_den32,32,4,6,32,main,0.08124562357133054,30.951480689008683,0.0009424778367428727,0.9672337715315213,-0.20444370055738342,0.00020639263592551438,-0.03253822552770685,30.733083435926247,0.005481715235462534,0.46694858476381446,0.0014328510448826158,0.0
L32_ma1_mb2_den32,32,1,2,32,main,0.24971601367807592,30.518749150780003,0.021000526584628386,0.9537109109618751,-0.2761317303246945,0.004391719811292591,-0.043947729825693345,22.754303896156333,0.026986079746483736,1.4750649197008183,0.014720801992826346,0.0
L32_ma2_mb3_den32,32,2,3,32,main,0.14775198684827237,30.840517336425123,0.004985240272649414,0.9637661667632851,-0.2227271660821728,0.0010870313023351598,-0.03544812944282733,28.210233253995934,0.009434713652613728,0.8646373039247207,0.004938795379219506,0.0
L32_ma3_mb6_den32,32,3,6,32,main,0.08856304056447908,30.94365340997228,0.0013774673169091912,0.9669891690616338,-0.20561044764250616,0.00029732252352594616,-0.032723919093642195,30.558686969565517,0.005351692243857036,0.5239050647866396,0.0018029482217439517,0.0
L40_ma1_mb3_den40,40,1,3,40,main,0.1981194329371147,38.63579072966992,0.013989485521168217,0.965894768241748,-0.2051486611783044,0.0024610233816761873,-0.03265042349521156,30.627474101420397,0.013621133994300191,1.47296699628577,0.009146569448270234,0.0
