body_count,relation_count,relation_names,trial_index,all_relations_are_physical_waves,observer_C_or_D_used,normalization_applied,absolute_background_axis_used,raw_generator_spectral_norm,update_orthogonality_error,max_closure_target_error_abs,max_hermitian_amplitude_drift,active_relation_wave_count,min_relation_activity_variance,max_relation_activity_variance,target_period_recurrence_error,generator_label_covariance_error,update_label_covariance_error,trajectory_label_covariance_error,generator_rank,generator_nullity,rotation_plane_count,generator_singular_values,positive_generator_frequencies,independent_rotation_frequency_count,single_rotation_plane,unique_invariant_normal,one_plane_plus_one_normal,permuted_generator_rank,permuted_generator_nullity,kernel_projection_drift_max,kernel_projection_norm2_drift_max,active_plane_norm2_drift_max,kernel_projector_idempotence_error,kernel_generator_annihilation_error,kernel_projector_label_covariance_error,generator_spectrum_label_covariance_error,initial_closure_real_E,initial_closure_imag_F,initial_hermitian_amplitude_sum,stationary_relation_system
3,3,AB;BC;CA,8,True,False,False,False,1.0077744613715096,1.1121365962710436e-16,3.097567005438138e-14,3.6193270602780103e-14,3,0.23822071950171295,0.537476535177447,2.2090005796990792e-15,0.0,2.230722191087568e-16,7.876903751963928e-14,2,1,1,1.0000000000000000e+00;1.0000000000000000e+00;3.2943841391601867e-17,1.0000000000000000e+00,1,True,True,True,2,1,4.005037659495362e-15,1.2247147740396258e-15,3.530509218307998e-14,1.1102230246251565e-16,1.2424306164391191e-16,2.0062885096040707e-16,2.220446049250313e-16,1.0,5.551115123125783e-17,1.2449999999999999,False
3,3,AB;BC;CA,9,True,False,False,False,1.3219355370318147,4.975328758895487e-16,1.0705029029194713e-13,1.2212453270876722e-13,3,0.2645542079468786,0.46061508714446214,7.382268973126066e-15,5.768888059150692e-16,2.5269866386387817e-16,4.5497384953508595e-14,2,1,1,1.0000000000000002e+00;1.0000000000000000e+00;7.4422356501554533e-17,1.0000000000000000e+00,1,True,True,True,2,1,6.758872696778686e-15,3.2890357104520263e-15,1.1857181902996672e-13,6.206335383118183e-17,6.062964219771958e-17,2.0396099332657776e-16,5.551115123125783e-16,1.0,-7.112366251504909e-17,1.2449999999999999,False
3,3,AB;BC;CA,10,True,False,False,False,1.285201664701291,2.487083919890736e-16,3.985268645356797e-14,5.0182080713057076e-14,3,0.26213740758260373,0.4807239077908652,3.3939065708105725e-15,0.0,2.220717083251841e-16,4.41635364416973e-14,2,1,1,9.9999999999999989e-01;9.9999999999999989e-01;1.8261110046176516e-17,9.9999999999999967e-01,1,True,True,True,2,1,2.890330434962635e-15,1.2004286453759505e-15,5.062616992290714e-14,2.3055512673781017e-16,1.0246118617357972e-16,2.6910028968576024e-16,1.1102230246251565e-16,0.9999999999999998,2.220446049250313e-16,1.2449999999999997,False
3,3,AB;BC;CA,11,True,False,False,False,1.2622063760694306,4.585300559931776e-16,1.3628177067653198e-13,1.680877659282487e-13,3,0.20024645316157821,0.4102649741282503,9.65830472653629e-15,0.0,3.52059127112863e-16,1.177581414036749e-13,2,1,1,1.0000000000000000e+00;9.9999999999999989e-01;1.7868703450611676e-17,9.9999999999999989e-01,1,True,True,True,2,1,4.073028073875021e-14,4.718447854656915e-14,1.2145839889399213e-13,2.5172027167143304e-16,2.928646530643e-17,2.2591401799415137e-16,2.220446049250313e-16,1.0000000000000002,-5.551115123125783e-17,1.2450000000000003,False
3,3,AB;BC;CA,12,True,False,False,False,1.4867934160165701,4.578771389901548e-16,1.323562915011007e-13,1.6253665080512292e-13,3,0.3088631522188839,0.3871629356330908,9.7299246860287e-15,0.0,2.7230185981536845e-16,1.158290685417418e-13,2,1,1,1.0000000000000000e+00;1.0000000000000000e+00;8.6864868127380061e-17,9.9999999999999933e-01,1,True,True,True,2,1,3.127949028909828e-14,2.7949864644938316e-14,1.34781075189494e-13,3.040470972244059e-16,2.3838747413162727e-16,7.591035761743328e-16,3.3306690738754696e-16,1.0,-5.551115123125783e-17,1.2449999999999999,False
3,3,AB;BC;CA,13,True,False,False,False,1.2104527422140916,1.1171440653764345e-16,1.8875537541119453e-14,2.398081733190338e-14,3,0.24930967756713476,0.508982661126747,1.4253643388039758e-15,5.874748045952207e-16,3.671717528720129e-17,1.8465057781247826e-14,2,1,1,1.0000000000000000e+00;1.0000000000000000e+00;6.4725778564335030e-17,1.0000000000000000e+00,1,True,True,True,2,1,3.917958515199351e-15,1.8388068845354155e-15,2.19824158875781e-14,0.0,9.571005775259069e-17,1.642041997679149e-16,2.220446049250313e-16,0.9999999999999998,-5.551115123125783e-17,1.2449999999999997,False
3,3,AB;BC;CA,14,True,False,False,False,0.8976535175759758,3.3404509791122823e-16,6.151637481157636e-14,7.749356711883593e-14,3,0.2571205853911061,0.5830465983136207,4.926282375507385e-15,2.254873622441467e-16,1.1148213611325306e-16,4.912460153475455e-14,2,1,1,1.0000000000000000e+00;1.0000000000000000e+00;1.2239987202224387e-17,1.0000000000000004e+00,1,True,True,True,2,1,1.462235379865321e-14,6.6058269965196814e-15,7.127631818093505e-14,5.182499086415284e-16,8.495903022301967e-17,5.673049715710761e-16,1.1102230246251565e-16,1.0000000000000002,1.3877787807814457e-17,1.2450000000000003,False
3,3,AB;BC;CA,15,True,False,False,False,1.3908242035117375,1.5803539138864587e-16,6.767777523294277e-14,8.837375276016246e-14,3,0.28346020188874615,0.4885802780622209,5.338242204052875e-15,2.3551386880256624e-16,1.5769771845813174e-16,6.021160163870094e-14,2,1,1,1.0000000000000000e+00;1.0000000000000000e+00;2.9500714411461674e-17,1.0000000000000004e+00,1,True,True,True,2,1,1.4521140500978135e-14,8.076872504148014e-15,8.038014698286133e-14,5.4812869959929e-16,1.4720349995845337e-16,6.626552854390357e-16,3.3306690738754696e-16,1.0,-2.8796409701215e-16,1.245,False
3,3,AB;BC;CA,16,True,False,False,False,1.0296307285728792,1.5705594220846908e-16,3.79841772154818e-14,5.0182080713057076e-14,3,0.23731942175306253,0.5368301552024896,5.5905312167775856e-15,5.874748045952207e-16,3.7527806648313014e-17,2.081168973548589e-14,2,1,1,1.0000000000000000e+00;9.9999999999999956e-01;5.5431710355409154e-17,9.9999999999999978e-01,1,True,True,True,2,1,2.550540276661849e-15,1.0824674490095276e-15,5.084821452783217e-14,3.868394456087541e-16,5.361463112435703e-17,5.835275607609835e-16,4.440892098500626e-16,1.0,-2.7755575615628914e-17,1.245,False
3,3,AB;BC;CA,17,True,False,False,False,1.2809404508546918,2.485396466886762e-16,5.886989812458622e-14,6.838973831690964e-14,3,0.25348283041096853,0.5257867414428076,6.00884599544034e-15,3.597533769998862e-16,1.5986773350218688e-16,5.477327279361213e-14,2,1,1,9.9999999999999967e-01;9.9999999999999967e-01;6.5053441528736438e-19,9.9999999999999944e-01,1,True,True,True,2,1,2.5679325085297254e-14,1.8041124150158794e-14,5.0182080713057076e-14,1.5469220910896388e-16,1.509446535126495e-16,4.313849567108439e-16,4.440892098500626e-16,1.0,0.0,1.2449999999999999,False
