variant,amplitude,theta_over_pi_tail_mean,theta_over_pi_tail_std,theta_over_pi_initial
V2_relational_cross,0.05829572005899158,0.018096933275909628,2.481020897787047e-16,0.23853680129902513
V2_relational_cross,0.06294627058970836,0.019537215196644028,1.2797635622608975e-16,0.28039247753988694
V2_relational_cross,0.06796781954392626,0.021091517425854498,9.198157557735749e-17,0.2914554319394298
V2_relational_cross,0.07338996338110348,0.022768709874230193,8.51218469134029e-16,0.25787177580853593
V2_relational_cross,0.07924465962305566,0.024578312148766268,1.1500115405542999e-15,0.26559933046491074
V2_relational_cross,0.08556641520808904,0.026530530684255222,4.6805398318361535e-17,0.26885503413350276
V2_relational_cross,0.09239248987111452,0.028636295166862866,2.923368162186113e-16,0.2748323780711758
V2_relational_cross,0.09976311574844397,0.030907293305071342,3.8024621549444294e-16,0.22465045211734863
V2_relational_cross,0.10772173450159415,0.03335600272596615,1.0614466625631893e-17,0.2378510199572625
V2_relational_cross,0.1163152533576813,0.03599571843555188,6.750974417640259e-16,0.2693583212377463
V2_relational_cross,0.125594321575479,0.03884057387060475,5.409964453506575e-17,0.25328332388058084
V2_relational_cross,0.1356136289666014,0.04190555307671485,5.843919253778634e-16,0.26916809730936003
V2_relational_cross,0.1464322282312618,0.04520649096399739,7.911759164422651e-17,0.27294004509616115
V2_relational_cross,0.15811388300841894,0.04876005791270136,1.4488835837920476e-17,0.25798061237188186
V2_relational_cross,0.17072744369168005,0.052583724225164045,3.081368953213664e-17,0.27152497057093666
V2_relational_cross,0.18434725322597875,0.05669569905675895,9.317602267200288e-17,0.25882272104574244
V2_relational_cross,0.1990535852767486,0.06111483752905838,3.3392076654601206e-15,0.24884776258576338
V2_relational_cross,0.2149331173541138,0.0658605087762115,1.7045027189104034e-16,0.23844973556275825
V2_relational_cross,0.2320794416806389,0.07095241677207242,2.2233353751950933e-17,0.3064234993246075
V2_relational_cross,0.25059361681363607,0.07641036504079247,3.744431865468923e-17,0.2543305055004593
V2_relational_cross,0.2705847632732318,0.0822539559262263,1.3562890132818528e-16,0.2737743873603563
V2_relational_cross,0.2921707066867587,0.0885022152024355,5.497659556021728e-17,0.23853984707289286
V2_relational_cross,0.3154786722400966,0.09517313372931335,3.0128972442725576e-17,0.27416542597553806
V2_relational_cross,0.3406460345289806,0.1022831199341969,4.429312177621334e-17,0.2851954841950871
V2_relational_cross,0.36782112722982063,0.10984636051331284,7.028977368011217e-17,0.24997911272301124
V2_relational_cross,0.39716411736214075,0.11787409227436313,2.319431894089947e-17,0.24143452690425937
V2_relational_cross,0.428847949295447,0.1263737957833959,6.98132273469431e-17,0.23520384234808964
V2_relational_cross,0.4630593640643967,0.13534833154302128,1.9387887120894276e-16,0.2215451934567676
V2_relational_cross,0.49999999999999994,0.14479505158193479,7.09443226856947e-17,0.24638138297891574
V2_relational_cross,0.5398875811638546,0.15470493283858977,4.660953740672398e-17,0.2694186411302592
V2_relational_cross,0.5829572005899157,0.16506179218869113,2.654783688706158e-16,0.2758543492697034
V2_relational_cross,0.6294627058970836,0.17584165431163631,7.731808680624463e-17,0.34160294636570016
V2_relational_cross,0.6796781954392627,0.18701235014814047,4.7482859941554953e-17,0.23789909731620698
V2_relational_cross,0.7338996338110348,0.19853342258094467,1.3657698740285096e-16,0.28609521630711343
V2_relational_cross,0.7924465962305566,0.2103564046850897,6.458150490973143e-15,0.2620322917960659
V2_relational_cross,0.8556641520808904,0.22242551316906903,2.30900144378092e-16,0.2664559660277648
V2_relational_cross,0.9239248987111452,0.23467876620010883,7.689914185158551e-16,0.2614061113133542
V2_relational_cross,0.9976311574844398,0.2470494939084775,6.509259464525837e-17,0.29461282175246756
V2_relational_cross,1.0772173450159415,0.2594681670905743,1.4784458365289839e-16,0.2449052785636692
V2_relational_cross,1.163152533576813,0.2718644320224457,9.29984376406128e-17,0.23273740148780522
V2_relational_cross,1.2559432157547896,0.284169213784472,6.814695675108247e-16,0.2677619795540897
V2_relational_cross,1.356136289666014,0.2963167421162184,1.0473823066688541e-16,0.2624762051774319
V2_relational_cross,1.4643222823126176,0.30824636429974056,4.997442581578769e-16,0.26609887895383594
V2_relational_cross,1.5811388300841895,0.3199040368463155,1.9505410550593832e-16,0.2827364811965477
V2_relational_cross,1.7072744369168,0.33124342657962963,1.125074691225379e-15,0.2457483142542157
V2_relational_cross,1.8434725322597874,0.3422265950902955,8.406473066991232e-17,0.26293594954147065
V2_relational_cross,1.9905358527674863,0.3528242815793386,7.784766893323461e-17,0.25784406325875875
V2_relational_cross,2.149331173541138,0.3630158325103765,1.0561716829138561e-16,0.26383393120132104
V2_relational_cross,2.3207944168063896,0.3727888494062392,7.850462293418876e-17,0.24421204857374765
V2_relational_cross,2.505936168136361,0.3821386382641577,1.1484236265056458e-16,0.27787411125468814
V2_relational_cross,2.7058476327323184,0.3910675472170541,2.347275097832166e-16,0.26678358764890037
V2_relational_cross,2.921707066867587,0.3995842764116853,1.7554167342883506e-17,0.2806437804612837
V2_relational_cross,3.1547867224009662,0.4077032395734658,6.753223014464259e-17,0.2104113655921824
V2_relational_cross,3.4064603452898052,0.4154440549563,4.486912934894983e-17,0.24467350497350535
V2_relational_cross,3.6782112722982063,0.4228312500436471,1.124928606086644e-16,0.25729960453207623
V2_relational_cross,3.971641173621406,0.42989428811107094,1.2437471331954207e-16,0.249832886653695
V2_relational_cross,4.28847949295447,0.436668081596106,5.866174448905575e-16,0.23245196967285978
V2_relational_cross,4.630593640643966,0.44319428164135644,8.741904837807692e-17,0.2539332292131061
V2_relational_cross,5.0,0.44952390811358245,1.0522743571393512e-16,0.25739937763327897
