step,residual
233,0.21015020890991895
234,0.21129985297785353
235,0.21245228735114585
236,0.213607451786114
237,0.2147652837922239
238,0.21592571865211313
239,0.2170886894446271
240,0.21825412707083108
241,0.21942196028288444
242,0.22059211571570975
243,0.22176451792139326
244,0.22293908940620583
245,0.2241157506701674
246,0.22529442024908103
247,0.2264750147589157
248,0.22765744894247278
249,0.22884163571824517
250,0.23002748623133484
251,0.23121490990640595
252,0.2324038145024963
253,0.23359410616966078
254,0.23478568950730563
255,0.23597846762413993
256,0.23717234219964187
257,0.23836721354694695
258,0.239562980677059
259,0.24075954136428956
260,0.2419567922128334
261,0.24315462872439456
262,0.24435294536674995
263,0.24555163564318755
264,0.24675059216269923
265,0.24794970671086278
266,0.24914887032131433
267,0.25034797334772785
268,0.2515469055362074
269,0.2527455560980288
270,0.25394381378262804
271,0.25514156695076345
272,0.2563387036477809
273,0.2575351116768868
274,0.25873067867236993
275,0.259925292172688
276,0.2611188396933518
277,0.26231120879953157
278,0.26350228717832
279,0.26469196271058054
280,0.2658801235423207
281,0.26706665815552394
282,0.26825145543837603
283,0.26943440475482233
284,0.27061539601340945
285,0.2717943197353376
286,0.27297106712168717
287,0.27414553011973525
288,0.27531760148834716
289,0.2764871748623769
290,0.27765414481599826
