step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9,takagi_r10,takagi_r11,takagi_r12,takagi_r13,takagi_r14
1952,0.34068953275449226,0.3149622887229707,0.2993001421734925,0.2787308101519334,0.260975373717111,0.24911730752440137,0.24383173680220852,0.22658321967492392,0.20797768728887067,0.19058466154251638,0.13490921855111795,0.1264219407816856,0.07392140176000138,2.3468853712077244e-09
1953,0.3406895327544924,0.31496228872297005,0.2993001421734912,0.2787308101519341,0.26097537371711055,0.24911730752440106,0.24383173680220765,0.22658321967492412,0.20797768728887034,0.19058466154252118,0.13490921855111898,0.12642194078168287,0.07392140176000223,3.658609349546194e-09
1954,0.34068953275449243,0.31496228872296933,0.2993001421734897,0.27873081015193474,0.26097537371711016,0.24911730752440073,0.24383173680220677,0.22658321967492426,0.20797768728886998,0.19058466154252596,0.13490921855111992,0.12642194078167987,0.07392140176000307,1.9280986616057145e-09
1955,0.3406895327544932,0.31496228872296933,0.29930014217348894,0.278730810151936,0.2609753737171104,0.2491173075244009,0.2438317368022064,0.22658321967492498,0.20797768728887003,0.19058466154253112,0.13490921855112117,0.12642194078167746,0.0739214017600041,2.5673239466534508e-09
1956,0.34068953275449343,0.3149622887229687,0.29930014217348777,0.2787308101519367,0.26097537371711016,0.24911730752440073,0.24383173680220566,0.22658321967492523,0.20797768728886973,0.19058466154253587,0.1349092185511222,0.12642194078167462,0.07392140176000543,3.5233020859107326e-09
1957,0.34068953275449404,0.3149622887229682,0.29930014217348694,0.27873081015193774,0.2609753737171103,0.24911730752440067,0.24383173680220513,0.2265832196749257,0.20797768728886964,0.19058466154254095,0.13490921855112323,0.1264219407816725,0.07392140176000628,2.238847775228173e-09
1958,0.340689532754494,0.31496228872296755,0.2993001421734857,0.2787308101519383,0.26097537371711,0.2491173075244004,0.24383173680220427,0.226583219674926,0.20797768728886928,0.19058466154254564,0.13490921855112414,0.1264219407816699,0.07392140176000751,2.4746377233980416e-09
1959,0.34068953275449393,0.31496228872296667,0.2993001421734844,0.27873081015193873,0.2609753737171096,0.24911730752439995,0.2438317368022033,0.22658321967492615,0.20797768728886884,0.1905846615425502,0.13490921855112498,0.12642194078166735,0.07392140176000875,2.6030945209935633e-09
1960,0.3406895327544946,0.3149622887229663,0.29930014217348366,0.2787308101519397,0.26097537371710977,0.24911730752440006,0.24383173680220283,0.22658321967492687,0.20797768728886884,0.19058466154255524,0.13490921855112614,0.12642194078166527,0.0739214017600101,2.5319522355388245e-09
1961,0.3406895327544944,0.3149622887229651,0.29930014217348205,0.2787308101519402,0.2609753737171093,0.24911730752439967,0.24383173680220172,0.22658321967492712,0.20797768728886837,0.1905846615425598,0.13490921855112706,0.12642194078166288,0.07392140176001157,2.5710327311644647e-09
1962,0.3406895327544944,0.3149622887229641,0.2993001421734808,0.2787308101519406,0.26097537371710894,0.2491173075243994,0.24383173680220077,0.22658321967492737,0.207977687288868,0.19058466154256443,0.1349092185511281,0.1264219407816605,0.07392140176001305,1.9637891288166767e-09
1963,0.3406895327544946,0.31496228872296334,0.2993001421734798,0.27873081015194134,0.2609753737171089,0.24911730752439926,0.2438317368022001,0.22658321967492792,0.2079776872888678,0.1905846615425692,0.13490921855112917,0.1264219407816583,0.07392140176001462,2.2331275377227146e-09
1964,0.340689532754495,0.3149622887229627,0.2993001421734789,0.27873081015194223,0.26097537371710905,0.2491173075243994,0.2438317368021995,0.2265832196749286,0.20797768728886787,0.190584661542574,0.13490921855113033,0.12642194078165633,0.07392140176001642,2.780202037077844e-09
1965,0.340689532754495,0.314962288722962,0.2993001421734776,0.278730810151943,0.26097537371710877,0.2491173075243992,0.2438317368021986,0.22658321967492914,0.20797768728886773,0.19058466154257875,0.13490921855113147,0.12642194078165409,0.07392140176001838,2.629686317556572e-09
1966,0.34068953275449554,0.3149622887229615,0.299300142173477,0.2787308101519442,0.26097537371710905,0.24911730752439948,0.24383173680219827,0.22658321967493006,0.20797768728886787,0.1905846615425837,0.13490921855113278,0.12642194078165217,0.07392140176002049,2.2682646395731965e-09
1967,0.3406895327544952,0.3149622887229605,0.2993001421734754,0.2787308101519446,0.2609753737171087,0.24911730752439915,0.24383173680219716,0.22658321967493042,0.20797768728886754,0.19058466154258819,0.13490921855113372,0.1264219407816499,0.07392140176002229,2.055002099981591e-09
1968,0.3406895327544957,0.31496228872295995,0.2993001421734745,0.2787308101519458,0.2609753737171089,0.2491173075243993,0.24383173680219658,0.22658321967493134,0.20797768728886765,0.1905846615425929,0.134909218551135,0.12642194078164806,0.07392140176002453,2.3171853610495838e-09
1969,0.3406895327544962,0.3149622887229595,0.2993001421734736,0.27873081015194673,0.26097537371710916,0.24911730752439962,0.24383173680219603,0.22658321967493225,0.20797768728886776,0.19058466154259787,0.13490921855113627,0.12642194078164645,0.07392140176002682,1.722149645612529e-09
1970,0.34068953275449637,0.3149622887229587,0.2993001421734726,0.27873081015194784,0.26097537371710916,0.24911730752439967,0.24383173680219522,0.22658321967493303,0.20797768728886779,0.19058466154260253,0.1349092185511374,0.12642194078164473,0.07392140176002902,2.314521478083819e-09
1971,0.34068953275449676,0.314962288722958,0.2993001421734717,0.27873081015194867,0.26097537371710927,0.24911730752439992,0.24383173680219467,0.226583219674934,0.20797768728886787,0.19058466154260734,0.13490921855113874,0.12642194078164296,0.07392140176003173,4.111084381420957e-09
1972,0.3406895327544965,0.3149622887229569,0.29930014217347034,0.2787308101519493,0.26097537371710894,0.2491173075243997,0.24383173680219364,0.22658321967493464,0.20797768728886756,0.1905846615426119,0.13490921855113971,0.1264219407816411,0.07392140176003423,2.564252774874974e-09
1973,0.3406895327544966,0.31496228872295595,0.2993001421734692,0.2787308101519502,0.26097537371710905,0.24911730752439984,0.24383173680219292,0.22658321967493558,0.20797768728886756,0.19058466154261663,0.1349092185511409,0.12642194078163937,0.073921401760037,2.7071765872304914e-09
1974,0.34068953275449676,0.31496228872295523,0.29930014217346834,0.2787308101519511,0.26097537371710916,0.24911730752439992,0.2438317368021922,0.22658321967493653,0.2079776872888675,0.19058466154262121,0.134909218551142,0.12642194078163796,0.07392140176003921,2.9096885142243145e-09
1975,0.34068953275449704,0.31496228872295434,0.2993001421734675,0.2787308101519521,0.2609753737171093,0.24911730752440012,0.24383173680219158,0.22658321967493758,0.2079776872888677,0.19058466154262588,0.13490921855114327,0.12642194078163663,0.0739214017600417,2.8603766067514636e-09
1976,0.3406895327544971,0.31496228872295345,0.2993001421734664,0.278730810151953,0.2609753737171093,0.24911730752440028,0.24383173680219092,0.22658321967493858,0.2079776872888678,0.1905846615426304,0.1349092185511446,0.12642194078163496,0.07392140176004469,3.2414927431963263e-09
1977,0.3406895327544976,0.31496228872295295,0.2993001421734658,0.27873081015195417,0.26097537371710966,0.24911730752440062,0.2438317368021904,0.22658321967493983,0.2079776872888681,0.1905846615426352,0.13490921855114588,0.12642194078163368,0.07392140176004758,1.997672946982965e-09
1978,0.34068953275449776,0.31496228872295207,0.2993001421734649,0.27873081015195517,0.2609753737171098,0.24911730752440092,0.2438317368021898,0.2265832196749409,0.20797768728886828,0.19058466154263973,0.13490921855114713,0.12642194078163235,0.07392140176005021,2.693323458694482e-09
1979,0.34068953275449776,0.31496228872295096,0.29930014217346373,0.2787308101519559,0.26097537371710977,0.24911730752440098,0.243831736802189,0.22658321967494172,0.20797768728886817,0.1905846615426442,0.1349092185511482,0.12642194078163102,0.07392140176005303,1.7808041680947618e-09
1980,0.340689532754498,0.3149622887229502,0.2993001421734629,0.27873081015195694,0.26097537371711005,0.24911730752440128,0.24383173680218842,0.226583219674943,0.20797768728886848,0.19058466154264886,0.13490921855114946,0.12642194078162994,0.07392140176005611,2.2256331543536162e-09
1981,0.34068953275449737,0.3149622887229487,0.29930014217346157,0.27873081015195755,0.26097537371710966,0.24911730752440112,0.24383173680218725,0.22658321967494385,0.2079776872888682,0.190584661542653,0.13490921855115037,0.12642194078162852,0.07392140176005957,2.3854336383987167e-09
1982,0.3406895327544966,0.314962288722947,0.29930014217345957,0.2787308101519578,0.26097537371710905,0.24911730752440073,0.2438317368021858,0.2265832196749444,0.2079776872888679,0.1905846615426569,0.13490921855115134,0.12642194078162677,0.07392140176006272,2.4787310177680034e-09
1983,0.34068953275449726,0.3149622887229466,0.2993001421734591,0.27873081015195916,0.2609753737171097,0.2491173075244015,0.24383173680218564,0.22658321967494607,0.2079776872888686,0.19058466154266168,0.13490921855115293,0.12642194078162594,0.07392140176006619,2.0889243079203673e-09
1984,0.34068953275449765,0.3149622887229459,0.2993001421734585,0.27873081015196044,0.26097537371711016,0.24911730752440206,0.24383173680218506,0.22658321967494757,0.20797768728886892,0.19058466154266632,0.13490921855115423,0.12642194078162516,0.07392140176006952,1.8572547933050117e-09
1985,0.34068953275449765,0.3149622887229448,0.2993001421734573,0.27873081015196133,0.2609753737171101,0.24911730752440228,0.2438317368021842,0.22658321967494874,0.20797768728886898,0.19058466154267056,0.13490921855115537,0.12642194078162425,0.07392140176007331,3.463533687013176e-09
1986,0.34068953275449737,0.3149622887229435,0.29930014217345613,0.27873081015196205,0.26097537371710994,0.24911730752440225,0.24383173680218323,0.22658321967494982,0.20797768728886903,0.19058466154267473,0.13490921855115648,0.12642194078162303,0.07392140176007711,2.525306287530102e-09
1987,0.340689532754497,0.3149622887229423,0.29930014217345496,0.27873081015196266,0.26097537371710994,0.24911730752440234,0.2438317368021823,0.22658321967495096,0.20797768728886912,0.1905846615426788,0.1349092185511576,0.12642194078162197,0.07392140176008051,2.5328131025523636e-09
1988,0.3406895327544974,0.3149622887229417,0.29930014217345435,0.278730810151964,0.26097537371711044,0.2491173075244031,0.2438317368021819,0.22658321967495268,0.2079776872888696,0.19058466154268355,0.13490921855115903,0.12642194078162133,0.07392140176008456,3.0027065233107317e-09
1989,0.3406895327544978,0.31496228872294096,0.2993001421734537,0.2787308101519652,0.2609753737171108,0.24911730752440361,0.2438317368021814,0.2265832196749544,0.20797768728887,0.19058466154268808,0.13490921855116034,0.12642194078162067,0.07392140176008842,2.8748993168996596e-09
1990,0.3406895327544978,0.3149622887229398,0.29930014217345297,0.27873081015196605,0.26097537371711105,0.24911730752440403,0.24383173680218062,0.22658321967495576,0.2079776872888703,0.19058466154269235,0.13490921855116156,0.12642194078162036,0.0739214017600922,2.953164028273719e-09
1991,0.3406895327544986,0.3149622887229394,0.29930014217345274,0.27873081015196743,0.2609753737171117,0.24911730752440484,0.24383173680218037,0.22658321967495768,0.20797768728887092,0.190584661542697,0.13490921855116297,0.12642194078162008,0.07392140176009629,2.907833093859417e-09
1992,0.34068953275449865,0.3149622887229384,0.299300142173452,0.2787308101519685,0.2609753737171121,0.24911730752440528,0.24383173680217976,0.22658321967495915,0.20797768728887128,0.19058466154270126,0.13490921855116414,0.12642194078161959,0.07392140176010008,3.0510335576155647e-09
1993,0.34068953275449876,0.31496228872293736,0.2993001421734514,0.27873081015196954,0.26097537371711244,0.24911730752440575,0.2438317368021792,0.22658321967496076,0.20797768728887162,0.19058466154270562,0.1349092185511653,0.12642194078161925,0.07392140176010396,3.2101082397706967e-09
1994,0.34068953275449854,0.314962288722936,0.29930014217345025,0.2787308101519703,0.26097537371711244,0.24911730752440608,0.24383173680217826,0.2265832196749622,0.20797768728887173,0.19058466154270964,0.13490921855116642,0.12642194078161884,0.07392140176010777,1.6023212122359198e-09
1995,0.34068953275449837,0.31496228872293497,0.2993001421734493,0.2787308101519712,0.2609753737171126,0.24911730752440642,0.2438317368021775,0.2265832196749637,0.207977687288872,0.1905846615427137,0.1349092185511676,0.12642194078161845,0.07392140176011179,2.7491552084902883e-09
1996,0.34068953275449837,0.3149622887229338,0.29930014217344875,0.27873081015197215,0.26097537371711294,0.2491173075244068,0.2438317368021769,0.2265832196749653,0.20797768728887225,0.19058466154271783,0.1349092185511687,0.1264219407816183,0.07392140176011593,2.988797901571e-09
1997,0.3406895327544974,0.3149622887229318,0.29930014217344725,0.27873081015197215,0.26097537371711244,0.24911730752440653,0.24383173680217549,0.2265832196749663,0.20797768728887192,0.19058466154272147,0.1349092185511693,0.12642194078161786,0.07392140176011992,3.964165217622445e-09
1998,0.34068953275449715,0.3149622887229307,0.29930014217344636,0.27873081015197315,0.2609753737171126,0.2491173075244069,0.2438317368021747,0.22658321967496797,0.20797768728887223,0.1905846615427254,0.13490921855117033,0.12642194078161761,0.0739214017601245,2.214213117659076e-09
1999,0.34068953275449654,0.31496228872292886,0.29930014217344525,0.27873081015197354,0.2609753737171123,0.2491173075244069,0.24383173680217354,0.22658321967496925,0.20797768728887217,0.19058466154272907,0.13490921855117113,0.1264219407816175,0.07392140176012849,2.85213205231062e-09
2000,0.34068953275449615,0.3149622887229275,0.29930014217344425,0.2787308101519742,0.2609753737171123,0.2491173075244072,0.24383173680217268,0.22658321967497075,0.2079776872888724,0.19058466154273285,0.13490921855117205,0.1264219407816174,0.07392140176013268,2.956867236484349e-09
2001,0.3406895327544951,0.3149622887229254,0.2993001421734429,0.2787308101519743,0.260975373717112,0.249117307524407,0.2438317368021713,0.22658321967497186,0.2079776872888721,0.1905846615427363,0.13490921855117274,0.12642194078161711,0.07392140176013673,2.831285989951108e-09
2002,0.3406895327544961,0.31496228872292525,0.29930014217344314,0.2787308101519761,0.260975373717113,0.2491173075244082,0.24383173680217135,0.2265832196749743,0.20797768728887306,0.19058466154274076,0.1349092185511743,0.12642194078161767,0.07392140176014139,2.193102540982208e-09
