step,relaxation_factor,closure_global_abs,closure_pair_rms,transmission_leakage,reflection_rate,node_relative_norm,max_effective_delta
31.0,3.778395274121318e-05,2.3114622988144178e-05,5.401802537016075e-07,1.7666952208347161e-10,0.9999999998233305,3.5333904416694323e-10,4.488733585656126e-05
32.0,2.7204445973673487e-05,1.664252865163207e-05,3.8892978270465024e-07,9.158548025266341e-11,0.9999999999084147,1.8317096050532682e-10,3.2318881816724104e-05
33.0,1.9587201101044912e-05,1.1982620680833847e-05,2.800294435620931e-07,4.7477912964214704e-11,0.9999999999525222,9.495582592842941e-11,2.3269594908041354e-05
34.0,1.4102784792752334e-05,8.627486916879838e-06,2.016211993702074e-07,2.461255008098051e-11,0.9999999999753875,4.922510016196102e-11,1.6754108333789773e-05
35.0,1.015400505078168e-05,6.211790593946761e-06,1.451672635486051e-07,1.2759145962069414e-11,0.9999999999872409,2.551829192413883e-11,1.2062958000328635e-05
36.0,7.31088363656281e-06,4.472489234778143e-06,1.0452042975576203e-07,6.614341266760735e-12,0.9999999999933858,1.322868253352147e-11,8.685329760236618e-06
37.0,5.263836218325223e-06,3.2201922527344156e-06,7.525470942443361e-08,3.4288745126952e-12,0.999999999996571,6.8577490253904e-12,6.253437427370364e-06
38.0,3.7899620771941604e-06,2.318538423882029e-06,5.418339078569973e-08,1.7775285473829215e-12,0.9999999999982226,3.555057094765843e-12,4.502474947706662e-06
39.0,2.7287726955797955e-06,1.6693476661862051e-06,3.9012041365743105e-08,9.214707989637713e-13,0.9999999999990786,1.8429415979275425e-12,3.2417819623487968e-06
40.0,1.9647163408174524e-06,1.2019303201675147e-06,2.8088669783348836e-08,4.776904621829439e-13,0.9999999999995224,9.553809243658877e-13,2.3340830128911333e-06
41.0,1.4145957653885657e-06,8.653898307866459e-07,2.0223842244017234e-08,2.476347355956716e-13,0.9999999999997522,4.952694711913432e-13,1.680539769281616e-06
42.0,1.0185089510797675e-06,6.230806783043141e-07,1.456116641569453e-08,1.2837384693280524e-13,0.9999999999998717,2.567476938656105e-13,1.2099886338827638e-06
43.0,7.333264447774325e-07,4.486180884505234e-07,1.0484039819300611e-08,6.654900224996865e-14,0.9999999999999336,1.330980044999373e-13,8.711918163955898e-07
44.0,5.279950402397514e-07,3.230050237215186e-07,7.548508669896635e-09,3.449900276638439e-14,0.9999999999999654,6.899800553276878e-14,6.272581078048246e-07
45.0,3.80156428972621e-07,2.325636170987139e-07,5.4349262423273605e-09,1.7884283034093837e-14,0.9999999999999819,3.5768566068187674e-14,4.516258376194737e-07
46.0,2.737126288602871e-07,1.674458043210406e-07,3.913146894475282e-09,9.271212324874293e-15,0.9999999999999907,1.8542424649748586e-14,3.251706030860211e-07
47.0,1.970730927794067e-07,1.2056097911622792e-07,2.8174657640211648e-09,4.806196469214847e-15,0.9999999999999953,9.612392938429695e-15,2.3412283422193514e-07
48.0,1.4189262680117282e-07,8.680390496640969e-08,2.028575350094314e-09,2.4915322496409796e-15,0.9999999999999973,4.983064499281959e-15,1.685684406397933e-07
