th_p,fa,fb,nb0,offset,pred_offset,offset_err,M,pred_M,M_err,delta,signflip
0.2,0.6,0.8,1.0,0.05507207011297443,0.055072070112974165,2.636779683484747e-16,0.1348984708555648,0.13489847085556667,1.8596235662471372e-15,-9.757062911473415e-15,True
0.2,0.6,1.0,1.0,2.1234548194808322e-15,0.0,2.1234548194808322e-15,0.1508210754469115,0.15082107544691062,8.881784197001252e-16,-4.879713294426777e-15,True
0.2,0.8,0.0,1.0,0.08707658850874275,0.08707658850874243,3.191891195797325e-16,1.0863947085006666e-17,0.0,1.0863947085006666e-17,-3.1415926535897927,False
0.2,0.8,0.2,1.0,0.07788366846173098,0.07788366846173005,9.298117831235686e-16,0.07788366846172762,0.07788366846173031,2.6922908347160046e-15,1.618848830331162e-15,False
0.2,0.8,0.4,1.0,0.0674492354277856,0.06744923542778311,2.4841240175987878e-15,0.11014414022594851,0.11014414022594869,1.8041124150158794e-16,-1.2803203849343791e-14,True
0.2,0.8,0.6,1.0,0.0550720701129754,0.055072070112974165,1.2351231148954867e-15,0.13489847085557025,0.13489847085556667,3.58046925441613e-15,-8.28466092730349e-16,True
0.2,0.8,0.8,1.0,0.03894183423086505,0.038941834230865016,3.469446951953614e-17,0.15576733692346126,0.15576733692346062,6.38378239159465e-16,6.121489854290244e-15,True
0.2,0.8,1.0,1.0,1.884374336766486e-15,0.0,1.884374336766486e-15,0.1741531770174843,0.1741531770174854,1.0824674490095276e-15,1.7287484173881607e-15,True
0.2,1.0,0.0,1.0,2.2204460492503127e-15,0.0,2.2204460492503127e-15,2.7838103331512755e-31,0.0,2.7838103331512755e-31,-3.141592653589793,False
0.2,1.0,0.2,1.0,5.1942851127644516e-17,0.0,5.1942851127644516e-17,0.0870765885087426,0.0870765885087427,9.71445146547012e-17,-3.225965371514701e-15,True
0.2,1.0,0.4,1.0,3.1539275159112744e-15,0.0,3.1539275159112744e-15,0.12314489243424456,0.12314489243424515,5.828670879282072e-16,-1.8693699591835978e-14,True
0.2,1.0,0.6,1.0,7.856781297827155e-16,0.0,7.856781297827155e-16,0.1508210754469131,0.15082107544691062,2.4702462297909733e-15,6.416554856545834e-16,True
0.2,1.0,0.8,1.0,2.2813288305943526e-17,0.0,2.2813288305943526e-17,0.17415317701748578,0.1741531770174854,3.885780586188048e-16,3.2956443493383296e-15,True
0.2,1.0,1.0,1.0,2.3064755896002735e-15,0.0,2.3064755896002735e-15,0.19470917115432598,0.19470917115432573,2.498001805406602e-16,3.5957290775227497e-16,True
0.3,0.0,0.0,1.0,0.28232123669751846,0.2823212366975175,9.43689570931383e-16,2.7494724792057335e-17,0.0,2.7494724792057335e-17,-3.141592653589793,False
0.3,0.0,0.2,1.0,0.2525157906989824,0.25251579069898294,5.551115123125783e-16,8.416587346537311e-16,0.0,8.416587346537311e-16,1.042105457342036,False
0.3,0.0,0.4,1.0,0.2186850896020364,0.2186850896020335,2.886579864025407e-15,1.7302175995148768e-15,0.0,1.7302175995148768e-15,-1.9495171079375329,False
0.3,0.0,0.6,1.0,0.17855562795993568,0.17855562795993377,1.915134717478395e-15,3.3044235940390628e-15,0.0,3.3044235940390628e-15,-0.41352347530244127,False
0.3,0.0,0.8,1.0,0.12625789534949183,0.12625789534949144,3.885780586188048e-16,1.8249380483618534e-15,0.0,1.8249380483618534e-15,2.9680184622969294,False
0.3,0.0,1.0,1.0,1.7624790515924356e-15,0.0,1.7624790515924356e-15,1.1060550686295843e-15,0.0,1.1060550686295843e-15,2.520413301694017,False
0.3,0.2,0.0,1.0,0.25251579069898655,0.25251579069898294,3.608224830031759e-15,1.3532547321666063e-17,0.0,1.3532547321666063e-17,-3.141592653589793,False
0.3,0.2,0.2,1.0,0.22585698935801568,0.22585698935801402,1.6653345369377348e-15,0.056464247339503976,0.05646424733950368,2.983724378680108e-16,1.4469292696453368e-14,False
0.3,0.2,0.4,1.0,0.19559789040631384,0.19559789040631173,2.1094237467877974e-15,0.07985250437671357,0.07985250437671507,1.4988010832439613e-15,-9.694907014503123e-15,False
0.3,0.2,0.6,1.0,0.15970500875343036,0.15970500875342963,7.216449660063518e-16,0.09779894520315549,0.09779894520315617,6.800116025829084e-16,-1.025323837578947e-14,False
0.3,0.2,0.8,1.0,0.11292849467900845,0.112928494679007,1.457167719820518e-15,0.11292849467900737,0.11292849467900735,1.3877787807814457e-17,8.369887799290006e-15,False
0.3,0.2,1.0,1.0,2.5185370334990125e-15,0.0,2.5185370334990125e-15,0.12625789534949053,0.12625789534949186,1.3322676295501878e-15,1.2150886344723754e-16,True
0.3,0.4,0.0,1.0,0.21868508960203886,0.2186850896020335,5.35682609381638e-15,3.0916117700272464e-17,0.0,3.0916117700272464e-17,-3.141592653589793,False
