step,norm2,ztz_re,ztz_im,abs_ztz,sum_a2,sum_b2,sum_ab,f,a_1_2,b_1_2,abs_1_2,phase_1_2,a_1_3,b_1_3,abs_1_3,phase_1_3,a_1_4,b_1_4,abs_1_4,phase_1_4,a_1_5,b_1_5,abs_1_5,phase_1_5,a_2_3,b_2_3,abs_2_3,phase_2_3,a_2_4,b_2_4,abs_2_4,phase_2_4,a_2_5,b_2_5,abs_2_5,phase_2_5,a_3_4,b_3_4,abs_3_4,phase_3_4,a_3_5,b_3_5,abs_3_5,phase_3_5,a_4_5,b_4_5,abs_4_5,phase_4_5
1935,0.8596491228069956,-1.9262369477246466e-14,1.0948922508248349e-14,2.2156664504604106e-14,0.42982456140348824,0.42982456140350744,5.4539706084710815e-15,0.47644319738254337,0.1865664987236699,-0.17312017916124645,0.2545145474797682,-0.748032139575575,-0.1865664987236822,0.17312017916126,0.2545145474797864,2.393560514014212,0.1956967680517358,0.058429484858858745,0.20423327281999493,0.290145763444119,0.1956967680518193,0.058429484858551435,0.20423327281998704,0.29014576344256027,-0.325715421265661,-0.4896518852242877,0.5880897077436112,-2.1577814243788813,-0.18656649872309666,0.17312017916133282,0.25451454747940677,2.3935605140124374,-0.18656649872368575,0.173120179161291,0.2545145474798101,2.393560514014132,0.18656649872310033,-0.1731201791613358,0.2545145474794115,-0.7480321395773546,0.186566498723684,-0.1731201791612876,0.25451454747980656,-0.748032139575656,0.1956967680513776,0.05842948486058664,0.20423327282014606,0.2901457634527276
1936,0.8596491228069946,-1.9317880628477724e-14,1.1788684791645702e-14,2.2630810880145093e-14,0.4298245614034876,0.42982456140350694,5.9119376061289586e-15,0.47538290684110485,0.1894046919497369,-0.16971129010949915,0.2543148822291085,-0.7306144799646747,-0.18940469194974893,0.16971129010951216,0.2543148822291261,2.410978173625112,0.1942275150571381,0.059769231561174564,0.20321586711348133,0.2985314746180102,0.19422751505722222,0.059769231560866304,0.2032158671134711,0.29853147461643864,-0.31844427235036793,-0.49628212373127145,0.5896632097460179,-2.141286105119601,-0.18940469194916407,0.1697112901095888,0.25431488222874166,2.410978173623353,-0.18940469194975468,0.16971129010953906,0.25431488222914833,2.4109781736250486,0.1894046919491679,-0.1697112901095917,0.2543148822287465,-0.7306144799664388,0.18940469194975296,-0.16971129010953576,0.25431488222914483,-0.7306144799647396,0.19422751505676233,0.05976923156290743,0.20321586711363188,0.2985314746267041
1937,0.8596491228069958,-1.9040324872321435e-14,1.1180486904922989e-14,2.2080245892532462e-14,0.42982456140348835,0.4298245614035074,5.578870698741412e-15,0.4742923842404156,0.1921856071104107,-0.1662509441944687,0.2541154934787517,-0.7131690718365904,-0.19218560711042276,0.16625094419448133,0.25411549347876905,2.4284235817531963,0.19275284931703868,0.061067566445781506,0.20219522395805237,0.3068138272354241,0.19275284931712333,0.06106756644547243,0.20219522395803974,0.3068138272338405,-0.3110494063041,-0.5027927602055342,0.5912294756498807,-2.124811516098537,-0.19218560710983834,0.16625094419456146,0.2541154934783795,2.4284235817514532,-0.19218560711043028,0.16625094419450387,0.2541154934787895,2.4284235817531488,0.19218560710984223,-0.16625094419456438,0.25411549347838436,-0.7131690718383387,0.1921856071104285,-0.16625094419450073,0.2541154934787861,-0.7131690718366398,0.19275284931664494,0.0610675664475193,0.2021952239582019,0.30681382724420553
1938,0.8596491228069971,-1.915134717478395e-14,1.0747477043715019e-14,2.196092806359254e-14,0.429824561403489,0.4298245614035081,5.35682609381638e-15,0.47317131512386873,0.1949082721068048,-0.16274007442842306,0.25391645547429365,-0.6956958867916836,-0.19490827210681716,0.16274007442843544,0.253916455474311,2.4458967667981035,0.19127385685563134,0.06232456187386715,0.20117166631809272,0.3149909349956632,0.19127385685571627,0.06232456187355758,0.20117166631807756,0.3149909349940693,-0.3035326823272746,-0.5091812225672923,0.5927879946961752,-2.108357381451333,-0.1949082721062332,0.16274007442851932,0.25391645547391656,2.445896766796376,-0.19490827210682632,0.1627400744284537,0.2539164554743298,2.445896766798071,0.19490827210623723,-0.16274007442852204,0.2539164554739214,-0.6956958867934154,0.19490827210682451,-0.16274007442845062,0.2539164554743264,-0.6956958867917171,0.19127385685521914,0.06232456187561006,0.20117166631824077,0.3149909350045355
1939,0.8596491228069963,-1.8762769116165146e-14,9.986808366367795e-15,2.1255066366705946e-14,0.4298245614034888,0.42982456140350755,5.009881398621019e-15,0.4720193955223633,0.19757172901344924,-0.15917963408556707,0.2537178433082286,-0.6781949068146991,-0.19757172901346182,0.15917963408557922,0.25371784330824604,2.463397746775088,0.18979162170429578,0.06354031989085422,0.20014552685728104,0.3230608997845519,0.18979162170438135,0.06354031989054407,0.2001455268572637,0.32306089978294666,-0.2958960185004591,-0.5154449623403594,0.5943382563544758,-2.09192342275596,-0.1975717290128785,0.15917963408566685,0.25371784330784675,2.4633977467733765,-0.1975717290134726,0.15917963408559324,0.25371784330826325,2.4633977467750716,0.1975717290128825,-0.15917963408566954,0.2537178433078516,-0.678194906816415,0.1975717290134708,-0.1591796340855902,0.2537178433082599,-0.6781949068147167,0.18979162170386513,0.06354031989260199,0.2001455268574275,0.32306089979351577
1940,0.859649122806996,-1.887379141862766e-14,1.0547619518001042e-14,2.1621107279933183e-14,0.4298245614034885,0.4298245614035075,5.2735593669694936e-15,0.47083633234939176,0.20017503454756128,-0.15557059653977104,0.2535197328885023,-0.6606661244902743,-0.20017503454757404,0.1555705965397828,0.2535197328885196,2.4809265290995133,0.18830722508150058,0.06471497226309027,0.19911714806341382,0.3310218134123021,0.18830722508158645,0.06471497226277964,0.1991171480633941,0.3310218134106866,-0.2881413917049517,-0.5215814562000459,0.5958797505079585,-2.075509359162629,-0.20017503454699168,0.1555705965398745,0.2535197328881161,2.4809265290978177,-0.20017503454758667,0.15557059653979272,0.2535197328885357,2.480926529099513,0.20017503454699567,-0.15557059653987715,0.25351973288812085,-0.6606661244919738,0.20017503454758478,-0.15557059653978975,0.25351973288853236,-0.6606661244902757,0.18830722508105108,0.06471497226484298,0.19911714806355835,0.33102181342136033
1941,0.8596491228069951,-1.892930256985892e-14,1.0603229316736338e-14,2.1696704075148476e-14,0.42982456140348807,0.429824561403507,5.3013149425851225e-15,0.4696218437938341,0.20271726053894998,-0.1519139550899733,0.2533222009052798,-0.643109543215646,-0.20271726053896297,0.15191395508998481,0.2533222009052971,2.4984831103741416,0.18682174456713238,0.06584868049103967,0.1980868823660918,0.33887175951633586,0.18682174456721892,0.06584868049072831,0.1980868823660699,0.3388717595147082,-0.28027083749873805,-0.5275882075345638,0.5974119676419096,-2.05911490751977,-0.20271726053838127,0.1519139550900804,0.25332220090488894,2.4984831103724625,-0.202717260538977,0.1519139550899904,0.2533222009053117,2.498483110374157,0.2027172605383853,-0.1519139550900831,0.25332220090489377,-0.6431095432173296,0.2027172605389751,-0.1519139550899876,0.2533222009053085,-0.6431095432156317,0.18682174456666423,0.06584868049279728,0.19808688236623453,0.3388717595254898
1942,0.8596491228069948,-1.9317880628477724e-14,1.1092240192944773e-14,2.227595799228609e-14,0.4298245614034877,0.42982456140350705,5.537237335317968e-15,0.4683756597099363,0.2051974944002001,-0.1482107227730828,0.25312532479591954,-0.6255251774101523,-0.20519749440021337,0.14821072277309422,0.25312532479593697,2.516067476179635,0.18533625327194406,0.0669416357985895,0.1970550922464913,0.34660881563828666,0.18533625327203154,0.06694163579827711,0.19705509224646744,0.3466088156366448,-0.27228644994693435,-0.5334627480185902,0.5989343990356959,-2.0427397824961213,-0.20519749439963245,0.14821072277319364,0.25312532479552424,2.5160674761779727,-0.20519749440022877,0.14821072277309538,0.2531253247959501,2.516067476179667,0.20519749439963653,-0.1482107227731962,0.25312532479552907,-0.6255251774118191,0.20519749440022694,-0.1482107227730927,0.25312532479594707,-0.6255251774101219,0.18533625327145697,0.06694163580035137,0.1970550922466317,0.34660881564753565
1943,0.8596491228069942,-1.892930256985892e-14,1.0488791114304378e-14,2.16410081747773e-14,0.4298245614034877,0.42982456140350667,5.2735593669694936e-15,0.46709752200390997,0.2076148395967766,-0.14446193216421774,0.2529291827081531,-0.607913052721102,-0.20761483959679014,0.14446193216422884,0.2529291827081706,2.5336796008686857,0.18385181900282682,0.0679940590981011,0.19602215033838463,0.3542310554845986,0.18385181900291525,0.06799405909778797,0.19602215033835893,0.3542310554829438,-0.2641903814058412,-0.5392026391975585,0.6004465369581011,-2.0263836966989377,-0.20761483959621008,0.1444619321643324,0.2529291827077536,2.53367960086704,-0.2076148395968069,0.14446193216422584,0.25292918270818265,2.5336796008687332,0.20761483959621413,-0.14446193216433478,0.2529291827077583,-0.607913052722752,0.207614839596805,-0.14446193216422318,0.25292918270817955,-0.6079130527210554,0.18385181900232062,0.06799405909986755,0.19602215033852255,0.3542310554939463
1944,0.8596491228069969,-1.9317880628477724e-14,1.1266880338702249e-14,2.2363432306843024e-14,0.42982456140348885,0.4298245614035081,5.6343818499726694e-15,0.4657871850166099,0.20996841611667177,-0.14066863516412764,0.252733853461467,-0.5902732062255931,-0.20996841611668562,0.14066863516413858,0.2527338534614846,2.551319447364195,0.1823695034246392,0.06900620093086714,0.19498843951952818,0.36173655138030375,0.1823695034247284,0.0690062009305532,0.19498843951950048,0.361736551378636,-0.25598484225980567,-0.5448054740812275,0.6019478748659627,-2.0100463607883774,-0.20996841611610662,0.14066863516424627,0.2527338534610635,2.5513194473625656,-0.20996841611670386,0.14066863516413125,0.2527338534614957,2.551319447364259,0.20996841611611072,-0.1406686351642486,0.25273385346106825,-0.5902732062272262,0.20996841611670192,-0.14066863516412864,0.2527338534614926,-0.5902732062255299,0.18236950342411343,0.06900620093263767,0.19498843951966302,0.3617365513897506
1945,0.8596491228069962,-1.9262369477246466e-14,1.0966066492755102e-14,2.2165141375625882e-14,0.42982456140348857,0.42982456140350783,5.488665077990618e-15,0.4644444159017074,0.21225736093921493,-0.13683190277365745,0.2525394165066907,-0.5726056866278374,-0.21225736093922862,0.13683190277366805,0.25253941650670797,2.56898696696195,0.18089036121934363,0.06997834138264121,0.1939543529924763,0.36912337692558417,0.18089036121943403,0.06997834138232618,0.19395435299244693,0.3691233769239011,-0.2476721006101047,-0.5502688787450004,0.6034379076059954,-1.9937274835880834,-0.21225736093865097,0.13683190277378,0.2525394165062831,2.5689869669603382,-0.21225736093924852,0.13683190277365645,0.2525394165067184,2.568986966962031,0.2122573609386552,-0.1368319027737821,0.2525394165062878,-0.5726056866294531,0.21225736093924652,-0.13683190277365384,0.2525394165067153,-0.5726056866277576,0.1808903612187984,0.06997834138441539,0.19395435299260788,0.36912337693512964
1946,0.859649122806997,-1.8207657603852567e-14,9.540222420127457e-15,2.0555647380820504e-14,0.42982456140348935,0.42982456140350767,4.78089789979208e-15,0.46306899499879767,0.21448082850265032,-0.13295282485512447,0.2523459518837992,-0.554910554451544,-0.2144808285026643,0.13295282485513468,0.2523459518838165,2.586682099138244,0.17941543924322553,0.07091078997394924,0.19292029435383176,0.3763896098648394,0.17941543924331696,0.07091078997363333,0.19292029435380068,0.3763896098631423,-0.2392544819151489,-0.5555905139374685,0.6049161316197368,-1.9774267721920178,-0.2144808285020878,0.13295282485525098,0.25234595188338776,2.5866820991366484,-0.21448082850268546,0.1329528248551188,0.2523459518838261,2.5866820991383417,0.21448082850209213,-0.13295282485525298,0.2523459518833925,-0.5549105544531423,0.2144808285026835,-0.13295282485511625,0.252345951883823,-0.5549105544514471,0.17941543924266048,0.07091078997572746,0.19292029435395988,0.3763896098744881
1947,0.8596491228069981,-1.8984813721090177e-14,1.0717300162438081e-14,2.1801001692497736e-14,0.4298245614034895,0.4298245614035085,5.370703881624195e-15,0.4616607162008509,0.2166379911700796,-0.12903250988049014,0.25215354017793656,-0.537187882226908,-0.21663799117009344,0.12903250988049986,0.25215354017795344,2.6044047713628804,0.17794577568297612,0.07180388552490388,0.19188667765087175,0.383533335177921,0.17794577568306902,0.07180388552458676,0.19188667765083922,0.38353333517620725,-0.23073436858131838,-0.5607680766925492,0.6063820451514709,-1.9611439320675863,-0.21663799116951812,0.12903250988062048,0.2521535401775209,2.6044047713613017,-0.2166379911701158,0.12903250988047968,0.2521535401779623,2.6044047713629945,0.2166379911695225,-0.12903250988062234,0.2521535401775256,-0.537187882228489,0.21663799117011384,-0.1290325098804772,0.2521535401779594,-0.5371878822267945,0.17794577568239117,0.07180388552668523,0.19188667765099587,0.3835333351876706
1948,0.8596491228069993,-1.8984813721090177e-14,1.0683083345365823e-14,2.178420119693459e-14,0.42982456140349024,0.4298245614035091,5.329070518200751e-15,0.4602193873154086,0.2187280396933587,-0.12507208466622535,0.25196226247367864,-0.5194377546717428,-0.21872803969337293,0.12507208466623496,0.2519622624736958,2.6221548989180454,0.17648239921145933,0.0726579959942672,0.19085392742444637,0.3905526484030416,0.1764823992115536,0.07265799599394927,0.1908539274244125,0.3905526484013132,-0.2221141995038236,-0.5657993019445963,0.6078351484590347,-1.944878667155097,-0.21872803969279883,0.1250720846663598,0.2519622624732594,2.6221548989164845,-0.21872803969339646,0.12507208466621042,0.251962262473704,2.6221548989181764,0.21872803969280327,-0.12507208466636158,0.25196226247326414,-0.5194377546733063,0.21872803969339438,-0.125072084666208,0.251962262473701,-0.5194377546716127,0.1764823992108542,0.07265799599605216,0.19085392742456636,0.3905526484128969
1949,0.8596491228070022,-1.892930256985892e-14,1.0522743612824257e-14,2.1657484362744006e-14,0.4298245614034917,0.42982456140351055,5.266620473065586e-15,0.4587448304189541,0.22075018367452828,-0.12107269409477704,0.2517722003075507,-0.5016602688662838,-0.22075018367454338,0.12107269409478683,0.25177220030756864,2.639932384723504,0.1750263281439805,0.07347351829255079,0.18982247873697713,0.39744565920080366,0.17502632814407584,0.07347351829223213,0.18982247873694172,0.3974456591990614,-0.21339646955703562,-0.5706819641448049,0.60927494402739,-1.928630679963613,-0.2207501836739703,0.12107269409491586,0.2517722003071282,2.6399323847219605,-0.22075018367456758,0.1210726940947578,0.2517722003075759,2.6399323847236515,0.2207501836739747,-0.12107269409491764,0.25177220030713293,-0.5016602688678308,0.22075018367456556,-0.12107269409475542,0.251772200307573,-0.5016602688661373,0.1750263281433546,0.07347351829433921,0.18982247873709224,0.3974456592107671
1950,0.8596491228070018,-1.8540724511240114e-14,1.01279853300054e-14,2.1126631351128948e-14,0.42982456140349157,0.42982456140351016,5.072331443756184e-15,0.45723688220383113,0.22270365202434758,-0.1170355008225612,0.25158343561882096,-0.4838555344211936,-0.22270365202436276,0.11703550082257087,0.2515834356188389,2.6577371191685937,0.1735785695959026,0.074250878068946,0.18879277718432208,0.40421049516837243,0.1735785695959995,0.07425087806862642,0.1887927771842855,0.4042104951666142,-0.2045837290337753,-0.5754138788771772,0.6107009367848095,-1.9123996716632414,-0.22270365202379117,0.11703550082270434,0.25158343561839497,2.6577371191670673,-0.222703652024388,0.11703550082253744,0.25158343561884566,2.657737119168758,0.22270365202379566,-0.11703550082270603,0.25158343561839974,-0.4838555344227237,0.2227036520243859,-0.11703550082253503,0.25158343561884267,-0.48385553442103063,0.17357856959525625,0.07425087807073766,0.1887927771844325,0.4042104951784442
1951,0.8596491228070005,-1.9262369477246466e-14,1.1120638632259106e-14,2.2242020624647616e-14,0.42982456140349057,0.42982456140350983,5.551115123125783e-15,0.4556953943171275,0.22458769341749707,-0.11296168497442123,0.25139605069859794,-0.466023673638285,-0.2245876934175127,0.11296168497443076,0.2513960506986162,2.6755689799515023,0.17214011864247386,0.07499052947192669,0.18776527889022743,0.41084530591252527,0.17214011864257242,0.07499052947160602,0.1877652788901897,0.4108453059107499,-0.19567858303313188,-0.5799929044723142,0.6121126343215645,-1.896185342173919,-0.2245876934169422,0.11296168497456863,0.2513960506981685,2.675568979949993,-0.22458769341753873,0.11296168497439289,0.2513960506986224,2.6755689799516835,0.22458769341694695,-0.11296168497457018,0.25139605069817345,-0.4660236736397976,0.22458769341753657,-0.11296168497439052,0.2513960506986195,-0.46602367363810526,0.17214011864180687,0.07499052947372108,0.1877652788903326,0.41084530592270524
1952,0.8596491228069987,-1.9262369477246466e-14,1.1340947038196019e-14,2.2352985429269248e-14,0.4298245614034897,0.42982456140350894,5.68295410730002e-15,0.4541202336909033,0.22640157674400777,-0.1088524438245061,0.251210128137263,-0.4481648216634798,-0.22640157674402328,0.10885244382451531,0.251210128137281,2.693427831926307,0.17071195748173099,0.0756929548833844,0.18674045048200563,0.41734826738977393,0.17071195748183127,0.07569295488306256,0.18674045048196686,0.4173482673879807,-0.18668369079642358,-0.5844169436172214,0.6135095471109387,-1.8799873902507473,-0.2264015767434544,0.10885244382465774,0.25121012813682997,2.693427831924815,-0.22640157674405026,0.10885244382447308,0.251210128137287,2.6934278319265053,0.22640157674345923,-0.1088524438246591,0.2512101281368349,-0.4481648216649749,0.2264015767440481,-0.10885244382447067,0.251210128137284,-0.44816482166328314,0.1707119574810431,0.07569295488518109,0.18674045048210502,0.41734826740006253
1953,0.8596491228069982,-1.9484414082171497e-14,1.1576458055496642e-14,2.266399729165612e-14,0.42982456140348935,0.42982456140350894,5.7870375158586285e-15,0.4525112828631773,0.22814459155646097,-0.10470899146353682,0.25102575077026545,-0.4302791266315241,-0.22814459155647646,0.10470899146354569,0.2510257507702832,2.711313526958263,0.1692950546013732,0.07635866462619412,0.18571876904604318,0.4237175865211214,0.16929505460147543,0.07635866462587125,0.18571876904600362,0.42371758651931035,-0.177601764990998,-0.5886839449593299,0.6148911887324431,-1.8638055135659373,-0.22814459155590952,0.10470899146369274,0.2510257507698293,2.7113135269567885,-0.22814459155650463,0.1047089914634993,0.2510257507702895,2.7113135269584774,0.22814459155591443,-0.10470899146369415,0.25102575076983435,-0.43027912663300194,0.22814459155650238,-0.10470899146349688,0.25102575077028644,-0.4302791266313107,0.1692950546006643,0.07635866462799337,0.1857187690461367,0.42371758653152214
