Nh_chi_AB,delta_s,d0,epsilon_chi_AB,relative_step,sampling_condition_delta_s_le_epsilon,min_abs_chi_gap,min_abs_tau_gap,collision_cell_reached,crossed_without_detection,collision_step,post_collision_steps,post_collision_propagation_completed,q_reversed,separated_after_collision,case_valid
199,0.001,0.203,0.015707963267948967,0.002,True,0.013999999999999681,0.0,True,False,196,204,True,True,True,True
399,0.02,0.203,0.007853981633974483,0.04,False,0.006000000000000047,0.0,True,False,10,10,True,True,True,True
399,0.01,0.203,0.007853981633974483,0.02,False,0.005999999999999957,0.0,True,False,20,20,True,True,True,True
399,0.005,0.203,0.007853981633974483,0.01,True,0.005999999999999799,0.0,True,False,40,40,True,True,True,True
399,0.002,0.203,0.007853981633974483,0.004,True,0.0059999999999996965,0.0,True,False,100,100,True,True,True,True
399,0.001,0.203,0.007853981633974483,0.002,True,0.005999999999999681,0.0,True,False,200,200,True,True,True,True
999,0.02,0.203,0.0031415926535897933,0.04,False,0.006000000000000047,0.0,False,True,11,0,False,False,False,False
999,0.01,0.203,0.0031415926535897933,0.02,False,0.005999999999999957,0.0,False,True,21,0,False,False,False,False
999,0.005,0.203,0.0031415926535897933,0.01,False,0.004000000000000201,0.0,False,True,41,0,False,False,False,False
999,0.002,0.203,0.0031415926535897933,0.004,True,0.0019999999999996965,0.0,True,False,101,99,True,True,True,True
999,0.001,0.203,0.0031415926535897933,0.002,True,0.001999999999999681,0.0,True,False,202,198,True,True,True,True
