protocol,kind,step,C_memory
delayed_step_pair,delayed_step_pair,30,0.0
delayed_step_pair,delayed_step_pair,31,0.0
delayed_step_pair,delayed_step_pair,32,0.0
delayed_step_pair,delayed_step_pair,33,0.0
delayed_step_pair,delayed_step_pair,34,0.0
delayed_step_pair,delayed_step_pair,35,0.0
delayed_step_pair,delayed_step_pair,36,0.0
delayed_step_pair,delayed_step_pair,37,0.0
delayed_step_pair,delayed_step_pair,38,0.0
delayed_step_pair,delayed_step_pair,39,0.0
delayed_step_pair,delayed_step_pair,40,0.0
delayed_step_pair,delayed_step_pair,41,0.0
delayed_step_pair,delayed_step_pair,42,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,43,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,44,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,45,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,46,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,47,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,48,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,49,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,50,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,51,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,52,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,53,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,54,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,55,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,56,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,57,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,58,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,59,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,60,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,61,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,62,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,63,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,64,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,65,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,66,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,67,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,68,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,69,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,70,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,71,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,72,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,73,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,74,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,75,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,76,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,77,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,78,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,79,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,80,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,81,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,82,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,83,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,84,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,85,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,86,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,87,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,88,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,89,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,90,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,91,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,92,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,93,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,94,2.0900000000000003e-06
delayed_step_pair,delayed_step_pair,95,2.0900000000000003e-06
ramp_duration_8,ramp,0,0.0
ramp_duration_8,ramp,1,0.0
ramp_duration_8,ramp,2,0.0
ramp_duration_8,ramp,3,0.0
ramp_duration_8,ramp,4,0.0
ramp_duration_8,ramp,5,4.75e-07
ramp_duration_8,ramp,6,9.5e-07
ramp_duration_8,ramp,7,1.425e-06
ramp_duration_8,ramp,8,1.9e-06
ramp_duration_8,ramp,9,2.375e-06
ramp_duration_8,ramp,10,2.85e-06
ramp_duration_8,ramp,11,3.325e-06
ramp_duration_8,ramp,12,3.8e-06
ramp_duration_8,ramp,13,3.8e-06
ramp_duration_8,ramp,14,3.8e-06
ramp_duration_8,ramp,15,3.8e-06
ramp_duration_8,ramp,16,3.8e-06
ramp_duration_8,ramp,17,3.8e-06
ramp_duration_8,ramp,18,3.8e-06
ramp_duration_8,ramp,19,3.8e-06
ramp_duration_8,ramp,20,3.8e-06
ramp_duration_8,ramp,21,3.8e-06
ramp_duration_8,ramp,22,3.8e-06
ramp_duration_8,ramp,23,3.8e-06
ramp_duration_8,ramp,24,3.8e-06
ramp_duration_8,ramp,25,3.8e-06
ramp_duration_8,ramp,26,3.8e-06
ramp_duration_8,ramp,27,3.8e-06
ramp_duration_8,ramp,28,3.8e-06
ramp_duration_8,ramp,29,3.8e-06
ramp_duration_8,ramp,30,3.8e-06
ramp_duration_8,ramp,31,3.8e-06
ramp_duration_8,ramp,32,3.8e-06
ramp_duration_8,ramp,33,3.8e-06
ramp_duration_8,ramp,34,3.8e-06
ramp_duration_8,ramp,35,3.8e-06
ramp_duration_8,ramp,36,3.8e-06
ramp_duration_8,ramp,37,3.8e-06
ramp_duration_8,ramp,38,3.8e-06
ramp_duration_8,ramp,39,3.8e-06
ramp_duration_8,ramp,40,3.8e-06
ramp_duration_8,ramp,41,3.8e-06
ramp_duration_8,ramp,42,3.8e-06
ramp_duration_8,ramp,43,3.8e-06
ramp_duration_8,ramp,44,3.8e-06
ramp_duration_8,ramp,45,3.8e-06
ramp_duration_8,ramp,46,3.8e-06
ramp_duration_8,ramp,47,3.8e-06
ramp_duration_8,ramp,48,3.8e-06
ramp_duration_8,ramp,49,3.8e-06
ramp_duration_8,ramp,50,3.8e-06
ramp_duration_8,ramp,51,3.8e-06
ramp_duration_8,ramp,52,3.8e-06
ramp_duration_8,ramp,53,3.8e-06
ramp_duration_8,ramp,54,3.8e-06
ramp_duration_8,ramp,55,3.8e-06
ramp_duration_8,ramp,56,3.8e-06
ramp_duration_8,ramp,57,3.8e-06
ramp_duration_8,ramp,58,3.8e-06
ramp_duration_8,ramp,59,3.8e-06
ramp_duration_8,ramp,60,3.8e-06
ramp_duration_8,ramp,61,3.8e-06
ramp_duration_8,ramp,62,3.8e-06
ramp_duration_8,ramp,63,3.8e-06
ramp_duration_8,ramp,64,3.8e-06
ramp_duration_8,ramp,65,3.8e-06
ramp_duration_8,ramp,66,3.8e-06
ramp_duration_8,ramp,67,3.8e-06
ramp_duration_8,ramp,68,3.8e-06
ramp_duration_8,ramp,69,3.8e-06
ramp_duration_8,ramp,70,3.8e-06
