phase,case,step,particle,delta_chi_mean,delta_chi_std,R_mean,R_std,C_memory_mean,distance_AB_abs,gauge_count,v_chi_read,a_chi_read
phase2_c_deformation_only,A_B_to_C_no_return,9,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,2.0668339937087733e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,9,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,2.0668339937087733e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,10,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,2.1938199197024394e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,10,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,2.1938199197024394e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,11,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,2.3106469716166122e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,11,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,2.3106469716166122e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,12,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,2.41812785937765e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,12,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,2.41812785937765e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,13,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,2.5170102761178064e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,13,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,2.5170102761178064e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,14,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,2.607982099518749e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,14,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,2.607982099518749e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,15,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,2.691676177047617e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,15,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,2.691676177047617e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,16,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,2.768674728374176e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,16,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,2.768674728374176e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,17,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,2.839513395594609e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,17,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,2.839513395594609e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,18,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,2.9046849694374077e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,18,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,2.9046849694374077e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,19,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,2.9646428173727836e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,19,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,2.9646428173727836e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,20,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.019804037473329e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,20,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.019804037473329e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,21,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.07055235996583e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,21,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.07055235996583e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,22,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.11724081665893e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,22,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.11724081665893e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,23,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.1601941968165838e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,23,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.1601941968165838e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,24,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.1997113065616254e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,24,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.1997113065616254e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,25,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.236067047527063e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,25,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.236067047527063e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,26,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.2695143292152645e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,26,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.2695143292152645e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,27,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.3002858283684117e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,27,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.3002858283684117e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,28,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.3285956075893067e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,28,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.3285956075893067e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,29,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.35464060447253e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,29,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.35464060447253e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,30,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.378602001605095e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,30,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.378602001605095e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,31,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.4006464869670558e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,31,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.4006464869670558e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,32,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.4209274135000586e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,32,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.4209274135000586e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,33,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.439585865910421e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,33,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.439585865910421e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,34,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.4567516421279556e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,34,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.4567516421279556e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,35,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.472544156248087e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,35,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.472544156248087e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,36,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.487073269238607e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,36,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.487073269238607e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,37,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.5004400531898877e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,37,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.5004400531898877e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,38,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.5127374944250637e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,38,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.5127374944250637e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,39,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.5240511403614256e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,39,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.5240511403614256e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,40,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.53445969462288e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,40,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.53445969462288e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,41,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.544035564543418e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,41,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.544035564543418e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,42,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.552845364870312e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,42,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.552845364870312e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,43,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.560950381171055e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,43,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.560950381171055e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,44,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.5684069961677383e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,44,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.5684069961677383e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,45,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.575267081964687e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,45,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.575267081964687e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,46,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.581578360897879e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,46,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.581578360897879e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,47,A,-2.836548826074295e-20,6.414265819555404e-19,1.0,0.10690449676496973,3.5873847375164167e-06,0.5,7,0.0,0.0
phase2_c_deformation_only,A_B_to_C_no_return,47,B,-2.836548826074295e-20,6.414265819555404e-19,1.5625,0.16703827619526523,3.5873847375164167e-06,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,0,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,0,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,1,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,1,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,2,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,2,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,3,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,3,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,4,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,4,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,5,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,5,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,6,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,6,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,7,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,7,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,8,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,8,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,9,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,9,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,10,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,10,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,11,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,11,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,12,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,12,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,13,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,13,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,14,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,14,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,15,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,15,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,16,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,16,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,17,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,17,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,18,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,18,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,19,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,19,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,20,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,20,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,21,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,21,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,22,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,22,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,23,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,23,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,24,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,24,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,25,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,25,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,26,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,26,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,27,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,27,B,-1.1408103241485042e-10,6.414265819373951e-19,1.5625,0.16703827619526523,2.9233264549036763e-07,0.5,7,0.0,0.0
phase3_c_return_frozen,C_return_without_reembedding,28,A,1.7825161307551725e-10,6.414265819373954e-19,1.0,0.10690449676496973,2.9233264549036763e-07,0.5,7,0.0,0.0
