step,H_perp,A_perp,H_total,four_group_error,A_B_center_distance
24,5.2292849850002235e-30,2.2867629927476573e-15,0.8596491228070204,0.7570648207573304,0.41808387553327864
25,6.0285459119209264e-30,2.455309738489408e-15,0.8596491228070212,0.8616483745228617,0.3738035845916521
26,6.347191021219794e-30,2.5193632174062938e-15,0.8596491228070222,0.9789046915379833,0.3402197990327443
27,7.594712142696626e-30,2.7558505298177233e-15,0.8596491228070214,0.9927179887868137,0.3357431218355722
28,6.881046764741783e-30,2.6231749397899073e-15,0.8596491228070205,0.9016285846550953,0.3631751789323417
29,7.853248113267326e-30,2.8023647359448637e-15,0.8596491228070183,0.7152620975646713,0.4066666846704068
30,9.727222147743699e-30,3.1188494910373117e-15,0.8596491228070202,0.891351766532703,0.4465308215940311
31,1.1058930481914557e-29,3.3254970278011913e-15,0.85964912280702,0.9896561214904498,0.4689727827690735
32,1.2328262760011576e-29,3.511162593787359e-15,0.85964912280702,0.9833813293441744,0.46750387269967175
33,1.3289109209266366e-29,3.6454230494232585e-15,0.8596491228070194,0.873190461232086,0.4425257784815994
34,1.4823305002965238e-29,3.850104544420221e-15,0.8596491228070196,0.7417037461830406,0.401369260974653
35,1.8325030827850108e-29,4.28077455933504e-15,0.8596491228070207,0.9176508880288416,0.3586884825614137
36,2.237805409931583e-29,4.730544799419601e-15,0.8596491228070212,0.9966278347478994,0.3344536106357678
37,2.6096940562492514e-29,5.108516473741914e-15,0.8596491228070244,0.9702889180323974,0.34295114902263557
38,3.139936875566192e-29,5.603513964974293e-15,0.8596491228070229,0.841417429356957,0.37888970977703296
39,3.7120187173656216e-29,6.092633845362466e-15,0.8596491228070232,0.7817184582296286,0.4230949129052743
40,4.123780733916291e-29,6.4216670218225186e-15,0.8596491228070234,0.9404452968208786,0.45758270124554196
41,4.3600020601264604e-29,6.6030311676732675e-15,0.8596491228070222,0.9997932047878252,0.47135578121225175
42,4.8171937547996854e-29,6.9406006619021715e-15,0.8596491228070229,0.9534907576802825,0.4605726658775194
43,5.466636591346506e-29,7.393670665742765e-15,0.8596491228070229,0.8064308373005109,0.42821732480251656
44,6.31574058522795e-29,7.947163384018194e-15,0.8596491228070251,0.8187476137346914,0.3843685073531158
45,7.3097996963737e-29,8.549736660490603e-15,0.8596491228070265,0.9596479359952097,0.3462619173946123
46,8.611612782982807e-29,9.279877576230633e-15,0.8596491228070271,0.99914014235849,0.33361970630708904
47,1.0060438120778069e-28,1.0030173538268451e-14,0.8596491228070262,0.933051004195877,0.35424659075738263
48,1.182323673954802e-28,1.0873470807220674e-14,0.8596491228070253,0.7683643066341445,0.3957575425392862
49,1.391107143291921e-28,1.1794520521377378e-14,0.8596491228070278,0.8526497901230321,0.43805271937884804
50,1.621993162073653e-28,1.2735749534572564e-14,0.859649122807029,0.9751854664047341,0.4655924175937349
51,1.893219468729277e-28,1.3759431197288924e-14,0.8596491228070293,0.9946711416504652,0.47015017459344777
52,2.263050499642611e-28,1.504343876792341e-14,0.85964912280703,0.9090477215408009,0.45047724816620166
53,2.5999649803939363e-28,1.612440690504285e-14,0.8596491228070291,0.727363221899372,0.4121835158399802
54,3.097615648373876e-28,1.7600044455551462e-14,0.85964912280703,0.8832955074477156,0.3681468678126994
55,3.6306764643113196e-28,1.9054334058978075e-14,0.859649122807032,0.9869985467673492,0.33761152374341463
56,4.300190861256057e-28,2.0736901555574924e-14,0.859649122807032,0.986403270770762,0.33780477389770724
57,5.0564393326903405e-28,2.2486527817096043e-14,0.8596491228070327,0.8815725835866328,0.36860544697674796
58,5.940864776427554e-28,2.4373889259672028e-14,0.8596491228070323,0.7298716840708332,0.4126759120138743
59,6.975198979709313e-28,2.6410601999404164e-14,0.8596491228070315,0.9105677229027738,0.45081821638146674
60,8.14911466983031e-28,2.8546654216966144e-14,0.8596491228070329,0.995042060303503,0.4702373752541285
