local_path	zenodo_filename	size_bytes
波の情報読出し/20260715/system_B_full_R_sweep_full_range_depth_v1.svg	波の情報読出し__20260715__system_B_full_R_sweep_full_range_depth_v1.svg	305639
波の情報読出し/20260715/system_B_full_R_sweep_band_detail_rank_01_v1.svg	波の情報読出し__20260715__system_B_full_R_sweep_band_detail_rank_01_v1.svg	43292
波の情報読出し/20260715/system_B_full_R_sweep_band_detail_rank_02_v1.svg	波の情報読出し__20260715__system_B_full_R_sweep_band_detail_rank_02_v1.svg	58758
波の情報読出し/20260715/system_B_low_alpha_R_sensitivity_depth_v1.svg	波の情報読出し__20260715__system_B_low_alpha_R_sensitivity_depth_v1.svg	13315
波の情報読出し/20260715/system_B_high_alpha_R_sensitivity_depth_v1.svg	波の情報読出し__20260715__system_B_high_alpha_R_sensitivity_depth_v1.svg	13019
波の情報読出し/20260715/system_B_mid_R_sensitivity_depth_v1.svg	波の情報読出し__20260715__system_B_mid_R_sensitivity_depth_v1.svg	19365
波の情報読出し/20260715/system_B_full_R_sweep_ranked_depth_bar_v1.pdf	波の情報読出し__20260715__system_B_full_R_sweep_ranked_depth_bar_v1.pdf	70703
波の情報読出し/20260715/system_B_full_R_sweep_full_range_depth_v1.pdf	波の情報読出し__20260715__system_B_full_R_sweep_full_range_depth_v1.pdf	145438
波の情報読出し/20260715/system_B_full_R_sweep_band_detail_rank_01_v1.pdf	波の情報読出し__20260715__system_B_full_R_sweep_band_detail_rank_01_v1.pdf	69001
波の情報読出し/20260715/system_B_full_R_sweep_band_detail_rank_02_v1.pdf	波の情報読出し__20260715__system_B_full_R_sweep_band_detail_rank_02_v1.pdf	74177
波の情報読出し/20260715/system_B_low_alpha_R_sensitivity_depth_v1.pdf	波の情報読出し__20260715__system_B_low_alpha_R_sensitivity_depth_v1.pdf	91635
波の情報読出し/20260715/system_B_high_alpha_R_sensitivity_depth_v1.pdf	波の情報読出し__20260715__system_B_high_alpha_R_sensitivity_depth_v1.pdf	93176
波の情報読出し/20260715/system_B_mid_R_sensitivity_depth_v1.pdf	波の情報読出し__20260715__system_B_mid_R_sensitivity_depth_v1.pdf	105160
