t,H,Q2_re,Q2_im,gen_norm,cA_re,cA_im,cB_re,cB_im,a_A,a_B,eta_perp,valid_A,valid_B,n_A,n_B,r_A,r_B,eps_abs,eps_u1,phi_star,dense_sparse_drift
73,108.81778016906259,-22.69453444330083,6.561455524124779,10.871289564292562,0.3573852011262853,0.47366476482920705,0.017726905160742157,0.49684264344827056,0.5933653945291918,0.497158783001209,0.8560471783676401,1,1,1,1,0.008116666307267373,0.16656367931389848,1.271017092721799,0.997269817463137,1.178371334785253,1.088193929049926e-13
74,108.81778016906264,-22.69453444330083,6.561455524124751,10.814116540277354,0.5476178682294173,0.2179441347180837,0.29134347402006333,0.38625569358079115,0.5893937355131504,0.4838124436986479,0.8573980783342763,1,1,0,1,0.5096684855609079,0.7771319534259633,1.0804694649951236,0.9961007853890786,0.5985462701048305,1.150683778911212e-13
75,108.81778016906254,-22.694534443300974,6.561455524124712,10.85286450517444,0.5676133371408553,-0.11512879657969545,0.4675576041201222,0.12942403857583787,0.5791714256608894,0.4851398715131842,0.8566271969720631,1,1,0,0,0.06921516645422754,0.139147323855775,0.9906429279885397,0.9906242516822759,-0.008523499431966173,1.1550485511741333e-13
76,108.81778016906244,-22.694534443300903,6.561455524124705,10.84116417047285,0.38960200616210894,-0.41392781317340643,0.4749074924094563,-0.16465569694854124,0.568441692457598,0.5026416465875541,0.8562727501298156,1,1,5,0,0.36243464221014765,0.4646415321862687,1.0769887982645834,0.9891038091192509,-0.6054018795727857,1.0950328739475304e-13
77,108.81778016906276,-22.694534443301045,6.561455524124804,10.820755412854298,0.07192233100283013,-0.5623923642409743,0.31485875242041544,-0.39283161451112547,0.5669726563542843,0.5034408717368485,0.8598919348953455,1,1,5,3,0.26550311693785034,0.5447617439150152,1.2797649617896654,0.9982299141118692,-1.2015367278085314,1.1480498320834636e-13
78,108.81778016906287,-22.69453444330096,6.561455524124876,10.871134243089323,-0.27737664649944105,-0.517758214453506,0.0667019632560694,-0.4971534259522268,0.5873766871926044,0.5016080948691422,0.8575834549056855,1,1,4,3,0.16268002744119148,0.0024716035287717375,1.491263735112038,1.0002309246785321,-1.7966833922911662,1.1563859983200567e-13
79,108.81778016906277,-22.69453444330092,6.56145552412487,10.815468400115723,-0.5158472882403681,-0.29241169845449194,-0.2184822574041641,-0.4433176226926072,0.5929612349707037,0.4942317385500897,0.8562371700822792,1,1,4,3,0.40060471439108447,0.5887985586427575,1.651637182833607,0.9968227865685889,-2.3793894579673696,1.0874396171169504e-13
80,108.8177801690629,-22.694534443300952,6.561455524124868,10.825191274084261,-0.5817069405387841,0.02419261329071884,-0.4360088138172039,-0.2158830309039148,0.5822097965586175,0.48652766494675903,0.8568891014715763,1,1,3,2,0.08933464138076452,0.3288479905390638,1.7324934513336079,0.9924545099796283,-2.978313046690638,1.1117252723604348e-13
81,108.8177801690629,-22.694534443300917,6.561455524124787,10.863071702139477,-0.4492273114794113,0.35041982179980075,-0.49715855358948347,0.08059318723391272,0.5697361046038982,0.5036485771207021,0.8566304258293647,1,1,2,2,0.515639785672938,0.2916092842308817,1.7089112903808745,0.9905699543710725,2.6984755215647445,1.0757633240029655e-13
82,108.81778016906333,-22.694534443300967,6.5614555241248045,10.814181738875432,-0.15834892567611913,0.5397172386019788,-0.3786955875247181,0.3418596171345649,0.5624669589468579,0.5101748188984662,0.8596806188586769,1,1,2,1,0.10731529294941611,0.7055756542186948,1.5848527384290272,0.9976259983467073,2.1052171568599634,1.1434789368920572e-13
83,108.81778016906372,-22.694534443301,6.561455524124943,10.850252065923055,0.1914309851361361,0.5455465715897168,-0.14732345961643487,0.4814868252023687,0.578158182371819,0.5035213645882483,0.8604393161048935,1,1,1,1,0.3170242263239933,0.16603070081917792,1.392505546203156,1.0050486421136646,1.5092060207011397,1.1520651187601143e-13
84,108.81778016906378,-22.694534443300995,6.561455524124982,10.833033694373299,0.4758499233740583,0.35741842832074827,0.14200787877030244,0.4829190916223933,0.5951311472930744,0.5033657583569212,0.8553806051081536,1,1,1,1,0.27208297529565595,0.41689939386754826,1.1777951829971656,0.998088924013182,0.9141457024010108,1.0591496976182625e-13
85,108.81778016906364,-22.694534443300967,6.561455524124984,10.807055657828151,0.5828275988451832,0.06154645076207332,0.3912908511393612,0.29320574946068895,0.5860682345743115,0.4889561756458037,0.8568710528544777,1,1,0,0,0.23610952782299321,0.5121721103221164,1.0206909949838299,0.9942834160029298,0.32581806811721553,1.1048321458130753e-13
86,108.8177801690635,-22.694534443300967,6.561455524124959,10.86820847161765,0.4987212251854951,-0.281098385738875,0.5038258766753797,0.0027744344858058323,0.5724850765876108,0.5038335156521755,0.8565835229496239,1,1,0,0,0.3823540518336652,0.12539301675043424,1.0121964825801828,0.9913995192756382,-0.28722772574579086,1.0496989396083946e-13
87,108.81778016906331,-22.694534443300928,6.561455524124933,10.815502296346933,0.23782831311876776,-0.507252256129378,0.43179360728869853,-0.27891600373629055,0.560238483031345,0.5140426601320257,0.8597302382014508,1,1,5,0,0.04572445904894362,0.704420783651373,1.1651545609961214,0.9979611031915149,-0.8765472603732758,1.0498994831101673e-13
88,108.81778016906325,-22.69453444330092,6.561455524124932,10.826366183872278,-0.10814673706267458,-0.5588217424340676,0.21958793423370226,-0.4567864425212814,0.5691901760873519,0.506826119031244,0.8625933101518841,1,1,4,3,0.4633352428262816,0.31720805866091517,1.3813596865288709,1.0084563908150783,-1.4772275544428457,1.0613015761327098e-13
89,108.81778016906325,-22.694534443301038,6.561455524124831,10.858587124461332,-0.42452006196444847,-0.4138546668121589,-0.06370805537268104,-0.5020890483990906,0.5928684240643131,0.5061147388109469,0.8568662457168784,1,1,4,3,0.1436205208646557,0.25711120935776943,1.576960216568103,1.002698111609947,-2.082253261171163,1.0280317724633244e-13
