t,H,Q2_re,Q2_im,gen_norm,cA_re,cA_im,cB_re,cB_im,a_A,a_B,eta_perp,valid_A,valid_B,n_A,n_B,r_A,r_B,eps_abs,eps_u1,phi_star,dense_sparse_drift
346,14.999999999999943,-3.4641016151378548,-2.0539125955565396e-13,4.9341644960591955,0.24443192699105182,0.9453410208445734,-0.08251230629760159,0.17314619947766935,0.9764305467487275,0.1918016868646105,0.3880262126919954,1,1,1,-1,0.5148226682859112,nan,1.4381962908102335,0.43651209288390685,1.6086114670281446,0.012652255718325383
347,14.999999999999947,-3.4641016151378596,-2.0372592501871623e-13,4.962630958458606,0.9543216487711361,0.16518459342531983,0.16252719644799224,0.08042632273847826,0.968512136846177,0.18133803510151456,0.3619830532192835,1,1,0,-1,0.4331922884025188,nan,0.6159003555334863,0.40681881352045857,0.4876452795516642,0.012973670439829168
348,14.999999999999911,-3.464101615137853,-2.0194956817931597e-13,4.961785363591313,0.6470720434080952,-0.7613235122008131,0.19735248911803904,-0.08560698930184185,0.9991575048960546,0.21511987722758533,0.3134895316608423,1,1,0,-1,0.6045432473301,nan,0.6473604523531077,0.37709873210011524,-0.552971720377205,0.013603664971735355
349,14.999999999999892,-3.4641016151378476,-2.0117241206207837e-13,4.933715928744392,-0.35210552255019556,-0.9059657187980537,0.05700688628696127,-0.17497949818919462,0.9719836329113882,0.18403154585743417,0.39399051077562997,1,1,2,-1,0.41471253197990965,nan,1.4644172506681037,0.4393045075642944,-1.6508580119799912,0.01249084579870349
350,14.999999999999904,-3.464101615137848,-1.9595436384634013e-13,4.95500997434321,-0.9719003023734787,-0.05393622737542508,-0.17979655124743366,-0.06122650385951191,0.9733957645157251,0.18993547487325757,0.34950280201987394,1,1,2,-1,0.7299593915203291,nan,1.9269936507936845,0.39844262346017734,-2.7666125862166537,0.012522452319827496
351,14.99999999999988,-3.4641016151378414,-2.0267121314532233e-13,4.967634846870753,-0.5528329439884594,0.8312803717921289,-0.18910811024071494,0.09665397195120679,0.9983242561842355,0.2123767116535122,0.3226365416469509,1,1,1,-1,0.3250747529086708,nan,1.8563387788915393,0.3839457425806385,2.466305193291815,0.013514945069646468
352,14.999999999999885,-3.4641016151378445,-2.1094237467877974e-13,4.935503247077172,0.45597795387616336,0.8534276117223474,-0.030129254868427005,0.17340395573601525,0.9676024921790984,0.17600199960177887,0.3988273538806039,1,1,1,-1,0.7525013328761783,nan,1.2813794462882924,0.4410733458858162,1.3711476540975687,0.013023536239347043
353,14.999999999999883,-3.4641016151378414,-2.042810365310288e-13,4.945036950578834,0.976923634256355,-0.05703461208540503,0.1943328053533602,0.042004728477409686,0.9785871111681255,0.1988206137475888,0.33753198602319623,1,1,0,-1,0.20348372976153062,nan,0.4657229576693132,0.39113136230824885,0.2638386790146776,0.012768215825398542
354,14.99999999999989,-3.4641016151378405,-2.0172752357439094e-13,4.967804856920779,0.4479408621019903,-0.8903507533802838,0.18059763634807507,-0.10787534071215377,0.9966822362144884,0.21036300860245088,0.33327677701309166,1,1,0,-1,0.8428675682077547,nan,0.8455194760670431,0.39266928179149035,-0.8006734260611154,0.0139758418045874
355,14.99999999999989,-3.4641016151378294,-1.858513343222512e-13,4.939402913604218,-0.5596737655500605,-0.7843043221318406,0.0007940264572208339,-0.1686946200289427,0.9635185486329104,0.16869648871486367,0.4021968123939438,1,1,2,-1,0.16560777760918288,nan,1.6063131633684546,0.4418058881296283,-1.898107353296574,0.014201054501669088
