t,H,Q2_re,Q2_im,gen_norm,cA_re,cA_im,cB_re,cB_im,a_A,a_B,eta_perp,valid_A,valid_B,n_A,n_B,r_A,r_B,eps_abs,eps_u1,phi_star,dense_sparse_drift
260,65.99999999999956,-5.795554957734593,-1.5529142706145056,10.910952208580357,-0.00039116385039090346,0.008620431492331403,0.7237954526111083,-0.6826157776736186,0.00862930172562251,0.994909120045383,0.07005278464346266,1,1,-1,3,nan,0.6837700737739638,0.8586570582143666,0.07056109247097588,-0.8854648680228776,0.007302393513880789
261,65.9999999999996,-5.795554957734597,-1.5529142706144996,10.952164940173208,-0.00017454953375600768,0.010800270203325954,0.23734432963193097,-0.9653819873448259,0.010801680610191402,0.99413012845315,0.08977927422118939,1,1,-1,3,nan,0.11017433732098603,1.3320402203268153,0.09043962046288385,-1.4572547515024106,0.008565100432888237
262,65.99999999999962,-5.7955549577346,-1.5529142706145005,10.927839874246974,0.0001628044057375485,0.009572192553399347,-0.3036998200058604,-0.9492967594343457,0.009573576946673667,0.9966934925763998,0.08195743796275785,1,1,-1,3,nan,0.44053083299653295,1.6863720469533745,0.08251640979067229,-2.007954590800765,0.009373140568423899
263,65.9999999999997,-5.795554957734607,-1.552914270614504,10.916704676005999,0.000425518995777599,0.005313385661424273,-0.7638315453140685,-0.6449829163477845,0.005330397133684941,0.9997207570103619,0.04914779088833525,1,1,-1,2,nan,0.5703370046941361,1.918237201700259,0.049415622795790794,-2.569636220482399,0.009841544066131906
264,65.99999999999979,-5.795554957734615,-1.5529142706145167,10.954452112691056,0.0005291686635624862,-0.0006810330736558672,-0.9902785613887044,-0.1369562935174917,0.0008624531998373393,0.999704284016094,0.002340816667689895,1,1,-1,2,nan,0.00652930078289593,1.999987552166494,0.0024761843981580788,-3.134985083492155,0.010716809541021362
265,65.99999999999993,-5.79555495773463,-1.5529142706145227,10.919076737539468,0.0004521629230194238,-0.006367173226166485,-0.9146729508591085,0.3959881437393534,0.0063832081433214125,0.9967112004063403,0.04649830587876435,1,1,-1,2,nan,0.5394667827977653,1.9273235088142462,0.04689370766521225,2.602610576959491,0.012317719136632224
266,66.00000000000003,-5.795554957734639,-1.5529142706145351,10.925350868459889,0.00010012167756363877,-0.010377775440300385,-0.5564227194041492,0.8236109797902593,0.010378258401081562,0.9939523573593352,0.0807744790473453,1,1,-1,1,nan,0.46325466719943176,1.7014939188085996,0.08142435347106129,2.03647498023657,0.014601331755188126
267,66.00000000000009,-5.7955549577346055,-1.5529142706145485,10.95272438503479,-0.000498228009147797,-0.011103412136193883,-0.02796734226592109,0.9942102517558942,0.011114584662292919,0.994603537561544,0.08993807615956254,1,1,-1,1,nan,0.10277690117679938,1.3427537258291649,0.09063122104683545,1.471721874475361,0.01673001326904072
268,66.0000000000002,-5.795554957734625,-1.552914270614536,10.91248263884189,-0.0009926677419169125,-0.008289979654854215,0.4966556972156192,0.8653696629888259,0.008349200675737722,0.9977632661098157,0.07221957217023922,1,1,-1,1,nan,0.6519243282209892,0.8912873777215853,0.07268944218698659,0.9217836029968534,0.0178374525021302
269,66.0000000000002,-5.795554957734619,-1.5529142706145773,10.935188695265781,-0.0011099833460639363,-0.0026773980039905866,0.8855408105544524,0.4643895612161258,0.002898365591210341,0.9999200926693805,0.03171234051915344,1,1,-1,0,nan,0.3520874268194345,0.35253298392790017,0.03183226904488033,0.35301197944330176,0.018849390616480464
270,66.00000000000009,-5.795554957734646,-1.5529142706146237,10.947369727057973,-0.0008600175255521689,0.003734549243413667,0.9959243330047494,-0.07133204619652467,0.00383229542125062,0.9984756070558449,0.018586833742887315,1,1,-1,0,nan,0.20240155433913776,0.2028750555551991,0.018930849444188314,-0.2023530391187569,0.020979579386682705
