t,delta_NL
273,1.4516260965069838
274,1.114878548878728
275,1.327554624955468
276,1.7616802082085008
277,1.9708978441354499
278,1.8117115556221515
279,1.34564107085446
280,1.1081902352129678
281,1.4232012702826908
282,1.8349503391778825
283,1.9666024429878233
284,1.7141957767302147
285,1.2488899260589745
286,1.1409727969055898
287,1.5298541258076555
288,1.8979437610242356
289,1.9454106167548944
290,1.597503240232285
291,1.1689068173673485
292,1.2136923478863157
293,1.6434505783263222
294,1.9463322081469903
295,1.9024957486351763
296,1.4778026105170372
297,1.120692796159891
298,1.3055943345518926
299,1.74257099132198
300,1.969759856502068
301,1.8319513514482213
302,1.368947059792138
303,1.105843254956928
304,1.4004013649147684
305,1.8196823681883856
306,1.9696148590817828
307,1.738791079112533
308,1.2695556299772073
309,1.128500503426861
310,1.5036698267473192
311,1.884562712957058
312,1.9524068859601513
313,1.6258863194013071
314,1.184173965735491
315,1.1932909444931403
316,1.6175048673361268
317,1.9373830608385036
318,1.9151878578979116
319,1.5046353577904712
320,1.1280044599005372
321,1.2832358509689985
322,1.721747003659067
323,1.967001686317551
324,1.8508560468724145
325,1.3928319105002054
326,1.105410425162922
327,1.3777954722462515
328,1.8035064178954872
329,1.971508922529341
330,1.7621354786784773
331,1.2909376601254696
332,1.1183375980162718
333,1.4779960502752485
334,1.8703634992614178
335,1.95807635227357
336,1.653553337659735
337,1.200845763475378
338,1.1739368413821687
339,1.5906971620160106
340,1.9268904199445107
341,1.926127951255356
342,1.5320490440734675
343,1.1368662340724611
344,1.260668000332507
345,1.6992969387844112
346,1.9626126317413175
347,1.868322614169571
348,1.4173287696128338
349,1.106771170471813
350,1.3552446798076812
351,1.7863382312560634
352,1.9723240709410572
353,1.7843431971579662
354,1.312998645970667
355,1.1105720112106154
356,1.4530434825390368
357,1.8555653936002248
358,1.962611902818953
359,1.6802702203689832
360,1.2188718342267342
361,1.1561184531348434
362,1.5634484628054588
363,1.9150815731478907
364,1.935483059998075
365,1.5598910966327113
366,1.1473754953591484
367,1.2381474847880944
368,1.6753426081692013
369,1.9565927536541705
370,1.8842292877209519
371,1.4424496933956976
372,1.1097992857028227
373,1.3326152273000351
374,1.768038200150471
375,1.972021610175163
376,1.8054786383432317
377,1.3356782341524975
378,1.1051419479574527
379,1.4288530498119838
380,1.8402768102015536
381,1.9661562642201351
382,1.7059022306468632
383,1.2381644893407007
384,1.1402833928032496
385,1.5361825080603513
386,1.902192919829909
387,1.943431099487823
388,1.5879252778438901
389,1.1596319061475413
390,1.215988349725217
391,1.6500670484325644
392,1.948985385243021
393,1.8984874062057087
394,1.468197293943526
395,1.1143989536050773
396,1.3098107484270505
397,1.7484550316007177
398,1.9705084215106947
399,1.8255330807039865
400,1.3589260242997672
401,1.1018958879526595
402,1.4053181197731461
403,1.8244911955822647
404,1.968794979448429
405,1.7304046934807626
406,1.258586600823445
407,1.1267759470354524
408,1.5092960286987378
409,1.8884609550232532
410,1.950132264507381
411,1.6158472047243508
412,1.1736900173731721
413,1.1945541621374742
414,1.623721074311116
415,1.9398814985144364
416,1.9110765331949435
417,1.4945615497746587
418,1.1205342659423367
419,1.2868047191318612
420,1.7274667945803244
421,1.9676651459744696
422,1.8444223361265286
423,1.38271502273036
424,1.1006434312036584
425,1.3822379970751293
426,1.8081028367490053
427,1.9705518672405482
428,1.7537952226808309
429,1.2799589467800183
430,1.1157802108658814
431,1.4831035892663191
432,1.8740981817127518
433,1.9557200562210517
434,1.6433302199865956
435,1.1895360246214648
436,1.1742601707111981
437,1.5966173437074889
438,1.9294108558609722
439,1.9220550835965513
440,1.5215008241398553
441,1.1282471603252962
442,1.263668009229112
443,1.7050150812279457
444,1.963380714577765
445,1.8620076602314624
446,1.4070389645044221
447,1.1011920580849854
448,1.3593800025134866
449,1.7909372914956518
450,1.9713926621322218
451,1.7761171771832849
452,1.3020933352381776
453,1.107307536528843
454,1.4577829463829013
455,1.8592620616046602
456,1.9603054113286569
457,1.670082910930108
458,1.207084527228369
459,1.155563467943226
460,1.5691213716106294
461,1.9177347054336715
462,1.931544026912776
463,1.5489145903916657
464,1.1376476321141613
465,1.2405766962869789
466,1.6811307224156034
467,1.9575880398873855
468,1.8781363603871444
469,1.4319058286841158
470,1.1033749060872657
471,1.336528120180634
472,1.7727885737453146
473,1.9712353325842644
474,1.7974013359645022
475,1.3248320810670233
476,1.1012327193133569
477,1.4333479550279562
478,1.84402764721429
479,1.96397659039777
480,1.6958921623494514
481,1.2261769080036402
482,1.138910844594112
483,1.5416316038813669
484,1.9050387494567398
485,1.9396896768977672
486,1.5766215873270446
487,1.1488726754902137
488,1.2177987620882613
489,1.6559430329536418
490,1.9502841874656474
491,1.892688132288615
492,1.4573294379934865
493,1.1070739313909888
494,1.3135187317550359
495,1.7534559823575644
496,1.969963066227954
497,1.8176347158335922
498,1.3480715986764817
499,1.0973516056188901
500,1.4096646017137349
