N,M,decomposition,block_id,block_size,closure_residual,edges
13,78,round_robin_matching,3,6,0.030219594319026658,"1-11,10-12,9-13,2-7,3-6,4-5"
13,78,round_robin_matching,4,6,0.48887406550390566,"1-10,9-11,8-12,7-13,2-5,3-4"
13,78,round_robin_matching,5,6,0.05048811735837548,"1-9,8-10,7-11,6-12,5-13,2-3"
13,78,round_robin_matching,6,6,0.2115866308534344,"1-8,7-9,6-10,5-11,4-12,3-13"
13,78,round_robin_matching,7,6,0.651686211074835,"1-7,6-8,5-9,4-10,3-11,2-12"
13,78,round_robin_matching,8,6,0.3459249869746139,"1-6,5-7,4-8,3-9,2-10,12-13"
13,78,round_robin_matching,9,6,0.28932505638666334,"1-5,4-6,3-7,2-8,10-13,11-12"
13,78,round_robin_matching,10,6,0.3140123448415415,"1-4,3-5,2-6,8-13,9-12,10-11"
13,78,round_robin_matching,11,6,0.3124990753875309,"1-3,2-4,6-13,7-12,8-11,9-10"
13,78,round_robin_matching,12,6,0.31853854967133377,"1-2,4-13,5-12,6-11,7-10,8-9"
13,78,walecki_hamilton_cycle,0,13,0.06423405886937684,"1-13,1-12,2-12,2-11,3-11,3-10,4-10,4-9,5-9,5-8,6-8,6-7,7-13"
13,78,walecki_hamilton_cycle,1,13,0.4434084869162505,"2-13,1-2,1-3,3-12,4-12,4-11,5-11,5-10,6-10,6-9,7-9,7-8,8-13"
13,78,walecki_hamilton_cycle,2,13,0.27186194727713825,"3-13,2-3,2-4,1-4,1-5,5-12,6-12,6-11,7-11,7-10,8-10,8-9,9-13"
13,78,walecki_hamilton_cycle,3,13,0.069303653357957,"4-13,3-4,3-5,2-5,2-6,1-6,1-7,7-12,8-12,8-11,9-11,9-10,10-13"
13,78,walecki_hamilton_cycle,4,13,0.06530426595875712,"5-13,4-5,4-6,3-6,3-7,2-7,2-8,1-8,1-9,9-12,10-12,10-11,11-13"
13,78,walecki_hamilton_cycle,5,13,0.15812504055071536,"6-13,5-6,5-7,4-7,4-8,3-8,3-9,2-9,2-10,1-10,1-11,11-12,12-13"
14,91,round_robin_matching,0,7,0.623359650756626,"1-14,2-13,3-12,4-11,5-10,6-9,7-8"
14,91,round_robin_matching,1,7,0.39991438281439934,"1-13,12-14,2-11,3-10,4-9,5-8,6-7"
14,91,round_robin_matching,2,7,0.20599128437362144,"1-12,11-13,10-14,2-9,3-8,4-7,5-6"
14,91,round_robin_matching,3,7,0.4358579894345141,"1-11,10-12,9-13,8-14,2-7,3-6,4-5"
14,91,round_robin_matching,4,7,0.24325503879191243,"1-10,9-11,8-12,7-13,6-14,2-5,3-4"
14,91,round_robin_matching,5,7,0.15587307392516456,"1-9,8-10,7-11,6-12,5-13,4-14,2-3"
14,91,round_robin_matching,6,7,0.13965989253663477,"1-8,7-9,6-10,5-11,4-12,3-13,2-14"
14,91,round_robin_matching,7,7,0.1425968651239159,"1-7,6-8,5-9,4-10,3-11,2-12,13-14"
14,91,round_robin_matching,8,7,0.16803106915808438,"1-6,5-7,4-8,3-9,2-10,11-14,12-13"
14,91,round_robin_matching,9,7,0.7517596531517651,"1-5,4-6,3-7,2-8,9-14,10-13,11-12"
14,91,round_robin_matching,10,7,0.1612893829551946,"1-4,3-5,2-6,7-14,8-13,9-12,10-11"
14,91,round_robin_matching,11,7,0.11931282398736313,"1-3,2-4,5-14,6-13,7-12,8-11,9-10"
14,91,round_robin_matching,12,7,0.4259705460515551,"1-2,3-14,4-13,5-12,6-11,7-10,8-9"
15,105,round_robin_matching,0,7,0.414793342630298,"2-15,3-14,4-13,5-12,6-11,7-10,8-9"
15,105,round_robin_matching,1,7,0.41943035162259484,"1-15,2-13,3-12,4-11,5-10,6-9,7-8"
15,105,round_robin_matching,2,7,0.5564630832557564,"1-14,13-15,2-11,3-10,4-9,5-8,6-7"
15,105,round_robin_matching,3,7,0.16060340495511696,"1-13,12-14,11-15,2-9,3-8,4-7,5-6"
15,105,round_robin_matching,4,7,0.20380523501691986,"1-12,11-13,10-14,9-15,2-7,3-6,4-5"
15,105,round_robin_matching,5,7,0.5662690546938534,"1-11,10-12,9-13,8-14,7-15,2-5,3-4"
15,105,round_robin_matching,6,7,0.581356195175258,"1-10,9-11,8-12,7-13,6-14,5-15,2-3"
15,105,round_robin_matching,7,7,0.40215608549975274,"1-9,8-10,7-11,6-12,5-13,4-14,3-15"
15,105,round_robin_matching,8,7,0.41600720079460557,"1-8,7-9,6-10,5-11,4-12,3-13,2-14"
15,105,round_robin_matching,9,7,0.49720129860281737,"1-7,6-8,5-9,4-10,3-11,2-12,14-15"
15,105,round_robin_matching,10,7,0.2952098872793502,"1-6,5-7,4-8,3-9,2-10,12-15,13-14"
15,105,round_robin_matching,11,7,0.2276603025521387,"1-5,4-6,3-7,2-8,10-15,11-14,12-13"
15,105,round_robin_matching,12,7,0.32927353076083,"1-4,3-5,2-6,8-15,9-14,10-13,11-12"
15,105,round_robin_matching,13,7,0.7077796274144587,"1-3,2-4,6-15,7-14,8-13,9-12,10-11"
15,105,round_robin_matching,14,7,0.583071450237231,"1-2,4-15,5-14,6-13,7-12,8-11,9-10"
15,105,walecki_hamilton_cycle,0,15,0.10608312475869575,"1-15,1-14,2-14,2-13,3-13,3-12,4-12,4-11,5-11,5-10,6-10,6-9,7-9,7-8,8-15"
15,105,walecki_hamilton_cycle,1,15,0.27286260213193275,"2-15,1-2,1-3,3-14,4-14,4-13,5-13,5-12,6-12,6-11,7-11,7-10,8-10,8-9,9-15"
15,105,walecki_hamilton_cycle,2,15,0.09995281415047862,"3-15,2-3,2-4,1-4,1-5,5-14,6-14,6-13,7-13,7-12,8-12,8-11,9-11,9-10,10-15"
15,105,walecki_hamilton_cycle,3,15,0.15799576601000265,"4-15,3-4,3-5,2-5,2-6,1-6,1-7,7-14,8-14,8-13,9-13,9-12,10-12,10-11,11-15"
15,105,walecki_hamilton_cycle,4,15,0.10448200070574652,"5-15,4-5,4-6,3-6,3-7,2-7,2-8,1-8,1-9,9-14,10-14,10-13,11-13,11-12,12-15"
15,105,walecki_hamilton_cycle,5,15,0.03398327244326009,"6-15,5-6,5-7,4-7,4-8,3-8,3-9,2-9,2-10,1-10,1-11,11-14,12-14,12-13,13-15"
15,105,walecki_hamilton_cycle,6,15,0.13153881779225118,"7-15,6-7,6-8,5-8,5-9,4-9,4-10,3-10,3-11,2-11,2-12,1-12,1-13,13-14,14-15"
16,120,round_robin_matching,0,8,0.7477073564170545,"1-16,2-15,3-14,4-13,5-12,6-11,7-10,8-9"
16,120,round_robin_matching,1,8,0.16111799176364067,"1-15,14-16,2-13,3-12,4-11,5-10,6-9,7-8"
16,120,round_robin_matching,2,8,0.3237592547239366,"1-14,13-15,12-16,2-11,3-10,4-9,5-8,6-7"
16,120,round_robin_matching,3,8,0.038512538190764084,"1-13,12-14,11-15,10-16,2-9,3-8,4-7,5-6"
16,120,round_robin_matching,4,8,0.22061972023048632,"1-12,11-13,10-14,9-15,8-16,2-7,3-6,4-5"
16,120,round_robin_matching,5,8,0.10497417054818838,"1-11,10-12,9-13,8-14,7-15,6-16,2-5,3-4"
16,120,round_robin_matching,6,8,0.48013938450841726,"1-10,9-11,8-12,7-13,6-14,5-15,4-16,2-3"
16,120,round_robin_matching,7,8,0.14371654927785818,"1-9,8-10,7-11,6-12,5-13,4-14,3-15,2-16"
16,120,round_robin_matching,8,8,0.4562962900537357,"1-8,7-9,6-10,5-11,4-12,3-13,2-14,15-16"
16,120,round_robin_matching,9,8,0.11996200133881608,"1-7,6-8,5-9,4-10,3-11,2-12,13-16,14-15"
16,120,round_robin_matching,10,8,0.35617255237115825,"1-6,5-7,4-8,3-9,2-10,11-16,12-15,13-14"
16,120,round_robin_matching,11,8,0.2667349543538542,"1-5,4-6,3-7,2-8,9-16,10-15,11-14,12-13"
16,120,round_robin_matching,12,8,0.6705347785811894,"1-4,3-5,2-6,7-16,8-15,9-14,10-13,11-12"
16,120,round_robin_matching,13,8,0.2648810477085762,"1-3,2-4,5-16,6-15,7-14,8-13,9-12,10-11"
16,120,round_robin_matching,14,8,0.3082328801116283,"1-2,3-16,4-15,5-14,6-13,7-12,8-11,9-10"
