N,q,kind,k,eps,T,residual,mu,global_closure,local_closure,rank,amp_min,amp_max,amp_spread,round,axes,vertex_null,embed_err
8,7,member,5,0.6,1.138063217752167e-16,1.0569720105194373e-16,-0.46666666666666695,2.0018082456300715e-16,5.80655291401522e-17,7,0.17500831966100894,0.32659863237109044,0.1515903127100815,False,0.448176 0.341563 0.321844 0.281156 0.172196 0.172052 0.164492,6.055081025000269e-17,1.8253379971363983e-16
8,7,control_k1,1,0.6,0.13999999999999999,0.13355148819837237,-0.42466666666666675,0.29999999999999993,0.075,7,0.17500831966100894,0.32659863237109044,0.1515903127100815,False,,0.00875000000000005,1.8094421531119201e-16
9,4,equimodular,0,0.0,0.0,2.7711313196431527e-17,-0.5333333333333332,1.1564823173178716e-17,1.3821748748021831e-17,8,0.2581988897471611,0.2581988897471611,0.0,False,0.349661 0.349661 0.335255 0.335255 0.316228 0.316228 0.221772 0.221772,6.061970464859775e-17,1.4384704163625827e-16
9,4,member,2,0.6,1.3877787807814457e-17,1.6840063223208912e-16,-0.5333333333333335,5.4932910072598893e-17,1.2929865381496215e-17,8,0.16329931618554522,0.32659863237109044,0.16329931618554522,False,0.400000 0.400000 0.371846 0.371846 0.291621 0.291621 0.222462 0.222462,8.632706563704035e-17,2.1013676546642132e-16
9,4,control_k1,1,0.6,0.07999999999999999,0.15263027222671127,-0.4853333333333333,0.30000000000000004,0.06666666666666668,8,0.16329931618554522,0.32659863237109044,0.16329931618554522,False,,0.00888888888888894,1.7047133865104868e-16
10,9,equimodular,0,0.0,0.0,1.4557730781995132e-16,-0.5999999999999998,9.620375951001545e-17,2.3813428407392742e-17,9,0.2581988897471611,0.2581988897471611,0.0,False,0.516398 0.324668 0.324668 0.182574 0.182574 0.182574 0.182574 0.182574 0.182574,5.703522584108235e-17,1.6660078884782077e-16
10,9,member,2,0.6,6.938893903907228e-17,1.1736550697946872e-16,-0.5999999999999999,4.4670766890677166e-17,9.88098925055739e-18,9,0.17052554599012523,0.32659863237109044,0.1560730863809652,False,0.517046 0.344705 0.342974 0.336430 0.218898 0.185178 0.180972 0.159383 0.154860,9.418155676344937e-17,2.026584714835721e-16
10,9,member,3,0.6,1.484988143495895e-16,1.9086228857320815e-16,-0.5999999999999998,1.5939750092475903e-16,3.6295861747792683e-17,9,0.21602468994692853,0.32659863237109044,0.11057394242416191,False,0.517274 0.344529 0.344529 0.336650 0.213919 0.182080 0.182080 0.152753 0.152753,7.452207996097245e-17,1.9638501921510591e-16
10,9,member,4,0.6,7.351626287044711e-17,8.750758656233565e-17,-0.6,1.1010902093011138e-16,2.898136380450164e-17,9,0.17052554599012523,0.32659863237109044,0.1560730863809652,False,0.520042 0.338534 0.337747 0.332305 0.218899 0.203988 0.199987 0.147064 0.143493,8.95459673686217e-17,2.239570839266222e-16
10,9,member,5,0.6,1.5015131505079495e-16,1.7058604208280312e-16,-0.6000000000000001,2.592223577167115e-16,5.455116180566947e-17,9,0.1705255459901253,0.32659863237109044,0.15607308638096515,False,0.520042 0.338534 0.337747 0.332305 0.218899 0.203988 0.199987 0.147064 0.143493,1.0856173970829814e-16,2.42861286636753e-16
10,9,member,6,0.6,1.2222108709692242e-16,1.888034863975763e-16,-0.6000000000000003,2.817951366143783e-16,5.789635089201617e-17,9,0.2160246899469285,0.32659863237109044,0.11057394242416194,False,0.517274 0.344529 0.344529 0.336650 0.213919 0.182080 0.182080 0.152753 0.152753,7.036389103313796e-17,2.2215299868541707e-16
10,9,member,7,0.6,1.389512421408389e-16,1.9906912449460643e-16,-0.6000000000000003,3.1017881992964077e-16,6.513367549166093e-17,9,0.17052554599012526,0.32659863237109044,0.15607308638096518,False,0.517046 0.344705 0.342974 0.336430 0.218898 0.185178 0.180972 0.159383 0.154860,6.401166832248781e-17,1.710317211092242e-16
10,9,control_k1,1,0.6,0.17999999999999994,0.17170905625505015,-0.5459999999999999,0.2999999999999999,0.05999999999999999,9,0.1705255459901253,0.32659863237109044,0.15607308638096515,False,,0.009000000000000053,2.0122792321330962e-16
11,5,equimodular,0,0.0,0.0,6.192131172816592e-17,-0.6666666666666665,7.070685587131469e-17,1.6085617686330394e-17,10,0.2581988897471611,0.25819888974716115,5.551115123125783e-17,False,0.395116 0.395116 0.372366 0.372366 0.340938 0.340938 0.217578 0.217578 0.204838 0.204838,9.488852801220122e-17,2.141241923243813e-16
11,5,member,2,0.6,2.0816681711721685e-17,1.2543161467907467e-16,-0.6666666666666667,7.823297543344132e-17,2.0116760175717107e-17,10,0.1852187541575333,0.32659863237109044,0.14137987821355713,False,0.389102 0.389102 0.381378 0.381378 0.341311 0.341311 0.297294 0.297294 0.285578 0.285578,1.0925377830779232e-16,3.4728519919602047e-16
11,5,member,3,0.6,2.9079264368403834e-17,7.363083343742571e-17,-0.6666666666666667,8.591278796571021e-17,1.7447302044957624e-17,10,0.18521875415753333,0.32659863237109044,0.1413798782135571,False,0.389102 0.389102 0.381378 0.381378 0.341311 0.341311 0.297294 0.297294 0.285578 0.285578,9.551328614503578e-17,2.368389951639684e-16
11,5,control_k1,1,0.6,0.09999999999999999,0.1907878402833892,-0.6066666666666669,0.3000000000000001,0.05454545454545456,10,0.18521875415753333,0.32659863237109044,0.1413798782135571,False,,0.009090909090909143,2.615696107623295e-16
12,11,equimodular,0,0.0,0.0,1.9737352973167865e-16,-0.7333333333333333,5.892237989276224e-17,1.4105307688904965e-17,11,0.25819888974716104,0.25819888974716115,1.1102230246251565e-16,False,0.577350 0.339809 0.339809 0.182574 0.182574 0.182574 0.182574 0.182574 0.182574 0.182574 0.182574,1.0638404840061771e-16,2.612012026770126e-16
12,11,member,2,0.6,3.469446951953614e-17,1.8798315996165852e-16,-0.7333333333333335,1.3566050535206643e-16,2.4020473444463504e-17,11,0.16818724006917637,0.32659863237109044,0.15841139230191406,False,0.577822 0.367408 0.358189 0.357110 0.260114 0.205247 0.204240 0.174243 0.169496 0.142364 0.141035,9.493578787543981e-17,3.053863483424081e-16
12,11,member,3,0.6,1.734723475976807e-16,2.575242533586846e-16,-0.7333333333333331,1.9209259300742946e-16,3.501555628651891e-17,11,0.16818724006917635,0.32659863237109044,0.1584113923019141,False,0.577824 0.366525 0.358180 0.358128 0.260128 0.205708 0.202999 0.173379 0.171208 0.142751 0.140413,1.0449868787226085e-16,2.4708698718685164e-16
12,11,member,4,0.6,9.257639144254436e-17,2.059139418104083e-16,-0.7333333333333333,9.412386846142907e-17,1.6082525190351344e-17,11,0.16818724006917637,0.32659863237109044,0.15841139230191406,False,0.577822 0.389342 0.354006 0.328141 0.258003 0.215636 0.214884 0.177100 0.175660 0.134820 0.133994,1.3893142823075939e-16,2.995802653854976e-16
