step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9
12,0.35703570273462754,0.35563663082525243,0.2979379317493166,0.23894973079548298,0.2296783603068286,0.22698955898688197,0.16255798257903403,0.07399830463843393,2.8986102047801736e-09
13,0.35703570273462737,0.35563663082525215,0.2979379317493165,0.23894973079548298,0.22967836030682826,0.22698955898688208,0.1625579825790342,0.07399830463843421,2.5323154775317703e-09
14,0.35703570273462726,0.35563663082525204,0.2979379317493163,0.23894973079548323,0.22967836030682798,0.22698955898688225,0.16255798257903437,0.07399830463843468,3.4541052718408665e-09
15,0.3570357027346274,0.35563663082525215,0.29793793174931643,0.2389497307954834,0.229678360306828,0.22698955898688253,0.16255798257903456,0.07399830463843493,2.8826873145177407e-09
16,0.3570357027346278,0.3556366308252526,0.2979379317493167,0.23894973079548357,0.22967836030682823,0.22698955898688258,0.16255798257903473,0.07399830463843494,2.102285450750629e-09
17,0.35703570273462715,0.35563663082525204,0.29793793174931626,0.23894973079548298,0.22967836030682787,0.2269895589868821,0.16255798257903423,0.07399830463843422,2.5104228965451112e-09
18,0.35703570273462776,0.3556366308252525,0.29793793174931693,0.23894973079548304,0.22967836030682845,0.2269895589868822,0.1625579825790342,0.07399830463843361,3.17570976828789e-09
19,0.3570357027346271,0.35563663082525193,0.29793793174931654,0.23894973079548237,0.22967836030682828,0.2269895589868818,0.16255798257903378,0.07399830463843299,2.278884299561376e-09
20,0.35703570273462715,0.35563663082525193,0.2979379317493166,0.2389497307954824,0.22967836030682828,0.22698955898688172,0.1625579825790337,0.07399830463843297,1.6725481811325593e-09
21,0.35703570273462687,0.3556366308252515,0.29793793174931643,0.23894973079548218,0.2296783603068279,0.22698955898688175,0.16255798257903362,0.07399830463843277,2.849265653528586e-09
22,0.3570357027346265,0.35563663082525077,0.297937931749316,0.2389497307954821,0.22967836030682737,0.22698955898688136,0.16255798257903356,0.07399830463843295,2.266728259524095e-09
23,0.3570357027346274,0.3556366308252513,0.29793793174931654,0.2389497307954828,0.22967836030682784,0.22698955898688164,0.16255798257903395,0.0739983046384333,3.4984701545701483e-09
24,0.3570357027346277,0.3556366308252514,0.29793793174931676,0.23894973079548285,0.22967836030682784,0.22698955898688183,0.16255798257903417,0.07399830463843331,2.0764125783108233e-09
25,0.35703570273462737,0.3556366308252509,0.29793793174931643,0.23894973079548262,0.22967836030682748,0.22698955898688158,0.16255798257903406,0.0739983046384328,2.174167421408248e-09
26,0.3570357027346278,0.3556366308252511,0.2979379317493169,0.23894973079548268,0.22967836030682764,0.22698955898688147,0.16255798257903398,0.07399830463843207,2.4311785514193826e-09
27,0.35703570273462715,0.3556366308252503,0.2979379317493164,0.23894973079548198,0.22967836030682715,0.22698955898688067,0.16255798257903337,0.07399830463843143,1.4633393477473074e-09
28,0.35703570273462754,0.3556366308252506,0.2979379317493169,0.23894973079548196,0.22967836030682753,0.22698955898688056,0.162557982579033,0.07399830463843046,1.7852442445177497e-09
29,0.3570357027346278,0.35563663082525043,0.297937931749317,0.23894973079548182,0.22967836030682756,0.22698955898688036,0.16255798257903278,0.0739983046384302,3.230143395449306e-09
30,0.3570357027346282,0.35563663082525027,0.29793793174931726,0.23894973079548182,0.22967836030682764,0.2269895589868804,0.16255798257903245,0.07399830463842963,3.0266295225182784e-09
31,0.35703570273462826,0.3556366308252499,0.29793793174931715,0.23894973079548193,0.2296783603068274,0.2269895589868803,0.16255798257903215,0.07399830463842928,2.7852744429103285e-09
32,0.3570357027346288,0.35563663082524954,0.29793793174931726,0.2389497307954821,0.22967836030682723,0.22698955898688042,0.16255798257903203,0.07399830463842917,3.1990055333120463e-09
33,0.35703570273462876,0.3556366308252489,0.29793793174931704,0.23894973079548187,0.22967836030682678,0.22698955898688034,0.16255798257903165,0.07399830463842864,2.4922215897292495e-09
34,0.3570357027346296,0.35563663082524877,0.29793793174931726,0.23894973079548196,0.22967836030682673,0.2269895589868806,0.16255798257903117,0.07399830463842769,3.8102108251660405e-09
35,0.3570357027346301,0.35563663082524855,0.2979379317493176,0.23894973079548185,0.2296783603068268,0.2269895589868803,0.1625579825790304,0.0739983046384258,3.62730098113158e-09
