モード,波数k,有限位数住所m/n,回帰位数n,全体に占める強度比,窓間コヒーレンス平均,同一空間方向への集中度,単独零閉鎖誤差,B/F住所予測,粒子・反粒子の共役枝,住所から読むモデル電荷量,正負共役対のグラム行列式detΓ,状態と二次量の被覆比,内部スピン構造,相関寿命（ステップ）,総合判定
k=-47,-47,-47/144,144,6.70892e-06,0.62024,0.26989,0.046975,F型,負方向の共役枝,0.7308743,0.00012033,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+49,49,49/144,144,6.65587e-06,0.61977,0.26807,0.047135,F型,正方向の共役枝,0.7686498,9.8349e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-48,-48,-1/3,3,6.54482e-06,0.62023,0.26984,0.046979,B型,負方向の共役枝,0.75,0.00010893,1:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+50,50,25/72,72,6.49562e-06,0.61978,0.26811,0.047131,B型,正方向の共役枝,0.7867882,8.8515e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-49,-49,-49/144,144,6.39267e-06,0.62022,0.2698,0.046983,F型,負方向の共役枝,0.7686498,9.8349e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+51,51,17/48,48,6.34707e-06,0.6198,0.26816,0.047126,F型,正方向の共役枝,0.8043807,7.9382e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-50,-50,-25/72,72,6.25165e-06,0.62021,0.26975,0.046986,B型,負方向の共役枝,0.7867882,8.8515e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+52,52,13/36,36,6.20939e-06,0.61981,0.2682,0.047122,B型,正方向の共役枝,0.8213938,7.0918e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-51,-51,-17/48,48,6.121e-06,0.6202,0.26971,0.04699,F型,負方向の共役枝,0.8043807,7.9382e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+53,53,53/144,144,6.08187e-06,0.61982,0.26824,0.047118,F型,正方向の共役枝,0.8377951,6.3096e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-52,-52,-13/36,36,6.00006e-06,0.62019,0.26967,0.046994,B型,負方向の共役枝,0.8213938,7.0918e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+54,54,3/8,8,5.96387e-06,0.61983,0.26828,0.047114,B型,正方向の共役枝,0.8535534,5.588e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-53,-53,-53/144,144,5.88823e-06,0.62018,0.26963,0.046997,F型,負方向の共役枝,0.8377951,6.3096e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+55,55,55/144,144,5.85478e-06,0.61984,0.26833,0.047111,F型,正方向の共役枝,0.8686387,4.9233e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-54,-54,-3/8,8,5.78494e-06,0.62017,0.26959,0.047001,B型,負方向の共役枝,0.8535534,5.588e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+56,56,7/18,18,5.75408e-06,0.61985,0.26836,0.047107,B型,正方向の共役枝,0.8830222,4.3118e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-55,-55,-55/144,144,5.68972e-06,0.62016,0.26955,0.047004,F型,負方向の共役枝,0.8686387,4.9233e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+57,57,19/48,48,5.66131e-06,0.61986,0.2684,0.047104,F型,正方向の共役枝,0.8966767,3.7503e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-56,-56,-7/18,18,5.60211e-06,0.62015,0.26951,0.047007,B型,負方向の共役枝,0.8830222,4.3118e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+58,58,29/72,72,5.57602e-06,0.61987,0.26844,0.0471,B型,正方向の共役枝,0.909576,3.2358e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-57,-57,-19/48,48,5.52173e-06,0.62014,0.26947,0.047011,F型,負方向の共役枝,0.8966767,3.7503e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+59,59,59/144,144,5.49784e-06,0.61988,0.26848,0.047097,F型,正方向の共役枝,0.9216957,2.7657e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-58,-58,-29/72,72,5.44822e-06,0.62013,0.26944,0.047014,B型,負方向の共役枝,0.909576,3.2358e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+60,60,5/12,12,5.42642e-06,0.61989,0.26852,0.047094,B型,正方向の共役枝,0.9330127,2.3376e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-59,-59,-59/144,144,5.38125e-06,0.62012,0.2694,0.047017,F型,負方向の共役枝,0.9216957,2.7657e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+61,61,61/144,144,5.36146e-06,0.6199,0.26855,0.047091,F型,正方向の共役枝,0.9435054,1.9497e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-60,-60,-5/12,12,5.32055e-06,0.62011,0.26936,0.04702,B型,負方向の共役枝,0.9330127,2.3376e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+62,62,31/72,72,5.30267e-06,0.61991,0.26859,0.047087,B型,正方向の共役枝,0.9531539,1.6004e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-61,-61,-61/144,144,5.26585e-06,0.6201,0.26933,0.047023,F型,負方向の共役枝,0.9435054,1.9497e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+63,63,7/16,16,5.24982e-06,0.61992,0.26863,0.047084,F型,正方向の共役枝,0.9619398,1.2882e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-62,-62,-31/72,72,5.21692e-06,0.62009,0.26929,0.047026,B型,負方向の共役枝,0.9531539,1.6004e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+64,64,4/9,9,5.20267e-06,0.61993,0.26866,0.047081,B型,正方向の共役枝,0.9698463,1.012e-05,1:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-63,-63,-7/16,16,5.17358e-06,0.62008,0.26925,0.04703,F型,負方向の共役枝,0.9619398,1.2882e-05,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+65,65,65/144,144,5.16105e-06,0.61994,0.2687,0.047078,F型,正方向の共役枝,0.9768585,7.7087e-06,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-64,-64,-4/9,9,5.13565e-06,0.62007,0.26922,0.047033,B型,負方向の共役枝,0.9698463,1.012e-05,1:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+66,66,11/24,24,5.12479e-06,0.61995,0.26873,0.047075,B型,正方向の共役枝,0.9829629,5.6377e-06,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-65,-65,-65/144,144,5.10297e-06,0.62006,0.26918,0.047036,F型,負方向の共役枝,0.9768585,7.7087e-06,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+67,67,67/144,144,5.09374e-06,0.61996,0.26877,0.047071,F型,正方向の共役枝,0.988148,3.8995e-06,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-66,-66,-11/24,24,5.07541e-06,0.62006,0.26915,0.047039,B型,負方向の共役枝,0.9829629,5.6377e-06,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
