step,time,seed,epsilon,baseline_norm,perturbed_norm,total_difference,transverse_difference,normalized_transverse_amplification,local_transverse_growth_rate,renormalization_factor,active_subspace_dimension,projection_closure_error,norm_error,conservation_error
5900,5900,0,1e-08,1.0000000000e+00,1.0000000000e+00,3.1264559985e-08,2.6677101529e-08,2.6677101529e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,3.3306690739e-16
5950,5950,0,1e-08,1.0000000000e+00,1.0000000000e+00,4.0061279038e-08,3.7782997655e-08,3.7782997655e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,3.3306690739e-16
6000,6000,0,1e-08,1.0000000000e+00,1.0000000000e+00,4.2480411700e-08,3.8992958829e-08,3.8992958829e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,4.4408920985e-16
6050,6050,0,1e-08,1.0000000000e+00,1.0000000000e+00,4.0044134658e-08,3.5458469403e-08,3.5458469403e+00,nan,nan,4,0.0000000000e+00,5.5511151231e-16,4.4408920985e-16
6100,6100,0,1e-08,1.0000000000e+00,1.0000000000e+00,3.4096529451e-08,3.1438290410e-08,3.1438290410e+00,nan,nan,4,0.0000000000e+00,5.5511151231e-16,3.3306690739e-16
6150,6150,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.8832768351e-08,2.4831151920e-08,2.4831151920e+00,nan,nan,4,0.0000000000e+00,6.6613381478e-16,4.4408920985e-16
6167,6167,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.9264931397e-08,2.5108849834e-08,2.5108849834e+00,1.8412705481e-03,2.5108849834e+00,4,0.0000000000e+00,6.6613381478e-16,3.3306690739e-16
6200,6200,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.2238946875e-08,1.1243538760e-08,1.1243538760e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16
6250,6250,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.8359024598e-08,1.5913745090e-08,1.5913745090e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,4.4408920985e-16
6300,6300,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.6493012397e-08,2.3224115502e-08,2.3224115502e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,6.6613381478e-16
6350,6350,0,1e-08,1.0000000000e+00,1.0000000000e+00,3.4873935127e-08,2.9843703887e-08,2.9843703887e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,7.7715611724e-16
6400,6400,0,1e-08,1.0000000000e+00,1.0000000000e+00,4.3203448444e-08,3.4143130096e-08,3.4143130096e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,7.7715611724e-16
6450,6450,0,1e-08,1.0000000000e+00,1.0000000000e+00,5.4453958193e-08,4.1122279512e-08,4.1122279512e+00,nan,nan,4,0.0000000000e+00,1.1102230246e-16,8.8817841970e-16
6500,6500,0,1e-08,1.0000000000e+00,1.0000000000e+00,6.4854545158e-08,4.7088306455e-08,4.7088306455e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,7.7715611724e-16
6550,6550,0,1e-08,1.0000000000e+00,1.0000000000e+00,7.8318261582e-08,5.2116495013e-08,5.2116495013e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,7.7715611724e-16
6600,6600,0,1e-08,1.0000000000e+00,1.0000000000e+00,9.7172757418e-08,6.2766855546e-08,6.2766855546e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,8.8817841970e-16
6650,6650,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1747050300e-07,7.7487818826e-08,7.7487818826e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,6.6613381478e-16
6667,6667,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.2547755903e-07,8.3756101791e-08,8.3756101791e+00,4.2506478645e-03,8.3756101791e+00,4,0.0000000000e+00,0.0000000000e+00,6.6613381478e-16
6700,6700,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.0292549342e-08,8.4366768743e-09,8.4366768743e-01,nan,nan,4,0.0000000000e+00,0.0000000000e+00,6.6613381478e-16
6750,6750,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.4324903875e-08,1.0079951658e-08,1.0079951658e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,5.5511151231e-16
