case,step,C_memory,delta_C_memory_forward,R2_memory,R3_memory,reaction_memory_abs_sum,c_effect_increment_abs,blind_signal_ratio,Q_raw,Q_closed
base,13,2.517100193695777e-06,9.098816042568138e-08,2.9580983205674794e-06,1.848811450354674e-06,4.806909770922154e-06,9.098816042568137e-11,1.8928618335231676e-05,7.32400996461793e-09,0.0
base,14,2.6080883541214586e-06,8.371175467416476e-08,3.0458597913195337e-06,1.9036623695747083e-06,4.949522160894242e-06,8.371175467416475e-11,1.6913098265437476e-05,7.557610515015701e-09,0.0
base,15,2.6918001087956233e-06,7.701753001397236e-08,3.1248485879686744e-06,1.9530303674804213e-06,5.077878955449096e-06,7.701753001397237e-11,1.516726386936114e-05,7.769679064244719e-09,0.0
base,16,2.7688176388095957e-06,7.085890509561047e-08,3.1959420679693276e-06,1.9974637924808287e-06,5.193405860450156e-06,7.085890509561047e-11,1.3644014544526379e-05,7.962223499259752e-09,0.0
base,17,2.839676543905206e-06,6.5193025763913e-08,3.25992984402729e-06,2.0374561525170558e-06,5.297385996544346e-06,6.5193025763913e-11,1.2306640634917013e-05,8.137062540449551e-09,0.0
base,18,2.904869569669119e-06,5.99804668138457e-08,3.3175225594751044e-06,2.07345159967194e-06,5.390974159147044e-06,5.99804668138457e-11,1.1126090580878572e-05,8.295843728816162e-09,0.0
base,19,2.964850036482965e-06,5.518495761271174e-08,3.36935978601983e-06,2.105849866262393e-06,5.475209652282223e-06,5.5184957612711746e-11,1.0079058358926782e-05,8.440059688765187e-09,0.0
base,20,3.0200349940956766e-06,5.077312967876418e-08,3.4160171316349774e-06,2.1350107072718606e-06,5.551027838906838e-06,5.077312967876418e-11,9.146617734989223e-06,8.571062833002514e-09,0.0
base,21,3.0708081237744408e-06,4.6714284459077936e-08,3.458012637590301e-06,2.1612578984939374e-06,5.619270536084239e-06,4.6714284459077935e-11,8.313229298910132e-06,8.690078659858678e-09,0.0
base,22,3.1175224082335187e-06,4.298017969021797e-08,3.495812535712947e-06,2.184882834820591e-06,5.680695370533538e-06,4.2980179690217975e-11,7.566006780289861e-06,8.798217778767057e-09,0.0
base,23,3.1605025879237367e-06,3.954483285454126e-08,3.529836429863409e-06,2.2061477686646295e-06,5.735984198528038e-06,3.954483285454126e-11,6.894166979171459e-06,8.896486786451778e-09,0.0
base,24,3.200047420778278e-06,3.63843403640477e-08,3.5604619592106992e-06,2.225288724506687e-06,5.785750683717387e-06,3.63843403640477e-11,6.288611859208302e-06,8.985798104495664e-09,0.0
base,25,3.2364317611423256e-06,3.34767112131932e-08,3.588028995132148e-06,2.2425181219575925e-06,5.830547117089741e-06,3.3476711213193206e-11,5.741607183838825e-06,9.066978878232066e-09,0.0
base,26,3.269908472355519e-06,3.080171394273534e-08,3.612843418380142e-06,2.2580271364875877e-06,5.87087055486773e-06,3.080171394273534e-11,5.246532631723014e-06,9.140779027223251e-09,0.0
base,27,3.300710186298254e-06,2.8340735849434147e-08,3.635180518493431e-06,2.271987824058394e-06,5.9071683425518255e-06,2.8340735849434146e-11,4.797685490911757e-06,9.207878528850081e-09,0.0
base,28,3.3290509221476883e-06,2.607665346165113e-08,3.655288053232409e-06,2.2845550332702564e-06,5.939843086502665e-06,2.607665346165113e-11,4.390124971635382e-06,9.268894008650353e-09,0.0
base,29,3.3551275756093395e-06,2.3993713379275163e-08,3.6733890020394772e-06,2.295868126274673e-06,5.96925712831415e-06,2.3993713379275162e-11,4.01954763608106e-06,9.32438470392349e-09,0.0
base,30,3.3791212889886146e-06,2.2077422648615706e-08,3.689684044125094e-06,2.3060525275781844e-06,5.995736571703278e-06,2.2077422648615707e-11,3.6821868980717943e-06,9.374857860691895e-09,0.0
base,31,3.4011987116372303e-06,2.031444790924798e-08,3.7043537887198142e-06,2.3152211179498832e-06,6.0195749066696975e-06,2.031444790924798e-11,3.374731309803877e-06,9.42077361830693e-09,0.0
base,32,3.4215131595464783e-06,1.8692522610843852e-08,3.717560782278208e-06,2.3234754889238803e-06,6.041036271202088e-06,1.869252261084385e-11,3.0942576358880695e-06,9.462549430748567e-09,0.0
base,33,3.440205682157322e-06,1.7200361654248627e-08,3.729451314941814e-06,2.3309070718386337e-06,6.060358386780448e-06,1.7200361654248626e-11,2.838175658351829e-06,9.50056406893777e-09,0.0
base,34,3.4574060438115708e-06,1.582758286264823e-08,3.7401570463372394e-06,2.3375981539607745e-06,6.077755200298014e-06,1.5827582862648232e-11,2.6041823569781405e-06,9.53516124410958e-09,0.0
base,35,3.473233626674219e-06,1.4564634736359696e-08,3.7497964687777727e-06,2.3436227929861073e-06,6.09341926176388e-06,1.4564634736359696e-11,2.390223634823977e-06,9.5666528884381e-09,0.0
base,36,3.4877982614105787e-06,1.340272998834536e-08,3.758476224129826e-06,2.34904764008114e-06,6.107523864210966e-06,1.340272998834536e-11,2.1944621562402794e-06,9.595322125621543e-09,0.0
base,37,3.501200991398924e-06,1.2333784397931864e-08,3.7662922889792046e-06,2.353932680612002e-06,6.120224969591207e-06,1.2333784397931864e-11,2.0152501679616663e-06,9.621425960990132e-09,0.0
base,38,3.513534775796856e-06,1.135036055717609e-08,3.773331041268603e-06,2.3583319007928767e-06,6.131662942061479e-06,1.135036055717609e-11,1.851106406928505e-06,9.645197717858336e-09,0.0
base,39,3.524885136354032e-06,1.0445616118309985e-08,3.7796702202603957e-06,2.3622938876627463e-06,6.141964107923142e-06,1.0445616118309985e-11,1.7006963790027892e-06,9.666849244277175e-09,0.0
base,40,3.535330752472342e-06,9.613256182191384e-09,3.785379790493297e-06,2.36586236905831e-06,6.151242159551607e-06,9.613256182191385e-12,1.5628154335078463e-06,9.686572912023949e-09,0.0
base,41,3.5449440086545334e-06,8.847489496328723e-09,3.7905227193345013e-06,2.369076699584062e-06,6.159599418918564e-06,8.847489496328722e-12,1.4363741689361463e-06,9.704543427573095e-09,0.0
base,42,3.553791498150862e-06,8.142988157665077e-09,3.795155676768615e-06,2.371972297980382e-06,6.167127974748996e-06,8.142988157665077e-12,1.3203857923827986e-06,9.720919472899861e-09,0.0
base,43,3.561934486308527e-06,7.494850539710429e-09,3.799329665200523e-06,2.374581040750326e-06,6.173910705950849e-06,7.494850539710429e-12,1.2139551245025887e-06,9.735845192259377e-09,0.0
base,44,3.5694293368482376e-06,6.8985671859773915e-09,3.803090586271514e-06,2.376931616419695e-06,6.1800222026912085e-06,6.898567185977391e-12,1.116268997055266e-06,9.749451539539447e-09,0.0
base,45,3.576327904034215e-06,6.34998943239064e-09,3.8064797509879563e-06,2.3790498443674717e-06,6.185529595355428e-06,6.34998943239064e-12,1.0265878344772128e-06,9.761857499389643e-09,0.0
base,46,3.5826778934666057e-06,5.845300540308778e-09,3.809534338831889e-06,2.380958961769929e-06,6.190493300601818e-06,5.845300540308778e-12,9.442382466903758e-07,9.773171194068424e-09,0.0
C_decay_0_78,1,5.203524423262088e-07,1.778560749221684e-07,7.287272560379894e-07,4.5545453502374334e-07,1.1841817910617328e-06,1.7785607492216841e-10,0.0001501932188660859,1.704534233387942e-09,0.0
C_decay_0_78,2,6.982085172483772e-07,1.387286418774795e-07,1.0393962296851126e-06,6.496226435531953e-07,1.6890188732383079e-06,1.387286418774795e-10,8.213563748491396e-05,2.387227390486685e-09,0.0
C_decay_0_78,3,8.369371591258567e-07,1.0820948715749909e-07,1.3189994912784258e-06,8.243746820490164e-07,2.143374173327442e-06,1.0820948715749909e-10,5.048557946814823e-05,2.9803113324532994e-09,0.0
C_decay_0_78,4,9.451466462833558e-07,8.440476523461872e-08,1.5706439309113091e-06,9.816524568195683e-07,2.5522963877308774e-06,8.440476523461872e-11,3.3070126823969255e-05,3.4974430340142334e-09,0.0
C_decay_0_78,5,1.0295514115179745e-06,6.583727902510065e-08,1.7971257177912257e-06,1.1232035736195166e-06,2.9203292914107422e-06,6.583727902510064e-11,2.2544471001520588e-05,3.949880702928717e-09,0.0
C_decay_0_78,6,1.0953886905430752e-06,5.135481698907809e-08,2.0009613755135833e-06,1.2506008596959896e-06,3.2515622352095727e-06,5.135481698907809e-11,1.5793890220824306e-05,4.346950925752648e-09,0.0
C_decay_0_78,7,1.1467435075321532e-06,4.0058656092695684e-08,2.1844157494902488e-06,1.3652598434314055e-06,3.5496755929216545e-06,4.005865609269568e-11,1.1285159740393162e-05,4.696419100453808e-09,0.0
C_decay_0_78,8,1.186802163624849e-06,3.124779414032219e-08,2.349527177348921e-06,1.468454485843076e-06,3.817981663191998e-06,3.124779414032219e-11,8.184375121958466e-06,5.004783826816847e-09,0.0
C_decay_0_78,9,1.2180499577651711e-06,2.4375451013262974e-08,2.4981301420348085e-06,1.5613313387717552e-06,4.059461480806564e-06,2.4375451013262974e-11,6.00460211989002e-06,5.277511438571733e-09,0.0
C_decay_0_78,10,1.242425408778434e-06,1.9015139653598273e-08,2.6318756593700666e-06,1.644922287106292e-06,4.276797946476359e-06,1.9015139653598274e-11,4.4461159707731325e-06,5.519223355254794e-09,0.0
C_decay_0_78,11,1.2614405484320324e-06,1.4834201447464345e-08,2.752249626648389e-06,1.720156016655243e-06,4.472405643303632e-06,1.4834201447464345e-11,3.3168282643760295e-06,5.733846191735663e-09,0.0
C_decay_0_78,12,1.2762747498794967e-06,1.1573163838319284e-08,2.8605893361820452e-06,1.7878683351137784e-06,4.648457671295824e-06,1.1573163838319283e-11,2.4896782237651523e-06,5.924732421175321e-09,0.0
C_decay_0_78,13,1.287847913717816e-06,9.029639278171638e-09,2.9580983373249336e-06,1.8488114608280834e-06,4.806909798153017e-06,9.029639278171638e-12,1.8784707134802364e-06,6.094757711870834e-09,0.0
C_decay_0_78,14,1.2968775529959876e-06,7.045766421143611e-09,3.0458598121409114e-06,1.9036623825880696e-06,4.949522194728981e-06,7.045766421143611e-12,1.4235245633703868e-06,6.24639974772497e-09,0.0
C_decay_0_78,15,1.3039233194171312e-06,5.49841426488685e-09,3.124848613368123e-06,1.953030383355076e-06,5.077878996723199e-06,5.4984142648868505e-12,1.082817110930573e-06,6.381802316140331e-09,0.0
C_decay_0_78,16,1.309421733682018e-06,4.291541390291208e-09,3.195942098463402e-06,1.9974638115396265e-06,5.193405910003029e-06,4.291541390291208e-12,8.263443036534584e-07,6.502827643685048e-09,0.0
C_decay_0_78,17,1.3137132750723093e-06,3.3502361769218324e-09,3.259929880131103e-06,2.0374561750819385e-06,5.297386055213041e-06,3.3502361769218325e-12,6.324319470024162e-07,6.61109933028535e-09,0.0
C_decay_0_78,18,1.3170635112492311e-06,2.61606817868079e-09,3.317522601698985e-06,2.0734516260618654e-06,5.39097422776085e-06,2.6160681786807897e-12,4.852681664121733e-07,6.708037739010081e-09,0.0
C_decay_0_78,19,1.319679579427912e-06,2.043462203676744e-09,3.369359834866494e-06,2.1058498967915586e-06,5.475209731658053e-06,2.043462203676744e-12,3.732208086680771e-07,6.794889311085964e-09,0.0
C_decay_0_78,20,1.3217230416315887e-06,1.5968701027025224e-09,3.41601718759714e-06,2.1350107422482125e-06,5.551027929845353e-06,1.5968701027025226e-12,2.876710625282352e-07,6.872750971476942e-09,0.0
C_decay_0_78,21,1.3233199117342912e-06,1.2485647698043677e-09,3.4580127011487136e-06,2.1612579382179463e-06,5.61927063936666e-06,1.2485647698043677e-12,2.221933859275893e-07,6.942590551100952e-09,0.0
C_decay_0_78,22,1.3245684765040956e-06,9.769194677240695e-10,3.495812607334812e-06,2.1848828795842578e-06,5.680695486919069e-06,9.769194677240696e-13,1.719718069686398e-07,7.0052639634231655e-09,0.0
C_decay_0_78,23,1.3255453959718196e-06,7.650657062495778e-10,3.5298365100011263e-06,2.206147818750704e-06,5.73598432875183e-06,7.650657062495779e-13,1.3338002030700435e-07,7.061529724723651e-09,0.0
C_decay_0_78,24,1.3263104616780692e-06,5.998463913831299e-10,3.5604620483009195e-06,2.225288780188074e-06,5.7857508284889935e-06,5.9984639138313e-13,1.0367649924180814e-07,7.112061290167064e-09,0.0
C_decay_0_78,25,1.3269103080694523e-06,4.709992853357284e-10,3.5880290935950802e-06,2.242518183496925e-06,5.830547277092005e-06,4.709992853357284e-13,8.078131656461587e-08,7.157457585161456e-09,0.0
C_decay_0_78,26,1.327381307354788e-06,3.705201086068057e-10,3.6128435266191e-06,2.258027204136937e-06,5.8708707307560365e-06,3.705201086068057e-13,6.311161079833401e-08,7.198252038110827e-09,0.0
C_decay_0_78,27,1.3277518274633949e-06,2.921657625656338e-10,3.635180636894567e-06,2.271987898059105e-06,5.907168534953672e-06,2.921657625656338e-13,4.945952715532691e-08,7.234920362417067e-09,0.0
C_decay_0_78,28,1.3280439932259605e-06,2.3106684571670942e-10,3.6552881821646303e-06,2.284555113852895e-06,5.939843296017525e-06,2.3106684571670944e-13,3.8901168633797524e-08,7.267887289243485e-09,0.0
C_decay_0_78,29,1.3282750600716772e-06,1.8342541879016432e-10,3.6733891418544895e-06,2.2958682136590557e-06,5.969257355513545e-06,1.8342541879016432e-13,3.0728348245991134e-08,7.297532415585223e-09,0.0
C_decay_0_78,30,1.3284584854904674e-06,1.4627926365664666e-10,3.6896841951575824e-06,2.3060526219734893e-06,5.995736817131072e-06,1.4627926365664665e-13,2.4397212238985583e-08,7.324195302621539e-09,0.0
C_decay_0_78,31,1.328604764754124e-06,1.1731800722788015e-10,3.7043539512877104e-06,2.315221219554819e-06,6.0195751708425296e-06,1.1731800722788014e-13,1.948941642861148e-08,7.348179935596655e-09,0.0
C_decay_0_78,32,1.328722082761352e-06,9.473969984051951e-11,3.717560956683053e-06,2.3234755979269088e-06,6.041036554609962e-06,9.473969984051951e-14,1.5682689383533513e-08,7.369758637371315e-09,0.0
C_decay_0_78,33,1.3288168224611924e-06,7.713894796441944e-11,3.7294515014691743e-06,2.3309071884182346e-06,6.060358689887409e-06,7.713894796441944e-14,1.2728445940524447e-08,7.389175512348603e-09,0.0
C_decay_0_78,34,1.3288939614091568e-06,6.341965913602878e-11,3.7401572452571846e-06,2.3375982782857412e-06,6.077755523542926e-06,6.341965913602878e-14,1.043471704157316e-08,7.406649484952082e-09,0.0
C_decay_0_78,35,1.3289573810682929e-06,5.272698427096498e-11,3.7497966803453924e-06,2.34362292521587e-06,6.0934196055612625e-06,5.272698427096498e-14,8.653102475142661e-09,7.422376986629556e-09,0.0
C_decay_0_78,36,1.3290101080525638e-06,4.439423381444218e-11,3.7584764485857684e-06,2.349047780366106e-06,6.107524228951874e-06,4.4394233814442184e-14,7.268777355642317e-09,7.436534337004439e-09,0.0
C_decay_0_78,37,1.3290545022863783e-06,3.790147337214629e-11,3.7662925265502483e-06,2.353932829093905e-06,6.120225355644153e-06,3.7901473372146294e-14,6.192823167400699e-09,7.449279857930532e-09,0.0
C_decay_0_78,38,1.3290924037597504e-06,3.28432292304327e-11,3.7733312921682283e-06,2.3583320576051424e-06,6.131663349773371e-06,3.28432292304327e-14,5.356332752946491e-09,7.460755753533122e-09,0.0
C_decay_0_78,39,1.3291252469889809e-06,2.890329949065236e-11,3.779670484689371e-06,2.362294052930856e-06,6.141964537620227e-06,2.890329949065236e-14,4.705872089234053e-09,7.471089784609208e-09,0.0
C_decay_0_78,40,1.3291541502884715e-06,2.5835107510728902e-11,3.7853800686402653e-06,2.3658625429001656e-06,6.151242611540431e-06,2.5835107510728903e-14,4.199981880451163e-09,7.480396761828903e-09,0.0
C_decay_0_78,41,1.3291799853959822e-06,2.3446378263026552e-11,3.7905230113765567e-06,2.369076882110348e-06,6.159599893486905e-06,2.3446378263026553e-14,3.806477477184598e-09,7.488779878882887e-09,0.0
C_decay_0_78,42,1.3292034317742453e-06,2.1587186506976145e-11,3.795155982871879e-06,2.3719724892949245e-06,6.167128472166803e-06,2.1587186506976144e-14,3.5003627059826025e-09,7.496331903941047e-09,0.0
C_decay_0_78,43,1.3292250189607522e-06,2.014063490286411e-11,3.799329985520706e-06,2.3745812409504415e-06,6.173911226471147e-06,2.014063490286411e-14,3.262216472518992e-09,7.5031362454319e-09,0.0
C_decay_0_78,44,1.329245159595655e-06,1.9015583440366962e-11,3.803090920954459e-06,2.3769318255965376e-06,6.180022746550996e-06,1.9015583440366963e-14,3.0769439240299487e-09,7.509267906146654e-09,0.0
C_decay_0_78,45,1.3292641751790955e-06,1.814097883249032e-11,3.8064801001701775e-06,2.379050062606361e-06,6.185530162776538e-06,1.814097883249032e-14,2.9328090487149555e-09,7.514794337955634e-09,0.0
C_decay_0_78,46,1.329282316157928e-06,1.746143184823129e-11,3.809534702641082e-06,2.3809591891506772e-06,6.190493891791759e-06,1.746143184823129e-14,2.820684771433851e-09,7.519776207949686e-09,0.0
C_decay_0_86,1,5.437390539654382e-07,2.1621014466625864e-07,7.287272560379894e-07,4.5545453502374334e-07,1.1841817910617328e-06,2.1621014466625865e-10,0.00018258188590487064,1.7279208450271713e-09,0.0
C_decay_0_86,2,7.599491986316968e-07,1.8594162781813262e-07,1.0393962296686937e-06,6.496226435429335e-07,1.6890188732116272e-06,1.8594162781813262e-10,0.00011008854357238133,2.448968071843324e-09,0.0
C_decay_0_86,3,9.458908264498294e-07,1.599109463583564e-07,1.318999491203884e-06,8.243746820024273e-07,2.1433741732063113e-06,1.599109463583564e-10,7.460710703588576e-05,3.089264999656141e-09,0.0
C_decay_0_86,4,1.1058017728081858e-06,1.375247790339882e-07,1.5706439307079639e-06,9.816524566924774e-07,2.5522963874004414e-06,1.375247790339882e-10,5.3882762093339644e-05,3.6580981602086283e-09,0.0
C_decay_0_86,5,1.243326551842174e-06,1.1827287199693549e-07,1.797125717359168e-06,1.12320357334948e-06,2.920329290708648e-06,1.182728719969355e-10,4.0499841019036375e-05,4.163655842550822e-09,0.0
C_decay_0_86,6,1.3615994238391095e-06,1.0171640912441192e-07,2.000961374725601e-06,1.2506008592035005e-06,3.251562233929101e-06,1.0171640912441192e-10,3.128231963793617e-05,4.613161657768211e-09,0.0
C_decay_0_86,7,1.4633158329635214e-06,8.747801051880924e-08,2.1844157481950375e-06,1.365259842621898e-06,3.5496755908169356e-06,8.747801051880924e-11,2.4643945138287052e-05,5.012991423780458e-09,0.0
C_decay_0_86,8,1.5507938434823307e-06,7.5233131239421e-08,2.3495271753749515e-06,1.468454484609344e-06,3.817981659984296e-06,7.5233131239421e-11,1.9704948304998e-05,5.368775503466627e-09,0.0
C_decay_0_86,9,1.6260269747217517e-06,6.470266423140296e-08,2.4981301391944106e-06,1.5613313369965067e-06,4.059461476190917e-06,6.470266423140297e-11,1.593873094027115e-05,5.685488450912671e-09,0.0
C_decay_0_86,10,1.6907296389531546e-06,5.564657886237094e-08,2.6318756554634626e-06,1.6449222846646639e-06,4.2767979401281265e-06,5.564657886237094e-11,1.3011271432828985e-05,5.967527579081282e-09,0.0
C_decay_0_86,11,1.7463762178155256e-06,4.78584500798058e-08,2.752249621467462e-06,1.7201560134171636e-06,4.472405634884626e-06,4.78584500798058e-11,1.070082948346889e-05,6.218781852700152e-09,0.0
C_decay_0_86,12,1.7942346678953314e-06,4.1160753500766684e-08,2.8605893295137766e-06,1.7878683309461103e-06,4.648457660459887e-06,4.116075350076668e-11,8.854711929697239e-06,6.442692328355217e-09,0.0
C_decay_0_86,13,1.835395421396098e-06,3.540081920194813e-08,2.9580983289544193e-06,1.8488114555965119e-06,4.806909784550931e-06,3.540081920194813e-11,7.364569086718429e-06,6.64230520594703e-09,0.0
C_decay_0_86,14,1.8707962405980462e-06,3.0447351990739377e-08,3.045859801853968e-06,1.9036623761587304e-06,4.949522178012698e-06,3.0447351990739376e-11,6.151574009708632e-06,6.820318418610744e-09,0.0
C_decay_0_86,15,1.9012435925887856e-06,2.6187438848803903e-08,3.1248486009534705e-06,1.95303037559592e-06,5.07787897654939e-06,2.6187438848803905e-11,5.157160887398552e-06,6.979122569138177e-09,0.0
C_decay_0_86,16,1.9274310314375895e-06,2.2523975342951397e-08,3.1959420837144618e-06,1.997463802321539e-06,5.193405886036001e-06,2.2523975342951396e-11,4.337033506954218e-06,7.120836917473591e-09,0.0
C_decay_0_86,17,1.949955006780541e-06,1.9373452346979446e-08,3.259929862847426e-06,2.0374561642796414e-06,5.297386027127067e-06,1.9373452346979448e-11,3.657172093513875e-06,7.247341033907608e-09,0.0
C_decay_0_86,18,1.9693284591275203e-06,1.6664052630055955e-08,3.3175225816873703e-06,2.0734516135546065e-06,5.390974195241977e-06,1.6664052630055954e-11,3.0911022806904713e-06,7.360302654369497e-09,0.0
C_decay_0_86,19,1.9859925117575763e-06,1.4334013929607273e-08,3.3693598119418086e-06,2.105849882463631e-06,5.4752096944054394e-06,1.4334013929607273e-11,2.6179844662851443e-06,7.461202206163015e-09,0.0
C_decay_0_86,20,2.0003265256871835e-06,1.233022120017518e-08,3.4160171615829047e-06,2.135010725989316e-06,5.551027887572221e-06,1.233022120017518e-11,2.2212500909570975e-06,7.551354413259406e-09,0.0
C_decay_0_86,21,2.0126567468873587e-06,1.0606995952980694e-08,3.458012671877466e-06,2.1612579199234166e-06,5.619270591800883e-06,1.0606995952980694e-11,1.8876108170440193e-06,7.631927338688242e-09,0.0
C_decay_0_86,22,2.0232637428403394e-06,9.12505509296524e-09,3.4958125746483005e-06,2.1848828591551885e-06,5.680695433803489e-06,9.12505509296524e-12,1.60632711246334e-06,7.703959176643828e-09,0.0
C_decay_0_86,23,2.0323887979333047e-06,7.850615523139898e-09,3.529836473750355e-06,2.206147796093972e-06,5.735984269844327e-06,7.850615523139898e-12,1.3686605739860166e-06,7.76837306777763e-09,0.0
C_decay_0_86,24,2.0402394134564446e-06,6.754624108382335e-09,3.560462008346069e-06,2.2252887552162933e-06,5.785750763562363e-06,6.754624108382335e-12,1.1674585346679234e-06,7.825990177018807e-09,0.0
C_decay_0_86,25,2.046994037564827e-06,5.812095447944851e-09,3.58802904980534e-06,2.2425181561283364e-06,5.830547205933676e-06,5.812095447944851e-12,9.968353299721084e-07,7.877541243498504e-09,0.0
C_decay_0_86,26,2.0528061330127717e-06,5.001542363097865e-09,3.6128434788724163e-06,2.25802717429526e-06,5.870870653167676e-06,5.001542363097865e-12,8.519251502158785e-07,7.923676786180449e-09,0.0
C_decay_0_86,27,2.0578076753758696e-06,4.304486119457559e-09,3.6351805850773457e-06,2.2719878656733407e-06,5.907168450750686e-06,4.304486119457559e-12,7.28688568024591e-07,7.964976126126554e-09,0.0
C_decay_0_86,28,2.062112161495327e-06,3.7050352208428905e-09,3.6552881261713784e-06,2.2845550788571122e-06,5.93984320502849e-06,3.705035220842891e-12,6.237597682218819e-07,8.001955366523817e-09,0.0
C_decay_0_86,29,2.06581719671617e-06,3.189523174390142e-09,3.6733890815874486e-06,2.295868175992156e-06,5.969257257579605e-06,3.189523174390142e-12,5.34324964858931e-07,8.035074454295776e-09,0.0
C_decay_0_86,30,2.06900671989056e-06,2.7461969706991883e-09,3.6896841305263296e-06,2.3060525815789556e-06,5.995736712105286e-06,2.7461969706991883e-12,4.580249438162729e-07,8.064743431995845e-09,0.0
C_decay_0_86,31,2.0717529168612594e-06,2.3649491787086874e-09,3.704353882208752e-06,2.3152211763804707e-06,6.019575058589222e-06,2.3649491787086876e-12,3.928764332515772e-07,8.091327975450484e-09,0.0
C_decay_0_86,32,2.074117866039968e-06,2.037087549020609e-09,3.7175608830794202e-06,2.3234755519246375e-06,6.041036435004058e-06,2.0370875490206092e-12,3.372082871768412e-07,8.115154301044026e-09,0.0
C_decay_0_86,33,2.0761549535889887e-06,1.7551368743336879e-09,3.729451423270013e-06,2.330907139543759e-06,6.0603585628137715e-06,1.755136874333688e-12,2.8960941108388696e-07,8.136513516402762e-09,0.0
C_decay_0_86,34,2.0779100904633224e-06,1.5126685908398998e-09,3.7401571623973648e-06,2.3375982264983527e-06,6.077755388895718e-06,1.5126685908398999e-12,2.4888605974560954e-07,8.15566547935904e-09,0.0
C_decay_0_86,35,2.0794227590541623e-06,1.3041542366787128e-09,3.749796592765113e-06,2.3436228704781955e-06,6.0934194632433085e-06,1.304154236678713e-12,2.1402666344334653e-07,8.17284222229747e-09,0.0
C_decay_0_86,36,2.080726913290841e-06,1.124839427366533e-09,3.7584763562301917e-06,2.34904772264387e-06,6.107524078874062e-06,1.124839427366533e-12,1.8417273724017803e-07,8.188250992164903e-09,0.0
C_decay_0_86,37,2.0818517527182075e-06,9.70635475694089e-10,3.7662924293691393e-06,2.353932768355712e-06,6.120225197724851e-06,9.70635475694089e-13,1.585947321113144e-07,8.202076950443058e-09,0.0
C_decay_0_86,38,2.0828223881939016e-06,8.38026185757011e-10,3.7733311901156156e-06,2.3583319938222605e-06,6.1316631839378764e-06,8.38026185757011e-13,1.3667192091572353e-07,8.214485572131777e-09,0.0
C_decay_0_86,39,2.0836604143796586e-06,7.23987696669491e-10,3.7796703777232243e-06,2.3622939860770154e-06,6.14196436380024e-06,7.239876966694911e-13,1.1787559383062515e-07,8.225624778179898e-09,0.0
C_decay_0_86,40,2.084384402076328e-06,6.259195488991005e-10,3.7853799567221883e-06,2.365862472951369e-06,6.151242429673557e-06,6.259195488991005e-13,1.017549797549302e-07,8.235626831749885e-09,0.0
C_decay_0_86,41,2.0850103216252272e-06,5.415854019897757e-10,3.7905228944715053e-06,2.3690768090446907e-06,6.159599703516196e-06,5.415854019897757e-13,8.792542179009013e-08,8.244610025141425e-09,0.0
