time,source_cid,target_cid,source_branch,target_branch,subspace_overlap,sigma_source,sigma_target,ambiguity_flag
90,1,2,2,2,9.39537539133533661e-01,1.41421356237309537e+00,1.41421356237309426e+00,0
95,0,0,0,0,1.00000000000000000e+00,3.74165738677394089e+00,3.74165738677394089e+00,0
95,1,1,1,1,9.95956121954875928e-01,1.41421356237309448e+00,1.41421356237309559e+00,0
95,2,2,2,2,9.95956121954876483e-01,1.41421356237309426e+00,1.41421356237309470e+00,0
100,0,0,0,0,1.00000000000000000e+00,3.74165738677394089e+00,3.74165738677394222e+00,0
100,2,1,2,2,9.96143928880865781e-01,1.41421356237309470e+00,1.41421356237309470e+00,0
100,1,2,1,1,9.96143928880866003e-01,1.41421356237309559e+00,1.41421356237309448e+00,0
105,0,0,0,0,1.00000000000000000e+00,3.74165738677394222e+00,3.74165738677393866e+00,0
105,1,1,2,2,8.33204619919288403e-01,1.41421356237309470e+00,1.41421356237309648e+00,1
105,2,2,1,1,8.33204619919288625e-01,1.41421356237309448e+00,1.41421356237309515e+00,1
110,0,0,0,0,1.00000000000000022e+00,3.74165738677393866e+00,3.74165738677393955e+00,0
110,2,1,1,1,8.71966018616920469e-01,1.41421356237309515e+00,1.41421356237309492e+00,1
110,1,2,2,2,8.71966018616921024e-01,1.41421356237309648e+00,1.41421356237309381e+00,1
115,0,0,0,0,1.00000000000000022e+00,3.74165738677393955e+00,3.74165738677394089e+00,0
115,2,1,2,2,9.97446721386350710e-01,1.41421356237309381e+00,1.41421356237309470e+00,0
115,1,2,1,1,9.97446721386350377e-01,1.41421356237309492e+00,1.41421356237309426e+00,0
120,0,0,0,0,9.99999999999999667e-01,3.74165738677394089e+00,3.74165738677393911e+00,0
120,2,1,1,1,9.79394142455108807e-01,1.41421356237309426e+00,1.41421356237309537e+00,0
120,1,2,2,2,9.79394142455108918e-01,1.41421356237309470e+00,1.41421356237309470e+00,0
125,0,0,0,0,1.00000000000000000e+00,3.74165738677393911e+00,3.74165738677394177e+00,0
125,1,1,1,1,9.93347610680841320e-01,1.41421356237309537e+00,1.41421356237309559e+00,0
125,2,2,2,2,9.93347610680841653e-01,1.41421356237309470e+00,1.41421356237309470e+00,0
130,0,0,0,0,1.00000000000000022e+00,3.74165738677394177e+00,3.74165738677394133e+00,0
130,2,1,2,2,9.96728165399710209e-01,1.41421356237309470e+00,1.41421356237309581e+00,0
130,1,2,1,1,9.96728165399709543e-01,1.41421356237309559e+00,1.41421356237309470e+00,0
135,0,0,0,0,1.00000000000000044e+00,3.74165738677394133e+00,3.74165738677394000e+00,0
135,2,1,1,1,9.83427930383705351e-01,1.41421356237309470e+00,1.41421356237309537e+00,0
135,1,2,2,2,9.83427930383705462e-01,1.41421356237309581e+00,1.41421356237309470e+00,0
140,0,0,0,0,1.00000000000000022e+00,3.74165738677394000e+00,3.74165738677393822e+00,0
140,2,1,2,2,9.72644537638019280e-01,1.41421356237309470e+00,1.41421356237309537e+00,0
140,1,2,1,1,9.72644537638019169e-01,1.41421356237309537e+00,1.41421356237309404e+00,0
145,0,0,0,0,1.00000000000000022e+00,3.74165738677393822e+00,3.74165738677394222e+00,0
145,1,1,2,2,9.67274813451931337e-01,1.41421356237309537e+00,1.41421356237309626e+00,0
145,2,2,1,1,9.67274813451931337e-01,1.41421356237309404e+00,1.41421356237309470e+00,0
150,0,0,0,0,1.00000000000000022e+00,3.74165738677394222e+00,3.74165738677394133e+00,0
150,1,1,2,2,8.63314523892609653e-01,1.41421356237309626e+00,1.41421356237309559e+00,1
150,2,2,1,1,8.63314523892609431e-01,1.41421356237309470e+00,1.41421356237309470e+00,1
155,0,0,0,0,1.00000000000000044e+00,3.74165738677394133e+00,3.74165738677394000e+00,0
155,1,1,2,2,8.40649401478514413e-01,1.41421356237309559e+00,1.41421356237309581e+00,1
155,2,2,1,1,8.40649401478514635e-01,1.41421356237309470e+00,1.41421356237309448e+00,1
160,0,0,0,0,9.99999999999999889e-01,3.74165738677394000e+00,3.74165738677393955e+00,0
160,1,1,2,2,9.11057366212400188e-01,1.41421356237309581e+00,1.41421356237309692e+00,0
160,2,2,1,1,9.11057366212399966e-01,1.41421356237309448e+00,1.41421356237309448e+00,0
165,0,0,0,0,1.00000000000000000e+00,3.74165738677393955e+00,3.74165738677393911e+00,0
165,2,1,1,1,9.47939459218712366e-01,1.41421356237309448e+00,1.41421356237309404e+00,0
165,1,2,2,2,9.47939459218712477e-01,1.41421356237309692e+00,1.41421356237309293e+00,0
170,0,0,0,0,1.00000000000000044e+00,3.74165738677393911e+00,3.74165738677394089e+00,0
170,2,1,2,2,7.90587802927677497e-01,1.41421356237309293e+00,1.41421356237309515e+00,1
170,1,2,1,1,7.90587802927677830e-01,1.41421356237309404e+00,1.41421356237309470e+00,1
175,0,0,0,0,1.00000000000000022e+00,3.74165738677394089e+00,3.74165738677394311e+00,0
175,2,1,1,1,6.00727511034594430e-01,1.41421356237309470e+00,1.41421356237309581e+00,1
175,1,2,2,2,6.00727511034594541e-01,1.41421356237309515e+00,1.41421356237309470e+00,1
180,0,0,0,0,9.99999999999999889e-01,3.74165738677394311e+00,3.74165738677394044e+00,0
180,1,1,1,1,9.50960274715765830e-01,1.41421356237309581e+00,1.41421356237309714e+00,0
180,2,2,2,2,9.50960274715766052e-01,1.41421356237309470e+00,1.41421356237309537e+00,0
185,0,0,0,0,1.00000000000000000e+00,3.74165738677394044e+00,3.74165738677394266e+00,0
185,2,1,2,2,9.45876075863093968e-01,1.41421356237309537e+00,1.41421356237309515e+00,0
185,1,2,1,1,9.45876075863093968e-01,1.41421356237309714e+00,1.41421356237309315e+00,0
190,0,0,0,0,1.00000000000000000e+00,3.74165738677394266e+00,3.74165738677394177e+00,0
190,2,1,1,1,9.29902436753194728e-01,1.41421356237309315e+00,1.41421356237309626e+00,0
190,1,2,2,2,9.29902436753194839e-01,1.41421356237309515e+00,1.41421356237309515e+00,0
195,0,0,0,0,9.99999999999999889e-01,3.74165738677394177e+00,3.74165738677394044e+00,0
195,2,1,2,2,9.55747400035412364e-01,1.41421356237309515e+00,1.41421356237309492e+00,0
195,1,2,1,1,9.55747400035412031e-01,1.41421356237309626e+00,1.41421356237309448e+00,0
200,0,0,0,0,1.00000000000000022e+00,3.74165738677394044e+00,3.74165738677393866e+00,0
200,1,1,2,2,9.94893566038456911e-01,1.41421356237309492e+00,1.41421356237309559e+00,0
200,2,2,1,1,9.94893566038457022e-01,1.41421356237309448e+00,1.41421356237309492e+00,0
205,0,0,0,0,1.00000000000000044e+00,3.74165738677393866e+00,3.74165738677393955e+00,0
205,1,1,2,2,9.78576947674522413e-01,1.41421356237309559e+00,1.41421356237309515e+00,0
205,2,2,1,1,9.78576947674522635e-01,1.41421356237309492e+00,1.41421356237309470e+00,0
210,0,0,0,0,1.00000000000000044e+00,3.74165738677393955e+00,3.74165738677394044e+00,0
210,2,1,1,1,9.61673155671993407e-01,1.41421356237309470e+00,1.41421356237309626e+00,0
210,1,2,2,2,9.61673155671993518e-01,1.41421356237309515e+00,1.41421356237309581e+00,0
215,0,0,0,0,1.00000000000000000e+00,3.74165738677394044e+00,3.74165738677394222e+00,0
215,1,1,1,1,9.25384973245007125e-01,1.41421356237309626e+00,1.41421356237309581e+00,0
215,2,2,2,2,9.25384973245007236e-01,1.41421356237309581e+00,1.41421356237309537e+00,0
220,0,0,0,0,1.00000000000000022e+00,3.74165738677394222e+00,3.74165738677393866e+00,0
220,2,1,2,2,9.38129799384319285e-01,1.41421356237309537e+00,1.41421356237309581e+00,0
220,1,2,1,1,9.38129799384318952e-01,1.41421356237309581e+00,1.41421356237309470e+00,0
225,0,0,0,0,1.00000000000000022e+00,3.74165738677393866e+00,3.74165738677394222e+00,0
225,2,1,1,1,8.60949202936994173e-01,1.41421356237309470e+00,1.41421356237309581e+00,1
225,1,2,2,2,8.60949202936994507e-01,1.41421356237309581e+00,1.41421356237309492e+00,1
230,0,0,0,0,1.00000000000000067e+00,3.74165738677394222e+00,3.74165738677394355e+00,0
230,1,1,1,1,9.54515484022272043e-01,1.41421356237309581e+00,1.41421356237309581e+00,0
230,2,2,2,2,9.54515484022272265e-01,1.41421356237309492e+00,1.41421356237309581e+00,0
235,0,0,0,0,1.00000000000000044e+00,3.74165738677394355e+00,3.74165738677394222e+00,0
235,1,1,1,1,9.85827638280722729e-01,1.41421356237309581e+00,1.41421356237309626e+00,0
235,2,2,2,2,9.85827638280723395e-01,1.41421356237309581e+00,1.41421356237309470e+00,0
240,0,0,0,0,1.00000000000000044e+00,3.74165738677394222e+00,3.74165738677394177e+00,0
240,1,1,1,1,9.86690006489441274e-01,1.41421356237309626e+00,1.41421356237309537e+00,0
240,2,2,2,2,9.86690006489441607e-01,1.41421356237309470e+00,1.41421356237309448e+00,0
245,0,0,0,0,1.00000000000000067e+00,3.74165738677394177e+00,3.74165738677394177e+00,0
245,1,1,1,1,9.84288769186679402e-01,1.41421356237309537e+00,1.41421356237309581e+00,0
245,2,2,2,2,9.84288769186678847e-01,1.41421356237309448e+00,1.41421356237309404e+00,0
250,0,0,0,0,1.00000000000000044e+00,3.74165738677394177e+00,3.74165738677394133e+00,0
250,1,1,1,1,9.96502938362479274e-01,1.41421356237309581e+00,1.41421356237309581e+00,0
250,2,2,2,2,9.96502938362479607e-01,1.41421356237309404e+00,1.41421356237309404e+00,0
255,0,0,0,0,1.00000000000000022e+00,3.74165738677394133e+00,3.74165738677393911e+00,0
255,2,1,2,2,9.95283392729706229e-01,1.41421356237309404e+00,1.41421356237309537e+00,0
255,1,2,1,1,9.95283392729706007e-01,1.41421356237309581e+00,1.41421356237309381e+00,0
260,0,0,0,0,1.00000000000000044e+00,3.74165738677393911e+00,3.74165738677394089e+00,0
260,2,1,1,1,9.87718087611896944e-01,1.41421356237309381e+00,1.41421356237309626e+00,0
260,1,2,2,2,9.87718087611897611e-01,1.41421356237309537e+00,1.41421356237309404e+00,0
265,0,0,0,0,1.00000000000000022e+00,3.74165738677394089e+00,3.74165738677394133e+00,0
265,1,1,1,1,9.97022363899169317e-01,1.41421356237309626e+00,1.41421356237309759e+00,0
265,2,2,2,2,9.97022363899169650e-01,1.41421356237309404e+00,1.41421356237309515e+00,0
270,0,0,0,0,1.00000000000000022e+00,3.74165738677394133e+00,3.74165738677393955e+00,0
270,1,1,1,1,8.90149345978549889e-01,1.41421356237309759e+00,1.41421356237309559e+00,1
270,2,2,2,2,8.90149345978550000e-01,1.41421356237309515e+00,1.41421356237309492e+00,1
275,0,0,0,0,1.00000000000000022e+00,3.74165738677393955e+00,3.74165738677394311e+00,0
275,1,1,1,1,8.33464062543871842e-01,1.41421356237309559e+00,1.41421356237309559e+00,1
275,2,2,2,2,8.33464062543871398e-01,1.41421356237309492e+00,1.41421356237309515e+00,1
280,0,0,0,0,1.00000000000000022e+00,3.74165738677394311e+00,3.74165738677394177e+00,0
280,2,1,2,2,9.87954453528824383e-01,1.41421356237309515e+00,1.41421356237309470e+00,0
280,1,2,1,1,9.87954453528824494e-01,1.41421356237309559e+00,1.41421356237309359e+00,0
285,0,0,0,0,1.00000000000000022e+00,3.74165738677394177e+00,3.74165738677394133e+00,0
285,1,1,2,2,9.83546047186491856e-01,1.41421356237309470e+00,1.41421356237309492e+00,0
285,2,2,1,1,9.83546047186492189e-01,1.41421356237309359e+00,1.41421356237309448e+00,0
290,0,0,0,0,1.00000000000000044e+00,3.74165738677394133e+00,3.74165738677394177e+00,0
290,2,1,1,1,9.49884690795831044e-01,1.41421356237309448e+00,1.41421356237309537e+00,0
290,1,2,2,2,9.49884690795831044e-01,1.41421356237309492e+00,1.41421356237309448e+00,0
295,0,0,0,0,1.00000000000000044e+00,3.74165738677394177e+00,3.74165738677394089e+00,0
295,2,1,2,2,8.63127306232923663e-01,1.41421356237309448e+00,1.41421356237309470e+00,1
295,1,2,1,1,8.63127306232923996e-01,1.41421356237309537e+00,1.41421356237309404e+00,1
300,0,0,0,0,1.00000000000000022e+00,3.74165738677394089e+00,3.74165738677394177e+00,0
300,2,1,1,1,9.17142739908276994e-01,1.41421356237309404e+00,1.41421356237309492e+00,0
300,1,2,2,2,9.17142739908276439e-01,1.41421356237309470e+00,1.41421356237309426e+00,0
305,0,0,0,0,1.00000000000000044e+00,3.74165738677394177e+00,3.74165738677393866e+00,0
305,1,1,1,1,9.67153775720452913e-01,1.41421356237309492e+00,1.41421356237309692e+00,0
305,2,2,2,2,9.67153775720452469e-01,1.41421356237309426e+00,1.41421356237309515e+00,0
310,0,0,0,0,1.00000000000000022e+00,3.74165738677393866e+00,3.74165738677394266e+00,0
310,2,1,2,2,8.11479593232577789e-01,1.41421356237309515e+00,1.41421356237309537e+00,1
310,1,2,1,1,8.11479593232578233e-01,1.41421356237309692e+00,1.41421356237309470e+00,1
315,0,0,0,0,9.99999999999999889e-01,3.74165738677394266e+00,3.74165738677394000e+00,0
315,2,1,1,1,8.57655410056344714e-01,1.41421356237309470e+00,1.41421356237309581e+00,1
315,1,2,2,2,8.57655410056344270e-01,1.41421356237309537e+00,1.41421356237309537e+00,1
320,0,0,0,0,1.00000000000000000e+00,3.74165738677394000e+00,3.74165738677394044e+00,0
320,1,1,1,1,9.86829047296636674e-01,1.41421356237309581e+00,1.41421356237309492e+00,0
320,2,2,2,2,9.86829047296636452e-01,1.41421356237309537e+00,1.41421356237309448e+00,0
325,0,0,0,0,1.00000000000000022e+00,3.74165738677394044e+00,3.74165738677394488e+00,0
325,2,1,2,2,9.53535060124042877e-01,1.41421356237309448e+00,1.41421356237309537e+00,0
325,1,2,1,1,9.53535060124042877e-01,1.41421356237309492e+00,1.41421356237309448e+00,0
330,0,0,0,0,1.00000000000000022e+00,3.74165738677394488e+00,3.74165738677394089e+00,0
330,2,1,1,1,9.99048626849447285e-01,1.41421356237309448e+00,1.41421356237309737e+00,0
330,1,2,2,2,9.99048626849447396e-01,1.41421356237309537e+00,1.41421356237309537e+00,0
335,0,0,0,0,1.00000000000000044e+00,3.74165738677394089e+00,3.74165738677394133e+00,0
335,2,1,2,2,9.89515839187962154e-01,1.41421356237309537e+00,1.41421356237309559e+00,0
335,1,2,1,1,9.89515839187962598e-01,1.41421356237309737e+00,1.41421356237309359e+00,0
340,0,0,0,0,1.00000000000000022e+00,3.74165738677394133e+00,3.74165738677394133e+00,0
340,1,1,2,2,9.57267828839874269e-01,1.41421356237309559e+00,1.41421356237309515e+00,0
340,2,2,1,1,9.57267828839874602e-01,1.41421356237309359e+00,1.41421356237309448e+00,0
345,0,0,0,0,1.00000000000000000e+00,3.74165738677394133e+00,3.74165738677394044e+00,0
345,2,1,1,1,8.61974938892655307e-01,1.41421356237309448e+00,1.41421356237309537e+00,1
345,1,2,2,2,8.61974938892655640e-01,1.41421356237309515e+00,1.41421356237309537e+00,1
350,0,0,0,0,1.00000000000000022e+00,3.74165738677394044e+00,3.74165738677394044e+00,0
350,2,1,2,2,7.52087295704025771e-01,1.41421356237309537e+00,1.41421356237309492e+00,1
350,1,2,1,1,7.52087295704025882e-01,1.41421356237309537e+00,1.41421356237309448e+00,1
355,0,0,0,0,1.00000000000000044e+00,3.74165738677394044e+00,3.74165738677394089e+00,0
355,2,1,1,1,7.84142433257066118e-01,1.41421356237309448e+00,1.41421356237309559e+00,1
355,1,2,2,2,7.84142433257066562e-01,1.41421356237309492e+00,1.41421356237309559e+00,1
360,0,0,0,0,1.00000000000000044e+00,3.74165738677394089e+00,3.74165738677394044e+00,0
360,1,1,1,1,9.98407451726984640e-01,1.41421356237309559e+00,1.41421356237309670e+00,0
360,2,2,2,2,9.98407451726984863e-01,1.41421356237309559e+00,1.41421356237309537e+00,0
365,0,0,0,0,1.00000000000000000e+00,3.74165738677394044e+00,3.74165738677394266e+00,0
365,1,1,1,1,9.63051466492314212e-01,1.41421356237309670e+00,1.41421356237309448e+00,0
365,2,2,2,2,9.63051466492313990e-01,1.41421356237309537e+00,1.41421356237309426e+00,0
370,0,0,0,0,1.00000000000000022e+00,3.74165738677394266e+00,3.74165738677394000e+00,0
370,2,1,2,2,9.81428672965525162e-01,1.41421356237309426e+00,1.41421356237309581e+00,0
370,1,2,1,1,9.81428672965525273e-01,1.41421356237309448e+00,1.41421356237309492e+00,0
375,0,0,0,0,1.00000000000000022e+00,3.74165738677394000e+00,3.74165738677394266e+00,0
375,2,1,1,1,9.92765935379940068e-01,1.41421356237309492e+00,1.41421356237309603e+00,0
375,1,2,2,2,9.92765935379939957e-01,1.41421356237309581e+00,1.41421356237309448e+00,0
380,0,0,0,0,1.00000000000000044e+00,3.74165738677394266e+00,3.74165738677394000e+00,0
380,2,1,2,2,7.53508265910216579e-01,1.41421356237309448e+00,1.41421356237309581e+00,1
380,1,2,1,1,7.53508265910216690e-01,1.41421356237309603e+00,1.41421356237309515e+00,1
385,0,0,0,0,1.00000000000000044e+00,3.74165738677394000e+00,3.74165738677394044e+00,0
385,2,1,1,1,7.49542100571534031e-01,1.41421356237309515e+00,1.41421356237309603e+00,1
385,1,2,2,2,7.49542100571534253e-01,1.41421356237309581e+00,1.41421356237309537e+00,1
390,0,0,0,0,1.00000000000000044e+00,3.74165738677394044e+00,3.74165738677394089e+00,0
390,2,1,2,2,9.95108403339844516e-01,1.41421356237309537e+00,1.41421356237309515e+00,0
390,1,2,1,1,9.95108403339844849e-01,1.41421356237309603e+00,1.41421356237309448e+00,0
395,0,0,0,0,9.99999999999999889e-01,3.74165738677394089e+00,3.74165738677394222e+00,0
395,2,1,1,1,7.50389680334156428e-01,1.41421356237309448e+00,1.41421356237309626e+00,1
395,1,2,2,2,7.50389680334155984e-01,1.41421356237309515e+00,1.41421356237309492e+00,1
400,0,0,0,0,1.00000000000000044e+00,3.74165738677394222e+00,3.74165738677394222e+00,0
400,2,1,2,2,9.07911411369940802e-01,1.41421356237309492e+00,1.41421356237309537e+00,0
400,1,2,1,1,9.07911411369941357e-01,1.41421356237309626e+00,1.41421356237309448e+00,0
405,0,0,0,0,1.00000000000000067e+00,3.74165738677394222e+00,3.74165738677394044e+00,0
405,2,1,1,1,9.01168385506103342e-01,1.41421356237309448e+00,1.41421356237309603e+00,0
405,1,2,2,2,9.01168385506102565e-01,1.41421356237309537e+00,1.41421356237309470e+00,0
410,0,0,0,0,1.00000000000000067e+00,3.74165738677394044e+00,3.74165738677393955e+00,0
410,1,1,1,1,9.82162633085327808e-01,1.41421356237309603e+00,1.41421356237309559e+00,0
410,2,2,2,2,9.82162633085327252e-01,1.41421356237309470e+00,1.41421356237309448e+00,0
415,0,0,0,0,9.99999999999999889e-01,3.74165738677393955e+00,3.74165738677394089e+00,0
415,2,1,2,2,9.95589261850760243e-01,1.41421356237309448e+00,1.41421356237309537e+00,0
415,1,2,1,1,9.95589261850760465e-01,1.41421356237309559e+00,1.41421356237309492e+00,0
420,0,0,0,0,9.99999999999999889e-01,3.74165738677394089e+00,3.74165738677394089e+00,0
420,1,1,2,2,9.31696018990089914e-01,1.41421356237309537e+00,1.41421356237309470e+00,0
420,2,2,1,1,9.31696018990090025e-01,1.41421356237309492e+00,1.41421356237309381e+00,0
420,2,3,1,3,1.01070733581359379e-19,1.41421356237309492e+00,8.73106686342610148e-13,1
425,0,0,0,0,1.00000000000000022e+00,3.74165738677394089e+00,3.74165738677394177e+00,0
425,2,1,1,1,8.06326133810220780e-01,1.41421356237309381e+00,1.41421356237309537e+00,1
425,1,2,2,2,8.06326133810220780e-01,1.41421356237309470e+00,1.41421356237309515e+00,1
425,3,3,3,3,9.99999953742333303e-01,8.73106686342610148e-13,9.37159154096260120e-13,0
430,0,0,0,0,1.00000000000000000e+00,3.74165738677394177e+00,3.74165738677394089e+00,0
430,1,1,1,1,9.32816093001272439e-01,1.41421356237309537e+00,1.41421356237309648e+00,0
430,2,2,2,2,9.32816093001271884e-01,1.41421356237309515e+00,1.41421356237309537e+00,0
430,3,3,3,3,9.99999987566752235e-01,9.37159154096260120e-13,1.00689582645202014e-12,0
435,0,0,0,0,1.00000000000000000e+00,3.74165738677394089e+00,3.74165738677394355e+00,0
435,1,1,1,1,9.75308378957423949e-01,1.41421356237309648e+00,1.41421356237309670e+00,0
435,2,2,2,2,9.75308378957423616e-01,1.41421356237309537e+00,1.41421356237309537e+00,0
435,3,3,3,3,9.99999812965963963e-01,1.00689582645202014e-12,1.08183105356639774e-12,0
440,0,0,0,0,1.00000000000000000e+00,3.74165738677394355e+00,3.74165738677393911e+00,0
440,1,1,1,1,9.94650363495216849e-01,1.41421356237309670e+00,1.41421356237309581e+00,0
440,2,2,2,2,9.94650363495216960e-01,1.41421356237309537e+00,1.41421356237309492e+00,0
440,3,3,3,3,9.99999965022085879e-01,1.08183105356639774e-12,1.16222758074982170e-12,0
445,0,0,0,0,1.00000000000000044e+00,3.74165738677393911e+00,3.74165738677394177e+00,0
445,2,1,2,2,8.92713357697697107e-01,1.41421356237309492e+00,1.41421356237309515e+00,1
445,1,2,1,1,8.92713357697697107e-01,1.41421356237309581e+00,1.41421356237309270e+00,1
445,3,3,3,3,9.99999982362259621e-01,1.16222758074982170e-12,1.24793176942301293e-12,0
450,0,0,0,0,1.00000000000000044e+00,3.74165738677394177e+00,3.74165738677393866e+00,0
450,2,1,1,1,9.43092632932042818e-01,1.41421356237309270e+00,1.41421356237309803e+00,0
450,1,2,2,2,9.43092632932042818e-01,1.41421356237309515e+00,1.41421356237309559e+00,0
450,3,3,3,3,9.99999932645200706e-01,1.24793176942301293e-12,1.34110940424474192e-12,0
455,0,0,0,0,1.00000000000000067e+00,3.74165738677393866e+00,3.74165738677394266e+00,0
455,1,1,1,1,8.67300230954523799e-01,1.41421356237309803e+00,1.41421356237309537e+00,1
455,2,2,2,2,8.67300230954523688e-01,1.41421356237309559e+00,1.41421356237309537e+00,1
455,3,3,3,3,9.99999964279841502e-01,1.34110940424474192e-12,1.44142331883355012e-12,0
460,0,0,0,0,1.00000000000000044e+00,3.74165738677394266e+00,3.74165738677394133e+00,0
460,2,1,2,2,9.95400368271887159e-01,1.41421356237309537e+00,1.41421356237309537e+00,0
460,1,2,1,1,9.95400368271887270e-01,1.41421356237309537e+00,1.41421356237309448e+00,0
460,3,3,3,3,9.99999915951664375e-01,1.44142331883355012e-12,1.54790855555931892e-12,0
465,0,0,0,0,1.00000000000000022e+00,3.74165738677394133e+00,3.74165738677394266e+00,0
465,1,1,2,2,7.79758085794615363e-01,1.41421356237309537e+00,1.41421356237309515e+00,1
465,2,2,1,1,7.79758085794615696e-01,1.41421356237309448e+00,1.41421356237309470e+00,1
465,3,3,3,3,9.99999959883943079e-01,1.54790855555931892e-12,1.66339062908308508e-12,0
