N,seed,parent_ok,M,parent_residual,sigma_max,sigma_from_flow,rel_equilibrium_defect,max_Re,a_flow_per_tau,n_unstable,unstable_freq,n_zero_freq,n_distinct_freq,freq_min,freq_max,freqs
7,3,True,21,3.201539043539038e-11,0.3982922482337055,0.3982922482337054,8.038165362631831e-11,0.08759196284266389,0.17518392568532778,2,0.1402963745092449,20,10,8.829623401004083e-07,0.7965844964682551,0.000001;0.000002;0.045499;0.140296;0.276411;0.284012;0.292704;0.314576;0.328814;0.796584
7,4,True,21,3.008747263790083e-11,0.37589225606526494,0.37589225606526494,8.004280926293985e-11,0.06560928268478183,0.13121856536956367,2,0.12406623909998525,20,10,1.121386233618265e-06,0.7517845121304694,0.000001;0.000003;0.042657;0.124066;0.220945;0.278141;0.288519;0.306915;0.310276;0.751785
8,0,True,28,2.009057765809291e-11,0.4106150269778682,0.41061502697786834,4.89280130715681e-11,1.4372192376144603e-06,2.8744384752289207e-06,1,0.0,32,12,1.9150487950552362e-06,0.8212300539561929,0.000002;0.040101;0.056259;0.113285;0.216818;0.266376;0.291222;0.319590;0.331944;0.345564;0.349709;0.821230
8,1,True,28,1.8384464676676122e-11,0.4235979715710472,0.42359797157104734,4.340073822471696e-11,1.986685504489232e-06,3.973371008978464e-06,1,0.0,32,12,1.8654179205619697e-07,0.8471959431439716,0.000000;0.023911;0.059773;0.144849;0.198312;0.280526;0.305133;0.329200;0.340987;0.357543;0.359172;0.847196
8,2,True,28,4.0017113190506705e-12,0.41170072103039995,0.4117007210303999,9.719956069971816e-12,4.675966189937229e-11,9.351932379874458e-11,0,,30,12,1.0661727461521831e-06,0.8234014420585892,0.000001;0.031897;0.061628;0.117633;0.196814;0.280094;0.299124;0.310166;0.336424;0.345982;0.351548;0.823401
8,3,True,28,1.1890214873035095e-11,0.40916509453745387,0.4091650945374539,2.905969940743962e-11,1.360681389306674e-06,2.721362778613348e-06,1,0.0,32,12,9.044784959209048e-07,0.8183301890732093,0.000001;0.009193;0.048180;0.049509;0.227839;0.275644;0.298056;0.321620;0.324744;0.342430;0.349175;0.818330
8,4,True,28,7.813149457366806e-12,0.38512613327666534,0.38512613327666556,2.028724524510223e-11,0.0494069471551637,0.0988138943103274,2,0.15325333932811214,30,11,1.2226024208673571e-06,0.7702522665533705,0.000001;0.038643;0.043751;0.153253;0.265947;0.269002;0.307499;0.313308;0.321481;0.329595;0.770252
9,0,True,36,6.1130681319692285e-12,0.4067947334785481,0.40679473347854783,1.5027401879505862e-11,7.043945221539785e-07,1.408789044307957e-06,0,,46,13,0.00973769233962683,0.8135894669566468,0.009738;0.042098;0.060315;0.128196;0.213099;0.278311;0.294151;0.319062;0.347458;0.350263;0.352755;0.355570;0.813589
9,1,True,36,1.7673084835555553e-11,0.4256382804247745,0.4256382804247742,4.1521371770287704e-11,1.5863112064811902e-10,3.1726224129623803e-10,0,,44,14,8.986946431713981e-07,0.8512765608505176,0.000001;0.010771;0.017252;0.038098;0.115970;0.221962;0.293830;0.335595;0.338863;0.355952;0.358491;0.366302;0.371584;0.851277
9,2,True,36,7.80363053251142e-12,0.4247542468475297,0.4247542468475299,1.8372107967730746e-11,5.468474384339247e-07,1.0936948768678495e-06,0,,44,14,2.72415414744158e-09,0.8495084936957129,0.000000;0.000878;0.016264;0.028750;0.069374;0.251482;0.293075;0.328474;0.338956;0.355493;0.358335;0.366356;0.367774;0.849508
