N,seed,M,parent_residual,sigma_max,phi,relative_equilibrium_defect,mu_G_max,lambda_G,lambda_f_pred,n_unstable,mu_top4,lambda_DF_max
6,0,15,6.387259776412142e-11,0.3999999999999172,0.02026833970057521,3.236631576260822e-12,1.0075754404914934,0.007546890935161419,0.015093781870322839,7,"1.007575, 1.007575, 1.000122, 1.000113",4.1420675326529574e-05
6,1,15,3.8498693504444365e-11,0.3917938690394118,0.0198525280757377,1.9504991671941916e-12,1.0055280699179125,0.00551284621874932,0.01102569243749864,6,"1.005528, 1.005528, 1.002716, 1.002716",3.881015260083578e-05
6,2,15,7.853401903275775e-11,0.3583610696828772,0.018158459739488823,3.979373666327255e-12,1.0034245230591303,0.003418672732619768,0.006837345465239536,7,"1.003425, 1.003425, 1.000097, 1.000087",3.3361448398477475e-05
6,3,15,7.853311448842492e-11,0.358361069682938,0.018158459739491838,3.979314230611604e-12,1.0034245232200372,0.003418672892977463,0.006837345785954926,8,"1.003425, 1.003425, 1.000097, 1.000087",3.3361398262256285e-05
6,4,15,7.058150448589648e-11,0.3583610696829115,0.01815845973949053,3.5763581684590153e-12,1.0039146376093575,0.003906995353499954,0.007813990706999908,9,"1.003915, 1.003915, 1.000097, 1.000087",3.336139856267261e-05
7,0,21,1.6198350886961902e-11,0.39559993874937704,0.020045384860251942,8.207849347465252e-13,1.0035300681450543,0.0035238520789625753,0.0070477041579251505,9,"1.003530, 1.003530, 1.000212, 1.000212",4.230605607069514e-05
7,1,21,2.8788101358966757e-11,0.41863101809634695,0.021212389209940233,1.458810533627165e-12,1.0037594008710027,0.0037523519844182935,0.007504703968836587,10,"1.003759, 1.003759, 1.000153, 1.000153",4.79116260679042e-05
7,2,21,6.65959817310683e-11,0.3910242497049914,0.019813530810462318,3.3744145029862498e-12,1.0072528821488937,0.007226706488942587,0.014453412977885174,11,"1.007253, 1.007253, 1.000111, 1.000106",4.547562579373781e-05
7,3,21,3.201539043539038e-11,0.3982922482337055,0.020181806468270478,1.622230156281162e-12,1.0044349883495862,0.00442518276982085,0.0088503655396417,8,"1.004435, 1.004435, 1.000120, 1.000120",4.495817675503035e-05
7,4,21,3.008747263790083e-11,0.37589225606526494,0.01904677984186986,1.5245630551537202e-12,1.0033211177344352,0.0033156150030454958,0.0066312300060909915,9,"1.003321, 1.003321, 1.000115, 1.000115",4.2024143006898115e-05
8,0,28,2.009057765809291e-11,0.4106150269778682,0.020806212132374897,1.0178815252286995e-12,1.0002696986198458,0.00026966225771078435,0.0005393245154215687,8,"1.000270, 1.000270, 1.000141, 1.000141",4.779371926771811e-05
8,1,28,1.8384464676676122e-11,0.4235979715710472,0.021464068960695845,9.316232806564742e-13,1.000528188152878,0.0005280487106146153,0.0010560974212292305,10,"1.000528, 1.000528, 1.000150, 1.000150",5.112031548100626e-05
