N,seed,sigma_max,n_sigma,sigma_rest_mean,sigma_rest_spread,sigma_2nd,sigma_min,a_flow_per_tau
9,12,0.42522983149192894,9,0.16721862050206454,0.3140186596873127,0.18513585634865187,0.13262608926383218,1.150737189764271e-09
9,13,0.4170978390885624,9,0.1640448785402309,0.3249413721216163,0.18200483390637512,0.1286998659839886,1.3058476215038275e-09
9,14,0.41475697741165546,9,0.16294861334780403,0.3501792057190298,0.18117733716629705,0.12411612117114575,1.0293035016293763e-09
9,15,0.4053100115079185,9,0.1591104104881101,0.3730054928870062,0.17730845331913997,0.11795939623156859,1.4509048436763086e-06
9,16,0.42649505320559594,9,0.16779260327018747,0.2996599035393927,0.18628732372926837,0.1360066084187004,1.794578292272045e-06
9,17,0.4147209479179609,9,0.1627882106949481,0.37537303833195074,0.1789771272949451,0.11787082204176069,0.06979595987175483
9,18,0.4250673934972242,9,0.1666933256046607,0.41321170817460373,0.18445745291048185,0.11557781909607459,0.12995607459292507
9,19,0.425365811758768,9,0.1670659583236304,0.3172172365276197,0.1859666927324926,0.1329704911152321,1.0477743368961264e-09
9,20,0.434580683519632,9,0.1701266146778219,0.4537443073091455,0.18977742057130884,0.11258343763947064,2.723122668556402e-06
9,21,0.42542135614801485,9,0.16732548638770917,0.31567872598276236,0.18563072596443467,0.1328096295971166,1.5310622563359453e-06
9,22,0.425334573070737,9,0.16724723263139363,0.29115032019594667,0.185632211407437,0.13693812607492076,1.1845477206438286e-06
9,23,0.40475399316902066,9,0.1589637812205152,0.32436196099112086,0.17690609973652513,0.1253442959332753,2.597527254364923e-07
9,24,0.42535628834338723,9,0.16724419333871526,0.3198442552737225,0.18557101646659235,0.1320789219993165,1.0243103468043483e-06
10,0,0.4414879934095264,10,0.1797077405096374,0.24151946650540668,0.19583854351593483,0.15243562590115514,3.5638585661289134e-10
10,1,0.4417262937959948,10,0.17938972682879115,0.3518233158581515,0.19594636474385888,0.13283287622006557,2.010356239734065e-06
10,2,0.4290668661884021,10,0.17447473519941234,0.2624414114817986,0.18984625209256484,0.14405685631891801,1.3676581358972759e-06
10,3,0.4344349573360378,10,0.17646378038994154,0.3363249080691673,0.19284561855050117,0.13349645383331635,3.920497262429156e-07
10,4,0.427361113161293,10,0.17367207202352786,0.27981356507430705,0.18955236088258243,0.14095655925583728,2.1203921421932698e-06
10,5,0.42718517235607434,10,0.1737441073789887,0.2646442203828932,0.18947326843360002,0.14349289459016587,2.9509951101043414e-06
10,6,0.4271057264940651,10,0.173233107867539,0.35827382249074036,0.1889431305822141,0.12687824284456015,3.826614266122508e-09
10,7,0.4359417137794569,10,0.1774855012685855,0.21809741543286437,0.1932514830481574,0.15454235394467253,1.347155103006677e-06
10,8,0.42885509628239726,10,0.17456725549018354,0.233629497184618,0.18950337091764277,0.14871931079257245,1.8842852820373201e-06
10,9,0.41244435129297874,10,0.1677719562028388,0.27664333707518723,0.18309526530834122,0.13668227147675574,6.553435643712988e-11
10,10,0.44161001854696025,10,0.1797354595438837,0.22503714002238598,0.19619309466314636,0.1557459408867815,5.401098291052002e-07
10,11,0.4354063946557435,10,0.17735302959943613,0.178048263222983,0.19318884844128817,0.16161144954377427,1.292724617469973e-06
10,12,0.4206362013008399,10,0.1710585924023311,0.2658871886953433,0.18677500528884106,0.14129271705280264,1.877076158389153e-06
10,13,0.4361479194959886,10,0.17746451869314686,0.2424437285079937,0.19322138530443278,0.1501962257145897,3.4230855850830855e-06
10,14,0.43468890589015424,10,0.17696391599054626,0.22370025984477662,0.1929506292323579,0.15336375524212348,2.822006654616285e-06
10,15,0.44128564086584593,10,0.17928240626206302,0.332743152001475,0.19567714946457565,0.13602215650652782,1.9366574876825e-07
10,16,0.43460311736249707,10,0.17601139608199887,0.4270055694717398,0.1923287741494716,0.11717092773196174,0.16278028374522222
10,17,0.41240245580749635,10,0.1675980839797135,0.2999639543045473,0.18265738608960289,0.13238400208518242,2.3793493868912163e-06
10,18,0.4285991402671041,10,0.17448374955121046,0.21866748275024356,0.18985194389990798,0.15169802160472085,2.09891999501745e-06
10,19,0.4038785043316771,10,0.16440172148686388,0.21328684730063333,0.1792237103347321,0.14415898546800213,1.8109729357082168e-06
10,20,0.4346263285962466,10,0.17663300515046407,0.319485444868008,0.1931528184977704,0.13672114426890125,2.885560785009565e-06
10,21,0.41950707295096545,10,0.17023880391720192,0.3438342723617865,0.18516747142816978,0.1266335361555578,2.453963173527602e-10
10,22,0.43412161041958974,10,0.1765653889877272,0.2830916836367607,0.19162148518669167,0.1416372919461764,2.4005947231748453e-06
10,23,0.43449005724817624,10,0.17674089347083244,0.28455523251496373,0.19197359063931796,0.1416810446028228,3.3067341776550434e-06
10,24,0.43465635224392896,10,0.1765237402837418,0.348013641764843,0.19311704039480318,0.13168437068070687,7.574150379738072e-07
11,0,0.44312825531732714,11,0.1849123827023795,0.20225576509567914,0.19924174260794153,0.16184214716880674,3.406569095545812e-09
11,1,0.43119412111796024,11,0.17964937389581348,0.30018780070471623,0.19351446274124198,0.13958591229347847,1.3170833707957575e-06
11,2,0.4311519737916668,11,0.17963664824378128,0.30649125644410047,0.1935161571569967,0.13845909513335325,2.017835169008907e-09
11,3,0.436331081025278,11,0.18186797716132158,0.26255634547243434,0.19595707400261936,0.14820648256067862,4.992219282487606e-07
11,4,0.4426187144548629,11,0.18434524418824325,0.2899167540765326,0.1990226591465351,0.14557788432203383,1.7039027542519486e-06
11,5,0.44181507727419356,11,0.18436827706779912,0.2479428626358505,0.19813377207428112,0.15242097367885138,1.01084286661193e-09
11,6,0.4056136440832893,11,0.16851470351212777,0.3932727422335636,0.18209188865116216,0.11581964909427174,1.4075061203319624e-06
11,7,0.44747445812664866,11,0.18674558241664557,0.20712610059688016,0.20128294610406605,0.16260306181441295,1.4814156986570221e-09
11,8,0.44122702870939234,11,0.18388396247773398,0.2994212942408035,0.19825816206089528,0.14319938802568483,9.606028677564812e-10
11,9,0.44800516203710217,11,0.18672939859707297,0.2737725222773178,0.20157082073728025,0.15044944230003293,9.17143662200107e-09
11,10,0.4331712300948938,11,0.18076378920395453,0.22558769260291384,0.19470568895827964,0.15392760284560003,4.830415118075554e-10
11,11,0.4472209601720628,11,0.18646031297673685,0.24521678222955012,0.20066545238504654,0.1549422544233763,1.5032364765452978e-06
11,12,0.4471230509180293,11,0.18633192728037468,0.26324816255268724,0.20103597508361779,0.1519844376021582,6.481801924842425e-10
11,13,0.4417810928723169,11,0.18440549670509426,0.19928952972500352,0.1986201749627353,0.16187009024567137,1.8029740516983697e-06
11,14,0.40331776937161756,11,0.16791585844117227,0.3398435610235261,0.18073773193232448,0.12367260864735419,4.3600637084904474e-10
11,15,0.43205106296888973,11,0.17977862033387054,0.3594005764576419,0.19430937836011697,0.12969683857736436,6.893558824416741e-10
11,16,0.4263152977490443,11,0.17788826410449338,0.2339226017136776,0.19182590353319354,0.15021381797954064,2.1688306180120556e-09
11,17,0.43162792735330524,11,0.17951674618832086,0.3777004527598789,0.19413681232873198,0.12633325601542292,2.5096341954881465e-09
11,18,0.4272863603884679,11,0.17831433532829594,0.21350789550190322,0.1920456941636222,0.15397417568985705,1.7319238751396272e-06
11,19,0.43772093098241216,11,0.182645076785353,0.20108416732846798,0.19653968332541816,0.15981265014339135,4.1901202281680294e-08
11,20,0.44373362971191654,11,0.18516408519149777,0.2044026272690921,0.1996190435719922,0.16177101808297206,8.246912447621535e-07
11,21,0.44721821042687493,11,0.18654254303504875,0.24756223865608534,0.2008588926926862,0.1546780031343304,3.4057391975437724e-09
11,22,0.43439335114853395,11,0.18098649382082382,0.29635265173021647,0.19490805966050728,0.1412722322893517,4.699634123313982e-08
11,23,0.4261530006324798,11,0.17782591431925227,0.22598480349713992,0.19149130539860362,0.15130535109446816,3.541433144127764e-09
11,24,0.43713427670820054,11,0.18227389719451437,0.264618544843953,0.19595069844366503,0.14771764500501636,6.512326271639519e-08
12,0,0.44122747241085447,12,0.18765267957806595,0.2513161357711975,0.20025815702530916,0.15309801072663892,2.3112381226358253e-06
12,1,0.448770445114132,12,0.19077113029642387,0.2828288319522824,0.20393611719605223,0.149980541244098,1.131801049149329e-06
12,2,0.4299030969680808,12,0.18274188679624837,0.2698684702090488,0.19534030156839563,0.1460240281355769,1.2937988881628332e-06
12,3,0.4486232281963765,12,0.19085542544898199,0.2188077225797951,0.20384093273731813,0.1620802917528285,2.380188019051858e-06
12,4,0.4484223799319432,12,0.19079147596994883,0.20585346014776126,0.20381281859870323,0.16453773310359082,1.8233200266129056e-10
12,5,0.45321459935812325,12,0.1927924652994525,0.23034284270088012,0.20596624959012003,0.16155788508173335,3.4270814831032686e-06
12,6,0.43688976982157046,12,0.18581972775246972,0.24831957306983693,0.1984702681113935,0.1523275926479469,1.3087613214385037e-06
12,7,0.43372959581992904,12,0.18451271955101323,0.2313593108714878,0.19661034797314328,0.15392161233079676,1.0838028471472642e-09
12,8,0.4456234471208511,12,0.1895694363796016,0.20198216795651636,0.20213923653151641,0.16384959079326958,3.161091931489183e-06
12,9,0.43440867009189016,12,0.18467747068947887,0.26097814995294344,0.19710048954213394,0.1489037049036048,2.0150667466075495e-06
12,10,0.44086279459278055,12,0.18741975985884943,0.27275726393132765,0.20038943198718073,0.1492693310814145,3.0858083870369177e-06
12,11,0.4488341475236669,12,0.1909057983351955,0.20332027516115242,0.20324955518697957,0.16443453573960815,2.716911833518243e-06
12,12,0.44889171786807003,12,0.19080823287101908,0.2611781502240492,0.20394587317410398,0.1541109318653316,1.9280331695072503e-06
12,13,0.4522733897271358,12,0.19221912697598056,0.2833647187660343,0.20542958293699815,0.15096146407999678,2.2466069137928955e-06
12,14,0.44874119305398286,12,0.19090744060133472,0.2104590459251555,0.2039409717428704,0.1637627739339002,6.335384039456962e-07
12,15,0.44064719139336916,12,0.18735698380506377,0.25730461515038605,0.20023340928086636,0.1520255926671673,4.458515354843212e-10
12,16,0.437932947739033,12,0.18621843538340876,0.23563917170919263,0.19875548028917947,0.15487512241845122,2.359353830455016e-06
12,17,0.4326388526503203,12,0.18410576833927178,0.19705151351544367,0.19660010522410112,0.16032178492592397,2.8522213723192992e-06
12,18,0.44850926376268,12,0.19072959386522156,0.24308138292066214,0.2035908311328953,0.157228017692241,2.2684789262163106e-06
12,19,0.4338752671985524,12,0.18449104469565636,0.23309151670082676,0.19706955725114528,0.15406625982531472,7.416084412027561e-07
12,20,0.4408570552898856,12,0.18762247477907695,0.19007606039932753,0.2002741656855613,0.16461162483718217,2.220878641170064e-06
12,21,0.4490106965032925,12,0.19105933628051222,0.2159170521507364,0.20408454765214606,0.16283157897658163,1.1593194889615713e-07
12,22,0.44884123603214354,12,0.19090814678700474,0.2359522626160901,0.20373783639206736,0.15869262720582894,5.116034553932604e-10
12,23,0.4286689707610082,12,0.18242830284512096,0.1859224111028274,0.19398085679222224,0.16006334687386056,6.674196105352968e-10
12,24,0.4290475019053166,12,0.18229013470190625,0.2840865197699538,0.19498268545533762,0.14319651549947698,1.1859512575938828e-09
13,0,0.4500381432494793,13,0.19448802101499033,0.1940332355003031,0.20622889696823896,0.16849175698464944,4.778178934832415e-09
13,1,0.4557650504336439,13,0.1970558528146281,0.144026394426093,0.20874836354315326,0.1803671195617035,8.807494013385656e-09
13,2,0.44688456304030105,13,0.1931631751160584,0.1993856866770288,0.2045462817668042,0.16603230945557373,3.4641627627583202e-09
13,3,0.4495542756570143,13,0.1944321891272546,0.1460295154079809,0.20588918844327897,0.1774963500853131,3.6813539643710806e-09
13,4,0.44946179092561145,13,0.19433396332117134,0.16361258291767478,0.2059302448963017,0.1741347632086962,2.069719274824973e-06
13,5,0.4403700648372241,13,0.19026248020573755,0.21287347405711762,0.201704214230587,0.16120237908646806,2.606423495533021e-09
13,6,0.4466648435746658,13,0.19298544668876919,0.22645565320358146,0.204631534808475,0.16092888941978484,1.543030222905505e-09
13,7,0.4463384886299806,13,0.1929387565364217,0.16218933478533668,0.20455463337453392,0.17326202479758165,2.031577668623949e-09
13,8,0.4525610830524113,13,0.19560063450842433,0.17686822523423787,0.2072804110660491,0.17268487398585328,1.2228011420730444e-06
13,9,0.4491844541628043,13,0.19402484354414173,0.24460760398536216,0.20586813090680464,0.15840817881383737,2.392082665336381e-08
13,10,0.4526124419326048,13,0.19569717195612446,0.16494279205925136,0.2073476069613012,0.1750687690207586,6.436743218429797e-07
13,11,0.4556092446252046,13,0.19686899192771265,0.21757746810718603,0.20868202936255797,0.1658477725501122,1.3681493440529303e-07
13,12,0.44975000963041417,13,0.19448833237266536,0.16940397802755,0.20607143541607767,0.17312433823220383,7.742684984017676e-10
13,13,0.44601260044191315,13,0.19272377195257698,0.22579588174597218,0.20436000827053133,0.16084377424908955,5.932316957296953e-10
13,14,0.4556873262249268,13,0.19695937467614752,0.18905056273594859,0.2088204116388325,0.17158513102018627,6.459549098757045e-09
13,15,0.4490857926330993,13,0.19395347973524735,0.2465466805776048,0.20581461603333945,0.15799602941813848,1.3334970418576459e-09
13,16,0.4436947025963475,13,0.191681818973803,0.23401492095187768,0.20335316419135738,0.15849675847629074,1.2602142586704607e-09
13,17,0.45376994104831,13,0.19611551589501786,0.19179824950752986,0.20765500249820887,0.1700403898482783,5.864917483317793e-07
13,18,0.44476160589460306,13,0.19221311897572155,0.18556667499528756,0.20384027311114872,0.16817192373235046,1.9448338296614525e-06
13,19,0.44925744808615237,13,0.19419788150105202,0.18660699676355233,0.20587958456756889,0.16964090112281335,8.051634946287863e-10
13,20,0.4430259852888624,13,0.19136883091009674,0.2557982917862541,0.20301471404921012,0.15406289400127487,4.768202472963098e-09
13,21,0.45576542870149117,13,0.19683241195407183,0.26779119006128815,0.20874409508784234,0.1560341092480277,2.5799796952706046e-06
13,22,0.4470443347401322,13,0.1931071264953853,0.23662230463430337,0.20443506729853425,0.15874161398588824,1.803924477171719e-08
13,23,0.4492935252327187,13,0.1942207302734521,0.19237139364964892,0.2054507547794679,0.16808824222111135,3.0665327053956106e-07
13,24,0.4429342737387602,13,0.19146187739602313,0.192926263047239,0.2022637256945363,0.1653257011725129,7.233745437612228e-10
14,0,0.44794101959724364,14,0.1962141604919829,0.1472624651949832,0.2066792957808829,0.17778431480066942,1.5085553431887693e-06
14,1,0.4554224073917062,14,0.19945964411592565,0.1749985485829042,0.21012187218319928,0.17521672396204968,1.4905741898531494e-06
14,2,0.44567399182508277,14,0.1950757944326916,0.20353965827685305,0.20562232074058195,0.16591666020366627,2.1820783337317406e-06
14,3,0.45509363740315256,14,0.19927325626458742,0.1873629424134516,0.21002916130067636,0.1726927376626335,5.635716289697575e-10
14,4,0.45055956095556543,14,0.19722817210058025,0.21468055052240606,0.20794824635733852,0.1656071937922581,4.869613648461394e-10
14,5,0.45297564713806404,14,0.19838002389424414,0.16912485347053288,0.2090251400089063,0.17547414753631144,1.7646705393813844e-06
14,6,0.4574748857292177,14,0.20028540512423554,0.19344537590750474,0.21113871603085685,0.17239443054781223,3.1458522956142773e-06
14,7,0.44777373966830203,14,0.1960847832741296,0.18892379429594772,0.20618018200647323,0.16913510074662608,2.206933815971058e-06
14,8,0.4529443209764792,14,0.19839520452405687,0.17227767515732592,0.20883877904561907,0.17465971444785236,3.184760003708667e-10
14,9,0.4533085117546871,14,0.19854052489263355,0.18427486960229253,0.20914454308329763,0.17255851374793688,7.91289885901153e-07
14,10,0.45012509077050183,14,0.19714784048873404,0.15891019878261686,0.2073518909939956,0.17602308847236722,6.502760886987693e-09
14,11,0.4600702476539396,14,0.20124139553967801,0.2664368814163856,0.2122239404332777,0.15860581059380455,3.2535315230618135e-06
14,12,0.4495490861607953,14,0.1967776728312159,0.22347785501177053,0.2073453150986264,0.1633698628600983,6.181282931089353e-07
14,13,0.4577675786477857,14,0.2004948931425004,0.1764409781732023,0.21123589885332364,0.1758603837885292,2.092591643233172e-06
14,14,0.4467315092899268,14,0.1955793398270085,0.19398825600925318,0.20607338017442112,0.16813328512993866,6.741168631327072e-07
14,15,0.45073415449061277,14,0.19736290080285912,0.17081856775863677,0.20800606166287666,0.17429281361904236,1.8197634141576993e-06
14,16,0.45277199989172995,14,0.1981685422960943,0.19672134306587646,0.20897037484002007,0.16998639304612545,4.4271442296466774e-07
14,17,0.45324752800035545,14,0.19841689211280464,0.19151351493726343,0.20906703137371116,0.17106751494226016,1.21454845256241e-06
14,18,0.4507128514568589,14,0.19739524372236564,0.16802519319584186,0.20794771456083624,0.17478034059844547,1.746880574633323e-06
14,19,0.45587735901365567,14,0.19967452031769375,0.14544914346906365,0.21037272801281398,0.18133024006000928,4.670461782768688e-09
14,20,0.45530403672278474,14,0.1993631962218328,0.18855051747020324,0.210114118502081,0.17252408468994077,2.166470508258066e-06
14,21,0.4513114198176044,14,0.19758203204824884,0.2006112006320445,0.20802143847990334,0.16838426980738505,9.746362492144908e-07
14,22,0.44825129623684934,14,0.19612141587721824,0.21191587349440963,0.20687985532865377,0.1653186141720727,5.55019746190159e-10
14,23,0.4544926580528381,14,0.19901330764820485,0.17539746202562068,0.20916088155100435,0.17425445248018517,1.866220513788927e-09
14,24,0.45758353317322153,14,0.2004188618999591,0.1815646155663287,0.21102519573136327,0.17463622211825608,1.7033613873461553e-06
