step,plane0_sigma0.160105,plane1_sigma0.160105,plane2_sigma0.179003,plane3_sigma0.179003,plane4_sigma0.179003,plane5_sigma0.179003,plane6_sigma0.423598
320,3.349905072707717e-29,1.7545521595409246e-28,9.014743970096639e-29,3.377622649156595e-29,2.437841056370603e-28,6.250376888371243e-29,0.9999999999999986
340,2.8541509069544024e-29,2.266530814191609e-28,1.323629945607531e-28,5.395367285921361e-29,3.227742394769639e-28,9.576392341231784e-29,0.9999999999999984
360,3.2219527415867974e-29,2.78414729290664e-28,1.7449630651691598e-28,7.887530570819772e-29,4.267808588831151e-28,1.4006636946531127e-28,0.9999999999999983
380,2.9368306218535916e-29,3.199361344658879e-28,2.1569419248099727e-28,1.0541997538698513e-28,5.50989402949231e-28,1.96047541906175e-28,0.9999999999999987
400,3.430490299439863e-29,3.688422190292343e-28,2.3738459289926224e-28,1.856088001631574e-28,6.843863582298089e-28,2.8510411162034174e-28,0.9999999999999983
420,4.0704571495372926e-29,4.233685676411657e-28,3.0074331098326984e-28,2.8112045589123797e-28,8.425886155542634e-28,4.211478392715344e-28,0.9999999999999981
440,6.624566072115398e-29,4.9696174745860385e-28,3.718653650241558e-28,4.580018069698504e-28,1.0013621274113306e-27,6.119786053756767e-28,0.9999999999999984
460,1.0945178009150575e-28,5.587823609007014e-28,4.3653722920172935e-28,7.211735423026231e-28,1.1709894872271284e-27,8.420806079127262e-28,0.9999999999999984
480,1.4430802863617478e-28,6.400033584494602e-28,5.988993452059663e-28,1.1415852320098092e-27,1.3384962191980017e-27,1.0982943119774005e-27,0.9999999999999987
500,2.094533372043723e-28,7.2510443078603255e-28,7.819080435109147e-28,1.851099361003835e-27,1.4347942936889952e-27,1.516728781120215e-27,0.9999999999999986
520,2.990470344512567e-28,8.406689811446136e-28,1.1254000667037274e-27,2.8952871647975665e-27,1.515853306541122e-27,2.028110256787878e-27,0.9999999999999983
540,4.0137730076828386e-28,9.464702383628738e-28,1.5664793719060136e-27,4.458314383824234e-27,1.6012452948871693e-27,2.673632868738317e-27,0.9999999999999984
560,5.475108549163438e-28,1.0981923926335157e-27,2.4488658524239466e-27,6.611742785207516e-27,1.6578966874574973e-27,3.6119876712119505e-27,0.9999999999999984
580,7.451399720547233e-28,1.2708747761886442e-27,3.667617971785871e-27,9.77280190858248e-27,1.7701062851601767e-27,4.688639427752309e-27,0.9999999999999983
600,1.0075104929900843e-27,1.4788318711533043e-27,5.539389053857296e-27,1.4357683632424852e-26,1.842015513989172e-27,6.163117599454107e-27,0.9999999999999984
620,1.3075148977485065e-27,1.713882457931208e-27,8.122545280968492e-27,2.0906802905507084e-26,2.1521225954655158e-27,8.126844473374826e-27,0.999999999999999
640,1.6810615139878745e-27,1.9668974889708346e-27,1.1809124103609488e-26,3.03610164929093e-26,2.8180971954948877e-27,1.0549813884184254e-26,0.9999999999999987
660,2.0814743540079483e-27,2.338885140145997e-27,1.7020060037134474e-26,4.355967971452544e-26,4.175909871784369e-27,1.387626927262706e-26,0.9999999999999988
680,2.5942246889204527e-27,2.71292058100221e-27,2.442262547801026e-26,6.236745800721873e-26,6.732547806159411e-27,1.8344745830503e-26,0.9999999999999986
700,3.0406951199118443e-27,3.183575883420425e-27,3.489197891502658e-26,8.839202342761761e-26,1.1366779197481538e-26,2.4840634305520013e-26,0.9999999999999988
720,3.543655203414162e-27,3.678164225273531e-27,4.9590421817408605e-26,1.251743479082241e-25,1.9243580831555212e-26,3.3987285169604313e-26,0.9999999999999987
740,4.07038690790118e-27,4.090644662064762e-27,7.045519749444848e-26,1.7647630411935255e-25,3.210157175619496e-26,4.7074249128667065e-26,0.9999999999999988
760,4.506837544378099e-27,4.622246033665818e-27,9.898430238817517e-26,2.5069723209112397e-25,5.233737621294565e-26,6.601451240958526e-26,0.9999999999999986
780,5.073973383338672e-27,5.3278026820476936e-27,1.3935466357136335e-25,3.559765218396248e-25,8.317772986573081e-26,9.387511729121644e-26,0.9999999999999986
800,5.630531702218305e-27,5.9002914131973595e-27,1.9636077291911835e-25,5.045336295663005e-25,1.2990861601557346e-25,1.3523652534750525e-25,0.9999999999999984
820,6.183766250395236e-27,6.4514698671581945e-27,2.7638583216741823e-25,7.166385062127808e-25,1.9888897168904883e-25,1.9609668782397034e-25,0.9999999999999983
840,6.755140275143547e-27,7.031429743883234e-27,3.897469796249615e-25,1.0181781285638997e-24,3.0142795579788712e-25,2.8709179669106718e-25,0.9999999999999986
860,7.36858325995837e-27,7.739262413047687e-27,5.519205610126367e-25,1.448718076891326e-24,4.500651956778327e-25,4.226737686103048e-25,0.9999999999999984
880,7.977595126463754e-27,8.382995913776661e-27,7.861327362686878e-25,2.060931199425101e-24,6.6367574987482475e-25,6.232472609566936e-25,0.9999999999999984
900,8.504965203424471e-27,9.096504640321319e-27,1.1178942754675267e-24,2.939265256087183e-24,9.71450732675209e-25,9.189468101551927e-25,0.9999999999999984
920,9.20325225251039e-27,9.789814819928485e-27,1.5894429792415753e-24,4.203252901984239e-24,1.4119168997682978e-24,1.3546230253436568e-24,0.9999999999999987
940,9.876347690634786e-27,1.0800159272860376e-26,2.2683238235139294e-24,6.02233297678124e-24,2.0400822075717856e-24,1.9935006697216832e-24,0.9999999999999986
960,1.0486969041710552e-26,1.1623787203920613e-26,3.2464738550624303e-24,8.639023896348085e-24,2.9368391694445587e-24,2.9273491612761674e-24,0.9999999999999984
980,1.1161498332567901e-26,1.2559810992306525e-26,4.6538867482463026e-24,1.2407710468274434e-23,4.213034867665255e-24,4.2894918936009666e-24,0.9999999999999987
1000,1.1876954535743471e-26,1.355412867760013e-26,6.684471530908393e-24,1.7839791962049104e-23,6.025245629805798e-24,6.26938731391168e-24,0.9999999999999986
1020,1.2687587463982016e-26,1.4518637748750506e-26,9.616328571907845e-24,2.567410524233569e-23,8.606435850780383e-24,9.141910827038368e-24,0.9999999999999987
1040,1.3624960045070877e-26,1.5549731867269057e-26,1.3850305822924123e-23,3.695666882572214e-23,1.2282002725467466e-23,1.3301250999641414e-23,0.9999999999999984
1060,1.466907113383636e-26,1.6788668348876258e-26,1.9963687400306922e-23,5.323289857436875e-23,1.7523076842571047e-23,1.9309267836280645e-23,0.9999999999999986
1080,1.5803035231798704e-26,1.8135642910874952e-26,2.879932467688695e-23,7.67080315374341e-23,2.500219096222495e-23,2.7976718020676447e-23,0.9999999999999987
1100,1.6904385894817932e-26,1.973664873200863e-26,4.15649982055139e-23,1.105563626566031e-22,3.569817320611653e-23,4.0465881921546616e-23,0.9999999999999981
1120,1.8019169019825934e-26,2.09536721831405e-26,5.999848139672339e-23,1.593850039570602e-22,5.100624707973031e-23,5.845392595014359e-23,0.9999999999999987
1140,1.9331706235915966e-26,2.2388328091294057e-26,8.664107327366368e-23,2.2974437317556867e-22,7.295478661681629e-23,8.434521968515455e-23,0.9999999999999986
1160,2.0808334251805892e-26,2.386468005844007e-26,1.2513851147497117e-22,3.311457964153412e-22,1.0445636043043472e-22,1.2159799272125076e-22,0.9999999999999986
1180,2.2387630420431041e-26,2.5392566898656264e-26,1.8066145860860072e-22,4.773405928504651e-22,1.4973013513481706e-22,1.7516373370256302e-22,0.9999999999999984
1200,2.3883408224264312e-26,2.688245853644193e-26,2.6079274583405386e-22,6.880411292099548e-22,2.148622372346379e-22,2.521997490500716e-22,0.9999999999999986
1220,2.5223034765211585e-26,2.872198314146536e-26,3.764051278894174e-22,9.916606686031156e-22,3.0855552690435906e-22,3.629626350944855e-22,0.999999999999999
1240,2.669404635192844e-26,3.032239472470009e-26,5.431167105945113e-22,1.4291270314834753e-21,4.435191922285005e-22,5.222731255605909e-22,0.9999999999999988
1260,2.814977949757779e-26,3.2266251852253545e-26,7.834878491652265e-22,2.0594097533435534e-21,6.379599979217338e-22,7.51438776683066e-22,0.9999999999999986
1280,2.9481849056308035e-26,3.417082456221734e-26,1.129855534693753e-21,2.967509759699982e-21,9.182546516261575e-22,1.0811257410964494e-21,0.9999999999999986
1300,3.085448203375544e-26,3.6135335077790484e-26,1.6290320035746632e-21,4.2756316303303504e-21,1.322348661028228e-21,1.5555801824209957e-21,0.9999999999999988
1320,3.214380165175546e-26,3.8696168413396056e-26,2.3481268765827347e-21,6.160083144769888e-21,1.904915753613926e-21,2.2383402377838884e-21,0.9999999999999987
1340,3.334597176112043e-26,4.106312479764238e-26,3.384060050562872e-21,8.874745572520771e-21,2.744880164175692e-21,3.2211773639712465e-21,0.9999999999999988
1360,3.472604235365008e-26,4.383408420460404e-26,4.8762154122797294e-21,1.278519479690794e-20,3.955906471735667e-21,4.6360897599884665e-21,0.9999999999999984
1380,3.633223963162171e-26,4.6850619243220654e-26,7.025274761342102e-21,1.8417974603689417e-20,5.7018347489219894e-21,6.673410988114012e-21,0.9999999999999987
1400,3.7495904042567707e-26,4.9684022103053505e-26,1.0120376341199659e-20,2.653191047761725e-20,8.21877230926184e-21,9.607309260414002e-21,0.9999999999999986
1420,3.856985502457377e-26,5.246087300795193e-26,1.4577893670840362e-20,3.821970221682621e-20,1.1847091319741538e-20,1.3832708277382963e-20,0.9999999999999984
1440,3.9465744666299966e-26,5.507391571719063e-26,2.0997552375062022e-20,5.505553122579645e-20,1.7076930580639227e-20,1.9918762098664435e-20,0.9999999999999981
1460,4.047164990485408e-26,5.768638148205938e-26,3.024306600073485e-20,7.930748537352758e-20,2.4614025497863674e-20,2.8685168254801444e-20,0.9999999999999986
1480,4.140244179463589e-26,6.08584736085571e-26,4.355836896478489e-20,1.1424267011477758e-19,3.547555563900512e-20,4.13131380048795e-20,0.9999999999999987
1500,4.221564682939971e-26,6.387500875947494e-26,6.273481268688879e-20,1.645676762679897e-19,5.1126571576084524e-20,5.950413964623277e-20,0.9999999999999986
1520,4.309538711888329e-26,6.663782170992363e-26,9.035459964319696e-20,2.370607570248611e-19,7.367725376983729e-20,8.570992020991816e-20,0.9999999999999983
1540,4.368606587752877e-26,6.918748371875551e-26,1.3013577438242398e-19,3.4148751616676166e-19,1.0616669751924383e-19,1.2346244671271254e-19,0.9999999999999987
1560,4.456553575635329e-26,7.206980925297266e-26,1.8743319480412365e-19,4.919172046064159e-19,1.5297293212966558e-19,1.7784931871877026e-19,0.9999999999999986
1580,4.562132985996281e-26,7.480525622518454e-26,2.699649264103986e-19,7.086144624942977e-19,2.204015062145578e-19,2.5620028583619944e-19,0.9999999999999987
1600,4.627920923761871e-26,7.755823362328419e-26,3.8884634413376485e-19,1.0207702997335203e-18,3.1753567595993014e-19,3.690746771833538e-19,0.9999999999999984
1620,4.6659887477913807e-26,8.024091232168898e-26,5.600877517045028e-19,1.4704415985473688e-18,4.574596991728057e-19,5.316841732051426e-19,0.9999999999999987
1640,4.697835853190798e-26,8.316211610742658e-26,8.067560940063282e-19,2.118207401384867e-18,6.590178079496996e-19,7.659407383380207e-19,0.9999999999999983
1660,4.705579743734379e-26,8.635215507131733e-26,1.1620795061453635e-18,3.051336665282734e-18,9.493563247204313e-19,1.1034089350445004e-18,0.9999999999999983
1680,4.700125362987279e-26,8.962259361878291e-26,1.6739251983454345e-18,4.39554184305995e-18,1.3675775174516343e-18,1.5895608358432267e-18,0.9999999999999988
1700,4.729751489624404e-26,9.34308991410583e-26,2.411245603301114e-18,6.331913388329727e-18,1.970008987713138e-18,2.2899004956606974e-18,0.9999999999999986
1720,4.7529757662307753e-26,9.732110005964141e-26,3.473373912656365e-18,9.121327831595886e-18,2.8377870895030434e-18,3.298788380519572e-18,0.9999999999999988
1740,4.721537291509396e-26,1.0122006979711367e-25,5.003405201602265e-18,1.313957180032181e-17,4.0877875878427185e-18,4.752149425810331e-18,0.9999999999999986
1760,4.655865453490409e-26,1.0529580688056112e-25,7.20746982428506e-18,1.892798797875483e-17,5.8883772677028146e-18,6.8457894917246395e-18,0.9999999999999986
1780,4.6067156924316513e-26,1.092670673062891e-25,1.0382521161507151e-17,2.7266369734788286e-17,8.482085116610729e-18,9.86177522060861e-18,0.9999999999999987
1800,4.6521122999607317e-26,1.138490123467273e-25,1.4956318095244402e-17,3.927806086370994e-17,1.2218284527155553e-17,1.4206416346292555e-17,0.9999999999999984
1820,4.6443863460078436e-26,1.1862766336779586e-25,2.1545059516660467e-17,5.658127946086046e-17,1.7600250634175303e-17,2.046501894790785e-17,0.9999999999999979
1840,4.5929982095945395e-26,1.23174631487295e-25,3.103640487120199e-17,8.150706219930002e-17,2.5352977563776278e-17,2.9480731835416166e-17,0.9999999999999986
1860,4.57986499969329e-26,1.280668864675772e-25,4.4709086422198575e-17,1.1741334542324846e-16,3.6520828114945664e-17,4.2468123670695316e-17,0.9999999999999986
1880,4.5341421433701504e-26,1.3261271408570315e-25,6.440513459476475e-17,1.6913731951453723e-16,5.260825734761846e-17,6.117680514321921e-17,0.999999999999998
1900,4.495389700057929e-26,1.3709087542391508e-25,9.277807964482636e-17,2.436470763111002e-16,7.578248746745327e-17,8.81271467349957e-17,0.9999999999999978
1920,4.4176799754146596e-26,1.4063127410122096e-25,1.3365029097145056e-16,3.5098039912953145e-16,1.0916545791559245e-16,1.2694976685354928e-16,0.999999999999997
1940,4.338239765067179e-26,1.4501513057364894e-25,1.9252815347008258e-16,5.055968782462371e-16,1.5725442160750036e-16,1.8287470620054487e-16,0.9999999999999966
1960,4.262084491430119e-26,1.4878387238256947e-25,2.7734375520195677e-16,7.283259114956188e-16,2.265278278409351e-16,2.634359369366668e-16,0.9999999999999953
1980,4.1911407305125664e-26,1.526112833307208e-25,3.995234052123108e-16,1.0491728572683448e-15,3.263181520755241e-16,3.7948635078600567e-16,0.9999999999999942
2000,4.09465731663541e-26,1.5678658100979533e-25,5.755270349038989e-16,1.51136127629076e-15,4.700690223189443e-16,5.466598426713843e-16,0.9999999999999922
2020,4.011623165151093e-26,1.6109269970977373e-25,8.290655432425309e-16,2.177155786519461e-15,6.771464587054808e-16,7.874774356566656e-16,0.9999999999999898
2040,3.8968475679710703e-26,1.6549306594169298e-25,1.1942951815759342e-15,3.136250242934658e-15,9.754477871336931e-16,1.134381275148239e-15,0.999999999999986
2060,3.800921694534224e-26,1.6962299823546453e-25,1.7204189284632588e-15,4.517851133929744e-15,1.40515993231226e-15,1.6341051310935183e-15,0.9999999999999801
2080,3.7044227341047197e-26,1.7396096185222697e-25,2.478314878497548e-15,6.5080839052436625e-15,2.024173312643222e-15,2.353970333780678e-15,0.9999999999999722
2100,3.5808957897416496e-26,1.7797100861982611e-25,3.5700848552820254e-15,9.375067224113335e-15,2.915880840218254e-15,3.390955048599117e-15,0.9999999999999605
2120,3.4824557932990706e-26,1.8166343947695518e-25,5.1428091513855724e-15,1.3505033607824432e-14,4.20041207057458e-15,4.884758964789217e-15,0.9999999999999433
2140,3.3823850554942924e-26,1.84880362685249e-25,7.408360720407166e-15,1.9454361505257094e-14,6.050817398333201e-15,7.0366233218577624e-15,0.9999999999999193
2160,3.2557035641487397e-26,1.8773107046608682e-25,1.067194829997561e-14,2.802452926538139e-14,8.716380203272596e-15,1.0136441553584759e-14,0.9999999999998843
2180,3.1514526710968e-26,1.9003677076047055e-25,1.5373232771076213e-14,4.037008919144455e-14,1.2556200579877184e-14,1.4601812956034444e-14,0.9999999999998341
2200,3.034177775081514e-26,1.9121010769591264e-25,2.2145557338271985e-14,5.815420587552661e-14,1.8087571564013343e-14,2.103430028336352e-14,0.9999999999997615
2220,2.9279225812348773e-26,1.9166212806294033e-25,3.1901269729084e-14,8.377271330883785e-14,2.6055668300927563e-14,3.030047153225005e-14,0.9999999999996576
2240,2.888475654292237e-26,1.9221715296757294e-25,4.5954631699277755e-14,1.2067687682678333e-13,3.753393557751727e-14,4.3648639691966447e-14,0.9999999999995074
2260,2.925749686447725e-26,1.9747115071919126e-25,6.619887132525222e-14,1.7383834167323057e-13,5.4068701158138033e-14,6.287703362109339e-14,0.9999999999992902
2280,3.22246669385696e-26,2.160630362603233e-25,9.536123822892764e-14,2.5041889713107074e-13,7.788749073927852e-14,9.057604829189274e-14,0.9999999999989786
2300,4.194019985437987e-26,2.6945393542937787e-25,1.3737040469084455e-13,3.6073530382209556e-13,1.1219911603524479e-13,1.304772149740855e-13,0.9999999999985294
2320,6.521057286569841e-26,4.116503945272707e-25,1.9788573755115087e-13,5.196491336404026e-13,1.616259591514054e-13,1.879559030708474e-13,0.999999999997882
2340,1.1813389787956096e-25,7.578000188824202e-25,2.850597141668601e-13,7.48568891681599e-13,2.328266830357645e-13,2.7075547225545927e-13,0.9999999999969499
2360,2.321117137840504e-25,1.5657854751131539e-24,4.1063621306422996e-13,1.0783341127379518e-12,3.353932715332197e-13,3.900304356556113e-13,0.9999999999956065
2380,4.646199654588202e-25,3.4010763110455745e-24,5.915326390378851e-13,1.5533699706293189e-12,4.831432268196764e-13,5.618491704014258e-13,0.9999999999936718
2400,9.205351485967044e-25,7.482943779053457e-24,8.521190337764255e-13,2.2376721127846132e-12,6.959810140756207e-13,8.093586096713512e-13,0.9999999999908853
2420,1.7790169900985064e-24,1.6406434629559007e-23,1.2275012070686532e-12,3.223427921838291e-12,1.0025795153356687e-12,1.1659025690013314e-12,0.9999999999868702
2440,3.331939974604957e-24,3.5714310038853116e-23,1.7682502252736901e-12,4.6434356784015e-12,1.4442427092840733e-12,1.6795137934950732e-12,0.9999999999810875
2460,6.0563013068490675e-24,7.711256351114317e-23,2.547215408267165e-12,6.688994597221313e-12,2.080469936711086e-12,2.4193849437182117e-12,0.9999999999727561
2480,1.072499133173094e-23,1.6511811674595148e-22,3.669338737945636e-12,9.635675764236837e-12,2.9969713212697816e-12,3.4851903155874486e-12,0.9999999999607551
2500,1.8745556475296698e-23,3.510738863439361e-22,5.285792891513115e-12,1.3880445701744295e-11,4.317214106835596e-12,5.020514246846102e-12,0.9999999999434669
2520,3.3136659109038945e-23,7.415283046343418e-22,7.614347633654821e-12,1.999514349208215e-11,6.219055324945552e-12,7.232195427159578e-12,0.9999999999185635
2540,6.13118212077449e-23,1.5565718088951125e-21,1.096870833676063e-11,2.880351546830901e-11,8.95870141234135e-12,1.041819345678984e-11,0.9999999998826893
2560,1.2293465029745693e-22,3.2490491475331414e-21,1.5800779073035825e-11,4.1492185038208123e-11,1.2905222378995072e-11,1.5007732342066507e-11,0.9999999998310114
2580,2.7022616884200094e-22,6.747663636020318e-21,2.2761543734147182e-11,5.977050661901301e-11,1.8590270092504165e-11,2.1619129771279915e-11,0.9999999997565676
2600,6.375897945937476e-22,1.3954406400342073e-20,3.278876626924632e-11,8.610083830022723e-11,2.6779698490280425e-11,3.1143103943457427e-11,0.9999999996493297
2620,1.5558877115785675e-21,2.876515950704354e-20,4.7233323413817813e-11,1.2403025475898465e-10,3.8576734376484786e-11,4.486278256287437e-11,0.999999999494851
2640,3.8015223825232734e-21,5.917667134966082e-20,6.804118571836947e-11,1.786683885469391e-10,5.557059854795123e-11,6.462658305376302e-11,0.999999999272319
2660,9.110177638099388e-21,1.2166103199656178e-19,9.80155559335681e-11,2.5737577653876536e-10,8.005060135612245e-11,9.309725580364182e-11,0.9999999989517566
2680,2.11807442071008e-20,2.503075375396822e-19,1.4119446533871057e-10,3.7075545278159816e-10,1.1531456027052714e-10,1.3411064066639808e-10,0.9999999984899774
2700,4.7530239707590366e-20,5.160229792135515e-19,2.0339467118816952e-10,5.340813925939483e-10,1.6611309976786511e-10,1.9319246236981094e-10,0.9999999978247719
2720,1.0272197365992482e-19,1.0669894427886216e-18,2.929950806337727e-10,7.693562871192503e-10,2.392897105028941e-10,2.78302768639001e-10,0.999999996866525
2740,2.136429548949199e-19,2.2140575677711936e-18,4.220651595296993e-10,1.1082759512982519e-09,3.4470283649560063e-10,4.0090825596796675e-10,0.9999999954861449
2760,4.2759493508452053e-19,4.6107971962318196e-18,6.07990203144455e-10,1.5964998834763869e-09,4.965542879230037e-10,5.775268469307815e-10,0.999999993497669
2780,8.24129936091874e-19,9.632077569121671e-18,8.758121921633845e-10,2.299803588363513e-09,7.153030743097728e-10,8.319524018594327e-10,0.9999999906332159
2800,1.5326557451268876e-18,2.0166628126430285e-17,1.2616012277666607e-09,3.3129420062777745e-09,1.0304227156592605e-09,1.1984588857480959e-09,0.9999999865068923
2820,2.7633394948060887e-18,4.2267355704392954e-17,1.8173111941810387e-09,4.772418987824447e-09,1.484373869481079e-09,1.7264149282295678e-09,0.9999999805628114
2840,4.879291125356846e-18,8.856786148137675e-17,2.617773022565946e-09,6.874884538958047e-09,2.1383280633178053e-09,2.4869291443483145e-09,0.9999999720002
2860,8.601904543163915e-18,1.8531657158652757e-16,3.770766680257529e-09,9.903640576488627e-09,3.0804145449075977e-09,3.582419208498748e-09,0.9999999596655261
2880,1.5617914827465012e-17,3.8679251623162596e-16,5.4315276822155e-09,1.4266829495614416e-08,4.437602577472523e-09,5.160390019168497e-09,0.9999999418970912
2900,3.0302404033781955e-17,8.047564589643128e-16,7.823641713147177e-09,2.055245526239231e-08,6.392821697651675e-09,7.43327096965503e-09,0.9999999163011775
2920,6.431375104464377e-17,1.668546006323392e-15,1.1269143079359696e-08,2.9607656001214912e-08,9.209628353228351e-09,1.07069751533466e-08,0.9999998794295681
2940,1.4809138969825405e-16,3.4478175046557487e-15,1.6231876746063155e-08,4.2652915069892845e-08,1.3267743541166535e-08,1.542201364710879e-08,0.9999998263150137
2960,3.579454248583153e-16,7.104019433130626e-15,2.3379979938901414e-08,6.144660270349558e-08,1.9114248396512916e-08,2.221268378790519e-08,0.9999997498020582
2980,8.763588357603227e-16,1.4608141242364523e-14,3.3675934655262566e-08,8.85220120664487e-08,2.7537327923763632e-08,3.199228011187491e-08,0.9999996395830788
3000,2.119084631618092e-15,3.0013140835907616e-14,4.8506395437003397e-08,1.2752879551503193e-07,3.967247627627389e-08,4.6075781686926635e-08,0.9999994808096719
3020,4.988900655969433e-15,6.168934143792e-14,6.986942813842359e-08,1.8372471470154308e-07,5.7155419369924774e-08,6.635653145318994e-08,0.9999992520923324
3040,1.1354960687065747e-14,1.2701035723582474e-13,1.0064466199555622e-07,2.6468374791806365e-07,8.234224245841242e-08,9.556074368154185e-08,0.9999989226189395
3060,2.4907185482189906e-14,2.622172354370361e-13,1.4498325862693033e-07,3.8131550629821053e-07,1.1862614533547673e-07,1.3761428076946184e-07,0.9999984480038893
3080,5.258780387644263e-14,5.432290621815925e-13,2.0887113421675253e-07,5.493323952935485e-07,1.7089304627286465e-07,1.9817153489000617e-07,0.9999977643087099
3100,1.06840718161998e-13,1.129548418193675e-12,3.009428495221706e-07,7.913604444236404e-07,2.461765726569012e-07,2.8537864623555954e-07,0.9999967794287031
3120,2.0894933239444598e-13,2.3566995147744017e-12,4.336583542408912e-07,1.1399749589692866e-06,3.545991751427171e-07,4.1097594901009183e-07,0.9999953606854018
3140,3.9390586895388606e-13,4.9301029909901095e-12,6.250051632840937e-07,1.6420641667097386e-06,5.107235660689088e-07,5.918922723064554e-07,0.9999933169536429
3160,7.182563842401791e-13,1.0329641491847621e-11,9.009614736321534e-07,2.3650986063719786e-06,7.35492263631845e-07,8.52553641898724e-07,0.9999903729161315
3180,1.2764667940692132e-12,2.1649073420259672e-11,1.2990610527115167e-06,3.4061336889341987e-06,1.059009686253668e-06,1.228231513611384e-06,0.9999861319784985
3200,2.2449502785579407e-12,4.532778678568918e-11,1.8735523050890764e-06,4.904730081981598e-06,1.5245309883308326e-06,1.7699063459976418e-06,0.9999800228517253
3220,4.012133251711493e-12,9.470550055320453e-11,2.7028609424606804e-06,7.061488244510796e-06,2.194179043485145e-06,2.5513436827108892e-06,0.9999712226115767
3240,7.55526025405474e-12,1.9729122373804873e-10,3.900374109357314e-06,1.0164628016959225e-05,3.157136515567872e-06,3.679404757574217e-06,0.9999585458820917
3260,1.5470618338276837e-11,4.0959721189270566e-10,5.629997769326924e-06,1.4628102183644697e-05,4.541384638326162e-06,5.30908882376574e-06,0.9999402852397159
3280,3.461484828339685e-11,8.474126602500063e-10,8.128541798073824e-06,2.104626277389839e-05,6.530531234483285e-06,7.665495246802695e-06,0.9999139813906617
3300,8.247067607563811e-11,1.7477253355212364e-09,1.1737810464278608e-05,3.0272320417260735e-05,9.387962146355338e-06,1.1075887463384715e-05,0.999876092270169
3320,2.0162101741983744e-10,3.5959064735106505e-09,1.6950377217245777e-05,4.353107818775983e-05,1.3491582884393208e-05,1.6016449302262246e-05,0.9998215167133512
3340,4.908774179462664e-10,7.388406830240449e-09,2.447445419481282e-05,6.258117873228933e-05,1.9383982919949677e-05,2.318027706955114e-05,0.9997429090002681
3360,1.1686572984556397e-09,1.5178699599494864e-08,3.532504663288827e-05,8.994915029394751e-05,2.7845246667453724e-05,3.3575783196042196e-05,0.999629692912261
3380,2.6950328348320363e-09,3.121844005377854e-08,5.095062413474262e-05,0.0001292681136967451,3.999927083022965e-05,4.8668109853845925e-05,0.9994666445070463
3400,5.99345109495963e-09,6.435341857780281e-08,7.340650656140827e-05,0.00018577012799792715,5.746989176377431e-05,7.058039956660981e-05,0.9992318568972167
3420,1.2829105674395427e-08,1.3306631805373076e-07,0.00010558719810203459,0.00026700595441625367,8.261117032838407e-05,0.0001023767191244491,0.9988938215690664
