case_id,scattering_protocol,initial_deviation_deg,initial_deviation_rad,relation_offset_deg,relation_offset_rad,readout_mode,per_step_leak,step_count,rank_XY_max,max_abs_A_XY,signed_A_XY_median,signed_A_XY_orientation,max_f_xy_second_difference,rms_f_xy_second_difference,max_K_area_times_f,max_relation_norm_abs_error,max_relation_norm_rel_error,max_scattering_unitarity_error,max_f_projection_error,area_detected,inverse_term_used,readout_loss_used,external_axis_used
fermionic_reflection_pi_L2_deltap0,fermionic_reflection_pi,2.0,0.03490658503988659,0.0,0.0,readout_off,0.0,720,1,0.0,0.0,0,0.00014947535609722833,0.00010577883733855912,0.0,8.673617379884035e-19,7.118451553063885e-16,1.6263032587282567e-19,2.476198929722544e-16,False,False,False,False
fermionic_reflection_pi_L5_deltap0,fermionic_reflection_pi,5.0,0.08726646259971647,0.0,0.0,readout_off,0.0,720,1,0.0,0.0,0,0.00037368839024308557,0.00026444709334639773,0.0,5.204170427930421e-18,6.833713490941329e-16,8.673617379884035e-19,6.218393857553937e-16,False,False,False,False
fermionic_reflection_pi_L10_deltap0,fermionic_reflection_pi,10.0,0.17453292519943295,0.0,0.0,readout_off,0.0,720,1,0.0,0.0,0,0.0007473767804861711,0.0005288941866927955,0.0,2.0816681711721685e-17,6.833713490941329e-16,3.469446951953614e-18,1.2436787715107873e-15,False,False,False,False
fermionic_reflection_pi_L20_deltap0,fermionic_reflection_pi,20.0,0.3490658503988659,0.0,0.0,readout_off,0.0,720,1,0.0,0.0,0,0.0014947535609723423,0.001057788373385591,0.0,8.326672684688674e-17,6.833713490941329e-16,1.3877787807814457e-17,2.4873575430215746e-15,False,False,False,False
fermionic_reflection_pi_L35_deltap0,fermionic_reflection_pi,35.0,0.6108652381980153,0.0,0.0,readout_off,0.0,720,1,0.0,0.0,0,0.00261581873170155,0.0018511296534247839,0.0,2.7755575615628914e-16,7.438055500344304e-16,5.551115123125783e-17,4.3391397246128616e-15,False,False,False,False
fermionic_reflection_pi_L60_deltap0,fermionic_reflection_pi,60.0,1.0471975511965976,0.0,0.0,readout_off,0.0,720,1,0.0,0.0,0,0.004484260682916987,0.003173365120156773,0.0,8.881784197001252e-16,8.099215989263798e-16,1.6653345369377348e-16,7.415717124467492e-15,False,False,False,False
fermionic_reflection_pi_L1_deltap5,fermionic_reflection_pi,1.0,0.017453292519943295,5.0,0.08726646259971647,readout_off,0.0,720,2,4.167355145553867e-05,-4.16735514555378e-05,-1,7.464880959998173e-05,5.2889579269194354e-05,3.1108810079594832e-09,2.168404344971009e-19,7.118451553063885e-16,4.0657581468206416e-20,1.1945875061716849e-16,True,False,False,False
fermionic_reflection_pi_L2_deltap5,fermionic_reflection_pi,2.0,0.03490658503988659,5.0,0.08726646259971647,readout_off,0.0,720,2,0.00016669420582215468,-0.0001666942058221512,-1,0.00014929761919996347,0.00010577915853838871,2.4887048063675866e-08,8.673617379884035e-19,7.118451553063885e-16,1.6263032587282567e-19,2.3891750123433697e-16,True,False,False,False
fermionic_reflection_pi_L5_deltap5,fermionic_reflection_pi,5.0,0.08726646259971647,5.0,0.08726646259971647,readout_off,0.0,720,2,0.0010418387863884854,-0.0010418387863884437,-1,0.0003732440479999332,0.0002644478963459717,3.8886012599496045e-07,5.204170427930421e-18,6.833713490941329e-16,8.673617379884035e-19,5.960943544325303e-16,True,False,False,False
fermionic_reflection_pi_L10_deltap5,fermionic_reflection_pi,10.0,0.17453292519943295,5.0,0.08726646259971647,readout_off,0.0,720,2,0.0041673551455539415,-0.004167355145553775,-1,0.0007464880959998664,0.0005288957926919434,3.1108810079596836e-06,2.0816681711721685e-17,6.833713490941329e-16,3.469446951953614e-18,1.1921887088650607e-15,True,False,False,False
fermionic_reflection_pi_L20_deltap5,fermionic_reflection_pi,20.0,0.3490658503988659,5.0,0.08726646259971647,readout_off,0.0,720,2,0.016669420582215766,-0.0166694205822151,-1,0.0014929761919997328,0.0010577915853838867,2.488704806367747e-05,8.326672684688674e-17,6.833713490941329e-16,1.3877787807814457e-17,2.3843774177301214e-15,True,False,False,False
fermionic_reflection_pi_L35_deltap5,fermionic_reflection_pi,35.0,0.6108652381980153,5.0,0.08726646259971647,readout_off,0.0,720,2,0.05105010053303527,-0.05105010053303349,-1,0.0026127083359993508,0.0018511352744218015,0.00013337902321626383,2.7755575615628914e-16,7.438055500344304e-16,5.551115123125783e-17,4.179165694062625e-15,True,False,False,False
fermionic_reflection_pi_L60_deltap5,fermionic_reflection_pi,60.0,1.0471975511965976,5.0,0.08726646259971647,readout_off,0.0,720,2,0.15002478523994256,-0.15002478523993545,-1,0.004478928575998943,0.003173374756151661,0.0006719502977192513,8.881784197001252e-16,8.099215989263798e-16,1.6653345369377348e-16,7.207125521380142e-15,True,False,False,False
