step,r1_full,r2_full,r3_full,r4_full,r5_full,r6_full,r1_perp,r2_perp,r3_perp,r4_perp,r5_perp,r6_perp
400,0.3786084709466129,0.29627713988183907,0.29627713988183757,0.18930423547331562,0.18930423547330216,3.041086075319323e-09,1.3843454840388412e-14,1.3019845297316037e-14,9.960497359161163e-15,6.281567343426487e-15,4.658673204099388e-15,1.3015759051630428e-22
440,0.378608470946617,0.29627713988184246,0.29627713988183846,0.18930423547331765,0.18930423547330194,2.6688815197131864e-09,1.5374209398421702e-14,1.4556416054776057e-14,1.1671631461983664e-14,7.173507257063822e-15,4.199366110798658e-15,7.031429248043303e-23
480,0.37860847094661804,0.2962771398818433,0.2962771398818385,0.18930423547331496,0.18930423547329925,3.26986016032742e-09,1.5834149169449542e-14,1.5348223379096477e-14,1.2117610253479179e-14,8.973847570090695e-15,3.0188546875670785e-15,1.56805621875999e-22
520,0.37860847094661965,0.29627713988184384,0.2962771398818385,0.18930423547331418,0.1893042354732991,2.4245094304278386e-09,1.498732302958578e-14,1.4245711516433678e-14,1.1349081109174776e-14,9.930977533397068e-15,4.065925177198813e-15,1.6899398332011378e-22
560,0.37860847094661976,0.2962771398818423,0.2962771398818397,0.1893042354733123,0.18930423547329836,1.9781760030331876e-09,1.456549350467421e-14,1.3213258565877992e-14,1.1418043135911084e-14,1.0328244464314955e-14,4.283350954078917e-15,8.302891626330453e-23
600,0.37860847094661665,0.29627713988183974,0.29627713988183835,0.18930423547330913,0.18930423547329658,2.431241545495364e-09,1.4165416450499352e-14,1.3183672854181133e-14,1.2141393280190176e-14,1.0270438207334414e-14,4.133070189562093e-15,9.913016571248034e-23
640,0.37860847094661343,0.29627713988183807,0.29627713988183674,0.18930423547330819,0.18930423547329597,6.862486901918114e-10,1.43540188590328e-14,1.3491229985635617e-14,1.2256175546302354e-14,1.001903494266683e-14,5.588976621140253e-15,8.51641840507325e-23
680,0.3786084709466091,0.29627713988183707,0.29627713988183263,0.1893042354733072,0.1893042354732956,2.7828375706692938e-09,1.6195030248537322e-14,1.4888970954217608e-14,1.3306221262586327e-14,1.0965925666391734e-14,6.577051205615863e-15,1.5474152172484736e-22
720,0.3786084709466064,0.2962771398818364,0.2962771398818312,0.18930423547330946,0.18930423547329872,2.4316971349931294e-09,1.9032758806743348e-14,1.6990030979581017e-14,1.550857609575255e-14,1.084999737018648e-14,7.445328605213513e-15,1.3317703311960683e-22
760,0.378608470946605,0.29627713988183574,0.29627713988183235,0.18930423547331268,0.18930423547330136,2.366283320917931e-09,2.1528154897558777e-14,1.937772656846633e-14,1.7979516713055574e-14,1.2004940267722143e-14,9.270798674527218e-15,9.386968593168972e-23
800,0.3786084709466097,0.2962771398818394,0.296277139881838,0.1893042354733171,0.1893042354733069,1.5571835178661647e-09,2.468284363296656e-14,2.2107905617922612e-14,2.1101814656969002e-14,1.409753616520598e-14,1.097358046156234e-14,2.0650864768745647e-22
840,0.3786084709466081,0.29627713988184073,0.2962771398818346,0.18930423547331565,0.1893042354733044,2.705282595594711e-09,2.8465381367236583e-14,2.4861913815743938e-14,2.368959084325517e-14,1.5991704482922855e-14,1.4192386035832222e-14,1.643008180052448e-22
880,0.3786084709466073,0.2962771398818419,0.2962771398818312,0.1893042354733115,0.1893042354733021,2.6326534212400558e-09,3.289991182082572e-14,2.863721936707562e-14,2.522326665639828e-14,2.0210314222391167e-14,1.729285390442826e-14,3.753971733826514e-22
920,0.37860847094660766,0.2962771398818434,0.2962771398818295,0.18930423547330905,0.18930423547329917,2.5908158887517018e-09,3.815076251168581e-14,3.3329027311659916e-14,2.695554344925789e-14,2.3199515556968553e-14,1.670551369428e-14,3.10184001625889e-22
960,0.37860847094660705,0.29627713988184123,0.2962771398818278,0.18930423547330627,0.18930423547330075,6.472613977866149e-10,4.2801771582008e-14,3.7540553211411944e-14,2.893520218518934e-14,2.454008426977422e-14,1.5147254307656573e-14,2.341305050987701e-22
1000,0.37860847094660866,0.29627713988184196,0.2962771398818279,0.18930423547330272,0.18930423547330047,3.091854812236744e-09,4.763824740207678e-14,4.2125988061563787e-14,3.0900430590848435e-14,2.5978134259792676e-14,1.4920701819980573e-14,3.0429525168584723e-22
1040,0.37860847094661165,0.29627713988184656,0.29627713988182713,0.18930423547330313,0.18930423547329558,3.4387453932315257e-09,5.4071192306119434e-14,4.6299504551446637e-14,3.497286188725946e-14,2.9420477246442335e-14,1.591034122898149e-14,3.9222836677670225e-22
1080,0.37860847094661476,0.2962771398818513,0.296277139881826,0.18930423547330608,0.18930423547328992,1.7162996795025427e-09,6.223828466532249e-14,5.182172275833333e-14,4.18257976794778e-14,3.8156340245654783e-14,1.9049425608009545e-14,5.225233360767512e-22
1120,0.3786084709466119,0.296277139881852,0.29627713988182314,0.1893042354733097,0.1893042354732814,3.1607302838921297e-09,7.227679256283602e-14,6.183808878476304e-14,5.3931527499242955e-14,4.5434923464423947e-14,2.5918582023880907e-14,5.233829910255375e-22
1160,0.37860847094661054,0.2962771398818531,0.29627713988182325,0.18930423547332045,0.18930423547327255,2.674113944537466e-09,8.555924713145196e-14,7.991763076850398e-14,6.996052972841539e-14,5.310521311808341e-14,3.582544404536009e-14,8.631090421681194e-22
1200,0.3786084709466091,0.2962771398818553,0.296277139881824,0.189304235473338,0.18930423547326372,2.961286111883688e-09,1.029066602198034e-13,1.0001169530854686e-13,8.833494736236504e-14,6.038199192483495e-14,5.05292555128357e-14,9.16592425086453e-22
1240,0.3786084709466094,0.2962771398818602,0.29627713988182436,0.18930423547335948,0.18930423547325162,1.7864053805821345e-09,1.306372709428585e-13,1.207377090870535e-13,1.0778759109519962e-13,7.666348929915518e-14,6.069857188072697e-14,6.770524542926779e-22
1280,0.37860847094660643,0.2962771398818621,0.29627713988182197,0.18930423547338568,0.1893042354732346,1.5035842611471505e-09,1.685652260171492e-13,1.5362762525450737e-13,1.421762151104385e-13,9.762229814551225e-14,4.540974199182213e-14,1.695202405255535e-21
1320,0.3786084709466039,0.296277139881862,0.2962771398818218,0.18930423547341219,0.1893042354732102,3.0129148768554654e-09,2.2075964336792188e-13,2.0948793828266192e-13,1.9754750540445155e-13,1.145606032616816e-13,8.032525022579236e-14,1.8772584215719317e-21
1360,0.37860847094660643,0.29627713988186366,0.29627713988182675,0.18930423547344744,0.18930423547318045,2.7417711465492846e-09,2.9277833700083956e-13,2.8513324146258103e-13,2.665423182450624e-13,1.7622022933313923e-13,1.0886661585005986e-13,2.9244343918387263e-21
1400,0.3786084709466083,0.29627713988186355,0.2962771398818297,0.18930423547349154,0.18930423547313713,2.1243882107017263e-09,3.854135727640688e-13,3.785595522886414e-13,3.610941513098873e-13,2.4476211893344444e-13,1.2565695864127732e-13,4.294198083069193e-21
1440,0.3786084709466104,0.2962771398818641,0.2962771398818293,0.18930423547354772,0.1893042354730778,1.5260914258366443e-09,5.081199897494967e-13,4.964148971390469e-13,4.780429582306024e-13,3.1234059492236247e-13,1.0480073262728755e-13,3.148739960197731e-21
1480,0.3786084709466143,0.29627713988186544,0.2962771398818301,0.18930423547361952,0.18930423547299888,3.109710622457491e-09,6.76861862720563e-13,6.590554139045438e-13,6.116178499709717e-13,3.9577016175727893e-13,1.6297494308980548e-13,3.089825324486574e-21
1520,0.3786084709466175,0.2962771398818644,0.29627713988183096,0.18930423547371578,0.18930423547289454,1.4032126084138282e-09,8.942732663465628e-13,8.74351813276875e-13,8.130957639300115e-13,5.041074517493594e-13,3.053043982850057e-13,9.531692540396394e-21
1560,0.37860847094661687,0.2962771398818601,0.2962771398818303,0.18930423547384165,0.18930423547275924,2.807734971702324e-09,1.174335637098356e-12,1.1477142127423007e-12,1.129848407391793e-12,6.601831848479217e-13,3.978509000465545e-13,7.622538990197147e-21
1600,0.37860847094661876,0.2962771398818591,0.2962771398818313,0.18930423547401365,0.18930423547258285,2.806520837146708e-09,1.5799693482163335e-12,1.5453714299173292e-12,1.4735811136951662e-12,9.26802297548872e-13,3.644496120815164e-13,1.7434214217992853e-20
1640,0.3786084709466207,0.2962771398818608,0.2962771398818319,0.18930423547424416,0.18930423547235062,2.727777073118208e-09,2.1304917521721976e-12,2.0512094750749235e-12,1.925533798824021e-12,1.2653536152395367e-12,4.480503906875123e-13,1.8135824857822453e-20
1680,0.3786084709466179,0.29627713988186116,0.2962771398818291,0.18930423547455139,0.18930423547204298,1.627758759678227e-09,2.8126261986805626e-12,2.7334574651748518e-12,2.5724664473113494e-12,1.6649603693979442e-12,7.72085070159368e-13,2.0946514423391274e-20
1720,0.3786084709466162,0.2962771398818616,0.2962771398818307,0.18930423547496433,0.18930423547163583,2.9787466802424487e-09,3.691905986248777e-12,3.6203612219940725e-12,3.4978211832003677e-12,2.152772636552285e-12,1.1169249111370138e-12,3.031030493582083e-20
1760,0.37860847094661115,0.2962771398818592,0.2962771398818316,0.18930423547551345,0.189304235471092,2.7667066542917596e-09,4.89062573029326e-12,4.845135350462562e-12,4.635063293960838e-12,2.873695320785465e-12,1.3140924111827016e-12,1.6580459293175352e-20
1800,0.37860847094661015,0.29627713988186355,0.29627713988183235,0.1893042354762476,0.18930423547037067,2.1278900911960825e-09,6.564202915182407e-12,6.422580102517781e-12,6.124430334233753e-12,3.847201677021292e-12,1.6274436940611394e-12,3.591660316971226e-20
1840,0.37860847094660666,0.2962771398818677,0.29627713988183024,0.18930423547722278,0.1893042354694001,1.933324078228022e-09,8.736858074995745e-12,8.558143055136283e-12,8.164208926010739e-12,5.092529565706991e-12,2.3329501943031794e-12,6.794580372282787e-20
1880,0.3786084709466041,0.2962771398818695,0.2962771398818287,0.18930423547852215,0.1893042354681078,9.872237673847799e-10,1.1641421816166416e-11,1.1405458179317948e-11,1.0858637133274145e-11,6.8339630571402536e-12,3.149058622262412e-12,9.133943466176763e-20
1920,0.37860847094660927,0.2962771398818737,0.29627713988183274,0.18930423548025407,0.18930423546638353,2.9389127632045796e-09,1.548764559834353e-11,1.5150390200587724e-11,1.4535075484433944e-11,9.086635381190645e-12,4.225056366480209e-12,5.784752551269284e-20
1960,0.3786084709466114,0.2962771398818748,0.296277139881832,0.18930423548255354,0.18930423546408107,1.7971702828473245e-09,2.0590012407914636e-11,2.0249483851750998e-11,1.9273754211099304e-11,1.2185151541045988e-11,5.254798080415124e-12,1.650810341432288e-19
2000,0.37860847094661154,0.2962771398818758,0.2962771398818273,0.18930423548561454,0.18930423546100753,2.3195251987483863e-09,2.7453539014653996e-11,2.6832336614596608e-11,2.5752038857515754e-11,1.6059257310698756e-11,7.338379140119134e-12,2.468624800051404e-19
2040,0.37860847094661415,0.29627713988187776,0.2962771398818235,0.18930423548969252,0.18930423545691977,1.6706512485430467e-09,3.650082657874135e-11,3.58993911720158e-11,3.408433501877591e-11,2.1495797914916837e-11,9.584429270721755e-12,1.102825798466325e-19
2080,0.37860847094661576,0.2962771398818769,0.2962771398818213,0.18930423549512526,0.18930423545147654,2.0125918223797616e-09,4.863455903183128e-11,4.755593775220579e-11,4.564406629704335e-11,2.8428364023353982e-11,1.3323545142920061e-11,4.752342400988426e-19
2120,0.3786084709466192,0.2962771398818753,0.29627713988182325,0.18930423550236394,0.1893042354442344,1.4188858069735856e-09,6.462593433423396e-11,6.360773859514256e-11,6.060431018796412e-11,3.8028975933555735e-11,1.7029955380257886e-11,5.980943558093669e-19
2160,0.37860847094661815,0.29627713988187243,0.2962771398818222,0.18930423551199924,0.18930423543459227,1.597604135138267e-09,8.630291256895968e-11,8.441783592798282e-11,8.071219137154832e-11,5.067194598353961e-11,2.277932510326075e-11,5.76615602105472e-19
2200,0.37860847094661787,0.2962771398818728,0.2962771398818219,0.18930423552483097,0.18930423542175995,1.961078266806109e-09,1.1475214582809091e-10,1.1256937574555717e-10,1.0746338941300273e-10,6.737211578773305e-11,3.0557886309448283e-11,8.541310427994114e-19
2240,0.3786084709466169,0.29627713988187365,0.29627713988182197,0.18930423554191805,0.18930423540468136,1.9373411229456496e-09,1.528477037382877e-10,1.498596176530768e-10,1.429096633749111e-10,8.995330182266679e-11,4.0446256193902694e-11,1.1578892274972068e-18
2280,0.3786084709466181,0.29627713988187476,0.29627713988182747,0.18930423556466577,0.18930423538194727,2.336912164397642e-09,2.0333042716301528e-10,1.9919250876290528e-10,1.9094530249956264e-10,1.1903028810845296e-10,5.503604246385045e-11,1.893462346055467e-18
2320,0.37860847094662187,0.29627713988187737,0.2962771398818368,0.18930423559494472,0.18930423535168112,2.8083367431515456e-10,2.7074354230340207e-10,2.6599955483254586e-10,2.530048114612911e-10,1.5966338763252365e-10,7.041222928688186e-11,1.7809154465332366e-18
2360,0.3786084709466199,0.2962771398818785,0.29627713988183874,0.1893042356352494,0.18930423531138357,2.1544991853174483e-09,3.607216109549024e-10,3.5266852922309925e-10,3.385509015349765e-10,2.1088569732335136e-10,9.782195465142732e-11,3.1325435483790432e-18
2400,0.3786084709466179,0.2962771398818801,0.2962771398818374,0.18930423568890448,0.1893042352577332,4.12005787557191e-09,4.796865970285631e-10,4.718389684189565e-10,4.4839997044778553e-10,2.8290861572100556e-10,1.2501251498427473e-10,3.8570549521403286e-18
2440,0.37860847094661854,0.2962771398818812,0.2962771398818395,0.1893042357603386,0.18930423518630463,2.4520541731926456e-09,6.396114906272345e-10,6.250345114219256e-10,5.998899245715804e-10,3.7420646985283297e-10,1.732684504846287e-10,5.1607073471969116e-18
2480,0.37860847094662065,0.2962771398818796,0.2962771398818437,0.1893042358554384,0.18930423509120517,2.745255062004227e-09,8.499592344914069e-10,8.361349122096434e-10,7.95600630107137e-10,5.007092053642973e-10,2.2296242023378802e-10,5.2713734026740125e-18
2520,0.3786084709466185,0.29627713988187526,0.2962771398818419,0.1893042359820459,0.18930423496459056,3.4273048943998246e-09,1.1338054770916182e-09,1.1088792063607885e-09,1.0617808327405912e-09,6.64827171267674e-10,3.035296571044029e-10,1.1383373449201386e-17
2560,0.3786084709466203,0.29627713988187576,0.29627713988183985,0.189304236150607,0.18930423479602204,2.6533184813728145e-09,1.506944060612821e-09,1.4802069050652213e-09,1.4122986039282798e-09,8.852245655320558e-10,4.0057377573919435e-10,4.43643391736418e-18
2600,0.378608470946621,0.29627713988187476,0.29627713988183435,0.1893042363750242,0.18930423457159473,2.1901640339888392e-09,2.009114678938612e-09,1.9684219070493315e-09,1.87879984216817e-09,1.1812714078932693e-09,5.312682916871544e-10,2.346029081784017e-17
2640,0.37860847094662325,0.2962771398818738,0.2962771398818333,0.18930423667380944,0.1893042342728032,2.86976470528487e-09,2.672329105554559e-09,2.6192244962869738e-09,2.5076284074553105e-09,1.5653969152378988e-09,7.196757587898164e-10,1.4281478164010605e-17
2680,0.3786084709466303,0.2962771398818766,0.29627713988183646,0.18930423707160576,0.18930423387500495,3.3321580433900556e-09,3.5592369953305597e-09,3.4943698925873042e-09,3.325871303370001e-09,2.097677761461187e-09,9.296710645425201e-10,1.9574192456489582e-17
2720,0.37860847094663336,0.2962771398818785,0.2962771398818364,0.18930423760121948,0.1893042333453888,1.7486894586563985e-09,4.73975516989273e-09,4.636107486034001e-09,4.449204563797085e-09,2.77173994779985e-09,1.2855620423479098e-09,3.934607492807384e-17
2760,0.37860847094663297,0.2962771398818802,0.296277139881834,0.18930423830632925,0.18930423264027732,2.812526872736475e-09,6.304860992716645e-09,6.200126260682337e-09,5.892691078726282e-09,3.719355934316606e-09,1.6405876129495986e-09,4.8660086857127223e-17
2800,0.37860847094663475,0.29627713988188453,0.29627713988183535,0.1893042392450912,0.18930423170152236,1.9516718849917337e-09,8.404951606597172e-09,8.213578578099725e-09,7.88591291035368e-09,4.915332944278319e-09,2.2793345751010195e-09,6.333485768953582e-17
2840,0.37860847094663064,0.29627713988188464,0.2962771398818344,0.1893042404949248,0.18930423045169592,2.469149641472343e-09,1.1170864403080774e-08,1.0990797979258025e-08,1.0451328756522789e-08,6.584281267210454e-09,2.9212115083500704e-09,8.3181829845414e-17
2880,0.3786084709466329,0.29627713988188936,0.29627713988184046,0.18930424215891076,0.18930422878772468,2.1930499760890544e-09,1.4900729140488713e-08,1.4567476419722539e-08,1.3961425362169912e-08,8.729573537644183e-09,4.007260713689868e-09,1.7169407900505028e-16
2920,0.3786084709466316,0.2962771398818909,0.29627713988184295,0.18930424437427867,0.18930422657236592,2.366362752669861e-09,1.9801808725374468e-08,1.9462611384492774e-08,1.8551173841473192e-08,1.1643368386550045e-08,5.240706350771378e-09,7.35196117125647e-17
2960,0.3786084709466313,0.29627713988189425,0.29627713988184473,0.18930424732373471,0.1893042236229156,3.6306068049339176e-09,2.6407616173019507e-08,2.5856219615809603e-08,2.470483425443741e-08,1.551296918389662e-08,7.010565761010279e-09,2.0048371438832749e-16
3000,0.3786084709466299,0.2962771398818951,0.2962771398818445,0.18930425125052416,0.1893042196961238,2.6437398941821982e-09,3.5114576442649814e-08,3.444150280107699e-08,3.2938362161155764e-08,2.0587020249999446e-08,9.419451293951405e-09,4.227703259270993e-16
3040,0.3786084709466299,0.2962771398818951,0.2962771398818467,0.1893042564785041,0.18930421446814016,1.4576711284623943e-09,4.678562448894426e-08,4.590261427030427e-08,4.37239935820957e-08,2.7555796952901362e-08,1.2261759284138688e-08,3.725228459914036e-16
3080,0.3786084709466322,0.2962771398818965,0.2962771398818502,0.1893042634388384,0.1893042075077967,2.5988303399672553e-09,6.227834874780387e-08,6.095143903342056e-08,5.8459992131154316e-08,3.643301387807897e-08,1.6867066493159052e-08,6.220752817308173e-16
3120,0.3786084709466322,0.29627713988189874,0.2962771398818497,0.18930427270556238,0.18930419824105515,3.2356619793442336e-09,8.28753161497375e-08,8.146352623500935e-08,7.744475753596675e-08,4.888417139405543e-08,2.15701914199972e-08,7.199562349270511e-16
3160,0.37860847094663186,0.29627713988190507,0.2962771398818493,0.18930428504292798,0.18930418590366033,2.362028731919213e-09,1.1044652966110647e-07,1.0794818254887721e-07,1.0365371289237071e-07,6.457637277370379e-08,2.9980569755837576e-08,7.168310352767103e-16
3200,0.37860847094663286,0.29627713988191684,0.2962771398818533,0.18930430146843355,0.18930416947811446,2.803818553681858e-09,1.4682287441084926e-07,1.4445617539960238e-07,1.3731163614648305e-07,8.658062658723019e-08,3.829629416721526e-08,9.8208669919628e-16
3240,0.3786084709466323,0.29627713988193527,0.2962771398818651,0.18930432333672922,0.18930414760975472,2.679711756314188e-09,1.958236838595051e-07,1.9139127167295203e-07,1.835704951536411e-07,1.1464038130141255e-07,5.2843527621618916e-08,1.4799034702489635e-15
3280,0.3786084709466312,0.2962771398819692,0.2962771398818893,0.18930435245134866,0.1893041184950316,1.8855451062879194e-09,2.602206846538901e-07,2.5588689628766675e-07,2.4367810549581474e-07,1.5314564539386627e-07,6.857352560872381e-08,1.5264919901358881e-15
3320,0.3786084709466266,0.29627713988203114,0.29627713988192894,0.1893043912134407,0.18930407973276184,2.78838419356569e-09,3.4708492099205956e-07,3.3964143367059784e-07,3.2485821024765436e-07,2.0370567468906902e-07,9.255065953292571e-08,3.1245878709066904e-15
3360,0.3786084709466199,0.2962771398821541,0.29627713988198856,0.18930444281980163,0.18930402812608957,2.0908883727590026e-09,4.614034212339105e-07,4.528902946042917e-07,4.326483021444439e-07,2.707608841371076e-07,1.2325717790701949e-07,3.2439181927792256e-15
3400,0.3786084709466026,0.29627713988238297,0.2962771398820741,0.18930451152650318,0.18930395941882344,2.5943897844166974e-09,6.149778909392599e-07,6.029625976259626e-07,5.748716658085537e-07,3.619333799851584e-07,1.617831773265601e-07,4.188187502499437e-15
3440,0.3786084709465819,0.29627713988280563,0.29627713988222343,0.1893046029999181,0.1893038679444206,2.0740901106050794e-09,8.183156533730278e-07,8.014029190468565e-07,7.680350963660876e-07,4.789829241307931e-07,2.2109505964473926e-07,4.859966686777396e-15
3480,0.378608470946537,0.2962771398835495,0.2962771398824747,0.18930472478397564,0.18930374615859408,2.759527378028684e-09,1.089390607899559e-06,1.070257081920855e-06,1.0179264393630744e-06,6.423828103741823e-07,2.839135333214702e-07,6.107044018835558e-15
3520,0.3786084709464682,0.29627713988487386,0.29627713988292526,0.18930488692232775,0.18930358401710967,1.8179572006261266e-09,1.4512966614628953e-06,1.4188920000817892e-06,1.362279159550169e-06,8.485247900589626e-07,3.94023905502616e-07,1.1790435436427446e-14
3560,0.3786084709463473,0.29627713988721566,0.2962771398837252,0.18930510278656978,0.18930336814729984,2.452824741683077e-09,1.929825638453756e-06,1.8984255814629965e-06,1.8042073590555943e-06,1.1383402874685088e-06,5.024976281385743e-07,1.2063222006123195e-14
3600,0.37860847094613714,0.2962771398913611,0.2962771398851511,0.18930539017892087,0.18930308074507493,3.060855430685663e-09,2.5734015981736463e-06,2.514789817039892e-06,2.4134583104663713e-06,1.5056579545832508e-06,6.963238180495387e-07,1.7172130733584026e-14
3640,0.3786084709457566,0.29627713989869203,0.29627713988768173,0.18930577280017144,0.18930269810631428,3.1184026751244745e-09,3.419796862029635e-06,3.3639936699703746e-06,3.2009806311255786e-06,2.014223820755517e-06,8.976302524550871e-07,2.7087517863235078e-14
3680,0.3786084709450836,0.29627713991167814,0.2962771398921805,0.1893062822039359,0.18930218867151608,3.1592319149802527e-09,4.5617049460127815e-06,4.461634543598413e-06,4.2717378491425e-06,2.6748852862214777e-06,1.2216154468453855e-06,4.3371943922116406e-14
3720,0.3786084709438862,0.29627713993468674,0.29627713990016086,0.18930696039821593,0.18930151042223015,3.296573015018817e-09,6.062955991168135e-06,5.955170816531194e-06,5.6827832079685515e-06,3.5612763870768683e-06,1.6125427891832915e-06,5.786584203500938e-14
3760,0.3786084709417599,0.2962771399754675,0.2962771399143086,0.18930786330859073,0.18930060741436444,1.4734313107542835e-09,8.083412566366523e-06,7.920195659382648e-06,7.558769380309669e-06,4.753320083254913e-06,2.1353907029483824e-06,6.244987843152896e-14
3800,0.37860847093798944,0.29627714004773953,0.29627713993940197,0.18930906538819303,0.18929940516196442,2.4337562517154193e-09,1.0752358678504788e-05,1.0537666249107053e-05,1.0089382098593488e-05,6.29812757201864e-06,2.895972502833854e-06,8.955824993372658e-14
3840,0.3786084709313043,0.2962771401758255,0.2962771399839011,0.18931066575390282,0.1892978044899775,2.6389930233821298e-09,1.4320040900295408e-05,1.405989033642915e-05,1.3380922599225718e-05,8.440013243995148e-06,3.740483127264242e-06,1.6971769952168005e-13
3880,0.3786084709194534,0.29627714040293934,0.2962771400627028,0.1893127963533777,0.1892956733476221,2.475583942771188e-09,1.9070070279582537e-05,1.8652258204689326e-05,1.7901599728176094e-05,1.115140927838557e-05,5.1743012711052004e-06,1.62290207462373e-13
3920,0.37860847089845157,0.29627714080570056,0.29627714020219126,0.18931563283403113,0.1892928359047019,2.9210483874350726e-09,2.5366259244793104e-05,2.494614882750305e-05,2.37088675000468e-05,1.4964353609369936e-05,6.60005917972927e-06,2.7100562546983927e-13
3960,0.37860847086122323,0.29627714151937323,0.29627714044966585,0.1893194090058852,0.18928905802719576,1.8650666837097542e-09,3.381687577781065e-05,3.3046855059394364e-05,3.1727296304011014e-05,1.977773318202537e-05,9.167114879078701e-06,1.5657894244559123e-13
4000,0.3786084707952382,0.2962771427831731,0.2962771408895258,0.1893244360832893,0.18928402792648125,2.402381451799399e-09,4.494517534721653e-05,4.421987462960752e-05,4.2051413824791005e-05,2.648933458978126e-05,1.1756170644047968e-05,2.7947045869414905e-13
4040,0.37860847067828196,0.2962771450236999,0.29627714166878316,0.18933112827842657,0.18927733037243488,1.5780007248440834e-09,5.995257833365337e-05,5.8612633347145705e-05,5.6169742597794736e-05,3.512429753521929e-05,1.612164821565049e-05,3.451275843201137e-13
4080,0.3786084704709751,0.2962771490021494,0.29627714304297903,0.18934003683273362,0.18926841231931935,1.6365717867609549e-09,7.967125107036298e-05,7.830175332241644e-05,7.464289486510417e-05,4.6842303143210265e-05,2.1100596655310162e-05,7.227157285466023e-13
4120,0.37860847010352583,0.2962771560571901,0.2962771454756484,0.18935189524891388,0.18925653706624732,2.662060937188804e-09,0.00010624458954775603,0.0001040363149053922,9.939211348465902e-05,6.242363943045655e-05,2.818340382243357e-05,9.839570256083959e-13
4160,0.37860846945221616,0.29627716852561264,0.2962771498244421,0.18936767937596657,0.18924072309536363,3.2377383369144596e-09,0.00014128169784125323,0.00013856725105286353,0.00013253233399913636,8.282561049474195e-05,3.789195682902898e-05,1.2457832843818393e-12
4200,0.37860846829775546,0.2962771905802997,0.2962771575787073,0.18938868716378293,0.18921966240857535,1.659592420199764e-09,0.00018824292874700647,0.00018469203065566396,0.00017591336773819694,0.00011086406167191191,4.933243805768879e-05,2.118837455419726e-12
4240,0.37860846625146505,0.29627722984385785,0.29627717115231095,0.18941664441773223,0.1891916113898335,2.772346207416374e-09,0.0002505843410007967,0.00024521306585349197,0.00023521216169314867,0.00014657029913349264,6.795465608836111e-05,1.849297561077509e-12
4280,0.37860846262441994,0.2962772998234523,0.29627719482798953,0.18945384483443414,0.18915424477267528,3.297124963894411e-09,0.00033341037038006984,0.0003277721828819432,0.0003115855824480062,0.00019670584653310792,8.677484995494576e-05,2.0457749386546118e-12
