R,phi,phi_over_pi,s0,stability_gain,condition_id,phase,S_mean,S_amp,S_max_abs,S_final,S_drift,Q_max_error,Q_tail_max_error,gray_error,gray_depth
0.683,0.2617993877991494,0.08333333333333333,0.0,0.0,phi0.0833333_s0_g0,large_oscillation,3.680859008798267e-05,0.2588190051966262,0.25881904245236037,0.2565534119492957,0.0002624004582192625,6.661338147750939e-16,6.661338147750939e-16,0.7391182142449335,0.13128609517972645
0.683,0.2617993877991494,0.08333333333333333,0.0,0.002,phi0.0833333_s0_g0.002,large_oscillation,0.00014680831746805863,0.9974678482873733,0.9977029335482276,0.9893140059309994,0.0009951293521991665,6.661338147750939e-16,6.661338147750939e-16,1.4786097859570404,-0.1698535761838838
0.683,0.2617993877991494,0.08333333333333333,0.001,-0.002,phi0.0833333_s0.001_g-0.002,gray_metastable,-8.26412144825747e-07,0.034128205902086345,0.03434740442295192,0.004392195067984994,1.1659102033641483e-05,8.881784197001252e-16,4.440892098500626e-16,0.014140691416264811,1.849529354971421
0.683,0.2617993877991494,0.08333333333333333,0.001,0.0,phi0.0833333_s0.001_g0,large_oscillation,3.689444656979437e-05,0.2588258576039491,0.25882593184990904,0.2562888470232481,0.0002624374564613644,6.661338147750939e-16,6.661338147750939e-16,0.7391251895069803,0.1312819966424909
0.683,0.2617993877991494,0.08333333333333333,0.001,0.002,phi0.0833333_s0.001_g0.002,large_oscillation,0.0001468111021473339,0.9975324379264674,0.9978731002259511,0.9882661099642025,0.0009957265199461974,6.661338147750939e-16,6.661338147750939e-16,1.4786749755485609,-0.16987272312586787
0.683,0.2617993877991494,0.08333333333333333,0.01,-0.002,phi0.0833333_s0.01_g-0.002,gray_metastable,8.632713951240684e-08,0.03422661576411029,0.034274950484554804,0.004351288726020142,1.0778203045253405e-05,6.661338147750939e-16,4.440892098500626e-16,0.014237480294295057,1.8465668640074764
0.683,0.2617993877991494,0.08333333333333333,0.01,0.0,phi0.0833333_s0.01_g0,large_oscillation,3.7660528624386115e-05,0.25953862892602325,0.2595387683972185,0.2538615779477267,0.00026272320331401333,8.881784197001252e-16,6.661338147750939e-16,0.7398390126579617,0.13086277151297843
0.683,0.2617993877991494,0.08333333333333333,0.01,0.002,phi0.0833333_s0.01_g0.002,large_oscillation,0.0001464397949094738,0.997178807832749,0.9977684673658935,0.9762350637867806,0.0009985024563743015,8.881784197001252e-16,8.881784197001252e-16,1.4783237500840327,-0.1697695541386488
0.683,1.5707963267948966,0.5,0.0,-0.002,phi0.5_s0_g-0.002,large_oscillation,0.00014210623789905028,0.9999999680244911,0.9999999709887839,0.9910707883842991,0.0010139843787218392,6.661338147750939e-16,6.661338147750939e-16,1.4811560586411119,-0.17060081938283034
0.683,1.5707963267948966,0.5,0.0,0.0,phi0.5_s0_g0,large_oscillation,0.00014221747118103157,0.9999998458153052,0.9999999897604206,0.9912462656974119,0.0010138375176961412,6.661338147750939e-16,6.661338147750939e-16,1.4811559008041824,-0.17060077310295943
0.683,1.5707963267948966,0.5,0.0,0.002,phi0.5_s0_g0.002,large_oscillation,0.00014205235818298646,0.9999999321512167,0.9999999998602225,0.9912081799389417,0.0010137453927025778,6.661338147750939e-16,6.661338147750939e-16,1.4811557299021023,-0.1706007229922084
0.683,1.5707963267948966,0.5,0.001,-0.002,phi0.5_s0.001_g-0.002,large_oscillation,0.00014219183686548984,0.99999820233832,0.9999984457006031,0.9908016296620714,0.0010140175427601253,6.661338147750939e-16,6.661338147750939e-16,1.4811544117179456,-0.17060033648297876
0.683,1.5707963267948966,0.5,0.001,0.0,phi0.5_s0.001_g0,large_oscillation,0.00014230311684487726,0.9999995334875195,0.9999998207493881,0.9909802313841879,0.0010138730130626224,6.661338147750939e-16,6.661338147750939e-16,1.4811557096174268,-0.17060071704447277
0.683,1.5707963267948966,0.5,0.001,0.002,phi0.5_s0.001_g0.002,large_oscillation,0.00014213750298690007,0.9999992199792094,0.9999995282398808,0.9909420738523874,0.0010137804844948465,6.661338147750939e-16,6.661338147750939e-16,1.4811551379666912,-0.1706005494288694
0.683,1.5707963267948966,0.5,0.01,-0.002,phi0.5_s0.01_g-0.002,large_oscillation,0.00014293650089659908,0.99999989898481,0.9999999929001255,0.9882001841409619,0.0010141325908909582,6.661338147750939e-16,6.661338147750939e-16,1.4811569680765975,-0.1706010860412216
0.683,1.5707963267948966,0.5,0.01,0.0,phi0.5_s0.01_g0,large_oscillation,0.00014304832583262372,0.999999948021582,0.9999999703150937,0.9884074784282857,0.0010140099603472424,6.661338147750939e-16,6.661338147750939e-16,1.481157006307762,-0.17060109725109596
0.683,1.5707963267948966,0.5,0.01,0.002,phi0.5_s0.01_g0.002,large_oscillation,0.00014287837279361432,0.9999999669573455,0.99999997977987,0.988369285957372,0.001013914714894329,6.661338147750939e-16,6.661338147750939e-16,1.4811567600450335,-0.1706010250436578
0.683,3.141592653589793,1.0,0.0,-0.002,phi1_s0_g-0.002,gray_eigen,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,0.27,0.5686362358410126
0.683,3.141592653589793,1.0,0.0,0.0,phi1_s0_g0,gray_eigen,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,0.27,0.5686362358410126
0.683,3.141592653589793,1.0,0.0,0.002,phi1_s0_g0.002,gray_eigen,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,0.27,0.5686362358410126
0.683,3.141592653589793,1.0,0.001,-0.002,phi1_s0.001_g-0.002,gray_metastable,9.79962000823777e-08,0.00025328530729568083,0.0002556927767875527,-4.389190336295812e-06,9.463450068310318e-08,8.881784197001252e-16,8.881784197001252e-16,0.019746907323405085,1.7045009120654617
0.683,3.141592653589793,1.0,0.001,0.0,phi1_s0.001_g0,gray_metastable,8.593009907765817e-08,0.0019999982460622845,0.0019999990553464797,-0.0002640518187090879,3.752304354081969e-08,6.661338147750939e-16,6.661338147750939e-16,0.018000125207080334,1.7447244739769736
0.683,3.141592653589793,1.0,0.001,0.002,phi1_s0.001_g0.002,large_oscillation,-3.941213832401053e-05,0.11700831316905022,0.117256824302858,-0.01583401753157232,3.432840462386364e-05,6.661338147750939e-16,6.661338147750939e-16,0.5970820537119981,0.2239659820605231
0.683,3.141592653589793,1.0,0.01,-0.002,phi1_s0.01_g-0.002,gray_metastable,9.801528821946443e-07,0.0025333477293635887,0.0025574270207656125,-4.390061376874366e-05,9.465261841886408e-07,6.661338147750939e-16,6.661338147750939e-16,0.017468578949702794,1.7577424229738134
0.683,3.141592653589793,1.0,0.01,0.0,phi1_s0.01_g0,gray_metastable,8.593009907457308e-07,0.019999982460566418,0.019999990553411836,-0.0026405181870990386,3.752304354372712e-07,8.881784197001252e-16,6.661338147750939e-16,1.2520708597655993e-06,5.902371091944791
0.683,3.141592653589793,1.0,0.01,0.002,phi1_s0.01_g0.002,large_oscillation,-0.0002318318448612176,0.7614890027685078,0.7616136257508852,-0.10234106644202179,7.284264029773073e-05,6.661338147750939e-16,6.661338147750939e-16,1.2417936772536668,-0.09404944425144164
