phase,case,k_max,step,center_error_max,center_error_mean,center_error_std,gauge_count
c_baseline_stability,kmax_3,3,9,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,10,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,11,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,12,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,13,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,14,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,15,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,16,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,17,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,18,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,19,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,20,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,21,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,22,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,23,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,24,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,0,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,1,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,2,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,3,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,4,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,5,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,6,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,7,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,8,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,9,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,10,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,11,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,12,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,13,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,14,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,15,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,16,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,17,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,18,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,19,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,20,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,21,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,22,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,23,0.0,0.0,0.0,9
c_baseline_stability,kmax_5,5,24,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,0,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,1,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,2,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,3,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,4,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,5,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,6,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,7,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,8,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,9,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,10,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,11,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,12,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,13,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,14,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,15,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,16,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,17,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,18,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,19,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,20,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,21,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,22,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,23,0.0,0.0,0.0,9
c_baseline_stability,kmax_9,9,24,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,0,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,1,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,2,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,3,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,4,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,5,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,6,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,7,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,8,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,9,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,10,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,11,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,12,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,13,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,14,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,15,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,16,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,17,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,18,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,19,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,20,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,21,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,22,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,23,0.0,0.0,0.0,9
c_baseline_stability,kmax_17,17,24,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,0,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,1,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,2,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,3,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,4,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,5,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,6,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,7,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,8,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,9,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,10,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,11,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,12,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,13,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,14,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,15,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,16,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,17,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,18,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,19,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,20,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,21,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,22,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,23,0.0,0.0,0.0,9
c_baseline_stability,kmax_33,33,24,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,0,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,1,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,2,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,3,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,4,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,5,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,6,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,7,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,8,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,9,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,10,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,11,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,12,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,13,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,14,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,15,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,16,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,17,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,18,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,19,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,20,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,21,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,22,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,23,0.0,0.0,0.0,9
c_baseline_stability,kmax_65,65,24,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,0,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,1,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,2,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,3,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,4,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,5,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,6,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,7,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,8,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,9,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,10,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,11,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,12,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,13,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,14,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,15,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,16,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,17,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,18,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,19,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,20,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,21,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,22,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,23,0.0,0.0,0.0,9
c_baseline_stability,kmax_129,129,24,0.0,0.0,0.0,9
