t,H,Q2_re,Q2_im,generator_norm
120,np.float64(522.7794514075863),np.float64(-42.36880475352626),np.float64(71.58935334594061),np.float64(22.887280898089227)
121,np.float64(522.7794514075825),np.float64(-42.36880475352591),np.float64(71.58935334594048),np.float64(22.882463525294845)
122,np.float64(522.7794514075829),np.float64(-42.36880475352602),np.float64(71.58935334594088),np.float64(22.867837823570728)
123,np.float64(522.7794514075837),np.float64(-42.36880475352633),np.float64(71.58935334594088),np.float64(22.856126131915172)
124,np.float64(522.7794514075846),np.float64(-42.36880475352642),np.float64(71.58935334594099),np.float64(22.862568011526474)
125,np.float64(522.7794514075861),np.float64(-42.36880475352659),np.float64(71.58935334594086),np.float64(22.875935021301586)
126,np.float64(522.7794514075854),np.float64(-42.36880475352655),np.float64(71.58935334594057),np.float64(22.878403075004332)
127,np.float64(522.779451407584),np.float64(-42.36880475352639),np.float64(71.58935334594067),np.float64(22.871953608863674)
128,np.float64(522.7794514075852),np.float64(-42.36880475352662),np.float64(71.58935334594085),np.float64(22.871327841494583)
129,np.float64(522.7794514075849),np.float64(-42.3688047535269),np.float64(71.58935334594074),np.float64(22.87617689018009)
130,np.float64(522.7794514075858),np.float64(-42.36880475352754),np.float64(71.58935334594076),np.float64(22.8774571642694)
131,np.float64(522.7794514075867),np.float64(-42.36880475352751),np.float64(71.58935334594094),np.float64(22.873230472450405)
132,np.float64(522.7794514075865),np.float64(-42.368804753527456),np.float64(71.589353345941),np.float64(22.868269413334833)
133,np.float64(522.7794514075879),np.float64(-42.36880475352757),np.float64(71.58935334594142),np.float64(22.86077487637165)
134,np.float64(522.7794514075872),np.float64(-42.36880475352791),np.float64(71.58935334594113),np.float64(22.86076689239352)
135,np.float64(522.7794514075871),np.float64(-42.36880475352769),np.float64(71.58935334594122),np.float64(22.875269860849166)
136,np.float64(522.7794514075883),np.float64(-42.368804753527776),np.float64(71.58935334594102),np.float64(22.886087575885917)
137,np.float64(522.7794514075887),np.float64(-42.368804753527776),np.float64(71.58935334594122),np.float64(22.88120303769006)
138,np.float64(522.7794514075882),np.float64(-42.36880475352771),np.float64(71.58935334594095),np.float64(22.87124188141227)
