A_A,A_B,E_max_abs_error,E_mean_abs_error,E_tau_R_error,K_R_error,P_R_error,R_A,R_B,R_max_abs_error,R_max_gauge_std,R_mean_abs_error,R_total_error,case,common_bias_detected,gauge_count,noise_level,noise_mode,p_max_abs_error,p_mean_abs_error,q_A0,q_B0,relative_flip_error,within_particle_separation_ratio_time,zero_mean_multigauge_valid
1.0,1.0,7.282098046790253e-07,7.282096332605903e-07,1.3315160332094678e-06,1.7507292209284486e-06,2.1214081487030967e-06,1.0,1.0,9.104330462861299e-07,4.383090605058221e-16,9.10433045953063e-07,4.861705149572515e-07,c01_A1.00_B1.00_u1.00_v-1.00,True,116,1e-06,common_bias_control,9.879693129155598e-07,9.87969083543483e-07,1.0,-1.0,1.4688867904233405e-06,2.0989116812072172e-11,False
1.0,1.0,9.971756519322472e-05,9.971756487914263e-05,0.000440864847393696,0.00016989370373710067,6.831558749498257e-05,1.0,1.0,9.626393142903034e-05,3.474324676090374e-16,9.62639314283642e-05,0.000318106334711743,c01_A1.00_B1.00_u1.00_v-1.00,True,116,0.0001,common_bias_control,9.693291795853654e-05,9.693291779100388e-05,1.0,-1.0,5.594634690497813e-05,4.064504883157078e-07,False
1.0,2.0,3.5349501104064984e-13,5.995204332975845e-15,2.6645352591003757e-14,1.1945999744966684e-13,9.658940314238862e-14,1.0,4.0,1.4210854715202004e-14,6.930918685101974e-15,8.881784197001252e-15,8.881784197001252e-15,c02_A1.00_B2.00_u1.40_v-0.60,False,116,0.0,zero_mean_gauge_noise,3.0120350658080497e-13,1.6431300764452317e-14,1.4,-0.6,1.2434497875801753e-14,8.190490644417547e-28,True
1.0,2.0,1.2397860515989123e-12,5.995204332975845e-15,2.398081733190338e-14,1.2212453270876722e-13,9.747758156208874e-14,1.0,4.0,4.316547119742609e-12,2.4326821229148704e-12,8.881784197001252e-15,8.881784197001252e-15,c02_A1.00_B2.00_u1.40_v-0.60,False,116,1e-12,zero_mean_gauge_noise,1.885158695813516e-12,1.687538997430238e-14,1.4,-0.6,1.2434497875801753e-14,8.518969841926045e-28,True
1.0,2.0,1.1572565128403767e-10,6.217248937900877e-15,2.4868995751603507e-14,1.212363542890671e-13,9.769962616701378e-14,1.0,4.0,4.235829464960261e-10,2.4720244836165045e-10,8.881784197001252e-15,8.881784197001252e-15,c02_A1.00_B2.00_u1.40_v-0.60,False,116,1e-10,zero_mean_gauge_noise,1.8847368110641582e-10,1.687538997430238e-14,1.4,-0.6,1.176836406102666e-14,8.477526204857217e-28,True
1.0,2.0,1.1183237891287945e-08,6.217248937900877e-15,2.5757174171303632e-14,1.199040866595169e-13,9.725553695716371e-14,1.0,4.0,4.38591438722824e-08,2.549208195582555e-08,8.881784197001252e-15,1.0658141036401503e-14,c02_A1.00_B2.00_u1.40_v-0.60,False,116,1e-08,zero_mean_gauge_noise,1.8631394871349016e-08,1.6653345369377348e-14,1.4,-0.6,1.176836406102666e-14,8.436082567788387e-28,True
1.0,2.0,1.1395274277514744e-06,5.995204332975845e-15,2.4868995751603507e-14,1.2256862191861728e-13,9.703349235223868e-14,1.0,4.0,4.2273145752780295e-06,2.571637758791124e-06,8.881784197001252e-15,9.769962616701378e-15,c02_A1.00_B2.00_u1.40_v-0.60,False,116,1e-06,zero_mean_gauge_noise,1.8891502620022038e-06,1.687538997430238e-14,1.4,-0.6,1.2212453270876722e-14,8.439152466830523e-28,True
1.0,2.0,0.00011207314813899139,6.217248937900877e-15,2.5757174171303632e-14,1.2212453270876722e-13,9.658940314238862e-14,1.0,4.0,0.0004235523398201657,0.0002403820774968705,8.881784197001252e-15,9.769962616701378e-15,c02_A1.00_B2.00_u1.40_v-0.60,False,116,0.0001,zero_mean_gauge_noise,0.0001886405402038438,1.687538997430238e-14,1.4,-0.6,1.2212453270876722e-14,8.604927015105841e-28,True
1.0,2.0,3.5349501104064984e-13,5.995204332975845e-15,2.6645352591003757e-14,1.1945999744966684e-13,9.658940314238862e-14,1.0,4.0,1.4210854715202004e-14,6.930918685101974e-15,8.881784197001252e-15,8.881784197001252e-15,c02_A1.00_B2.00_u1.40_v-0.60,False,116,0.0,common_bias_control,3.0120350658080497e-13,1.6431300764452317e-14,1.4,-0.6,1.2434497875801753e-14,8.190490644417547e-28,False
1.0,2.0,1.1927125953548057e-12,9.340306306171442e-13,1.6076029396572267e-12,5.636824340626845e-12,6.871614388614944e-12,1.0,4.0,3.788080960021034e-12,6.9378448552671184e-15,3.787192781601334e-12,2.730260462158185e-12,c02_A1.00_B2.00_u1.40_v-0.60,True,116,1e-12,common_bias_control,1.9042545318370685e-12,1.6646684031229597e-12,1.4,-0.6,7.027711745877241e-13,2.230927413514761e-22,False
1.0,2.0,9.66620117281991e-11,9.636580422522911e-11,8.39415648101749e-10,1.5949774834211894e-09,1.908384561488674e-11,1.0,4.0,3.8134118085508817e-10,6.930121425076009e-15,3.8134029267666847e-10,3.3010305600100764e-10,c02_A1.00_B2.00_u1.40_v-0.60,True,116,1e-10,common_bias_control,1.2073764210640547e-10,1.2054846010300935e-10,1.4,-0.6,9.077494311782175e-11,4.923881238551967e-18,False
1.0,2.0,9.951653612283451e-09,9.951411805708688e-09,1.3323044001367634e-08,7.712858751673934e-08,6.406899499822316e-08,1.0,4.0,3.9659822093085495e-08,6.930918685101974e-15,3.9659822093085495e-08,4.7872062758358425e-08,c02_A1.00_B2.00_u1.40_v-0.60,True,116,1e-08,common_bias_control,1.6057257745671905e-08,1.60570636786872e-08,1.4,-0.6,6.025903553918965e-09,3.074264884539272e-14,False
1.0,2.0,9.642730739445327e-07,9.642727559766584e-07,5.714932361122749e-06,4.204901483895185e-06,9.330373580862528e-06,1.0,4.0,3.6524288642425518e-06,6.930918685101974e-15,3.652428860689838e-06,5.165444241228556e-06,c02_A1.00_B2.00_u1.40_v-0.60,True,116,1e-06,common_bias_control,1.1743027568122955e-06,1.1743025174482113e-06,1.4,-0.6,3.8012257030928254e-07,4.3269214553322215e-10,False
1.0,2.0,9.768435499135641e-05,9.76843547966233e-05,0.0003948976715193453,0.0006495753090729472,0.00036358643278699976,1.0,4.0,0.00029880501463264153,6.9338616203213724e-15,0.0002988050146290888,2.3323499776850554e-05,c02_A1.00_B2.00_u1.40_v-0.60,True,116,0.0001,common_bias_control,0.00010032035517482107,0.00010032035490037394,1.4,-0.6,0.00015314127626853136,2.840257310565705e-06,False
1.0,2.0,3.5837999234900053e-13,5.329070518200751e-15,3.9968028886505635e-14,3.9745984281580604e-14,6.972200594645983e-14,1.0,4.0,5.684341886080802e-14,2.7723674740407897e-14,3.552713678800501e-14,3.552713678800501e-14,c03_A1.00_B2.00_u1.20_v0.20,False,116,0.0,zero_mean_gauge_noise,2.4236168627567167e-13,8.326672684688674e-15,1.2,0.2,7.327471962526033e-15,8.91184570979389e-27,True
1.0,2.0,1.1333156635373598e-12,5.329070518200751e-15,4.263256414560601e-14,4.107825191113079e-14,7.061018436615996e-14,1.0,4.0,4.1380232573828835e-12,2.469781321854123e-12,3.552713678800501e-14,3.6415315207705135e-14,c03_A1.00_B2.00_u1.20_v0.20,False,116,1e-12,zero_mean_gauge_noise,1.389999226830696e-12,8.326672684688674e-15,1.2,0.2,6.994405055138486e-15,9.272595086352264e-27,True
1.0,2.0,1.0907141856364433e-10,5.329070518200751e-15,4.1744385725905886e-14,3.9968028886505635e-14,7.016609515630989e-14,1.0,4.0,4.341345061220636e-10,2.511519156988462e-10,3.552713678800501e-14,3.552713678800501e-14,c03_A1.00_B2.00_u1.20_v0.20,False,116,1e-10,zero_mean_gauge_noise,1.277686845213566e-10,8.326672684688674e-15,1.2,0.2,7.549516567451064e-15,8.91184570979389e-27,True
1.0,2.0,1.0822756468797934e-08,5.329070518200751e-15,3.9968028886505635e-14,4.0190073491430667e-14,7.016609515630989e-14,1.0,4.0,4.413373844158741e-08,2.3774573274367824e-08,3.552713678800501e-14,3.552713678800501e-14,c03_A1.00_B2.00_u1.20_v0.20,False,116,1e-08,zero_mean_gauge_noise,1.2301472729348006e-08,8.326672684688674e-15,1.2,0.2,7.105427357601002e-15,8.738151565525043e-27,True
1.0,2.0,1.0548628099904533e-06,5.329070518200751e-15,4.085620730620576e-14,3.9968028886505635e-14,6.994405055138486e-14,1.0,4.0,4.274322805031261e-06,2.417832683420093e-06,3.552713678800501e-14,3.6415315207705135e-14,c03_A1.00_B2.00_u1.20_v0.20,False,116,1e-06,zero_mean_gauge_noise,1.2299565783635558e-06,8.326672684688674e-15,1.2,0.2,7.327471962526033e-15,9.272595086352264e-27,True
1.0,2.0,0.00010969392208604045,5.551115123125783e-15,4.263256414560601e-14,3.952393967665557e-14,6.972200594645983e-14,1.0,4.0,0.0004322167410641953,0.00024399072466532392,3.552713678800501e-14,3.6415315207705135e-14,c03_A1.00_B2.00_u1.20_v0.20,False,116,0.0001,zero_mean_gauge_noise,0.00012389239989518686,8.298917109073045e-15,1.2,0.2,7.327471962526033e-15,8.960279653868856e-27,True
1.0,2.0,3.5837999234900053e-13,5.329070518200751e-15,3.9968028886505635e-14,3.9745984281580604e-14,6.972200594645983e-14,1.0,4.0,5.684341886080802e-14,2.7723674740407897e-14,3.552713678800501e-14,3.552713678800501e-14,c03_A1.00_B2.00_u1.20_v0.20,False,116,0.0,common_bias_control,2.4236168627567167e-13,8.326672684688674e-15,1.2,0.2,7.327471962526033e-15,8.91184570979389e-27,False
1.0,2.0,1.091571277811454e-12,9.110490140074035e-13,4.796163466380676e-14,1.6606716002343092e-12,1.226352353000948e-12,1.0,4.0,3.0899727221367357e-12,2.7751379421068474e-14,3.086420008457935e-12,8.43769498715119e-13,c03_A1.00_B2.00_u1.20_v0.20,True,116,1e-12,common_bias_control,1.1997070004099442e-12,1.021849271864994e-12,1.2,0.2,2.5057733665789783e-13,7.93423644407513e-23,False
1.0,2.0,9.824252522605548e-11,9.80653336313253e-11,3.4007818783265975e-10,4.08972633536564e-10,5.267288827326411e-10,1.0,4.0,3.7690828236236484e-10,2.7753584799497757e-14,3.7688696608029204e-10,5.09260189573979e-10,c03_A1.00_B2.00_u1.20_v0.20,True,116,1e-10,common_bias_control,9.481371243680314e-11,9.463607675286312e-11,1.2,0.2,6.039924116407747e-11,3.9239865627093326e-18,False
1.0,2.0,9.610324758213551e-09,9.610144013905142e-09,1.90170279523727e-08,3.012821081505024e-08,3.1574522996180576e-08,1.0,4.0,3.8017839987247726e-08,2.7753584799497757e-14,3.8017839099069306e-08,1.0043117448788053e-08,c03_A1.00_B2.00_u1.20_v0.20,True,116,1e-08,common_bias_control,8.849590837911592e-09,8.849412980183047e-09,1.2,0.2,5.748415077277969e-10,2.382174707252196e-14,False
1.0,2.0,9.009570419715729e-07,9.009567976114852e-07,1.3070212485644106e-06,4.134546645939707e-06,7.6228791519028505e-06,1.0,4.0,3.919705248378591e-06,2.773544648128549e-14,3.919705212407365e-06,6.30368984122498e-06,c03_A1.00_B2.00_u1.20_v0.20,True,116,1e-06,common_bias_control,9.91620260570869e-07,9.916200707227318e-07,1.2,0.2,1.1741686736232992e-06,2.510638864207174e-10,False
1.0,2.0,9.18652380543783e-05,9.186523786852696e-05,0.0007196744009094758,0.0005245964827564897,0.0004897385195796744,1.0,4.0,0.0003967579194084081,2.7751379421068474e-14,0.00039675791940574356,0.00034988921247336435,c03_A1.00_B2.00_u1.20_v0.20,True,116,0.0001,common_bias_control,0.00011195773171257528,0.0001119577315349396,1.2,0.2,2.059735855997058e-05,3.691657539274255e-06,False
1.5,1.0,3.1863400806741993e-13,4.440892098500626e-15,1.2434497875801753e-14,8.286704655802168e-13,1.6653345369377348e-13,2.25,1.0,3.241851231905457e-14,1.5759072755675493e-14,2.042810365310288e-14,1.1546319456101628e-14,c04_A1.50_B1.00_u1.80_v-0.20,False,116,0.0,zero_mean_gauge_noise,4.169997680492088e-13,1.4432899320127035e-13,1.8,-0.2,2.220446049250313e-16,4.415742782207721e-27,True
1.5,1.0,1.1542988787027753e-12,4.6629367034256575e-15,1.199040866595169e-14,8.286704655802168e-13,1.6564527527407336e-13,2.25,1.0,2.453592884421596e-12,1.3845878448418794e-12,1.9095836023552692e-14,1.1102230246251565e-14,c04_A1.50_B1.00_u1.80_v-0.20,False,116,1e-12,zero_mean_gauge_noise,2.850164548817702e-12,1.4477308241112041e-13,1.8,-0.2,1.1102230246251565e-15,3.96876548167279e-27,True
1.5,1.0,1.0829537266943134e-10,4.6629367034256575e-15,1.199040866595169e-14,8.304468224196171e-13,1.6697754290362354e-13,2.25,1.0,2.374465069010512e-10,1.373765355518768e-10,1.9095836023552692e-14,1.0658141036401503e-14,c04_A1.50_B1.00_u1.80_v-0.20,False,116,1e-10,zero_mean_gauge_noise,2.7928370727181573e-10,1.4477308241112041e-13,1.8,-0.2,6.661338147750939e-16,4.037531220216626e-27,True
1.5,1.0,1.0635764602362485e-08,4.884981308350689e-15,1.1546319456101628e-14,8.313350008393172e-13,1.6653345369377348e-13,2.25,1.0,2.4002429821479154e-08,1.3787066272354045e-08,1.9539925233402755e-14,1.1546319456101628e-14,c04_A1.50_B1.00_u1.80_v-0.20,False,116,1e-08,zero_mean_gauge_noise,2.7591906093249463e-08,1.4477308241112041e-13,1.8,-0.2,1.1102230246251565e-15,4.189798212706547e-27,True
1.5,1.0,1.0787051978322637e-06,4.6629367034256575e-15,1.2878587085651816e-14,8.322231792590173e-13,1.674216321134736e-13,2.25,1.0,2.597515317059873e-06,1.3700868456626729e-06,1.9539925233402755e-14,1.1546319456101628e-14,c04_A1.50_B1.00_u1.80_v-0.20,False,116,1e-06,zero_mean_gauge_noise,2.769204957786542e-06,1.4477308241112041e-13,1.8,-0.2,1.5543122344752192e-15,4.189798212706547e-27,True
1.5,1.0,0.00010887698730466244,4.440892098500626e-15,1.2878587085651816e-14,8.277822871605167e-13,1.6564527527407336e-13,2.25,1.0,0.00023955377813589251,0.00013636981405434583,1.9539925233402755e-14,1.199040866595169e-14,c04_A1.50_B1.00_u1.80_v-0.20,False,116,0.0001,zero_mean_gauge_noise,0.0002609183532844561,1.4432899320127035e-13,1.8,-0.2,1.5543122344752192e-15,4.221725162744756e-27,True
1.5,1.0,3.1863400806741993e-13,4.440892098500626e-15,1.2434497875801753e-14,8.286704655802168e-13,1.6653345369377348e-13,2.25,1.0,3.241851231905457e-14,1.5759072755675493e-14,2.042810365310288e-14,1.1546319456101628e-14,c04_A1.50_B1.00_u1.80_v-0.20,False,116,0.0,common_bias_control,4.169997680492088e-13,1.4432899320127035e-13,1.8,-0.2,2.220446049250313e-16,4.415742782207721e-27,False
1.5,1.0,1.0894618540646661e-12,9.672262990534364e-13,2.482014593852e-12,8.64996962945952e-12,1.071143174158351e-12,2.25,1.0,2.0872192862952943e-12,1.5759072755675493e-14,2.085887018665744e-12,2.2026824808563106e-12,c04_A1.50_B1.00_u1.80_v-0.20,True,116,1e-12,common_bias_control,2.4131807663252403e-12,2.19735341033811e-12,1.8,-0.2,2.1960211427085596e-12,7.565533859383461e-23,False
1.5,1.0,9.310618942492965e-11,9.288259050777015e-11,5.615383713575284e-10,1.2450227515614642e-09,2.635371920689522e-10,2.25,1.0,2.223630168884938e-10,1.5742018061230835e-14,2.2234214469563085e-10,1.8608137253295354e-10,c04_A1.50_B1.00_u1.80_v-0.20,True,116,1e-10,common_bias_control,1.8488588438003717e-10,1.846696129348402e-10,1.8,-0.2,1.6216339382424394e-10,8.715548539228514e-19,False
1.5,1.0,8.42145042589948e-09,8.421127350999313e-09,2.2135998367645016e-08,2.1511175507527014e-07,4.669992836880965e-08,2.25,1.0,1.7992523027032803e-08,1.5742018061230835e-14,1.7992523027032803e-08,1.8105251520239563e-08,c04_A1.50_B1.00_u1.80_v-0.20,True,116,1e-08,common_bias_control,2.3795455827979595e-08,2.3795240000623608e-08,1.8,-0.2,3.953000660139594e-08,1.1894300718727312e-14,False
1.5,1.0,7.829042567575328e-07,7.829041139828519e-07,5.2793583087407114e-06,1.111844228596226e-05,3.8065306684487155e-06,2.25,1.0,2.090252089193001e-06,1.574547366835428e-14,2.090252089193001e-06,2.640431401967902e-06,c04_A1.50_B1.00_u1.80_v-0.20,True,116,1e-06,common_bias_control,1.7035720003555355e-06,1.7035717845281795e-06,1.8,-0.2,1.3369379341376941e-06,1.037548296978873e-10,False
1.5,1.0,9.863652548003365e-05,9.863652525587963e-05,8.6521481073909e-05,0.00267115585971478,0.0006322362357313871,2.25,1.0,0.00015682706967456994,1.573748142537975e-14,0.00015682706967412585,2.6058215509827676e-05,c04_A1.50_B1.00_u1.80_v-0.20,True,116,0.0001,common_bias_control,0.0002162490318404764,0.00021624903162420495,1.8,-0.2,0.00041862929165947804,1.0287529560779885e-06,False
