state,ordering,dominant_k,dominant_weight,weight_at_23,weight_at_101,top5
S_B63_random_seed7,O3_harm_desc_phase_up,31,0.8747606985982693,0.00036572890150911856,1.5445608211158553e-05,"[{""k"": 31, ""k_complement"": 93, ""weight"": 0.8747606985982693}, {""k"": 34, ""k_complement"": 90, ""weight"": 0.012728390370290225}, {""k"": 28, ""k_complement"": 96, ""weight"": 0.012728390370290225}, {""k"": 20, ""k_complement"": 104, ""weight"": 0.009907151609991628}, {""k"": 42, ""k_complement"": 82, ""weight"": 0.009907151609991617}]"
S_B63_random_seed7,O4_harm_major_phase_down,93,0.8747606985982691,1.544560821115853e-05,0.0003657289015091183,"[{""k"": 93, ""k_complement"": 31, ""weight"": 0.8747606985982691}, {""k"": 90, ""k_complement"": 34, ""weight"": 0.012728390370290223}, {""k"": 96, ""k_complement"": 28, ""weight"": 0.01272839037029022}, {""k"": 104, ""k_complement"": 20, ""weight"": 0.009907151609991626}, {""k"": 82, ""k_complement"": 42, ""weight"": 0.009907151609991617}]"
C_mapping_only_flat,O1_harm_major_phase_up,31,1.0,7.699363340997049e-35,0.0,"[{""k"": 31, ""k_complement"": 93, ""weight"": 1.0}, {""k"": 15, ""k_complement"": 109, ""weight"": 1.8993131891681855e-33}, {""k"": 103, ""k_complement"": 21, ""weight"": 1.6170543920973066e-33}, {""k"": 75, ""k_complement"": 49, ""weight"": 1.6139078839820483e-33}, {""k"": 107, ""k_complement"": 17, ""weight"": 1.0899077597938694e-33}]"
C_mapping_only_flat,O2_phase_major_harm_up,1,0.8107429218597964,0.0,0.0017181421386009465,"[{""k"": 1, ""k_complement"": 123, ""weight"": 0.8107429218597964}, {""k"": 121, ""k_complement"": 3, ""weight"": 0.09023690536696485}, {""k"": 5, ""k_complement"": 119, ""weight"": 0.032596767251847854}, {""k"": 117, ""k_complement"": 7, ""weight"": 0.01671676094650264}, {""k"": 9, ""k_complement"": 115, ""weight"": 0.010182279349355764}]"
C_mapping_only_flat,O3_harm_desc_phase_up,31,1.0,7.699363340997049e-35,0.0,"[{""k"": 31, ""k_complement"": 93, ""weight"": 1.0}, {""k"": 15, ""k_complement"": 109, ""weight"": 1.8993131891681855e-33}, {""k"": 103, ""k_complement"": 21, ""weight"": 1.6170543920973066e-33}, {""k"": 75, ""k_complement"": 49, ""weight"": 1.6139078839820483e-33}, {""k"": 107, ""k_complement"": 17, ""weight"": 1.0899077597938694e-33}]"
C_mapping_only_flat,O4_harm_major_phase_down,93,1.0,0.0,1.3290529336564079e-34,"[{""k"": 93, ""k_complement"": 31, ""weight"": 1.0}, {""k"": 37, ""k_complement"": 87, ""weight"": 4.064918109679799e-33}, {""k"": 109, ""k_complement"": 15, ""weight"": 2.1444649239848996e-33}, {""k"": 29, ""k_complement"": 95, ""weight"": 1.558142034948513e-33}, {""k"": 21, ""k_complement"": 103, ""weight"": 1.5088179769397549e-33}]"
C_random_complex,O1_harm_major_phase_up,24,0.10598168737394707,0.008439794952283987,0.0013148701862067676,"[{""k"": 24, ""k_complement"": 100, ""weight"": 0.10598168737394707}, {""k"": 21, ""k_complement"": 103, ""weight"": 0.09517952820618782}, {""k"": 18, ""k_complement"": 106, ""weight"": 0.07345239480494166}, {""k"": 35, ""k_complement"": 89, ""weight"": 0.06857056079582534}, {""k"": 41, ""k_complement"": 83, ""weight"": 0.05224058867569035}]"
C_random_complex,O2_phase_major_harm_up,97,0.11059260052914392,0.0,0.009079566938459113,"[{""k"": 97, ""k_complement"": 27, ""weight"": 0.11059260052914392}, {""k"": 73, ""k_complement"": 51, ""weight"": 0.10044747866965212}, {""k"": 77, ""k_complement"": 47, ""weight"": 0.09055102104605775}, {""k"": 85, ""k_complement"": 39, ""weight"": 0.08564397162679442}, {""k"": 17, ""k_complement"": 107, ""weight"": 0.08471769723407648}]"
C_random_complex,O3_harm_desc_phase_up,38,0.10598168737394707,0.031134159448708648,0.00035643277213693474,"[{""k"": 38, ""k_complement"": 86, ""weight"": 0.10598168737394707}, {""k"": 41, ""k_complement"": 83, ""weight"": 0.0951795282061878}, {""k"": 44, ""k_complement"": 80, ""weight"": 0.07345239480494162}, {""k"": 27, ""k_complement"": 97, ""weight"": 0.0685705607958253}, {""k"": 21, ""k_complement"": 103, ""weight"": 0.05224058867569034}]"
C_random_complex,O4_harm_major_phase_down,86,0.10598168737394706,0.0003564327721369351,0.031134159448708648,"[{""k"": 86, ""k_complement"": 38, ""weight"": 0.10598168737394706}, {""k"": 83, ""k_complement"": 41, ""weight"": 0.0951795282061878}, {""k"": 80, ""k_complement"": 44, ""weight"": 0.07345239480494159}, {""k"": 97, ""k_complement"": 27, ""weight"": 0.0685705607958253}, {""k"": 103, ""k_complement"": 21, ""weight"": 0.05224058867569036}]"
