強度順位,DFTビン,波数k,状態内の役割,全強度比,直流を除く強度比,数値誤差床より上
29,15,15,同方向・第15高調波,2.853610879694157e-05,2.9323566563708357e-05,はい
30,130,-14,逆回転・第14枝,2.5543707184247233e-05,2.6248589225361675e-05,はい
31,16,16,同方向・第16高調波,2.4987070249205365e-05,2.5676591819104654e-05,はい
32,129,-15,逆回転・第15枝,2.2539528529824797e-05,2.3161509856233754e-05,はい
33,17,17,同方向・第17高調波,2.2081390730970447e-05,2.26907296830976e-05,はい
34,128,-16,逆回転・第16枝,2.0053918184615778e-05,2.060730875867589e-05,はい
35,18,18,同方向・第18高調波,1.9672210766835866e-05,2.021506807327697e-05,はい
36,127,-17,逆回転・第17枝,1.7974399105837626e-05,1.847040507075653e-05,はい
37,19,19,同方向・第19高調波,1.765301833689759e-05,1.8140155756199705e-05,はい
38,126,-18,逆回転・第18枝,1.621717307816157e-05,1.6664688154105214e-05,はい
39,20,20,同方向・第20高調波,1.5944115211146997e-05,1.6384095218462775e-05,はい
40,125,-19,逆回転・第19枝,1.4718995859399148e-05,1.5125168533149755e-05,はい
41,21,21,同方向・第21高調波,1.4485059340727569e-05,1.4884776504728437e-05,はい
42,124,-20,逆回転・第20枝,1.3431518447596386e-05,1.3802163008713448e-05,はい
43,22,22,同方向・第22高調波,1.322958530648357e-05,1.3594657495366265e-05,はい
44,123,-21,逆回転・第21枝,1.2317164002657535e-05,1.2657057802735577e-05,はい
45,23,23,同方向・第23高調波,1.2141682839379942e-05,1.2476734213115714e-05,はい
46,122,-22,逆回転・第22枝,1.1346356604397908e-05,1.1659460843529361e-05,はい
47,24,24,同方向・第24高調波,1.1192929133903077e-05,1.1501799521315773e-05,はい
48,121,-23,逆回転・第23枝,1.0495597959097671e-05,1.0785225398793965e-05,はい
49,25,25,同方向・第25高調波,1.0360699251677308e-05,1.0646604143368166e-05,はい
50,120,-24,逆回転・第24枝,9.74602522114945e-06,1.0014968100156192e-05,はい
51,26,26,同方向・第26高調波,9.626810948942491e-06,9.89246409404659e-06,はい
52,119,-25,逆回転・第25枝,9.082342895613312e-06,9.332971371432564e-06,はい
53,27,27,同方向・第27高調波,8.976497389688468e-06,9.224205044511733e-06,はい
54,118,-26,逆回転・第26枝,8.492046625486608e-06,8.726385796204298e-06,はい
55,28,28,同方向・第28高調波,8.397666560178261e-06,8.629401300278454e-06,はい
56,117,-27,逆回転・第27枝,7.964837505508458e-06,8.184628269532326e-06,はい
57,29,29,同方向・第29高調波,7.880347350284871e-06,8.097806597092444e-06,はい
58,116,-28,逆回転・第28枝,7.492169387736738e-06,7.698916811370684e-06,はい
59,30,30,同方向・第30高調波,7.416256886609843e-06,7.620909494547913e-06,はい
