N,series,denominator,onset_gt_0.05,initial,step1,final,max
19,N-2,17,142,5.448647715476e-32,6.46767057815652e-29,0.1405729602478947,0.1406690290459119
19,N-1,18,164,5.448647715476e-32,4.976392774396838e-29,0.3156363317143603,0.3156363317143603
19,N,19,139,5.448647715476e-32,7.536280631890184e-29,0.1375036299545577,0.13757573975862356
19,N+1,20,119,5.448647715476e-32,1.281297840100261e-28,0.09369372599954365,0.09398135126851338
19,N+2,21,107,5.448647715476e-32,1.9655814715647798e-28,0.09122001788992645,0.09122001788992645
19,124,124,123,5.448647715476e-32,1.495470398083359e-28,0.08000381366989065,0.08000773902236641
20,N-2,18,188,1.533879804248956e-31,3.9966831701155764e-28,0.0867210332444317,0.08691722728435614
20,N-1,19,277,1.533879804248956e-31,3.0988874147716545e-28,0.31402501702326086,0.31402501702326086
20,N,20,192,1.533879804248956e-31,4.1796225309860265e-28,0.09232017531602937,0.09404241196785322
20,N+1,21,149,1.533879804248956e-31,6.617034871287253e-28,0.07838088611845513,0.07955121929874454
20,N+2,22,129,1.533879804248956e-31,9.915887087690283e-28,0.07331437356388412,0.0733246899554283
20,124,124,141,1.533879804248956e-31,9.06285804858217e-28,0.05568928925708596,0.05568928925708596
21,N-2,19,135,1.6006693241247461e-31,2.1920781004009857e-28,0.14583914000669532,0.1458762105868631
21,N-1,20,161,1.6006693241247461e-31,1.8135476632069605e-28,0.40785093553932794,0.40785093553932794
21,N,21,127,1.6006693241247461e-31,2.604969449169122e-28,0.14192901636166863,0.14198996320390225
21,N+1,22,103,1.6006693241247461e-31,4.218414431369928e-28,0.10150570639684986,0.10311313046853898
21,N+2,23,88,1.6006693241247461e-31,6.341118804846399e-28,0.09414359951436706,0.09554562870079976
21,124,124,92,1.6006693241247461e-31,6.296446167655263e-28,0.09151344094468275,0.09255727191964401
22,N-2,20,283,1.2523658574651707e-31,3.932092926551445e-30,0.07104956182618667,0.07209734779226148
22,N-1,21,468,1.2523658574651707e-31,3.637412185649881e-30,0.0727703766005157,0.0727703766005157
22,N,22,308,1.2523658574651707e-31,3.961397154361512e-30,0.06324220280147237,0.06522778662603938
22,N+1,23,218,1.2523658574651707e-31,4.8174730146416424e-30,0.054160588513945306,0.054728326184475394
22,N+2,24,201,1.2523658574651707e-31,6.01655699801714e-30,0.050523217297698576,0.0505232173084653
