abs_delta_theta_over_pi,count
0.022991019048989637,1
0.023299903885398897,1
0.024188106363020084,1
0.024516559657566165,1
0.02484738684851418,1
0.024851936371360198,1
0.025372751335023324,1
0.02564620623248762,1
0.025722336134177678,1
0.025857331184444565,1
0.026113414836313426,1
0.02657554368750656,1
0.027116461482694497,1
0.02721124412452453,1
0.027331680144043552,1
0.027427635310201186,1
0.02758784969845503,1
0.0276816696652994,1
0.027954492694445277,1
0.028008352750479828,1
0.028586353649355408,1
0.028757431979443054,1
0.029217489403166593,1
0.029225700998349032,1
0.029277626123269052,1
0.029334040912192435,1
0.029524114002655637,1
0.02975648620840383,1
0.029804256011839277,1
0.0298358108459948,1
0.029929696634122087,1
0.030125562508659835,1
0.030232816910871076,1
0.030369681670442152,1
0.03038454716865782,1
0.030418972434208044,1
0.030921198612480504,1
0.031707705378431594,1
0.03187729801205604,1
0.03215288947528711,1
0.032623450376201346,1
0.03316787460562157,1
0.03338470518324863,1
0.033397743396854127,1
0.03347951138171124,1
0.033550624191339494,1
0.03452925241012426,1
0.034625828288329094,1
0.03499711484244044,1
0.03511366635146635,1
0.036376156693191455,1
0.036719040328892345,1
0.03687826848552788,1
0.0368945309004453,1
0.03737597617217206,1
0.03758398933882483,1
0.037626539654321604,1
0.03783076795571743,1
0.037877926177305093,1
0.038704918520873204,1
0.0390300189343174,1
0.040148232473983185,1
0.0411113964845927,1
0.041343170232999854,1
0.041605455771299434,1
0.041740014366138584,1
0.042241156208317476,1
0.04267611020193972,1
0.04297286532391269,1
0.043165055375519616,1
0.04318786174857129,1
0.043192407560919306,1
0.043473260777670865,1
0.044101292430791736,1
0.044124098803843693,1
0.04414649232985808,1
0.04440825631763627,1
0.04478639829219671,1
0.04481660376243747,1
0.04522487119640954,1
0.0454822300340853,1
0.04574364989119171,1
0.04635143618423354,1
0.04714490772241778,1
0.04727010284247839,1
0.04728954257547953,1
0.04782794872561547,1
0.04785075509866722,1
0.0485291905322408,1
0.048818040660613723,1
0.048934592169639635,1
0.049465427587512996,1
0.049512735416644624,1
0.04998509842610523,1
0.050121964041026555,1
0.050295498924644653,1
0.050314277929414446,1
0.05082355881775495,1
0.050846365190806486,1
0.05123255569465796,1
0.05130825663587873,1
0.05143249146908029,1
0.0514717093285814,1
0.05149451570163322,1
0.05243324837946708,1
0.05266916339088374,1
0.05278571489990965,1
0.05319208388233673,1
0.05330957748145215,1
0.0537422606559152,1
0.053785122793406415,1
0.054716627882750564,1
0.05564016672620669,1
0.055923354261600104,1
0.05601588790292991,1
0.05614130856838572,1
0.056353752568388205,1
0.056427431227501275,1
0.05683584448530266,1
0.056994516121714536,1
0.0571845405962721,1
0.05723211881771433,1
0.0572525225222693,1
0.05736366828277354,1
0.05747196610805405,1
0.057884189328567225,1
0.05806552391693035,1
0.05839289991913779,1
0.058480781560645914,1
0.05868382194357836,1
0.058904912081817994,1
0.05902995701018831,1
0.059176404413650956,1
0.05918373745659613,1
0.05935126350700887,1
0.05945851790922011,1
0.05958296450981825,1
0.059893795673097786,1
0.06012616787884598,1
0.060175458642611736,1
0.06025158854430179,1
0.0602547832802027,1
0.06085444602688486,1
0.06097099753591092,1
0.0610903245775972,1
0.061748908028214776,1
0.061949087168753976,1
0.06222791254353226,1
0.0630673007084199,1
0.06307473819399506,1
0.06307652781209758,1
0.06328668438956717,1
0.06353755627606379,1
0.06362687339766813,1
0.06386912836659021,1
0.06433115575463287,1
0.06436506325611877,1
0.06450074838825726,1
0.0645631104529404,1
0.0647340851805632,1
0.06508278129153257,1
0.06508975906837444,1
0.0654378051582707,1
0.06559234208930466,1
0.06618041270503074,1
0.06671849879696107,1
0.06674338867497845,1
0.06685064307718984,1
0.0668744128544962,1
0.06699096436352225,1
0.06726421257088745,1
0.06746235050031626,1
0.06748942498147885,1
0.06780762281142712,1
0.06815484515301086,1
0.06820044962615972,1
0.06828976674776407,1
0.06881669989582404,1
0.0693447715126517,1
0.07042411007520208,1
0.07044515509178473,1
0.07044691644825384,1
0.07077371956902619,1
0.07112923370734814,1
0.071381392147057,1
0.07193352735073007,1
0.07199764241672131,1
0.07212203921383852,1
0.07245964592828351,1
0.07276335550258993,1
0.07277109645688261,1
0.07287060990480117,1
0.07309842783257267,1
0.07320568223478391,1
0.07340295741179302,1
0.07349058278456513,1
0.07359540281004355,1
0.07419431979198456,1
0.07474091362985398,1
0.07496935088954074,1
0.07515607996263893,1
0.0752440352699246,1
0.07540617562750886,1
0.07607994254317214,1
0.07637060872076681,1
0.0765243891671747,1
0.07672456830771397,1
0.0778059997144904,1
0.07816151385281235,1
0.07836070208399584,1
0.07847961275589484,1
0.0788319115682345,1
0.07885471794128632,1
0.07920258782927168,1
0.07931913933829766,1
0.07942299231776558,1
0.07944243205076672,1
0.07956856425411075,1
0.07978965439235039,1
0.07992622005286583,1
0.08094863813859104,1
0.08099582333123705,1
0.08101862970428872,1
0.08105589254080243,1
0.08111680293744997,1
0.08137297249186144,1
0.08169280380453668,1
0.0817806854460448,1
0.08189593113080756,1
0.0820032043030761,1
0.08209990937078349,1
0.0824671674047017,1
0.0827168522558922,1
0.08285141085073129,1
0.0830627489166756,1
0.08310985370671387,1
0.08354651666775448,1
0.08358538094436747,1
0.08375684845317818,1
0.08393170701208022,1
0.08431777195704321,1
0.08452088389458984,1
0.08494010621774369,1
0.08554000190558526,1
0.08575194810115752,1
0.08589779477678941,1
0.0860583197574096,1
0.0863599584879583,1
0.08640202999943855,1
0.08651858150846453,1
0.0866648953918961,1
0.08683032696770898,1
0.08716181545183642,1
0.08726463417511765,1
0.08755730090422438,1
0.08780065227365615,1
0.08848807795541763,1
0.08871651521510425,1
0.08886059063308745,1
0.08889224597470355,1
0.08893289062205478,1
0.08915551951884815,1
0.08918376250855127,1
0.08926277392105952,1
0.08965028188150162,1
0.0900112694886064,1
0.09018848693907723,1
0.09028519200678474,1
0.09046251040339777,1
0.09050416312229875,1
0.09054514031305402,1
0.09146326731378447,1
0.09155316404005405,1
0.09235415393536683,1
0.09258148085345026,1
0.09291041880337493,1
0.09329404248446756,1
0.09344896258748052,1
0.09370513214189201,1
0.09384665585864735,1
0.09401142056632623,1
0.09425819918321877,1
0.09430027069469889,1
0.094416822203725,1
0.09494765762159836,1
0.09540611370337976,1
0.09562565594038638,1
0.09576211550587231,1
0.0962084537666887,1
0.09646123299534627,1
0.09650198504237145,1
0.09678283825912301,1
0.09679048666996388,1
0.09697620558584967,1
0.09702069877929129,1
0.09724264854366156,1
0.09726687176344434,1
0.09788132293452416,1
0.09795693583456341,1
0.09862068668703428,1
0.0986223976359209,1
0.09867431391642204,1
0.09872794108924567,1
0.09964159947836854,1
0.09966440585142007,1
0.09971558735670362,1
0.09975815098739459,1
0.09978095736044626,1
0.09982701334605908,1
0.10030773462829798,1
0.10088716837833298,1
0.10094522688572492,1
0.10135745010623809,1
0.10145764135338564,1
0.10160375556052338,1
0.10199160291044038,1
0.10204872258015181,1
0.1020973196427373,1
0.10213181545363353,1
0.10215462182668507,1
0.10231807451938803,1
0.10236732408716345,1
0.10278067344134004,1
0.102996172413461,1
0.10427492868912577,1
0.10433694394033934,1
0.10452166139319385,1
0.10468019396529457,1
0.10477360690138002,1
0.10521043163934814,1
0.10547716356669033,1
0.10632864517901405,1
0.10649617122942678,1
0.10660342563163804,1
0.10674786750216783,1
0.10739692474521184,1
0.10795724055522805,1
0.1083239545682605,1
0.10937282026595004,1
0.10949801538601071,1
0.10978903819652464,1
0.11039442906071902,1
0.11065059861513078,1
0.11101724161112074,1
0.11118145504946227,1
0.11136550500167933,1
0.11138831137473101,1
0.11174540726724447,1
0.11205061086308424,1
0.11298684791835643,1
0.11361197182377338,1
0.11374658489293887,1
0.11431625418073804,1
0.11454644752257653,1
0.11454820887904557,1
0.11456925389562828,1
0.11460249448501893,1
0.11523897056952385,1
0.11553749002498441,1
0.11573330408291521,1
0.11580900502413598,1
0.11598724173831744,1
0.1162674764472317,1
0.11630237674605728,1
0.11654226029838692,1
0.11672964015840052,1
0.11681508332753258,1
0.11706562060486904,1
0.11766758056965534,1
0.11771377895376667,1
0.1181069685491543,1
0.11822352005818022,1
0.1182748651738693,1
0.11930257229249694,1
0.1197817892455681,1
0.11991058267929779,1
0.11992267336094593,1
0.1200692543157096,1
0.12010071645013443,1
0.1203086466298119,1
0.12038095115904869,1
0.12077886503840309,1
0.1210368122859357,1
0.12113282462535024,1
0.1215156963509049,1
0.12163477463048329,1
0.12191862577683524,1
0.12194431161136496,1
0.12201977331680579,1
0.12211425861195838,1
0.12261539987868489,1
0.12295601037207819,1
0.12302269047791642,1
0.12371301491867552,1
0.12445686662203072,1
0.12462788085366114,1
0.12503974162914144,1
0.12508833869172695,1
0.12518384055854598,1
0.1255316762120396,1
0.125638930614251,1
0.1257388591186154,1
0.1260577863231818,1
0.1262019065841987,1
0.12626221942509758,1
0.12657689033036604,1
0.12668266666690187,1
0.12671253489324516,1
0.12683866709658914,1
0.12743967121349925,1
0.127637809142928,1
0.12780882337455826,1
0.12837590826877146,1
0.12885350359790557,1
0.12929731527036298,1
0.12941393704616538,1
0.1297567099801813,1
0.13032642726986787,1
0.13063507622950735,1
0.13087492351984695,1
0.13107550224180226,1
0.13124413706323557,1
0.13133167179621374,1
0.13135139146544708,1
0.13182732302382785,1
0.13184218852204352,1
0.1318914380898191,1
0.13198830272918133,1
0.13215388110835372,1
0.13222187341181005,1
0.1324100506627652,1
0.13287814173556292,1
0.13361780152947472,1
0.1337250559316861,1
0.13373435303850056,1
0.13384160744071208,1
0.13400086881020268,1
0.13443613263769716,1
0.1346428479356164,1
0.13475526582983488,1
0.1347780722028867,1
0.13500826554472514,1
0.13518897695361912,1
0.13544514650803058,1
0.13553519869278502,1
0.1355543461773631,1
0.13667455086848104,1
0.13696039431654075,1
0.13701171123416708,1
0.13703451760721863,1
0.13826314455050503,1
0.1383489217551643,1
0.13847347633592874,1
0.13859852126429906,1
0.13860509130957577,1
0.1386100419964442,1
0.13903320796831412,1
0.1391877448993482,1
0.13926185498760876,1
0.1393340587827797,1
0.13945061029180575,1
0.13994907090976236,1
0.13995793868325004,1
0.13997524582004225,1
0.1401735853651826,1
0.1401980920428809,1
0.1404071560478113,1
0.1405806909314294,1
0.14094693824524282,1
0.14112199121008304,1
0.1411447975831347,1
0.14114976359457146,1
0.14165090486129783,1
0.1416751280810806,1
0.14223033861133283,1
0.1423758463908883,1
0.14282946122693982,1
0.14289575878286484,1
0.14294601273596588,1
0.14295435539766835,1
0.1430709069066944,1
0.14310370322101187,1
0.14319746763043115,1
0.14376569828221222,1
0.1438721474015987,1
0.143882249791238,1
0.14397940180380994,1
0.1441238436743398,1
0.1441820820875636,1
0.1444967529928319,1
0.1445321911191411,1
0.14529542469596926,1
0.14531967720220482,1
0.14579159044988727,1
0.14582305258431197,1
0.14596903773737369,1
0.14619355219279392,1
0.14625591425747722,1
0.14648612636680436,1
0.14674477996165466,1
0.14708598559460867,1
0.14721717793282885,1
0.14737302753534948,1
0.14744100946134667,1
0.14749235457703588,1
0.1475972772037775,1
0.14760890608606167,1
0.1477362819400131,1
0.1478393414624265,1
0.14794659586463788,1
0.14882668629515258,1
0.14893523342183854,1
0.14908912931368734,1
0.14934529886809883,1
0.14937194692156622,1
0.1494353510528532,1
0.14990506516170432,1
0.1499825705523009,1
0.15023834326393407,1
0.15027408708614862,1
0.15045032578811768,1
0.15090442754706293,1
