step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9,takagi_r10,takagi_r11,takagi_r12,takagi_r13
13,0.33911229014849187,0.317446699032936,0.2971672617133244,0.2806979011692698,0.27508312506021015,0.2514481945573416,0.23620168219660573,0.2233852829376094,0.20219300198032403,0.1423950927566671,0.11467195352814348,0.04350192281305566,6.086362357098674e-10
14,0.33911304079588417,0.31745653905623983,0.2971730057815445,0.28072272425741246,0.2750948539590406,0.25144943874417813,0.2362082379988259,0.22338523535216057,0.20220558389601231,0.14242230126084773,0.11466962647625915,0.04355082123062002,2.6843908076455935e-09
15,0.3391138291654473,0.31746710362164765,0.2971791726335249,0.28074939050892783,0.2751074187504412,0.251450813043133,0.23621536854988665,0.22338522326842444,0.20221908432731012,0.14245148516591385,0.11466712410250347,0.043603267314902175,2.4345941038945814e-09
16,0.33911466137538926,0.3174783944769915,0.2971857651096349,0.2807779123874345,0.2751208148841445,0.25145231753971875,0.23622308918483534,0.22338525048525285,0.20223350249729424,0.14248263787859183,0.11466444313053296,0.04365924173217976,2.4898787012098167e-09
17,0.3391155439118196,0.31749041344458134,0.2971927862185297,0.28080830282594144,0.2751350377056318,0.2514539523450276,0.23623141620803859,0.22338532103336858,0.20224883758669726,0.14251575234366676,0.11466158001206225,0.043718724125823276,3.1966192929674894e-09
18,0.33911648362187463,0.317503162412017,0.29720023913194754,0.2808405751609124,0.27515008248757994,0.25145571759474156,0.23624036687364147,0.2233854391703049,0.20226508873305582,0.14255082103590683,0.11465853091793464,0.04378169315899019,3.090501546466463e-09
19,0.3391174877064339,0.3175166433225671,0.29720812717918077,0.28087474306344395,0.27516594446234516,0.25145761344807893,0.23624995936486962,0.22338560937511662,0.2022822550298032,0.14258783595172583,0.11465529172889459,0.043848126558677473,1.7609445029432694e-09
20,0.3391185637124093,0.3175308581651324,0.29721645384122036,0.28091082046779947,0.2751826188552843,0.2514596400866733,0.23626021277217632,0.2233858363428727,0.20230033552529383,0.14262678860063055,0.11465185802611653,0.043918001160937865,2.2936663380929544e-09
21,0.3391197195246316,0.3175458089638289,0.2972252227445824,0.2809488214975663,0.27520010091872193,0.2514617977133928,0.23627114707025262,0.22338612497895396,0.202319329221774,0.14266766999649858,0.11464822508153415,0.04399129295707281,1.9834918886681314e-09
22,0.33912096335731196,0.3175614977672046,0.29723443765480856,0.2809887603897055,0.27521838596633225,0.25146408655108954,0.23628278309389913,0.22338648039316417,0.20233923507428234,0.142710470648733,0.1146443878480263,0.04406797714059642,3.107397486778465e-09
23,0.3391223037450984,0.317577926637129,0.2972441024696548,0.28103065141679345,0.2752374694077213,0.2514665068412923,0.23629514251277972,0.22338690789368015,0.20236005198948626,0.14275518055334738,0.11464034094951318,0.044148028154787106,1.9523851189319757e-09
24,0.3391237495337136,0.31759509763737154,0.2972542212119614,0.2810745088077476,0.27525734678296065,0.2514690588428322,0.23630824780505974,0.22338741298085069,0.20238177882444494,0.14280178918402744,0.11463607867101323,0.04423141974063525,2.3778416279891034e-09
