label,step,C_memory,delta_C_memory_forward,actual_Ra,predicted_Ra_from_delta_C,level_only_predictor,slope_predictor,balance_error
linear_increase_C,13,8.499999999999999e-07,5.000000000000005e-08,3.048780487804877e-11,3.048780487804881e-11,8.499999999999999e-07,5.000000000000005e-08,-3.877409121342317e-26
linear_increase_C,14,9e-07,5.000000000000005e-08,3.048780487804877e-11,3.048780487804881e-11,9e-07,5.000000000000005e-08,-3.877409121342317e-26
linear_increase_C,15,9.5e-07,4.9999999999999945e-08,3.048780487804877e-11,3.0487804878048745e-11,9.5e-07,4.9999999999999945e-08,2.5849394142282115e-26
linear_increase_C,16,1e-06,4.9999999999999945e-08,3.048780487804877e-11,3.0487804878048745e-11,1e-06,4.9999999999999945e-08,2.5849394142282115e-26
linear_increase_C,17,1.05e-06,5.0000000000000157e-08,3.04878048780496e-11,3.0487804878048874e-11,1.05e-06,5.0000000000000157e-08,7.237830359838992e-25
linear_increase_C,18,1.1e-06,4.9999999999999945e-08,3.0487804878047944e-11,3.0487804878048745e-11,1.1e-06,4.9999999999999945e-08,-8.013312184107456e-25
linear_increase_C,19,1.15e-06,4.9999999999999945e-08,3.048780487804877e-11,3.0487804878048745e-11,1.15e-06,4.9999999999999945e-08,2.5849394142282115e-26
linear_increase_C,20,1.2e-06,4.9999999999999945e-08,3.048780487804877e-11,3.0487804878048745e-11,1.2e-06,4.9999999999999945e-08,2.5849394142282115e-26
linear_increase_C,21,1.2499999999999999e-06,5.0000000000000157e-08,3.048780487804877e-11,3.0487804878048874e-11,1.2499999999999999e-06,5.0000000000000157e-08,-1.0339757656912846e-25
linear_increase_C,22,1.3e-06,4.9999999999999945e-08,3.048780487804877e-11,3.0487804878048745e-11,1.3e-06,4.9999999999999945e-08,2.5849394142282115e-26
linear_increase_C,23,1.35e-06,4.9999999999999945e-08,3.048780487804877e-11,3.0487804878048745e-11,1.35e-06,4.9999999999999945e-08,2.5849394142282115e-26
linear_increase_C,24,1.4e-06,4.9999999999999945e-08,3.048780487804877e-11,3.0487804878048745e-11,1.4e-06,4.9999999999999945e-08,2.5849394142282115e-26
linear_increase_C,25,1.4499999999999999e-06,4.9999999999999945e-08,3.048780487804877e-11,3.0487804878048745e-11,1.4499999999999999e-06,4.9999999999999945e-08,2.5849394142282115e-26
linear_increase_C,26,1.4999999999999998e-06,5.0000000000000157e-08,3.0487804878050425e-11,3.0487804878048874e-11,1.4999999999999998e-06,5.0000000000000157e-08,1.5509636485369269e-24
linear_increase_C,27,1.55e-06,4.9999999999999945e-08,3.0487804878047117e-11,3.0487804878048745e-11,1.55e-06,4.9999999999999945e-08,-1.6285118309637732e-24
linear_increase_C,28,1.6e-06,4.9999999999999945e-08,3.0487804878050425e-11,3.0487804878048745e-11,1.6e-06,4.9999999999999945e-08,1.6802106192483375e-24
linear_increase_C,29,1.6499999999999999e-06,5.0000000000000157e-08,3.0487804878047117e-11,3.0487804878048874e-11,1.6499999999999999e-06,5.0000000000000157e-08,-1.7577588016751838e-24
linear_increase_C,30,1.7e-06,4.9999999999999945e-08,3.0487804878050425e-11,3.0487804878048745e-11,1.7e-06,4.9999999999999945e-08,1.6802106192483375e-24
linear_increase_C,31,1.75e-06,4.9999999999999945e-08,3.0487804878047117e-11,3.0487804878048745e-11,1.75e-06,4.9999999999999945e-08,-1.6285118309637732e-24
linear_increase_C,32,1.8e-06,4.9999999999999945e-08,3.0487804878050425e-11,3.0487804878048745e-11,1.8e-06,4.9999999999999945e-08,1.6802106192483375e-24
linear_increase_C,33,1.8499999999999999e-06,4.9999999999999945e-08,3.0487804878047117e-11,3.0487804878048745e-11,1.8499999999999999e-06,4.9999999999999945e-08,-1.6285118309637732e-24
linear_increase_C,34,1.8999999999999998e-06,5.0000000000000157e-08,3.0487804878050425e-11,3.0487804878048874e-11,1.8999999999999998e-06,5.0000000000000157e-08,1.5509636485369269e-24
linear_increase_C,35,1.95e-06,4.9999999999999945e-08,3.0487804878047117e-11,3.0487804878048745e-11,1.95e-06,4.9999999999999945e-08,-1.6285118309637732e-24
linear_increase_C,36,2e-06,4.9999999999999945e-08,3.0487804878050425e-11,3.0487804878048745e-11,2e-06,4.9999999999999945e-08,1.6802106192483375e-24
linear_increase_C,37,2.05e-06,5.000000000000037e-08,3.0487804878047117e-11,3.0487804878049004e-11,2.05e-06,5.000000000000037e-08,-1.8870057723865944e-24
