label,mode,step,particle,actual_Ra,predicted_minus_partial_chi_E,partial_chi_E_read,g1_balance_error,C_memory,delta_C_memory_forward,sign_match,sweep_case,blind_window_length
C_decay_0_97,combined_minus_R2_R3_residual,10,A,1.2052265036790257e-10,1.2751242509505875e-10,-1.2751242509505875e-10,-6.98977472715618e-12,2.7742782844994833e-06,2.0912037715589636e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,11,A,1.1592704726028178e-10,1.2368851063259306e-10,-1.2368851063259306e-10,-7.761463372311285e-12,2.9833986616553797e-06,2.028491574374526e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,12,A,1.1146555791073068e-10,1.1997937097658147e-10,-1.1997937097658147e-10,-8.513813065850791e-12,3.1862478190928323e-06,1.9676616840159362e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,13,A,1.0713859091862567e-10,1.1638155714189088e-10,-1.1638155714189088e-10,-9.242966223265216e-12,3.383013987494426e-06,1.9086575371270105e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,14,A,1.0294569357873775e-10,1.1289172418723457e-10,-1.1289172418723457e-10,-9.946030608496817e-12,3.573879741207127e-06,1.851424276670647e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,15,A,9.88857032451732e-11,1.0950662803641617e-10,-1.0950662803641617e-10,-1.0620924791242977e-11,3.7590221688741917e-06,1.7959086997972252e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,16,A,9.495687758810016e-11,1.0622312240068944e-10,-1.0622312240068944e-10,-1.1266244812589282e-11,3.938613038853914e-06,1.7420592073713068e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,17,A,9.115700621066829e-11,1.0303815579860527e-10,-1.0303815579860527e-10,-1.1881149587936986e-11,4.112818959591045e-06,1.6898257550971266e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,18,A,8.748350636542579e-11,9.994876866992518e-11,-9.994876866992518e-11,-1.246526230449939e-11,4.2818015351007575e-06,1.639159806186773e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,19,A,8.393350458966086e-11,9.695209058029498e-11,-9.695209058029498e-11,-1.3018585990634114e-11,4.445717515719435e-06,1.5900142855168375e-07,True,C_decay_0_97,46
