N,series,denominator,onset_gt_0.05,initial,step1,final,max
25,N-2,23,-1,1.7627749493924837e-31,2.9256512865733375e-30,5.530952910726903e-09,5.530952910726903e-09
25,N-1,24,-1,1.7627749493924837e-31,3.012563804602268e-30,2.2666921978417932e-11,2.2666921978417932e-11
25,N,25,-1,1.7627749493924837e-31,2.9399080027402538e-30,3.595823548659711e-13,3.595823548659711e-13
25,N+1,26,-1,1.7627749493924837e-31,2.97774405114914e-30,6.279217551821522e-15,6.279217551821522e-15
25,N+2,27,-1,1.7627749493924837e-31,3.1281097317866793e-30,2.0030089013183313e-15,2.0030089013183313e-15
25,124,124,-1,1.7627749493924837e-31,2.9493740476954103e-30,4.890868683964863e-27,4.890868683964863e-27
26,N-2,24,-1,5.503495595139772e-32,2.9661738065457364e-30,2.7528250183355736e-11,2.7528250183355736e-11
26,N-1,25,-1,5.503495595139772e-32,2.9586161460508855e-30,2.8152068528884116e-12,2.8152068528884116e-12
26,N,26,-1,5.503495595139772e-32,3.0407925919247897e-30,3.621060821358771e-14,3.621060821358771e-14
26,N+1,27,-1,5.503495595139772e-32,2.932427679071746e-30,1.2440651270597904e-15,1.2440651270597904e-15
26,N+2,28,-1,5.503495595139772e-32,2.955236058244389e-30,3.2248244346139914e-17,3.2248244346139914e-17
26,124,124,-1,5.503495595139772e-32,2.96666517624684e-30,8.001759071898288e-27,8.001759071898288e-27
27,N-2,25,-1,5.920561114647364e-31,3.6524020249686925e-30,4.932601981414497e-12,4.932601981414497e-12
27,N-1,26,-1,5.920561114647364e-31,3.912698242183737e-30,1.0513145698312922e-13,1.0513145698312922e-13
27,N,27,-1,5.920561114647364e-31,3.896005592127006e-30,2.853303701697901e-15,2.853303701697901e-15
27,N+1,28,-1,5.920561114647364e-31,3.7428000468141386e-30,1.4127238825696395e-16,1.4127238825696395e-16
27,N+2,29,-1,5.920561114647364e-31,3.766463724843552e-30,3.5750598813293384e-17,3.5750598813293384e-17
27,124,124,-1,5.920561114647364e-31,3.867680699454631e-30,5.4673972704242634e-27,5.4673972704242634e-27
28,N-2,26,-1,7.581288001363486e-32,3.409294175505715e-30,4.707335153012062e-13,4.707335153012062e-13
