N,series,denominator,onset_gt_0.05,initial,step1,final,max
6,N+2,8,176,2.987640108883981e-32,1.1965842868020868e-30,0.7207430442047104,0.8311286679137226
6,124,124,-1,2.987640108883981e-32,1.0999995191847387e-30,3.4146617543369764e-27,3.4146617543369764e-27
7,N-2,5,88,5.240531886942956e-32,1.6990759119089496e-30,0.7460317460317459,0.8758579080144848
7,N-1,6,113,5.240531886942956e-32,1.7722712903361504e-30,0.7460317460317457,0.8116695413754653
7,N,7,137,5.240531886942956e-32,1.7479740498502344e-30,0.7460317460339695,0.8373774247594856
7,N+1,8,179,5.240531886942956e-32,1.6173508279404327e-30,0.7460317214960188,0.8850406398549863
7,N+2,9,200,5.240531886942956e-32,1.8190424885838964e-30,0.7460318715300751,0.8655176200358414
7,124,124,-1,5.240531886942956e-32,1.519804108567973e-30,3.7724429324638585e-27,3.7724429324638585e-27
8,N-2,6,104,1.965918019459601e-33,9.603032821566541e-31,0.793921741220388,0.877308310624446
8,N-1,7,129,1.965918019459601e-33,9.57599867707302e-31,0.7939217412433106,0.8790109820149876
8,N,8,157,1.965918019459601e-33,8.841160896435781e-31,0.7939217390520333,0.963603975923192
8,N+1,9,188,1.965918019459601e-33,9.022447928405463e-31,0.7939220059736259,0.8786114274651327
8,N+2,10,219,1.965918019459601e-33,9.603603470700577e-31,0.79389135534054,0.9008348428807617
8,124,124,-1,1.965918019459601e-33,9.866802374294805e-31,2.03448709516118e-27,2.03448709516118e-27
9,N-2,7,126,3.416660366554991e-32,9.660017055869531e-31,0.8103214687495606,0.9731076808965896
9,N-1,8,155,3.416660366554991e-32,8.94720380753761e-31,0.8103214775663614,0.9052807081176351
9,N,9,185,3.416660366554991e-32,1.008802891352809e-30,0.8380980916644635,0.9139110233082179
9,N+1,10,218,3.416660366554991e-32,9.45911361422071e-31,0.810372526867376,0.9836907238500232
9,N+2,11,257,3.416660366554991e-32,9.408117566696994e-31,0.8112010252533973,0.9861759904360111
9,124,124,-1,3.416660366554991e-32,9.746646753133685e-31,2.683257063608883e-27,2.683257063608883e-27
10,N-2,8,136,2.745395796090415e-32,1.8870244395151675e-30,0.8368175890300542,0.9128549679140077
10,N-1,9,161,2.745395796090415e-32,1.8482396781240603e-30,0.8362300504995688,0.9940626235188409
10,N,10,191,2.745395796090415e-32,1.8833001288482582e-30,0.930228855571853,0.9555250832471489
10,N+1,11,217,2.745395796090415e-32,1.8723324686765336e-30,0.8361807381181033,0.9939064768870116
10,N+2,12,256,2.745395796090415e-32,2.004695100239283e-30,0.9040668872638864,0.9526766482446395
10,124,124,-1,2.745395796090415e-32,1.9429318447425022e-30,2.9211941042280086e-27,2.9211941042280086e-27
11,N-2,9,158,1.2415534644501103e-31,1.3537831141609208e-30,0.8511202659087903,0.9627647766851407
11,N-1,10,182,1.2415534644501103e-31,1.2539523815972142e-30,0.8476750330171371,0.9897685940876156
11,N,11,222,1.2415534644501103e-31,1.2328817145228503e-30,0.8622558392248948,0.9905439400783822
11,N+1,12,252,1.2415534644501103e-31,1.2465669511232527e-30,0.901063252098726,0.9655436261354057
11,N+2,13,284,1.2415534644501103e-31,1.2588431551808724e-30,0.8607341182596762,0.9084622262828258
11,124,124,-1,1.2415534644501103e-31,1.2384029302574996e-30,2.841630355951507e-27,2.8419477926391976e-27
12,N-2,10,182,1.8806175700670152e-32,1.096735155803082e-30,0.8639895436382203,0.9893848953460775
12,N-1,11,208,1.8806175700670152e-32,1.0217128405255098e-30,0.86409099490107,0.9871069626255375
12,N,12,240,1.8806175700670152e-32,9.99661998803099e-31,0.8649905318524567,0.9930593653513089
12,N+1,13,291,1.8806175700670152e-32,1.0464771914029554e-30,0.9281907896466075,0.982614718075046
12,N+2,14,311,1.8806175700670152e-32,1.0630933808753703e-30,0.8925937873859717,0.9849037276211647
12,124,124,-1,1.8806175700670152e-32,1.0467600608223652e-30,1.8601280905024977e-27,1.8601280905024977e-27
13,N-2,11,201,3.9175327786828425e-32,1.6921121133231125e-30,0.8753548469324279,0.985459803736701
13,N-1,12,233,3.9175327786828425e-32,1.7719832521298163e-30,0.8812059781560745,0.9894723035160721
13,N,13,263,3.9175327786828425e-32,1.806128783453492e-30,0.9368254920058691,0.9903367768850327
13,N+1,14,302,3.9175327786828425e-32,1.700373957509545e-30,0.9702340200545374,0.9819560886678592
13,N+2,15,346,3.9175327786828425e-32,1.8265177505226155e-30,0.986553183415495,0.9960546843216558
13,124,124,-1,3.9175327786828425e-32,1.7359964942452064e-30,2.4035099032310794e-27,2.4035099032310794e-27
14,N-2,12,233,4.580861686846833e-34,1.80058492674799e-30,0.9716527144256705,0.9979944320996009
14,N-1,13,266,4.580861686846833e-34,1.7572243241122317e-30,0.9115178619373476,0.995045074943408
