model,time,left_prob,right_prob,left_mean_rho,right_mean_rho,left_current,right_current,node_abs,node_current
single_free_packet,6.5,0.08007044274847921,0.9176503912510006,-1.1878189318671393,4.026706927833612,0.1685342380018165,2.222875344464968,0.24155051151533802,0.12702890325076072
odd_node_halfline_read,6.5,0.49999999999999994,0.49999999999999994,-3.7965252882716656,3.7965252882716647,-1.0237288401810933,1.0237288401810933,7.854857450490166e-18,-5.7989382374609575e-18
single_free_packet,6.75,0.05342758244903944,0.9449298850990158,-1.124872184495311,4.508375984886282,0.11058556028490504,2.2822730461745935,0.20505811559114206,0.08993388903727673
odd_node_halfline_read,6.75,0.5,0.49999999999999994,-4.3249088301700205,4.3249088301700205,-1.0829711349788524,1.0829711349788522,2.5674680620887753e-17,-1.4336446131838936e-17
single_free_packet,7.0,0.03487353441458876,0.9639788637510256,-1.070945460797461,5.018105515882606,0.07094473726015658,2.3230165128014795,0.17140188727163017,0.0617062128225621
odd_node_halfline_read,7.0,0.5,0.4999999999999999,-4.878108483465528,4.878108483465528,-1.1237617630108208,1.1237617630108208,9.378194562190766e-18,-6.396892803255373e-19
single_free_packet,7.25,0.022325976846265194,0.9768936825695583,-1.0245442729245269,5.551140363044737,0.044620244181460204,2.350142328103279,0.14133902134557275,0.041192363911115776
odd_node_halfline_read,7.25,0.49999999999999994,0.4999999999999999,-5.448156396699145,5.448156396699145,-1.1510376406375868,1.1510376406375866,3.0038078125523204e-17,-7.0044837524935e-18
single_free_packet,7.5,0.014054757325794046,0.9854269826026583,-0.9844572357526286,6.102772111701972,0.027585211711698678,2.367737567885276,0.11518445134491131,0.026851056717887362
odd_node_halfline_read,7.5,0.5,0.49999999999999994,-6.029333483692599,6.029333483692599,-1.168816922054185,1.1688169220541849,2.535551157603808e-17,3.1251590573926804e-19
single_free_packet,7.75,0.008721691614967447,0.9909410077927747,-0.9496989341821321,6.66869463395234,0.016805243518391917,2.3788965574973444,0.09292413659437261,0.017148108397592007
odd_node_halfline_read,7.75,0.5,0.49999999999999994,-6.617688825069436,6.617688825069436,-1.1801532990672123,1.1801532990672123,4.6100908736016896e-18,3.42746046134826e-19
single_free_packet,8.0,0.005347491393273203,0.9944367287076448,-0.9194641911924446,7.245223973386652,0.010112712416395296,2.3858385230435655,0.07432338404904189,0.010762586625445283
odd_node_halfline_read,8.0,0.5,0.49999999999999994,-7.210580109780917,7.210580109780916,-1.1872466066948226,1.1872466066948224,1.4306926383484393e-17,-5.671407573666313e-19
single_free_packet,8.25,0.0032464888032019256,0.9966174494639223,-0.8930917957631358,7.8293826951478085,0.006024315823990549,2.390087290466716,0.05901847474834701,0.006657093358361535
odd_node_halfline_read,8.25,0.5,0.49999999999999994,-7.806288089442236,7.806288089442236,-1.191614916522852,1.191614916522852,2.4414061421990676e-17,2.87469638866048e-18
single_free_packet,8.5,0.0019555377841087083,0.9979596825402054,-0.8700358608557129,8.418878572943703,0.003560060693423052,2.3926526626933384,0.046587119438349575,0.0040684956993456605
odd_node_halfline_read,8.5,0.5,0.4999999999999999,-8.403719744246086,8.403719744246088,-1.1942697313305635,1.1942697313305632,1.174535847126915e-17,-1.0417102020426592e-18
single_free_packet,8.75,0.0011708777318885488,0.998776801205913,-0.8498432348902747,9.01201855274534,0.002090921254287401,2.3941845365082055,0.03659807634683442,0.0024624956806297434
odd_node_halfline_read,8.75,0.49999999999999994,0.4999999999999999,-9.00219354465956,9.00219354465956,-1.1958658779481224,1.1958658779481224,2.0808648306812698e-17,6.950038620861181e-19
single_free_packet,9.0,0.0006980484746539626,0.9992699040788395,-0.8321356715066007,9.607595337204055,0.0012226411729756902,2.395091226926576,0.028642880975359417,0.00147919105191855
odd_node_halfline_read,9.0,0.5,0.49999999999999994,-9.601291326874822,9.601291326874824,-1.1968173410149574,1.1968173410149572,1.4983463811620253e-17,1.384379989220806e-19
single_free_packet,9.25,0.00041500846254949667,0.9995654725928848,-0.8165957221534097,10.204773147751268,0.000712891345999818,2.395624246068131,0.022353634623568874,0.0008834965987037591
odd_node_halfline_read,9.25,0.49999999999999994,0.49999999999999994,-10.200759878542284,10.200759878542284,-1.1973807993158412,1.1973807993158412,2.3032994374851557e-17,-1.2506841361383422e-18
single_free_packet,9.5,0.00024639390233812113,0.9997417648810467,-0.8029555368025533,10.802987554124211,0.00041507529967940596,2.395936042320329,0.01741077670160218,0.0005256033282336312
odd_node_halfline_read,9.5,0.49999999999999994,0.4999999999999999,-10.800447485183325,10.800447485183325,-1.1977128969425426,1.1977128969425426,1.0844742476818445e-17,-1.3384021695578942e-20
single_free_packet,9.75,0.0001462674974719194,0.9998465666516699,-0.7909879375662046,11.401865122169063,0.0002416370995344361,2.3961178274164787,0.01354421581243127,0.000311922790516363
odd_node_halfline_read,9.75,0.49999999999999994,0.49999999999999994,-11.400263995337722,11.400263995337722,-1.197908019211764,1.1979080192117637,1.9244206796500957e-17,-9.194232273724155e-20
single_free_packet,10.0,8.691533069279313e-05,0.9999087530104499,-0.7804992722409604,12.001162907338749,0.00014080852128948692,2.396223617380993,0.01053045425174319,0.00018491130200056115
odd_node_halfline_read,10.0,0.49999999999999994,0.5,-12.000156172539464,12.000156172539462,-1.1980224685843772,1.198022468584377,1.87287883827377e-17,-3.0768061127176517e-19
