step,H_total,H_parallel,H_perp,A_perp,abs_ZtZ,sum_a2,sum_b2,sum_ab,r2_min,r2_max,simplex_rank
14,0.9999999999999998,0.9999999999999999,0.0,0.0,2.729818916987024e-15,0.5000000000000007,0.499999999999999,-1.0564465968698755e-15,0.048015848359621784,0.09546052497228016,5
15,0.9999999999999996,0.9999999999999996,0.0,0.0,2.8007698820707464e-15,0.5000000000000008,0.4999999999999989,-1.0755285551056204e-15,0.048015848359622006,0.09546052497228072,5
16,0.9999999999999997,0.9999999999999998,0.0,0.0,2.7604571811263313e-15,0.5000000000000008,0.499999999999999,-1.0928757898653885e-15,0.04801584835962252,0.0954605249722812,5
17,0.9999999999999996,0.9999999999999999,0.0,0.0,2.6802893403493436e-15,0.5000000000000007,0.49999999999999906,-1.1102230246251565e-15,0.04801584835962332,0.09546052497228157,5
18,0.9999999999999997,0.9999999999999996,1.1102230246251565e-16,1.0536712127723509e-08,2.781989377986203e-15,0.5000000000000007,0.499999999999999,-1.1206313654810174e-15,0.04801584835962436,0.09546052497228184,5
19,0.9999999999999998,0.9999999999999998,0.0,0.0,2.7390177243545375e-15,0.5000000000000006,0.4999999999999989,-1.1188966420050406e-15,0.048015848359625614,0.09546052497228197,5
20,0.9999999999999996,0.9999999999999998,0.0,0.0,2.7919081373453158e-15,0.5000000000000007,0.49999999999999895,-1.1011157263762783e-15,0.04801584835962702,0.09546052497228195,5
21,0.9999999999999994,0.9999999999999998,0.0,0.0,2.7727423597578194e-15,0.5000000000000006,0.4999999999999989,-1.1050188541972261e-15,0.048015848359628556,0.09546052497228182,5
22,0.9999999999999994,0.9999999999999998,0.0,0.0,2.7903201214917047e-15,0.5000000000000006,0.49999999999999895,-1.1275702593849246e-15,0.04801584835963012,0.09546052497228161,5
23,0.9999999999999994,0.9999999999999997,0.0,0.0,2.8261605550880732e-15,0.5000000000000006,0.49999999999999895,-1.1206313654810174e-15,0.04801584835963164,0.0954605249722814,5
24,0.9999999999999994,0.9999999999999996,0.0,0.0,2.7944397031797226e-15,0.5000000000000006,0.4999999999999989,-1.1206313654810174e-15,0.04801584835963305,0.09546052497228118,5
25,0.9999999999999993,0.9999999999999998,0.0,0.0,2.8497996200735482e-15,0.5000000000000006,0.4999999999999989,-1.1206313654810174e-15,0.048015848359634294,0.095460524972281,5
26,0.9999999999999996,0.9999999999999997,0.0,0.0,2.9170637408219097e-15,0.5000000000000007,0.49999999999999883,-1.1275702593849246e-15,0.04801584835963531,0.0954605249722809,5
27,0.9999999999999996,0.9999999999999996,0.0,0.0,2.779878612387002e-15,0.5000000000000007,0.49999999999999895,-1.132774429812855e-15,0.048015848359636036,0.09546052497228096,5
28,0.9999999999999994,0.9999999999999993,1.1102230246251565e-16,1.0536712127723509e-08,2.805483989014309e-15,0.5000000000000006,0.4999999999999989,-1.1249681741709594e-15,0.04801584835963644,0.09546052497228115,5
29,0.9999999999999996,0.9999999999999996,0.0,0.0,2.8435440144424305e-15,0.5000000000000007,0.49999999999999883,-1.1032841307212493e-15,0.0480158483596365,0.0954605249722815,5
30,0.9999999999999994,0.9999999999999998,0.0,0.0,2.8025991756738576e-15,0.5000000000000006,0.49999999999999883,-1.1136924715771102e-15,0.04801584835963618,0.09546052497228205,5
31,0.9999999999999996,0.9999999999999997,0.0,0.0,2.9058277686532327e-15,0.5000000000000007,0.49999999999999883,-1.1136924715771102e-15,0.04801584835963546,0.0954605249722828,5
32,0.9999999999999996,0.9999999999999997,0.0,0.0,2.78915012379169e-15,0.5000000000000007,0.4999999999999989,-1.1102230246251565e-15,0.048015848359634364,0.09546052497228379,5
