step,max_within_opposite_pair_phase_diff,max_class_gap_error_from_one_third,gap1,gap2,gap3
35,3.675307631913397e-15,0.33333333333331777,0.49999999999999223,1.554312234475219e-14,0.49999999999999223
36,3.9580236035990435e-15,0.33333333333331655,0.49999999999999145,1.6764367671839864e-14,0.4999999999999918
37,3.9580236035990435e-15,0.3333333333333152,0.4999999999999906,1.8096635301390052e-14,0.49999999999999123
38,3.9580236035990435e-15,0.3333333333333138,0.49999999999998984,1.9539925233402755e-14,0.49999999999999056
39,3.9580236035990435e-15,0.3333333333333121,0.49999999999998906,2.120525977034049e-14,0.4999999999999898
40,3.675307631913397e-15,0.3333333333333102,0.49999999999998823,2.3092638912203256e-14,0.4999999999999888
41,3.533949646070574e-15,0.33333333333330845,0.4999999999999873,2.4868995751603507e-14,0.4999999999999878
42,3.533949646070574e-15,0.3333333333333062,0.499999999999986,2.708944180085382e-14,0.499999999999987
43,3.9580236035990435e-15,0.33333333333330445,2.8869268087206024e-14,0.49999999999998596,0.4999999999999851
44,3.9580236035990435e-15,0.33333333333330206,3.1231961461486435e-14,0.49999999999998473,0.4999999999999839
45,3.9580236035990435e-15,0.3333333333332996,3.3681391009565687e-14,0.4999999999999838,0.49999999999998246
46,3.9580236035990435e-15,0.3333333333332969,3.642919299551295e-14,0.49999999999998235,0.49999999999998124
47,3.9580236035990435e-15,0.33333333333329407,3.9246383920499284e-14,0.49999999999998085,0.4999999999999798
48,3.9580236035990435e-15,0.33333333333329085,4.243827511629661e-14,0.4999999999999793,0.49999999999997824
49,3.392591660227751e-15,0.3333333333332874,4.593547764386585e-14,0.49999999999997746,0.4999999999999766
50,3.392591660227751e-15,0.3333333333332837,4.96269692007445e-14,0.4999999999999755,0.4999999999999749
51,3.675307631913397e-15,0.3333333333332799,5.340172748447003e-14,0.4999999999999736,0.499999999999973
52,3.9580236035990435e-15,0.33333333333327575,5.756506382681437e-14,0.4999999999999713,0.49999999999997125
53,3.9580236035990435e-15,0.3333333333332715,6.183942247162122e-14,0.499999999999969,0.49999999999996925
54,3.392591660227751e-15,0.3333333333332664,6.689093723366568e-14,0.4999999999999663,0.4999999999999668
55,3.392591660227751e-15,0.33333333333326115,7.216449660063518e-14,0.4999999999999637,0.49999999999996403
56,3.9580236035990435e-15,0.3333333333332558,0.4999999999999617,7.749356711883593e-14,0.4999999999999607
57,3.392591660227751e-15,0.3333333333332495,0.4999999999999585,8.382183835919932e-14,0.4999999999999578
58,3.392591660227751e-15,0.3333333333332427,0.4999999999999551,9.059419880941277e-14,0.49999999999995426
59,3.392591660227751e-15,0.3333333333332357,0.49999999999995126,9.758860386455126e-14,0.49999999999995115
60,3.392591660227751e-15,0.3333333333332283,0.4999999999999476,1.0502709812953981e-13,0.4999999999999475
