step,H_total,H_parallel,H_perp,A_perp,f,ztz_re,ztz_im,abs_ztz,sigma_est,sigma_exact,branch
16,1.0000000000000004,1.0000000000000004,9.786786208779929e-24,3.128383961213829e-12,9.786786208779924e-24,-6.661338147750939e-16,1.0147801243134805e-16,6.738190010632202e-16,3.7416573867739418,3.741657386773942,raw_K
17,1.0000000000000004,1.0000000000000004,1.1647065216541752e-23,3.412779690595593e-12,1.1647065216541746e-23,-6.661338147750939e-16,1.4609234608728742e-16,6.819657123141213e-16,3.7416573867739413,3.741657386773942,raw_K
18,1.0000000000000004,1.0000000000000004,1.3855306150325814e-23,3.722271638438793e-12,1.3855306150325808e-23,-6.661338147750939e-16,1.180921091644724e-16,6.765205136828689e-16,3.7416573867739413,3.7416573867739413,raw_K
19,1.0000000000000004,1.0000000000000004,1.64768091418313e-23,4.059163601264588e-12,1.6476809141831295e-23,-7.771561172376096e-16,1.5805208270133283e-16,7.930649982227599e-16,3.7416573867739413,3.7416573867739396,raw_K
20,1.0000000000000002,1.0000000000000002,1.9588766395035538e-23,4.425919836038102e-12,1.9588766395035535e-23,-7.216449660063518e-16,1.9997740989033568e-16,7.488407183298434e-16,3.7416573867739413,3.7416573867739435,raw_K
21,1.0000000000000002,1.0000000000000002,2.3283349427148147e-23,4.8252823157975066e-12,2.328334942714814e-23,-9.43689570931383e-16,2.053638321373873e-16,9.657765320377229e-16,3.7416573867739413,3.7416573867739413,raw_K
22,1.0,1.0,2.7669985642402445e-23,5.260226767203335e-12,2.7669985642402445e-23,-8.326672684688674e-16,1.8375499599058375e-16,8.527019869396953e-16,3.7416573867739418,3.741657386773942,raw_K
23,1.0,1.0,3.2878082686930974e-23,5.733941287363429e-12,3.2878082686930974e-23,-7.771561172376096e-16,2.0639220597201132e-16,8.040953757147409e-16,3.741657386773941,3.7416573867739435,raw_K
24,1.0,1.0,3.906258268334708e-23,6.250006614664266e-12,3.906258268334708e-23,-8.326672684688674e-16,1.942448634462452e-16,8.550238867743143e-16,3.7416573867739413,3.741657386773941,raw_K
25,1.0,1.0,4.6406841805842747e-23,6.812256733700129e-12,4.6406841805842747e-23,-7.771561172376096e-16,1.6377751485495106e-16,7.942258525960364e-16,3.7416573867739413,3.741657386773942,raw_K
26,1.0,1.0,5.512908882871994e-23,7.424896553401935e-12,5.512908882871994e-23,-9.992007221626409e-16,1.2741645551030417e-16,1.007291932016311e-15,3.741657386773941,3.7416573867739444,raw_K
27,1.0,1.0,6.548755153777948e-23,8.09243792301056e-12,6.548755153777948e-23,-9.992007221626409e-16,1.4021362329658277e-16,1.0089905566100702e-15,3.7416573867739413,3.7416573867739413,raw_K
